English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Greek Word
aback	0	0	0	0	0	0	0	0	0	0	προς τα πίσω
abacus	0	0	0	0	0	0	0	0	0	1	άβακας
abandon	0	0	0	1	0	1	0	1	0	0	εγκαταλείπω
abandoned	1	0	0	1	0	1	0	1	0	0	εγκαταλειμμένος
abandonment	1	0	0	1	0	1	0	1	1	0	εγκατάλειψη
abate	0	0	0	0	0	0	0	0	0	0	μειώνω
abatement	0	0	0	0	0	0	0	0	0	0	μείωση
abba	0	0	0	0	0	0	1	0	0	0	αβάς
abbot	0	0	0	0	0	0	0	0	0	1	ηγούμενος
abbreviate	0	0	0	0	0	0	0	0	0	0	βραχύνω
abbreviation	0	0	0	0	0	0	0	0	0	0	συντομογραφία
abdomen	0	0	0	0	0	0	0	0	0	0	κοιλιά
abdominal	0	0	0	0	0	0	0	0	0	0	κοιλιακός
abduction	0	0	0	1	0	1	0	1	1	0	απαγωγή
aberrant	0	0	0	0	0	1	0	0	0	0	ανώμαλος
aberration	0	0	1	0	0	1	0	0	0	0	εκτροπή
abeyance	0	0	0	0	0	0	0	0	0	0	αναστολή
abhor	1	0	1	1	0	1	0	0	0	0	απεχθάνομαι
abhorrent	1	0	1	1	0	1	0	0	0	0	απεχθής
abide	0	0	0	0	0	0	0	0	0	0	συμμορφώνομαι
ability	0	0	0	0	0	0	1	0	0	0	ικανότητα
abject	0	0	1	0	0	1	0	0	0	0	άθλιος
ablation	0	0	0	0	0	0	0	0	0	0	εκτομή
ablaze	0	0	0	0	0	0	0	0	0	0	λάμπων
abnormal	0	0	1	0	0	1	0	0	0	0	ασυνήθιστος
aboard	0	0	0	0	0	0	0	0	0	0	ένας πίνακας
abode	0	0	0	0	0	0	0	0	0	0	κατοικία
abolish	1	0	0	0	0	1	0	0	0	0	καταργώ
abolition	0	0	0	0	0	1	0	0	0	0	κατάργηση
abominable	0	0	1	1	0	1	0	0	0	0	απαίσιος
abomination	1	0	1	1	0	1	0	0	0	0	βδέλυγμα
aboriginal	0	0	0	0	0	0	0	0	0	0	ιθαγενής
abort	0	0	0	0	0	1	0	0	0	0	κάνω αποβολή
abortion	0	0	1	1	0	1	0	1	0	0	άμβλωση
abortive	0	0	0	0	0	1	0	1	0	0	ανεπιτυχής
abound	0	0	0	0	0	0	0	0	0	0	βρίθω
abovementioned	0	0	0	0	0	0	1	0	0	0	τα προαναφερθέντα
