English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Gujarati Word
aback	0	0	0	0	0	0	0	0	0	0	આશ્ચર્યચકિત
abacus	0	0	0	0	0	0	0	0	0	1	અબેકસ
abandon	0	0	0	1	0	1	0	1	0	0	છોડી દેવું
abandoned	1	0	0	1	0	1	0	1	0	0	ત્યજી દેવાયું
abandonment	1	0	0	1	0	1	0	1	1	0	ત્યાગ
abate	0	0	0	0	0	0	0	0	0	0	ઘટાડો
abatement	0	0	0	0	0	0	0	0	0	0	ઘટાડો
abba	0	0	0	0	0	0	1	0	0	0	અબ્બા
abbot	0	0	0	0	0	0	0	0	0	1	મઠાધિપતિ
abbreviate	0	0	0	0	0	0	0	0	0	0	સંક્ષિપ્ત
abbreviation	0	0	0	0	0	0	0	0	0	0	સંક્ષેપ
abdomen	0	0	0	0	0	0	0	0	0	0	પેટ
abdominal	0	0	0	0	0	0	0	0	0	0	પેટની
abduction	0	0	0	1	0	1	0	1	1	0	અપહરણ
aberrant	0	0	0	0	0	1	0	0	0	0	વિચલિત
aberration	0	0	1	0	0	1	0	0	0	0	વિકૃતિ
abeyance	0	0	0	0	0	0	0	0	0	0	ત્યાગ
abhor	1	0	1	1	0	1	0	0	0	0	તિરસ્કાર
abhorrent	1	0	1	1	0	1	0	0	0	0	ઘૃણાસ્પદ
abide	0	0	0	0	0	0	0	0	0	0	પાલન
ability	0	0	0	0	0	0	1	0	0	0	ક્ષમતા
abject	0	0	1	0	0	1	0	0	0	0	અપમાનજનક
ablation	0	0	0	0	0	0	0	0	0	0	વિસર્જન
ablaze	0	0	0	0	0	0	0	0	0	0	સળગવું
abnormal	0	0	1	0	0	1	0	0	0	0	અસામાન્ય
aboard	0	0	0	0	0	0	0	0	0	0	વહાણમાં
abode	0	0	0	0	0	0	0	0	0	0	રહેઠાણ
abolish	1	0	0	0	0	1	0	0	0	0	નાબૂદ
abolition	0	0	0	0	0	1	0	0	0	0	નાબૂદી
abominable	0	0	1	1	0	1	0	0	0	0	ઘૃણાસ્પદ
abomination	1	0	1	1	0	1	0	0	0	0	ઘૃણા
aboriginal	0	0	0	0	0	0	0	0	0	0	આદિવાસી
abort	0	0	0	0	0	1	0	0	0	0	ગર્ભપાત
abortion	0	0	1	1	0	1	0	1	0	0	ગર્ભપાત
abortive	0	0	0	0	0	1	0	1	0	0	નિષ્ક્રિય
abound	0	0	0	0	0	0	0	0	0	0	ભરપૂર
abovementioned	0	0	0	0	0	0	1	0	0	0	ઉપર ઉલ્લેખ કર્યો છે
abrasion	0	0	0	0	0	1	0	0	0	0	ઘર્ષણ
abroad	0	0	0	0	0	0	0	0	0	0	વિદેશમાં
abrogate	0	0	0	0	0	1	0	0	0	0	રદ કરવું
abrupt	0	0	0	0	0	0	0	0	1	0	અચાનક
abruptly	0	0	0	0	0	0	0	0	0	0	અચાનક
abscess	0	0	0	0	0	1	0	1	0	0	ફોલ્લો
absence	0	0	0	1	0	1	0	1	0	0	ગેરહાજરી
absent	0	0	0	0	0	1	0	1	0	0	ગેરહાજર
absentee	0	0	0	0	0	1	0	1	0	0	ગેરહાજર
absenteeism	0	0	0	0	0	1	0	0	0	0	ગેરહાજરી
absinthe	0	0	0	0	0	0	0	0	0	0	એબ્સિન્થે
absolute	0	0	0	0	0	0	1	0	0	0	સંપૂર્ણ
absolution	0	0	0	0	1	0	1	0	0	1	મુક્તિ
absorbed	0	0	0	0	0	0	1	0	0	0	શોષાય છે
absorbent	0	0	0	0	0	0	0	0	0	0	શોષક
absorbing	0	0	0	0	0	0	0	0	0	0	શોષક
absorption	0	0	0	0	0	0	0	0	0	0	શોષણ
abstain	0	0	0	0	0	0	0	0	0	0	દૂર રહેવું
abstention	0	0	0	0	0	0	0	0	0	0	ત્યાગ
abstinence	0	0	0	0	0	0	0	0	0	0	ત્યાગ
abstract	0	0	0	0	0	0	0	0	0	0	અમૂર્ત
abstraction	0	0	0	0	0	0	0	0	0	0	અમૂર્ત
absurd	0	0	0	0	0	1	0	0	0	0	વાહિયાત
absurdity	0	0	0	0	0	1	0	0	0	0	વાહિયાતતા
abundance	0	1	1	0	1	1	1	0	0	1	વિપુલતા
abundant	0	0	0	0	1	0	1	0	0	0	પુષ્કળ
abuse	1	0	1	1	0	1	0	1	0	0	ગા ળ
abutment	0	0	0	0	0	0	0	0	0	0	એબ્યુટમેન્ટ
aby	0	0	0	0	0	0	0	0	0	0	અબી
abysmal	0	0	0	0	0	1	0	1	0	0	અતિશય
abyss	0	0	0	1	0	1	0	1	0	0	પાતાળ
academic	0	0	0	0	0	0	1	0	0	1	શૈક્ષણિક
academy	0	0	0	0	0	0	1	0	0	0	અકાદમી
accede	0	0	0	0	0	0	0	0	0	0	સ્વીકાર
accelerate	0	1	0	0	0	0	0	0	0	0	વેગ આપો
acceleration	0	0	0	0	0	0	0	0	0	0	પ્રવેગ
accent	0	0	0	0	0	0	0	0	0	0	ઉચ્ચાર
accentuate	0	0	0	0	0	0	0	0	0	0	ભાર મૂકવો
