English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Haitian-Creole Word
aback	0	0	0	0	0	0	0	0	0	0	sezi
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	abandone
abandoned	1	0	0	1	0	1	0	1	0	0	abandone
abandonment	1	0	0	1	0	1	0	1	1	0	abandon
abate	0	0	0	0	0	0	0	0	0	0	bese
abatement	0	0	0	0	0	0	0	0	0	0	rediksyon
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	aba
abbreviate	0	0	0	0	0	0	0	0	0	0	abreje
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviyasyon
abdomen	0	0	0	0	0	0	0	0	0	0	vant
abdominal	0	0	0	0	0	0	0	0	0	0	nan vant
abduction	0	0	0	1	0	1	0	1	1	0	anlèvman
aberrant	0	0	0	0	0	1	0	0	0	0	aberan
aberration	0	0	1	0	0	1	0	0	0	0	aberasyon
abeyance	0	0	0	0	0	0	0	0	0	0	rete
abhor	1	0	1	1	0	1	0	0	0	0	degoute
abhorrent	1	0	1	1	0	1	0	0	0	0	degoutan
abide	0	0	0	0	0	0	0	0	0	0	rete
ability	0	0	0	0	0	0	1	0	0	0	kapasite
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	limen
abnormal	0	0	1	0	0	1	0	0	0	0	nòmal
aboard	0	0	0	0	0	0	0	0	0	0	abò
abode	0	0	0	0	0	0	0	0	0	0	abite
abolish	1	0	0	0	0	1	0	0	0	0	aboli
abolition	0	0	0	0	0	1	0	0	0	0	abolisyon
abominable	0	0	1	1	0	1	0	0	0	0	abominab
abomination	1	0	1	1	0	1	0	0	0	0	abominasyon
aboriginal	0	0	0	0	0	0	0	0	0	0	aborijèn
abort	0	0	0	0	0	1	0	0	0	0	avòte
abortion	0	0	1	1	0	1	0	1	0	0	avòtman
abortive	0	0	0	0	0	1	0	1	0	0	abortif
abound	0	0	0	0	0	0	0	0	0	0	gen anpil
abovementioned	0	0	0	0	0	0	1	0	0	0	mansyone anwo a
abrasion	0	0	0	0	0	1	0	0	0	0	fwotman
abroad	0	0	0	0	0	0	0	0	0	0	aletranje
abrogate	0	0	0	0	0	1	0	0	0	0	abroge
abrupt	0	0	0	0	0	0	0	0	1	0	brid sou kou
abruptly	0	0	0	0	0	0	0	0	0	0	sibitman
abscess	0	0	0	0	0	1	0	1	0	0	absè
absence	0	0	0	1	0	1	0	1	0	0	absans
absent	0	0	0	0	0	1	0	1	0	0	absan
absentee	0	0	0	0	0	1	0	1	0	0	absan
absenteeism	0	0	0	0	0	1	0	0	0	0	absans
absinthe	0	0	0	0	0	0	0	0	0	0	absent
absolute	0	0	0	0	0	0	1	0	0	0	absoli
absolution	0	0	0	0	1	0	1	0	0	1	absolisyon
absorbed	0	0	0	0	0	0	1	0	0	0	absòbe
absorbent	0	0	0	0	0	0	0	0	0	0	absòbe
absorbing	0	0	0	0	0	0	0	0	0	0	absòbe
absorption	0	0	0	0	0	0	0	0	0	0	absòpsyon
abstain	0	0	0	0	0	0	0	0	0	0	abstrenn
abstention	0	0	0	0	0	0	0	0	0	0	abstansyon
abstinence	0	0	0	0	0	0	0	0	0	0	abstinans
abstract	0	0	0	0	0	0	0	0	0	0	abstrè
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksyon
absurd	0	0	0	0	0	1	0	0	0	0	absid
absurdity	0	0	0	0	0	1	0	0	0	0	absurdite
abundance	0	1	1	0	1	1	1	0	0	1	abondans
abundant	0	0	0	0	1	0	1	0	0	0	abondan
abuse	1	0	1	1	0	1	0	1	0	0	abi
abutment	0	0	0	0	0	0	0	0	0	0	abutman
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
abyss	0	0	0	1	0	1	0	1	0	0	gwo twou san fon
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	aksede
accelerate	0	1	0	0	0	0	0	0	0	0	akselere
acceleration	0	0	0	0	0	0	0	0	0	0	akselerasyon
accent	0	0	0	0	0	0	0	0	0	0	aksan
accentuate	0	0	0	0	0	0	0	0	0	0	aksantye
accept	0	0	0	0	0	0	0	0	0	0	aksepte
acceptable	0	0	0	0	0	0	1	0	0	0	akseptab
acceptance	0	0	0	0	0	0	1	0	0	0	akseptasyon
access	0	0	0	0	0	0	0	0	0	0	aksè
accessible	0	0	0	0	0	0	1	0	0	0	aksesib
accession	0	0	0	0	0	0	0	0	0	0	asansyon
accessory	0	0	0	0	0	0	0	0	0	0	akseswar
accident	0	0	0	1	0	1	0	1	1	0	aksidan
accidental	0	0	0	1	0	1	0	0	1	0	aksidan
accidentally	0	0	0	0	0	0	0	0	1	0	aksidantèlman
accolade	0	1	0	0	1	0	1	0	1	1	felisitasyon
accommodate	0	0	0	0	0	0	0	0	0	0	akomode
accommodation	0	0	0	0	0	0	1	0	0	0	aranjman
accompaniment	0	1	0	0	1	0	1	0	0	1	akonpayman
accompany	0	0	0	0	0	0	0	0	0	0	akonpanye
accompanying	0	0	0	0	0	0	0	0	0	0	akonpaye
accomplice	0	0	0	0	0	0	0	0	0	0	konplis
accomplish	0	0	0	0	1	0	1	0	0	0	akonpli
accomplished	0	0	0	0	1	0	1	0	0	0	akonpli
accomplishment	0	0	0	0	0	0	1	0	0	0	akonplisman
accord	0	0	0	0	0	0	1	0	0	1	akò
accordance	0	0	0	0	0	0	0	0	0	0	akò
accordion	0	0	0	0	0	0	0	0	0	0	akòdeyon
account	0	0	0	0	0	0	0	0	0	1	kont
accountability	0	0	0	0	0	0	1	0	0	1	responsabilite
accountable	0	0	0	0	0	0	1	0	0	1	responsab
accountant	0	0	0	0	0	0	0	0	0	1	kontab
accounting	0	0	0	0	0	0	0	0	0	0	kontablite
accounts	0	0	0	0	0	0	0	0	0	1	kont
accredited	0	0	0	0	0	0	1	0	0	1	akredite
accretion	0	0	0	0	0	0	0	0	0	0	akresyon
accrue	0	0	0	0	0	0	0	0	0	0	akimile
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akimile
accumulation	0	0	0	0	0	0	0	0	0	0	akimilasyon
accuracy	0	0	0	0	0	0	0	0	0	0	presizyon
accurate	0	0	0	0	0	0	1	0	0	1	egzat
