English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hausa Word
aback	0	0	0	0	0	0	0	0	0	0	abin mamaki
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	watsi
abandoned	1	0	0	1	0	1	0	1	0	0	watsi
abandonment	1	0	0	1	0	1	0	1	1	0	watsi
abate	0	0	0	0	0	0	0	0	0	0	aba
abatement	0	0	0	0	0	0	0	0	0	0	ragewa
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	takaice
abbreviation	0	0	0	0	0	0	0	0	0	0	ragewa
abdomen	0	0	0	0	0	0	0	0	0	0	ciki
abdominal	0	0	0	0	0	0	0	0	0	0	ciki
abduction	0	0	0	1	0	1	0	1	1	0	sace
aberrant	0	0	0	0	0	1	0	0	0	0	ban tsoro
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	kyama
abhorrent	1	0	1	1	0	1	0	0	0	0	abin ƙyama
abide	0	0	0	0	0	0	0	0	0	0	bi
ability	0	0	0	0	0	0	1	0	0	0	iyawa
abject	0	0	1	0	0	1	0	0	0	0	zance
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	wuta
abnormal	0	0	1	0	0	1	0	0	0	0	na al'ada
aboard	0	0	0	0	0	0	0	0	0	0	a cikin jirgi
abode	0	0	0	0	0	0	0	0	0	0	mazauni
abolish	1	0	0	0	0	1	0	0	0	0	soke
abolition	0	0	0	0	0	1	0	0	0	0	shafewa
abominable	0	0	1	1	0	1	0	0	0	0	abin ƙyama
abomination	1	0	1	1	0	1	0	0	0	0	abin ƙyama
aboriginal	0	0	0	0	0	0	0	0	0	0	na asali
abort	0	0	0	0	0	1	0	0	0	0	zubar da ciki
abortion	0	0	1	1	0	1	0	1	0	0	zubar da ciki
abortive	0	0	0	0	0	1	0	1	0	0	zubar da ciki
abound	0	0	0	0	0	0	0	0	0	0	yawa
abovementioned	0	0	0	0	0	0	1	0	0	0	an ambata a sama
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	kasashen waje
abrogate	0	0	0	0	0	1	0	0	0	0	shafe
abrupt	0	0	0	0	0	0	0	0	1	0	kwatsam
abruptly	0	0	0	0	0	0	0	0	0	0	ba zato ba tsammani
abscess	0	0	0	0	0	1	0	1	0	0	kumburin ciki
absence	0	0	0	1	0	1	0	1	0	0	rashi
absent	0	0	0	0	0	1	0	1	0	0	ba ya nan
absentee	0	0	0	0	0	1	0	1	0	0	ba ya nan
absenteeism	0	0	0	0	0	1	0	0	0	0	rashin zuwa
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	cikakke
absolution	0	0	0	0	1	0	1	0	0	1	kawar da kai
absorbed	0	0	0	0	0	0	1	0	0	0	tsoma baki
absorbent	0	0	0	0	0	0	0	0	0	0	abin sha
absorbing	0	0	0	0	0	0	0	0	0	0	sha
absorption	0	0	0	0	0	0	0	0	0	0	sha
abstain	0	0	0	0	0	0	0	0	0	0	kauracewa
abstention	0	0	0	0	0	0	0	0	0	0	kaurace wa
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	zayyana
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	m
absurdity	0	0	0	0	0	1	0	0	0	0	rashin hankali
abundance	0	1	1	0	1	1	1	0	0	1	yawa
abundant	0	0	0	0	1	0	1	0	0	0	mai yawa
abuse	1	0	1	1	0	1	0	1	0	0	zagi
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	abi
abysmal	0	0	0	0	0	1	0	1	0	0	m
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	ilimi
academy	0	0	0	0	0	0	1	0	0	0	makarantar kimiyya
accede	0	0	0	0	0	0	0	0	0	0	yarda
accelerate	0	1	0	0	0	0	0	0	0	0	hanzarta
acceleration	0	0	0	0	0	0	0	0	0	0	hanzari
accent	0	0	0	0	0	0	0	0	0	0	lafazi
accentuate	0	0	0	0	0	0	0	0	0	0	jaddada
accept	0	0	0	0	0	0	0	0	0	0	karba
acceptable	0	0	0	0	0	0	1	0	0	0	m
acceptance	0	0	0	0	0	0	1	0	0	0	yarda
access	0	0	0	0	0	0	0	0	0	0	shiga
accessible	0	0	0	0	0	0	1	0	0	0	m
accession	0	0	0	0	0	0	0	0	0	0	shiga
accessory	0	0	0	0	0	0	0	0	0	0	kayan haɗi
accident	0	0	0	1	0	1	0	1	1	0	hadari
accidental	0	0	0	1	0	1	0	0	1	0	na bazata
accidentally	0	0	0	0	0	0	0	0	1	0	bazata
accolade	0	1	0	0	1	0	1	0	1	1	yabawa
accommodate	0	0	0	0	0	0	0	0	0	0	saukar da
accommodation	0	0	0	0	0	0	1	0	0	0	masauki
accompaniment	0	1	0	0	1	0	1	0	0	1	rakiyar
accompany	0	0	0	0	0	0	0	0	0	0	rakiyar
accompanying	0	0	0	0	0	0	0	0	0	0	rakiyar
accomplice	0	0	0	0	0	0	0	0	0	0	abokin tarayya
accomplish	0	0	0	0	1	0	1	0	0	0	cim ma
accomplished	0	0	0	0	1	0	1	0	0	0	cika
accomplishment	0	0	0	0	0	0	1	0	0	0	nasara
accord	0	0	0	0	0	0	1	0	0	1	yarda
accordance	0	0	0	0	0	0	0	0	0	0	daidai
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	asusu
accountability	0	0	0	0	0	0	1	0	0	1	lissafi
accountable	0	0	0	0	0	0	1	0	0	1	m
accountant	0	0	0	0	0	0	0	0	0	1	akawu
accounting	0	0	0	0	0	0	0	0	0	0	lissafin kudi
accounts	0	0	0	0	0	0	0	0	0	1	asusun
accredited	0	0	0	0	0	0	1	0	0	1	yarda
accretion	0	0	0	0	0	0	0	0	0	0	karuwa
accrue	0	0	0	0	0	0	0	0	0	0	tarawa
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	tara
accumulation	0	0	0	0	0	0	0	0	0	0	tarawa
accuracy	0	0	0	0	0	0	0	0	0	0	daidaito
accurate	0	0	0	0	0	0	1	0	0	1	m
accursed	1	0	0	1	0	1	0	1	0	0	la'ananne
accusation	1	0	1	0	0	1	0	0	0	0	zargi
accusative	0	0	0	0	0	1	0	0	0	0	m
accused	1	0	0	1	0	1	0	0	0	0	zargi
accuser	1	0	0	1	0	1	0	0	0	0	mai zargi
accusing	1	0	0	1	0	1	0	0	0	0	zargi
accustomed	0	0	0	0	0	0	0	0	0	0	saba
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	ciwo
achieve	0	0	0	0	1	0	1	0	0	1	cimma
achievement	0	1	0	0	1	0	1	0	0	1	nasara
aching	0	0	0	0	0	1	0	1	0	0	ciwo
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	yarda
acknowledged	0	0	0	0	0	0	0	0	0	0	yarda
acknowledgment	0	0	0	0	0	0	1	0	0	0	yarda
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	m
acoustics	0	0	0	0	0	0	0	0	0	0	wasan kwaikwayo
acquaint	0	0	0	0	0	0	0	0	0	0	saba
acquaintance	0	0	0	0	0	0	0	0	0	0	sani
acquainted	0	0	0	0	0	0	0	0	0	0	saba
acquiescence	0	0	0	0	0	0	0	0	0	0	yarda
acquire	0	0	0	0	0	0	1	0	0	0	samu
acquiring	0	1	0	0	0	0	1	0	0	0	samu
acquisition	0	0	0	0	0	0	0	0	0	0	samu
acquisitions	0	0	0	0	0	0	0	0	0	0	saye
acreage	0	0	0	0	0	0	0	0	0	0	kadada
acres	0	0	0	0	0	0	0	0	0	0	kadada
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	aiki
acting	0	0	0	0	0	0	0	0	0	0	yin aiki
action	0	0	0	0	0	0	1	0	0	0	aiki
actionable	1	0	1	0	0	1	0	0	0	0	m
active	0	0	0	0	0	0	0	0	0	0	aiki
activity	0	0	0	0	0	0	0	0	0	0	aiki
actor	0	0	0	0	0	0	0	0	0	0	ɗan wasan kwaikwayo
actual	0	0	0	0	0	0	1	0	0	0	ainihin
actuality	0	0	0	0	0	0	0	0	0	0	gaskiya
actuary	0	0	0	0	0	0	0	0	0	0	aiki
acuity	0	0	0	0	0	0	1	0	0	0	m
acumen	0	0	0	0	0	0	1	0	0	0	fahimta
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	sosai
adage	0	0	0	0	0	0	0	0	0	0	magana
adamant	0	0	0	0	0	0	0	0	0	0	m
adapt	0	0	0	0	0	0	1	0	0	0	daidaita
adaptable	0	0	0	0	0	0	1	0	0	0	daidaitacce
add	0	0	0	0	0	0	0	0	0	0	ƙara
added	0	0	0	0	0	0	0	0	0	0	kara da cewa
addendum	0	0	0	0	0	0	0	0	0	0	ƙari
adder	1	0	1	1	0	1	0	1	0	0	ƙara
addiction	0	0	0	0	0	1	0	0	0	0	jaraba
addition	0	0	0	0	0	0	0	0	0	0	kari
additional	0	0	0	0	0	0	0	0	0	0	ƙari
additive	0	0	0	0	0	0	0	0	0	0	ƙari
address	0	0	0	0	0	0	0	0	0	0	adireshin
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	adireshi
adept	0	0	0	0	0	0	1	0	0	0	m
adequacy	0	0	0	0	0	0	1	0	0	0	dacewa
adequate	0	0	0	0	0	0	0	0	0	0	isasshe
adhere	0	0	0	0	0	0	0	0	0	0	bi
adherence	0	0	0	0	0	0	0	0	0	0	riko
adherent	0	0	0	0	0	0	0	0	0	0	m
adhering	0	0	0	0	0	0	0	0	0	1	jingina
adhesion	0	0	0	0	0	0	0	0	0	0	mannewa
adhesive	0	0	0	0	0	0	0	0	0	0	m
adieu	0	0	0	0	0	0	0	0	0	0	adiyu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	kusanci
adjacent	0	0	0	0	0	0	0	0	0	0	m
adjective	0	0	0	0	0	0	0	0	0	0	siffa
adjoining	0	0	0	0	0	0	0	0	0	0	m
adjourn	0	0	0	0	0	0	0	0	0	0	dage zaman
adjournment	0	0	0	0	0	0	0	0	0	0	dage zaman
adjudicate	0	0	0	1	0	1	0	0	0	0	yanke hukunci
adjudication	0	0	0	0	0	0	0	0	0	0	hukunci
adjunct	0	0	0	0	0	0	1	0	0	0	hadewa
adjust	0	0	0	0	0	0	0	0	0	0	daidaita
adjustment	0	0	0	0	0	0	0	0	0	0	daidaitawa
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	gudanarwa
administration	0	0	0	0	0	0	0	0	0	0	gudanarwa
administrative	0	0	0	0	0	0	0	0	0	1	gudanarwa
admirable	0	0	0	0	1	0	1	0	0	1	abin sha'awa
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	sha'awa
admire	0	0	0	0	0	0	1	0	0	1	sha'awa
admirer	0	0	0	0	0	0	1	0	0	0	mai sha'awa
admissibility	0	0	0	0	0	0	0	0	0	0	yarda
admissible	0	0	0	0	0	0	1	0	0	1	m
admission	0	0	0	0	0	0	0	0	0	0	shiga
admit	0	0	0	0	0	0	0	0	0	0	shigar
admittance	0	0	0	0	0	0	0	0	0	0	shigar
admitted	0	0	0	0	0	0	0	0	0	0	shigar
admitting	0	0	0	0	0	0	0	0	0	0	shigar
admixture	0	0	0	0	0	0	0	0	0	0	admixture
admonition	0	0	0	1	0	1	0	0	0	0	nasiha
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	samartaka
adolescent	0	0	0	0	0	0	0	0	0	0	matashi
adopt	0	0	0	0	0	0	0	0	0	0	dauko
adoption	0	0	0	0	0	0	0	0	0	0	tallafi
adorable	0	0	0	0	1	0	1	0	0	0	kyakkyawa
adoration	0	0	0	0	1	0	1	0	0	1	ado
adore	0	1	0	0	1	0	1	0	0	1	kauna
adorn	0	0	0	0	0	0	0	0	0	0	ƙawata
adornment	0	0	0	0	0	0	0	0	0	0	ado
adrift	0	1	0	1	0	1	0	1	0	0	gangara
adult	0	0	0	0	0	0	0	0	0	0	babba
adulterated	0	0	0	0	0	1	0	0	0	0	lalata
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	gaba
advanced	0	0	0	0	0	0	1	0	0	0	ci gaba
advancement	0	0	0	0	0	0	1	0	0	0	ci gaba
