English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hawaiian Word
aback	0	0	0	0	0	0	0	0	0	0	kahaha
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	haalele
abandoned	1	0	0	1	0	1	0	1	0	0	haʻalele ʻia
abandonment	1	0	0	1	0	1	0	1	1	0	haʻalele
abate	0	0	0	0	0	0	0	0	0	0	e emi ana
abatement	0	0	0	0	0	0	0	0	0	0	hoʻemi
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	ʻAbota
abbreviate	0	0	0	0	0	0	0	0	0	0	pōkole
abbreviation	0	0	0	0	0	0	0	0	0	0	pōkole
abdomen	0	0	0	0	0	0	0	0	0	0	ʻōpū
abdominal	0	0	0	0	0	0	0	0	0	0	ʻōpū
abduction	0	0	0	1	0	1	0	1	1	0	ʻaihue
aberrant	0	0	0	0	0	1	0	0	0	0	kuewa
aberration	0	0	1	0	0	1	0	0	0	0	kuhi hewa
abeyance	0	0	0	0	0	0	0	0	0	0	hoʻohalahala
abhor	1	0	1	1	0	1	0	0	0	0	hoʻopailua
abhorrent	1	0	1	1	0	1	0	0	0	0	hoʻopailua
abide	0	0	0	0	0	0	0	0	0	0	noho
ability	0	0	0	0	0	0	1	0	0	0	hiki
abject	0	0	1	0	0	1	0	0	0	0	hoʻowahāwahā
ablation	0	0	0	0	0	0	0	0	0	0	ʻokiʻoki
ablaze	0	0	0	0	0	0	0	0	0	0	ahi ahi
abnormal	0	0	1	0	0	1	0	0	0	0	anoe
aboard	0	0	0	0	0	0	0	0	0	0	ma luna o ka moku
abode	0	0	0	0	0	0	0	0	0	0	noho
abolish	1	0	0	0	0	1	0	0	0	0	e hoopau
abolition	0	0	0	0	0	1	0	0	0	0	ka hoopau ana
abominable	0	0	1	1	0	1	0	0	0	0	hoowahawaha
abomination	1	0	1	1	0	1	0	0	0	0	hoʻopailua
aboriginal	0	0	0	0	0	0	0	0	0	0	ʻōiwi
abort	0	0	0	0	0	1	0	0	0	0	hoʻopaʻa keiki
abortion	0	0	1	1	0	1	0	1	0	0	hoʻopaʻa keiki
abortive	0	0	0	0	0	1	0	1	0	0	hoʻohāʻule
abound	0	0	0	0	0	0	0	0	0	0	nui
abovementioned	0	0	0	0	0	0	1	0	0	0	luna i oleloia
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	ma na aina e
abrogate	0	0	0	0	0	1	0	0	0	0	e hoopau
abrupt	0	0	0	0	0	0	0	0	1	0	hikiwawe
abruptly	0	0	0	0	0	0	0	0	0	0	hikiwawe
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	nele
absent	0	0	0	0	0	1	0	1	0	0	kaawale
absentee	0	0	0	0	0	1	0	1	0	0	kaawale
absenteeism	0	0	0	0	0	1	0	0	0	0	hele ʻole
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	paa loa
absolution	0	0	0	0	1	0	1	0	0	1	kala ʻana
absorbed	0	0	0	0	0	0	1	0	0	0	hoʻopili ʻia
absorbent	0	0	0	0	0	0	0	0	0	0	hoʻopaneʻe
absorbing	0	0	0	0	0	0	0	0	0	0	omo ana
