English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hebrew Word
aback	0	0	0	0	0	0	0	0	0	0	המום
abacus	0	0	0	0	0	0	0	0	0	1	אַבַּקוּס
abandon	0	0	0	1	0	1	0	1	0	0	לִנְטוֹשׁ
abandoned	1	0	0	1	0	1	0	1	0	0	נָטוּשׁ
abandonment	1	0	0	1	0	1	0	1	1	0	נְטִישָׁה
abate	0	0	0	0	0	0	0	0	0	0	לְשַׁכֵּך
abatement	0	0	0	0	0	0	0	0	0	0	הַפחָתָה
abba	0	0	0	0	0	0	1	0	0	0	אבא
abbot	0	0	0	0	0	0	0	0	0	1	רֹאשׁ מִנזָר
abbreviate	0	0	0	0	0	0	0	0	0	0	לְקַצֵר
abbreviation	0	0	0	0	0	0	0	0	0	0	נוֹטָרִיקוֹן
abdomen	0	0	0	0	0	0	0	0	0	0	בֶּטֶן
abdominal	0	0	0	0	0	0	0	0	0	0	בִּטנִי
abduction	0	0	0	1	0	1	0	1	1	0	חֲטִיפָה
aberrant	0	0	0	0	0	1	0	0	0	0	סוֹטֶה
aberration	0	0	1	0	0	1	0	0	0	0	סְטִיָה
abeyance	0	0	0	0	0	0	0	0	0	0	מבוי סתום
abhor	1	0	1	1	0	1	0	0	0	0	לְתַעֵב
abhorrent	1	0	1	1	0	1	0	0	0	0	שָׂנוּא
abide	0	0	0	0	0	0	0	0	0	0	לעמוד
ability	0	0	0	0	0	0	1	0	0	0	יְכוֹלֶת
abject	0	0	1	0	0	1	0	0	0	0	בָּזוּי
ablation	0	0	0	0	0	0	0	0	0	0	כְּרִיתָה
ablaze	0	0	0	0	0	0	0	0	0	0	בָּאֵשׁ
abnormal	0	0	1	0	0	1	0	0	0	0	לֹא נוֹרמָלִי
aboard	0	0	0	0	0	0	0	0	0	0	חוץ לארץ
abode	0	0	0	0	0	0	0	0	0	0	מָקוֹם
abolish	1	0	0	0	0	1	0	0	0	0	לְבַטֵל
abolition	0	0	0	0	0	1	0	0	0	0	ביטול
abominable	0	0	1	1	0	1	0	0	0	0	מְתוֹעָב
abomination	1	0	1	1	0	1	0	0	0	0	תוֹעֵבָה
aboriginal	0	0	0	0	0	0	0	0	0	0	קַדמוֹן
abort	0	0	0	0	0	1	0	0	0	0	לְהַפִּיל
abortion	0	0	1	1	0	1	0	1	0	0	הפלה
abortive	0	0	0	0	0	1	0	1	0	0	כּוֹשֵׁל
abound	0	0	0	0	0	0	0	0	0	0	בשפע
abovementioned	0	0	0	0	0	0	1	0	0	0	לְעֵיל
abrasion	0	0	0	0	0	1	0	0	0	0	שְׁחִיקָה
abroad	0	0	0	0	0	0	0	0	0	0	מחוץ לארץ
abrogate	0	0	0	0	0	1	0	0	0	0	לבטל
abrupt	0	0	0	0	0	0	0	0	1	0	פִּתְאוֹמִי
abruptly	0	0	0	0	0	0	0	0	0	0	פִּתְאוֹם
abscess	0	0	0	0	0	1	0	1	0	0	מוּרְסָה
absence	0	0	0	1	0	1	0	1	0	0	הֶעְדֵר
absent	0	0	0	0	0	1	0	1	0	0	נֶעדָר
absentee	0	0	0	0	0	1	0	1	0	0	נִפקָד
absenteeism	0	0	0	0	0	1	0	0	0	0	הֵעָדְרוּת
absinthe	0	0	0	0	0	0	0	0	0	0	אַבְּסִינְתְ
absolute	0	0	0	0	0	0	1	0	0	0	מוּחלָט
absolution	0	0	0	0	1	0	1	0	0	1	מְחִילָה
absorbed	0	0	0	0	0	0	1	0	0	0	ספג
absorbent	0	0	0	0	0	0	0	0	0	0	סוֹפֵג
absorbing	0	0	0	0	0	0	0	0	0	0	מְרַתֵק
absorption	0	0	0	0	0	0	0	0	0	0	קְלִיטָה
abstain	0	0	0	0	0	0	0	0	0	0	לְהִתְנַזֵר
abstention	0	0	0	0	0	0	0	0	0	0	הִתנַזְרוּת
abstinence	0	0	0	0	0	0	0	0	0	0	פְּרִישׁוּת
abstract	0	0	0	0	0	0	0	0	0	0	תַקצִיר
abstraction	0	0	0	0	0	0	0	0	0	0	הַפשָׁטָה
absurd	0	0	0	0	0	1	0	0	0	0	אַבּסוּרדִי
absurdity	0	0	0	0	0	1	0	0	0	0	אַבּסוּרדִיוּת
abundance	0	1	1	0	1	1	1	0	0	1	שפע
abundant	0	0	0	0	1	0	1	0	0	0	שׁוֹפֵעַ
abuse	1	0	1	1	0	1	0	1	0	0	התעללות
abutment	0	0	0	0	0	0	0	0	0	0	סמוך
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	תְהוֹמִי
abyss	0	0	0	1	0	1	0	1	0	0	תהום
academic	0	0	0	0	0	0	1	0	0	1	אקדמי
academy	0	0	0	0	0	0	1	0	0	0	אֲקָדֶמִיָה
accede	0	0	0	0	0	0	0	0	0	0	לְהַסכִּים
accelerate	0	1	0	0	0	0	0	0	0	0	להאיץ
acceleration	0	0	0	0	0	0	0	0	0	0	תְאוּצָה
accent	0	0	0	0	0	0	0	0	0	0	מִבטָא
accentuate	0	0	0	0	0	0	0	0	0	0	לְהַדגִישׁ
accept	0	0	0	0	0	0	0	0	0	0	לְקַבֵּל
acceptable	0	0	0	0	0	0	1	0	0	0	קָבִיל
acceptance	0	0	0	0	0	0	1	0	0	0	קַבָּלָה
access	0	0	0	0	0	0	0	0	0	0	גִישָׁה
accessible	0	0	0	0	0	0	1	0	0	0	נגיש
accession	0	0	0	0	0	0	0	0	0	0	הִצטָרְפוּת
accessory	0	0	0	0	0	0	0	0	0	0	אבזר
accident	0	0	0	1	0	1	0	1	1	0	תְאוּנָה
accidental	0	0	0	1	0	1	0	0	1	0	מִקרִי
accidentally	0	0	0	0	0	0	0	0	1	0	בטעות
accolade	0	1	0	0	1	0	1	0	1	1	לשבח
accommodate	0	0	0	0	0	0	0	0	0	0	להתאים
accommodation	0	0	0	0	0	0	1	0	0	0	דִיוּר
accompaniment	0	1	0	0	1	0	1	0	0	1	לִוּוּי
accompany	0	0	0	0	0	0	0	0	0	0	ללוות
accompanying	0	0	0	0	0	0	0	0	0	0	מתלווה
accomplice	0	0	0	0	0	0	0	0	0	0	שׁוּתָף
accomplish	0	0	0	0	1	0	1	0	0	0	לְהַשִׂיג
accomplished	0	0	0	0	1	0	1	0	0	0	השיג
accomplishment	0	0	0	0	0	0	1	0	0	0	הישג
accord	0	0	0	0	0	0	1	0	0	1	הֶסכֵּם
accordance	0	0	0	0	0	0	0	0	0	0	בהתאם
