English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hindi Word
aback	0	0	0	0	0	0	0	0	0	0	अचंभे
abacus	0	0	0	0	0	0	0	0	0	1	अबेकस
abandon	0	0	0	1	0	1	0	1	0	0	छोड़ देना
abandoned	1	0	0	1	0	1	0	1	0	0	त्यागा हुआ
abandonment	1	0	0	1	0	1	0	1	1	0	संन्यास
abate	0	0	0	0	0	0	0	0	0	0	रोक-थाम करना
abatement	0	0	0	0	0	0	0	0	0	0	उपशमन
abba	0	0	0	0	0	0	1	0	0	0	अब्बा
abbot	0	0	0	0	0	0	0	0	0	1	मठाधीश
abbreviate	0	0	0	0	0	0	0	0	0	0	संक्षिप्त
abbreviation	0	0	0	0	0	0	0	0	0	0	संक्षेपाक्षर
abdomen	0	0	0	0	0	0	0	0	0	0	पेट
abdominal	0	0	0	0	0	0	0	0	0	0	पेट
abduction	0	0	0	1	0	1	0	1	1	0	अपहरण
aberrant	0	0	0	0	0	1	0	0	0	0	धर्मपथ से हटनेवाला
aberration	0	0	1	0	0	1	0	0	0	0	विपथन
abeyance	0	0	0	0	0	0	0	0	0	0	ठहराव
abhor	1	0	1	1	0	1	0	0	0	0	घृणा करना
abhorrent	1	0	1	1	0	1	0	0	0	0	घिनौना
abide	0	0	0	0	0	0	0	0	0	0	पालन करना
ability	0	0	0	0	0	0	1	0	0	0	योग्यता
abject	0	0	1	0	0	1	0	0	0	0	अधम
ablation	0	0	0	0	0	0	0	0	0	0	पृथक करना
ablaze	0	0	0	0	0	0	0	0	0	0	जलता हुआ
abnormal	0	0	1	0	0	1	0	0	0	0	असामान्य
aboard	0	0	0	0	0	0	0	0	0	0	समीप
abode	0	0	0	0	0	0	0	0	0	0	निवास
abolish	1	0	0	0	0	1	0	0	0	0	समाप्त करना
abolition	0	0	0	0	0	1	0	0	0	0	उन्मूलन
abominable	0	0	1	1	0	1	0	0	0	0	घिनौना
abomination	1	0	1	1	0	1	0	0	0	0	नफरत
aboriginal	0	0	0	0	0	0	0	0	0	0	आदिवासी
abort	0	0	0	0	0	1	0	0	0	0	बीच में बंद करें
abortion	0	0	1	1	0	1	0	1	0	0	गर्भपात
abortive	0	0	0	0	0	1	0	1	0	0	निष्फल
abound	0	0	0	0	0	0	0	0	0	0	लाजिमी
abovementioned	0	0	0	0	0	0	1	0	0	0	उपरोक्त
abrasion	0	0	0	0	0	1	0	0	0	0	घर्षण
abroad	0	0	0	0	0	0	0	0	0	0	विदेश
abrogate	0	0	0	0	0	1	0	0	0	0	अभिनिषेध करना
abrupt	0	0	0	0	0	0	0	0	1	0	आकस्मिक
abruptly	0	0	0	0	0	0	0	0	0	0	एकाएक
abscess	0	0	0	0	0	1	0	1	0	0	फोड़ा
absence	0	0	0	1	0	1	0	1	0	0	अनुपस्थिति
absent	0	0	0	0	0	1	0	1	0	0	अनुपस्थित
absentee	0	0	0	0	0	1	0	1	0	0	अनुपस्थित होनेवाला
absenteeism	0	0	0	0	0	1	0	0	0	0	कार्य से अनुपस्थित होना
