English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hmong Word
aback	0	0	0	0	0	0	0	0	0	0	poob siab
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	tso tseg
abandoned	1	0	0	1	0	1	0	1	0	0	tso tseg
abandonment	1	0	0	1	0	1	0	1	1	0	kev tso tseg
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	txo qis
abba	0	0	0	0	0	0	1	0	0	0	abba ua
abbot	0	0	0	0	0	0	0	0	0	1	tus thawj tswj hwm
abbreviate	0	0	0	0	0	0	0	0	0	0	luv luv
abbreviation	0	0	0	0	0	0	0	0	0	0	luv luv
abdomen	0	0	0	0	0	0	0	0	0	0	plab
abdominal	0	0	0	0	0	0	0	0	0	0	plab
abduction	0	0	0	1	0	1	0	1	1	0	kev nyiag
aberrant	0	0	0	0	0	1	0	0	0	0	tsis ncaj ncees lawm
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	kev ua txhaum
abhor	1	0	1	1	0	1	0	0	0	0	ntxub
abhorrent	1	0	1	1	0	1	0	0	0	0	ntxub
abide	0	0	0	0	0	0	0	0	0	0	nyob
ability	0	0	0	0	0	0	1	0	0	0	muaj peev xwm
abject	0	0	1	0	0	1	0	0	0	0	ua tsis ncaj
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	tawg
abnormal	0	0	1	0	0	1	0	0	0	0	txawv txav
aboard	0	0	0	0	0	0	0	0	0	0	nkoj
abode	0	0	0	0	0	0	0	0	0	0	nyob
abolish	1	0	0	0	0	1	0	0	0	0	tshem tawm
abolition	0	0	0	0	0	1	0	0	0	0	kev tshem tawm
abominable	0	0	1	1	0	1	0	0	0	0	qias neeg
abomination	1	0	1	1	0	1	0	0	0	0	kev qias
aboriginal	0	0	0	0	0	0	0	0	0	0	neeg aboriginal
abort	0	0	0	0	0	1	0	0	0	0	rho menyuam
abortion	0	0	1	1	0	1	0	1	0	0	rho menyuam
abortive	0	0	0	0	0	1	0	1	0	0	rho menyuam
abound	0	0	0	0	0	0	0	0	0	0	muaj ntau
abovementioned	0	0	0	0	0	0	1	0	0	0	hais saum toj no
abrasion	0	0	0	0	0	1	0	0	0	0	puas
abroad	0	0	0	0	0	0	0	0	0	0	txawv teb chaws
abrogate	0	0	0	0	0	1	0	0	0	0	tshem tawm
abrupt	0	0	0	0	0	0	0	0	1	0	sai sai
abruptly	0	0	0	0	0	0	0	0	0	0	sai li sai tau
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	tsis muaj
absent	0	0	0	0	0	1	0	1	0	0	tsis tuaj
absentee	0	0	0	0	0	1	0	1	0	0	tsis tuaj
absenteeism	0	0	0	0	0	1	0	0	0	0	kev tsis tuaj kawm ntawv
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	kiag li
absolution	0	0	0	0	1	0	1	0	0	1	kev tshem tawm
absorbed	0	0	0	0	0	0	1	0	0	0	nqus tau
absorbent	0	0	0	0	0	0	0	0	0	0	nqus tau
absorbing	0	0	0	0	0	0	0	0	0	0	nqus tau
absorption	0	0	0	0	0	0	0	0	0	0	nqus
abstain	0	0	0	0	0	0	0	0	0	0	zam txim
abstention	0	0	0	0	0	0	0	0	0	0	tsis quav ntsej
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	kev tsis txaus ntseeg
abundance	0	1	1	0	1	1	1	0	0	1	kev nplua nuj
