English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hungarian Word
aback	0	0	0	0	0	0	0	0	0	0	elképedve
abacus	0	0	0	0	0	0	0	0	0	1	golyós számológép
abandon	0	0	0	1	0	1	0	1	0	0	elhagyott
abandoned	1	0	0	1	0	1	0	1	0	0	elhagyatott
abandonment	1	0	0	1	0	1	0	1	1	0	lemondás
abate	0	0	0	0	0	0	0	0	0	0	alábbhagy
abatement	0	0	0	0	0	0	0	0	0	0	Elhárítás
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	apát
abbreviate	0	0	0	0	0	0	0	0	0	0	rövidíteni
abbreviation	0	0	0	0	0	0	0	0	0	0	rövidítés
abdomen	0	0	0	0	0	0	0	0	0	0	has
abdominal	0	0	0	0	0	0	0	0	0	0	hasi
abduction	0	0	0	1	0	1	0	1	1	0	emberrablás
aberrant	0	0	0	0	0	1	0	0	0	0	aberrált
aberration	0	0	1	0	0	1	0	0	0	0	aberráció
abeyance	0	0	0	0	0	0	0	0	0	0	felfüggesztve
abhor	1	0	1	1	0	1	0	0	0	0	gyűlöl
abhorrent	1	0	1	1	0	1	0	0	0	0	utálatos
abide	0	0	0	0	0	0	0	0	0	0	betartani
ability	0	0	0	0	0	0	1	0	0	0	képesség
abject	0	0	1	0	0	1	0	0	0	0	siralmas
ablation	0	0	0	0	0	0	0	0	0	0	abláció
ablaze	0	0	0	0	0	0	0	0	0	0	lángoló
abnormal	0	0	1	0	0	1	0	0	0	0	rendellenes
aboard	0	0	0	0	0	0	0	0	0	0	fedélzeten
abode	0	0	0	0	0	0	0	0	0	0	lakóhely
abolish	1	0	0	0	0	1	0	0	0	0	megszüntetni
abolition	0	0	0	0	0	1	0	0	0	0	megszüntetése
abominable	0	0	1	1	0	1	0	0	0	0	utálatos
abomination	1	0	1	1	0	1	0	0	0	0	utálatos
aboriginal	0	0	0	0	0	0	0	0	0	0	bennszülött
abort	0	0	0	0	0	1	0	0	0	0	elvetél
abortion	0	0	1	1	0	1	0	1	0	0	abortusz
abortive	0	0	0	0	0	1	0	1	0	0	sikertelen
abound	0	0	0	0	0	0	0	0	0	0	bővelkedik
abovementioned	0	0	0	0	0	0	1	0	0	0	fent említett
abrasion	0	0	0	0	0	1	0	0	0	0	kopás
abroad	0	0	0	0	0	0	0	0	0	0	külföldön
abrogate	0	0	0	0	0	1	0	0	0	0	eltörölni
abrupt	0	0	0	0	0	0	0	0	1	0	hirtelen
abruptly	0	0	0	0	0	0	0	0	0	0	hirtelen
abscess	0	0	0	0	0	1	0	1	0	0	tályog
absence	0	0	0	1	0	1	0	1	0	0	hiány
absent	0	0	0	0	0	1	0	1	0	0	hiányzó
absentee	0	0	0	0	0	1	0	1	0	0	távollévő
absenteeism	0	0	0	0	0	1	0	0	0	0	hiányzás
absinthe	0	0	0	0	0	0	0	0	0	0	abszint
absolute	0	0	0	0	0	0	1	0	0	0	abszolút
absolution	0	0	0	0	1	0	1	0	0	1	feloldozás
absorbed	0	0	0	0	0	0	1	0	0	0	elnyelt
absorbent	0	0	0	0	0	0	0	0	0	0	nedvszívó
absorbing	0	0	0	0	0	0	0	0	0	0	elnyelő
absorption	0	0	0	0	0	0	0	0	0	0	abszorpció
abstain	0	0	0	0	0	0	0	0	0	0	tartózkodni
abstention	0	0	0	0	0	0	0	0	0	0	tartózkodás
abstinence	0	0	0	0	0	0	0	0	0	0	önmegtartóztatás
abstract	0	0	0	0	0	0	0	0	0	0	absztrakt
abstraction	0	0	0	0	0	0	0	0	0	0	absztrakció
absurd	0	0	0	0	0	1	0	0	0	0	abszurd
absurdity	0	0	0	0	0	1	0	0	0	0	képtelenség
abundance	0	1	1	0	1	1	1	0	0	1	bőség
abundant	0	0	0	0	1	0	1	0	0	0	bőséges
abuse	1	0	1	1	0	1	0	1	0	0	visszaélés
abutment	0	0	0	0	0	0	0	0	0	0	felépítmény
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	feneketlen
abyss	0	0	0	1	0	1	0	1	0	0	szakadék
academic	0	0	0	0	0	0	1	0	0	1	akadémiai
academy	0	0	0	0	0	0	1	0	0	0	akadémia
accede	0	0	0	0	0	0	0	0	0	0	csatlakozni
accelerate	0	1	0	0	0	0	0	0	0	0	felgyorsítani
acceleration	0	0	0	0	0	0	0	0	0	0	gyorsulás
accent	0	0	0	0	0	0	0	0	0	0	hangsúly
accentuate	0	0	0	0	0	0	0	0	0	0	hangsúlyozzák
accept	0	0	0	0	0	0	0	0	0	0	elfogad
acceptable	0	0	0	0	0	0	1	0	0	0	elfogadható
acceptance	0	0	0	0	0	0	1	0	0	0	elfogadás
access	0	0	0	0	0	0	0	0	0	0	hozzáférés
accessible	0	0	0	0	0	0	1	0	0	0	hozzáférhető
accession	0	0	0	0	0	0	0	0	0	0	csatlakozás
accessory	0	0	0	0	0	0	0	0	0	0	tartozék
accident	0	0	0	1	0	1	0	1	1	0	baleset
accidental	0	0	0	1	0	1	0	0	1	0	véletlen
accidentally	0	0	0	0	0	0	0	0	1	0	véletlenül
accolade	0	1	0	0	1	0	1	0	1	1	elismerés
accommodate	0	0	0	0	0	0	0	0	0	0	befogadni
accommodation	0	0	0	0	0	0	1	0	0	0	szállás
accompaniment	0	1	0	0	1	0	1	0	0	1	kíséret
accompany	0	0	0	0	0	0	0	0	0	0	kísérni
accompanying	0	0	0	0	0	0	0	0	0	0	kísérő
accomplice	0	0	0	0	0	0	0	0	0	0	bűnrészes
accomplish	0	0	0	0	1	0	1	0	0	0	megvalósítani, végrahajt
accomplished	0	0	0	0	1	0	1	0	0	0	teljesítve
accomplishment	0	0	0	0	0	0	1	0	0	0	teljesítmény
accord	0	0	0	0	0	0	1	0	0	1	egyetértésben
accordance	0	0	0	0	0	0	0	0	0	0	összhangban
accordion	0	0	0	0	0	0	0	0	0	0	harmonika
account	0	0	0	0	0	0	0	0	0	1	fiókot
accountability	0	0	0	0	0	0	1	0	0	1	elszámoltathatóság
accountable	0	0	0	0	0	0	1	0	0	1	felelős
accountant	0	0	0	0	0	0	0	0	0	1	Könyvelő
accounting	0	0	0	0	0	0	0	0	0	0	könyvelés
accounts	0	0	0	0	0	0	0	0	0	1	fiókok
accredited	0	0	0	0	0	0	1	0	0	1	meghatalmazott
accretion	0	0	0	0	0	0	0	0	0	0	növekedés
accrue	0	0	0	0	0	0	0	0	0	0	felhalmozódnak
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	felhalmozódnak
accumulation	0	0	0	0	0	0	0	0	0	0	felhalmozódás
accuracy	0	0	0	0	0	0	0	0	0	0	pontosság
accurate	0	0	0	0	0	0	1	0	0	1	pontos
accursed	1	0	0	1	0	1	0	1	0	0	elátkozott
accusation	1	0	1	0	0	1	0	0	0	0	vád
accusative	0	0	0	0	0	1	0	0	0	0	tárgyeset
accused	1	0	0	1	0	1	0	0	0	0	vádlott
accuser	1	0	0	1	0	1	0	0	0	0	vádló
accusing	1	0	0	1	0	1	0	0	0	0	vádló
accustomed	0	0	0	0	0	0	0	0	0	0	hozzászokott
ace	0	0	0	0	0	0	1	0	0	0	ász
acetic	0	0	0	0	0	0	0	0	0	0	ecetsav
ache	0	0	0	0	0	1	0	1	0	0	fájdalom
achieve	0	0	0	0	1	0	1	0	0	1	elérni
achievement	0	1	0	0	1	0	1	0	0	1	teljesítmény
aching	0	0	0	0	0	1	0	1	0	0	fájó
acid	0	0	0	0	0	1	0	0	0	0	sav
acidity	0	0	0	0	0	0	0	0	0	0	savasság
acknowledge	0	0	0	0	0	0	0	0	0	0	elismerni
acknowledged	0	0	0	0	0	0	0	0	0	0	elismert
acknowledgment	0	0	0	0	0	0	1	0	0	0	elismerés
acme	0	0	0	0	0	0	0	0	0	0	csúcspont
acoustic	0	0	0	0	0	0	0	0	0	0	akusztikus
acoustics	0	0	0	0	0	0	0	0	0	0	akusztika
acquaint	0	0	0	0	0	0	0	0	0	0	megismertet
acquaintance	0	0	0	0	0	0	0	0	0	0	ismerős
acquainted	0	0	0	0	0	0	0	0	0	0	ismerkedtek
acquiescence	0	0	0	0	0	0	0	0	0	0	belenyugvás
acquire	0	0	0	0	0	0	1	0	0	0	szerez
acquiring	0	1	0	0	0	0	1	0	0	0	megszerzése
acquisition	0	0	0	0	0	0	0	0	0	0	beszerzés
acquisitions	0	0	0	0	0	0	0	0	0	0	beszerzések
acreage	0	0	0	0	0	0	0	0	0	0	vetésterület
acres	0	0	0	0	0	0	0	0	0	0	hektáron
acrobat	0	0	0	1	1	0	1	0	0	1	akrobata
