English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Icelandic Word
aback	0	0	0	0	0	0	0	0	0	0	undrandi
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	að segja skilið við
abandoned	1	0	0	1	0	1	0	1	0	0	yfirgefinn
abandonment	1	0	0	1	0	1	0	1	1	0	yfirgefa
abate	0	0	0	0	0	0	0	0	0	0	draga úr
abatement	0	0	0	0	0	0	0	0	0	0	lækkun
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	ábóti
abbreviate	0	0	0	0	0	0	0	0	0	0	stytta
abbreviation	0	0	0	0	0	0	0	0	0	0	skammstöfun
abdomen	0	0	0	0	0	0	0	0	0	0	kvið
abdominal	0	0	0	0	0	0	0	0	0	0	kvið
abduction	0	0	0	1	0	1	0	1	1	0	brottnám
aberrant	0	0	0	0	0	1	0	0	0	0	afbrigðilegt
aberration	0	0	1	0	0	1	0	0	0	0	frávik
abeyance	0	0	0	0	0	0	0	0	0	0	þráhyggja
abhor	1	0	1	1	0	1	0	0	0	0	andstyggð
abhorrent	1	0	1	1	0	1	0	0	0	0	viðbjóðslegur
abide	0	0	0	0	0	0	0	0	0	0	standast
ability	0	0	0	0	0	0	1	0	0	0	getu
abject	0	0	1	0	0	1	0	0	0	0	ömurlegt
ablation	0	0	0	0	0	0	0	0	0	0	brottnám
ablaze	0	0	0	0	0	0	0	0	0	0	loga
abnormal	0	0	1	0	0	1	0	0	0	0	óeðlilegt
aboard	0	0	0	0	0	0	0	0	0	0	um borð
abode	0	0	0	0	0	0	0	0	0	0	aðsetur
abolish	1	0	0	0	0	1	0	0	0	0	afnema
abolition	0	0	0	0	0	1	0	0	0	0	afnám
abominable	0	0	1	1	0	1	0	0	0	0	viðurstyggilegur
abomination	1	0	1	1	0	1	0	0	0	0	viðurstyggð
aboriginal	0	0	0	0	0	0	0	0	0	0	frumbyggja
abort	0	0	0	0	0	1	0	0	0	0	hætta
abortion	0	0	1	1	0	1	0	1	0	0	fóstureyðingu
abortive	0	0	0	0	0	1	0	1	0	0	fóstureyðing
abound	0	0	0	0	0	0	0	0	0	0	nóg
abovementioned	0	0	0	0	0	0	1	0	0	0	fyrrnefndur
abrasion	0	0	0	0	0	1	0	0	0	0	núningi
abroad	0	0	0	0	0	0	0	0	0	0	erlendis
abrogate	0	0	0	0	0	1	0	0	0	0	fella niður
abrupt	0	0	0	0	0	0	0	0	1	0	skyndilega
abruptly	0	0	0	0	0	0	0	0	0	0	skyndilega
abscess	0	0	0	0	0	1	0	1	0	0	ígerð
absence	0	0	0	1	0	1	0	1	0	0	fjarveru
absent	0	0	0	0	0	1	0	1	0	0	fjarverandi
absentee	0	0	0	0	0	1	0	1	0	0	fjarverandi
absenteeism	0	0	0	0	0	1	0	0	0	0	fjarvistir
absinthe	0	0	0	0	0	0	0	0	0	0	absinth
absolute	0	0	0	0	0	0	1	0	0	0	alger
absolution	0	0	0	0	1	0	1	0	0	1	aflausn
absorbed	0	0	0	0	0	0	1	0	0	0	frásogast
absorbent	0	0	0	0	0	0	0	0	0	0	gleypið
absorbing	0	0	0	0	0	0	0	0	0	0	hrífandi
absorption	0	0	0	0	0	0	0	0	0	0	frásog
abstain	0	0	0	0	0	0	0	0	0	0	sitja hjá
abstention	0	0	0	0	0	0	0	0	0	0	sitja hjá
abstinence	0	0	0	0	0	0	0	0	0	0	bindindi
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	útdráttur
absurd	0	0	0	0	0	1	0	0	0	0	fáránlegt
absurdity	0	0	0	0	0	1	0	0	0	0	fáránleiki
abundance	0	1	1	0	1	1	1	0	0	1	gnægð
abundant	0	0	0	0	1	0	1	0	0	0	nóg
abuse	1	0	1	1	0	1	0	1	0	0	misnotkun
abutment	0	0	0	0	0	0	0	0	0	0	stoð
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	ömurlegt
abyss	0	0	0	1	0	1	0	1	0	0	hyldýpi
academic	0	0	0	0	0	0	1	0	0	1	fræðileg
academy	0	0	0	0	0	0	1	0	0	0	Háskóli
accede	0	0	0	0	0	0	0	0	0	0	ganga að
accelerate	0	1	0	0	0	0	0	0	0	0	flýta fyrir
acceleration	0	0	0	0	0	0	0	0	0	0	hröðun
accent	0	0	0	0	0	0	0	0	0	0	hreim
accentuate	0	0	0	0	0	0	0	0	0	0	leggja áherslu á
accept	0	0	0	0	0	0	0	0	0	0	taka
acceptable	0	0	0	0	0	0	1	0	0	0	viðunandi
acceptance	0	0	0	0	0	0	1	0	0	0	samþykki
access	0	0	0	0	0	0	0	0	0	0	aðgangur
accessible	0	0	0	0	0	0	1	0	0	0	aðgengileg
accession	0	0	0	0	0	0	0	0	0	0	aðild
accessory	0	0	0	0	0	0	0	0	0	0	aukabúnaður
accident	0	0	0	1	0	1	0	1	1	0	slys
accidental	0	0	0	1	0	1	0	0	1	0	óvart
accidentally	0	0	0	0	0	0	0	0	1	0	óvart
accolade	0	1	0	0	1	0	1	0	1	1	viðurkenningu
accommodate	0	0	0	0	0	0	0	0	0	0	koma til móts við
accommodation	0	0	0	0	0	0	1	0	0	0	gistingu
accompaniment	0	1	0	0	1	0	1	0	0	1	undirleik
accompany	0	0	0	0	0	0	0	0	0	0	fylgja
accompanying	0	0	0	0	0	0	0	0	0	0	í fylgd með
accomplice	0	0	0	0	0	0	0	0	0	0	vitorðsmaður
accomplish	0	0	0	0	1	0	1	0	0	0	afreka
accomplished	0	0	0	0	1	0	1	0	0	0	afrekað
accomplishment	0	0	0	0	0	0	1	0	0	0	afrek
accord	0	0	0	0	0	0	1	0	0	1	samkomulagi
accordance	0	0	0	0	0	0	0	0	0	0	samræmi
accordion	0	0	0	0	0	0	0	0	0	0	harmonikku
account	0	0	0	0	0	0	0	0	0	1	reikning
accountability	0	0	0	0	0	0	1	0	0	1	ábyrgð
accountable	0	0	0	0	0	0	1	0	0	1	ábyrgur
accountant	0	0	0	0	0	0	0	0	0	1	endurskoðandi
accounting	0	0	0	0	0	0	0	0	0	0	bókhald
accounts	0	0	0	0	0	0	0	0	0	1	reikningar
accredited	0	0	0	0	0	0	1	0	0	1	viðurkenndur
accretion	0	0	0	0	0	0	0	0	0	0	uppsöfnun
accrue	0	0	0	0	0	0	0	0	0	0	safnast upp
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	safnast upp
accumulation	0	0	0	0	0	0	0	0	0	0	uppsöfnun
accuracy	0	0	0	0	0	0	0	0	0	0	nákvæmni
accurate	0	0	0	0	0	0	1	0	0	1	nákvæm
accursed	1	0	0	1	0	1	0	1	0	0	bölvaður
accusation	1	0	1	0	0	1	0	0	0	0	ásökun
accusative	0	0	0	0	0	1	0	0	0	0	ásakandi
accused	1	0	0	1	0	1	0	0	0	0	ákærður
