English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Igbo Word
aback	0	0	0	0	0	0	0	0	0	0	egwu
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	hapụ
abandoned	1	0	0	1	0	1	0	1	0	0	gbahapụrụ
abandonment	1	0	0	1	0	1	0	1	1	0	agbahapụ
abate	0	0	0	0	0	0	0	0	0	0	abat
abatement	0	0	0	0	0	0	0	0	0	0	mbelata
abba	0	0	0	0	0	0	1	0	0	0	agba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	ndebiri
abbreviation	0	0	0	0	0	0	0	0	0	0	ndebiri
abdomen	0	0	0	0	0	0	0	0	0	0	afo
abdominal	0	0	0	0	0	0	0	0	0	0	afọ
abduction	0	0	0	1	0	1	0	1	1	0	ịtọrọ
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	ịkpọ asị
abhorrent	1	0	1	1	0	1	0	0	0	0	na-asọ oyi
abide	0	0	0	0	0	0	0	0	0	0	rube isi
ability	0	0	0	0	0	0	1	0	0	0	ike
abject	0	0	1	0	0	1	0	0	0	0	abihe
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	ire ọkụ
abnormal	0	0	1	0	0	1	0	0	0	0	ndiiche
aboard	0	0	0	0	0	0	0	0	0	0	n'ime
abode	0	0	0	0	0	0	0	0	0	0	ebe obibi
abolish	1	0	0	0	0	1	0	0	0	0	kpochapu
abolition	0	0	0	0	0	1	0	0	0	0	mkpochapu
abominable	0	0	1	1	0	1	0	0	0	0	ihe arụ
abomination	1	0	1	1	0	1	0	0	0	0	ihe arụ
aboriginal	0	0	0	0	0	0	0	0	0	0	ndi bekee
abort	0	0	0	0	0	1	0	0	0	0	ime
abortion	0	0	1	1	0	1	0	1	0	0	ime ime
abortive	0	0	0	0	0	1	0	1	0	0	ime ime
abound	0	0	0	0	0	0	0	0	0	0	juputara
abovementioned	0	0	0	0	0	0	1	0	0	0	kwuru n'elu
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	ná mba ọzọ
abrogate	0	0	0	0	0	1	0	0	0	0	kpochapuru
abrupt	0	0	0	0	0	0	0	0	1	0	mberede
abruptly	0	0	0	0	0	0	0	0	0	0	na mberede
abscess	0	0	0	0	0	1	0	1	0	0	ọzịza
absence	0	0	0	1	0	1	0	1	0	0	enweghị
absent	0	0	0	0	0	1	0	1	0	0	anọghị
absentee	0	0	0	0	0	1	0	1	0	0	anọghị ya
absenteeism	0	0	0	0	0	1	0	0	0	0	absenteeism
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	zuru oke
absolution	0	0	0	0	1	0	1	0	0	1	mgbaghara
absorbed	0	0	0	0	0	0	1	0	0	0	etinye obi gị dum
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	na-adọrọ adọrọ
absorption	0	0	0	0	0	0	0	0	0	0	absorption
abstain	0	0	0	0	0	0	0	0	0	0	zere
