English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Indonesian Word
aback	0	0	0	0	0	0	0	0	0	0	kembali
abacus	0	0	0	0	0	0	0	0	0	1	sempoa
abandon	0	0	0	1	0	1	0	1	0	0	meninggalkan
abandoned	1	0	0	1	0	1	0	1	0	0	ditinggalkan
abandonment	1	0	0	1	0	1	0	1	1	0	pengabaian
abate	0	0	0	0	0	0	0	0	0	0	mereda
abatement	0	0	0	0	0	0	0	0	0	0	pengurangan
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	kepala biara
abbreviate	0	0	0	0	0	0	0	0	0	0	menyingkat
abbreviation	0	0	0	0	0	0	0	0	0	0	singkatan
abdomen	0	0	0	0	0	0	0	0	0	0	perut
abdominal	0	0	0	0	0	0	0	0	0	0	perut
abduction	0	0	0	1	0	1	0	1	1	0	penculikan
aberrant	0	0	0	0	0	1	0	0	0	0	menyimpang
aberration	0	0	1	0	0	1	0	0	0	0	penyimpangan
abeyance	0	0	0	0	0	0	0	0	0	0	penundaan
abhor	1	0	1	1	0	1	0	0	0	0	benci
abhorrent	1	0	1	1	0	1	0	0	0	0	mengerikan
abide	0	0	0	0	0	0	0	0	0	0	tinggal
ability	0	0	0	0	0	0	1	0	0	0	kemampuan
abject	0	0	1	0	0	1	0	0	0	0	hina
ablation	0	0	0	0	0	0	0	0	0	0	ablasi
ablaze	0	0	0	0	0	0	0	0	0	0	terang benderang
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
aboard	0	0	0	0	0	0	0	0	0	0	kapal
abode	0	0	0	0	0	0	0	0	0	0	tempat tinggal
abolish	1	0	0	0	0	1	0	0	0	0	menghapuskan
abolition	0	0	0	0	0	1	0	0	0	0	penghapusan
abominable	0	0	1	1	0	1	0	0	0	0	mengerikan
abomination	1	0	1	1	0	1	0	0	0	0	kekejian
aboriginal	0	0	0	0	0	0	0	0	0	0	asli
abort	0	0	0	0	0	1	0	0	0	0	menggugurkan
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	gagal
abound	0	0	0	0	0	0	0	0	0	0	berlimpah
abovementioned	0	0	0	0	0	0	1	0	0	0	disebutkan di atas
abrasion	0	0	0	0	0	1	0	0	0	0	abrasi
abroad	0	0	0	0	0	0	0	0	0	0	luar negeri
abrogate	0	0	0	0	0	1	0	0	0	0	membatalkan
abrupt	0	0	0	0	0	0	0	0	1	0	mendadak
abruptly	0	0	0	0	0	0	0	0	0	0	tiba-tiba
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	ketiadaan
absent	0	0	0	0	0	1	0	1	0	0	absen
absentee	0	0	0	0	0	1	0	1	0	0	absen
absenteeism	0	0	0	0	0	1	0	0	0	0	ketidakhadiran
absinthe	0	0	0	0	0	0	0	0	0	0	Absinth
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	absolusi
absorbed	0	0	0	0	0	0	1	0	0	0	terserap
absorbent	0	0	0	0	0	0	0	0	0	0	zat penyerap
absorbing	0	0	0	0	0	0	0	0	0	0	mengasyikkan
absorption	0	0	0	0	0	0	0	0	0	0	penyerapan
abstain	0	0	0	0	0	0	0	0	0	0	menjauhkan diri
abstention	0	0	0	0	0	0	0	0	0	0	abstensi
abstinence	0	0	0	0	0	0	0	0	0	0	pantang
abstract	0	0	0	0	0	0	0	0	0	0	abstrak
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksi
