English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Irish Word
aback	0	0	0	0	0	0	0	0	0	0	uafás
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	thréigean
abandoned	1	0	0	1	0	1	0	1	0	0	tréigthe
abandonment	1	0	0	1	0	1	0	1	1	0	tréigean
abate	0	0	0	0	0	0	0	0	0	0	laghdaigh
abatement	0	0	0	0	0	0	0	0	0	0	lacáiste
abba	0	0	0	0	0	0	1	0	0	0	abha
abbot	0	0	0	0	0	0	0	0	0	1	abb
abbreviate	0	0	0	0	0	0	0	0	0	0	ghiorrú
abbreviation	0	0	0	0	0	0	0	0	0	0	giorrúchán
abdomen	0	0	0	0	0	0	0	0	0	0	bolg
abdominal	0	0	0	0	0	0	0	0	0	0	bhoilg
abduction	0	0	0	1	0	1	0	1	1	0	fuadach
aberrant	0	0	0	0	0	1	0	0	0	0	neamhbhalbh
aberration	0	0	1	0	0	1	0	0	0	0	saobhadh
abeyance	0	0	0	0	0	0	0	0	0	0	ar seachrán
abhor	1	0	1	1	0	1	0	0	0	0	fuath
abhorrent	1	0	1	1	0	1	0	0	0	0	uaigneach
abide	0	0	0	0	0	0	0	0	0	0	cloí
ability	0	0	0	0	0	0	1	0	0	0	cumas
abject	0	0	1	0	0	1	0	0	0	0	abalta
ablation	0	0	0	0	0	0	0	0	0	0	eiblithe
ablaze	0	0	0	0	0	0	0	0	0	0	lasadh
abnormal	0	0	1	0	0	1	0	0	0	0	neamhghnácha
aboard	0	0	0	0	0	0	0	0	0	0	ar bord
abode	0	0	0	0	0	0	0	0	0	0	cónaí
abolish	1	0	0	0	0	1	0	0	0	0	deireadh a chur le
abolition	0	0	0	0	0	1	0	0	0	0	díothú
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abomination
aboriginal	0	0	0	0	0	0	0	0	0	0	bundúchasaigh
abort	0	0	0	0	0	1	0	0	0	0	ginmhilleadh
abortion	0	0	1	1	0	1	0	1	0	0	ginmhilleadh
abortive	0	0	0	0	0	1	0	1	0	0	ginmhilleadh
abound	0	0	0	0	0	0	0	0	0	0	flúirseach
abovementioned	0	0	0	0	0	0	1	0	0	0	thuasluaite
abrasion	0	0	0	0	0	1	0	0	0	0	scríobadh
abroad	0	0	0	0	0	0	0	0	0	0	thar lear
abrogate	0	0	0	0	0	1	0	0	0	0	aisghairm
abrupt	0	0	0	0	0	0	0	0	1	0	tobann
abruptly	0	0	0	0	0	0	0	0	0	0	go tobann
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	neamhláithreacht
absent	0	0	0	0	0	1	0	1	0	0	as láthair
absentee	0	0	0	0	0	1	0	1	0	0	neamhláithreachta
absenteeism	0	0	0	0	0	1	0	0	0	0	neamhláithreacht
