English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Japanese Word
aback	0	0	0	0	0	0	0	0	0	0	びっくり
abacus	0	0	0	0	0	0	0	0	0	1	そろばん
abandon	0	0	0	1	0	1	0	1	0	0	放棄する
abandoned	1	0	0	1	0	1	0	1	0	0	放棄された
abandonment	1	0	0	1	0	1	0	1	1	0	放棄
abate	0	0	0	0	0	0	0	0	0	0	和らぐ
abatement	0	0	0	0	0	0	0	0	0	0	軽減
abba	0	0	0	0	0	0	1	0	0	0	アバ
abbot	0	0	0	0	0	0	0	0	0	1	修道院長
abbreviate	0	0	0	0	0	0	0	0	0	0	略す
abbreviation	0	0	0	0	0	0	0	0	0	0	略語
abdomen	0	0	0	0	0	0	0	0	0	0	腹部
abdominal	0	0	0	0	0	0	0	0	0	0	腹部
abduction	0	0	0	1	0	1	0	1	1	0	拉致
aberrant	0	0	0	0	0	1	0	0	0	0	異常な
aberration	0	0	1	0	0	1	0	0	0	0	収差
abeyance	0	0	0	0	0	0	0	0	0	0	停止
abhor	1	0	1	1	0	1	0	0	0	0	嫌う
abhorrent	1	0	1	1	0	1	0	0	0	0	忌まわしい
abide	0	0	0	0	0	0	0	0	0	0	従う
ability	0	0	0	0	0	0	1	0	0	0	能力
abject	0	0	1	0	0	1	0	0	0	0	卑劣な
ablation	0	0	0	0	0	0	0	0	0	0	アブレーション
ablaze	0	0	0	0	0	0	0	0	0	0	燃える
abnormal	0	0	1	0	0	1	0	0	0	0	異常な
aboard	0	0	0	0	0	0	0	0	0	0	乗って
abode	0	0	0	0	0	0	0	0	0	0	住居
abolish	1	0	0	0	0	1	0	0	0	0	廃止する
abolition	0	0	0	0	0	1	0	0	0	0	廃止
abominable	0	0	1	1	0	1	0	0	0	0	忌まわしい
abomination	1	0	1	1	0	1	0	0	0	0	憎悪
aboriginal	0	0	0	0	0	0	0	0	0	0	アボリジニの
abort	0	0	0	0	0	1	0	0	0	0	アボート
abortion	0	0	1	1	0	1	0	1	0	0	中絶
abortive	0	0	0	0	0	1	0	1	0	0	流産
abound	0	0	0	0	0	0	0	0	0	0	たくさん
abovementioned	0	0	0	0	0	0	1	0	0	0	前述した
abrasion	0	0	0	0	0	1	0	0	0	0	摩耗
abroad	0	0	0	0	0	0	0	0	0	0	外国
abrogate	0	0	0	0	0	1	0	0	0	0	廃止する
abrupt	0	0	0	0	0	0	0	0	1	0	突然
abruptly	0	0	0	0	0	0	0	0	0	0	突然
abscess	0	0	0	0	0	1	0	1	0	0	膿瘍
absence	0	0	0	1	0	1	0	1	0	0	不在
absent	0	0	0	0	0	1	0	1	0	0	不在
absentee	0	0	0	0	0	1	0	1	0	0	不在者
absenteeism	0	0	0	0	0	1	0	0	0	0	欠席主義
absinthe	0	0	0	0	0	0	0	0	0	0	アブサン
absolute	0	0	0	0	0	0	1	0	0	0	絶対の
absolution	0	0	0	0	1	0	1	0	0	1	赦免
absorbed	0	0	0	0	0	0	1	0	0	0	吸収された
absorbent	0	0	0	0	0	0	0	0	0	0	吸収性
absorbing	0	0	0	0	0	0	0	0	0	0	吸収する
absorption	0	0	0	0	0	0	0	0	0	0	吸収
abstain	0	0	0	0	0	0	0	0	0	0	控える
abstention	0	0	0	0	0	0	0	0	0	0	棄権
abstinence	0	0	0	0	0	0	0	0	0	0	禁欲
abstract	0	0	0	0	0	0	0	0	0	0	概要
abstraction	0	0	0	0	0	0	0	0	0	0	抽象化
absurd	0	0	0	0	0	1	0	0	0	0	ばかげた
absurdity	0	0	0	0	0	1	0	0	0	0	不条理
abundance	0	1	1	0	1	1	1	0	0	1	豊富
abundant	0	0	0	0	1	0	1	0	0	0	豊富
abuse	1	0	1	1	0	1	0	1	0	0	乱用
abutment	0	0	0	0	0	0	0	0	0	0	アバットメント
aby	0	0	0	0	0	0	0	0	0	0	アビー
abysmal	0	0	0	0	0	1	0	1	0	0	ひどい
abyss	0	0	0	1	0	1	0	1	0	0	深淵
academic	0	0	0	0	0	0	1	0	0	1	アカデミック
academy	0	0	0	0	0	0	1	0	0	0	学校
accede	0	0	0	0	0	0	0	0	0	0	同意する
accelerate	0	1	0	0	0	0	0	0	0	0	加速する
acceleration	0	0	0	0	0	0	0	0	0	0	加速度
accent	0	0	0	0	0	0	0	0	0	0	アクセント
accentuate	0	0	0	0	0	0	0	0	0	0	強調する
accept	0	0	0	0	0	0	0	0	0	0	受け入れる
acceptable	0	0	0	0	0	0	1	0	0	0	許容できる
acceptance	0	0	0	0	0	0	1	0	0	0	受け入れ
access	0	0	0	0	0	0	0	0	0	0	アクセス
accessible	0	0	0	0	0	0	1	0	0	0	アクセシブル
accession	0	0	0	0	0	0	0	0	0	0	加盟
accessory	0	0	0	0	0	0	0	0	0	0	アクセサリー
accident	0	0	0	1	0	1	0	1	1	0	事件
accidental	0	0	0	1	0	1	0	0	1	0	偶発的な
accidentally	0	0	0	0	0	0	0	0	1	0	うっかり
accolade	0	1	0	0	1	0	1	0	1	1	称賛
accommodate	0	0	0	0	0	0	0	0	0	0	収容
accommodation	0	0	0	0	0	0	1	0	0	0	宿泊施設
accompaniment	0	1	0	0	1	0	1	0	0	1	伴奏
accompany	0	0	0	0	0	0	0	0	0	0	同行
accompanying	0	0	0	0	0	0	0	0	0	0	付随の
accomplice	0	0	0	0	0	0	0	0	0	0	共犯者
accomplish	0	0	0	0	1	0	1	0	0	0	達成
accomplished	0	0	0	0	1	0	1	0	0	0	達成した
accomplishment	0	0	0	0	0	0	1	0	0	0	達成
accord	0	0	0	0	0	0	1	0	0	1	アコード
accordance	0	0	0	0	0	0	0	0	0	0	一致
accordion	0	0	0	0	0	0	0	0	0	0	アコーディオン
account	0	0	0	0	0	0	0	0	0	1	アカウント
accountability	0	0	0	0	0	0	1	0	0	1	説明責任
accountable	0	0	0	0	0	0	1	0	0	1	説明責任
accountant	0	0	0	0	0	0	0	0	0	1	会計士
accounting	0	0	0	0	0	0	0	0	0	0	会計
accounts	0	0	0	0	0	0	0	0	0	1	アカウント
accredited	0	0	0	0	0	0	1	0	0	1	認定された
accretion	0	0	0	0	0	0	0	0	0	0	降着
accrue	0	0	0	0	0	0	0	0	0	0	発生する
accueil	0	0	0	0	0	0	1	0	0	0	アクイユ
accumulate	0	0	0	0	0	0	0	0	0	0	たまる
accumulation	0	0	0	0	0	0	0	0	0	0	累積
accuracy	0	0	0	0	0	0	0	0	0	0	正確さ
accurate	0	0	0	0	0	0	1	0	0	1	正確
accursed	1	0	0	1	0	1	0	1	0	0	呪われた
accusation	1	0	1	0	0	1	0	0	0	0	告発
accusative	0	0	0	0	0	1	0	0	0	0	対格
accused	1	0	0	1	0	1	0	0	0	0	被告人
accuser	1	0	0	1	0	1	0	0	0	0	告発者
accusing	1	0	0	1	0	1	0	0	0	0	非難する
accustomed	0	0	0	0	0	0	0	0	0	0	慣れた
ace	0	0	0	0	0	0	1	0	0	0	エース
acetic	0	0	0	0	0	0	0	0	0	0	酢酸
ache	0	0	0	0	0	1	0	1	0	0	痛み
achieve	0	0	0	0	1	0	1	0	0	1	成し遂げる
