English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Javanese Word
aback	0	0	0	0	0	0	0	0	0	0	gumun
abacus	0	0	0	0	0	0	0	0	0	1	sempoa
abandon	0	0	0	1	0	1	0	1	0	0	nilar
abandoned	1	0	0	1	0	1	0	1	0	0	nilar
abandonment	1	0	0	1	0	1	0	1	1	0	nilar
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	nyuda
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	singkatan
abbreviation	0	0	0	0	0	0	0	0	0	0	singkatan
abdomen	0	0	0	0	0	0	0	0	0	0	weteng
abdominal	0	0	0	0	0	0	0	0	0	0	weteng
abduction	0	0	0	1	0	1	0	1	1	0	nyulik
aberrant	0	0	0	0	0	1	0	0	0	0	nyimpang
aberration	0	0	1	0	0	1	0	0	0	0	aberasi
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	nistha
abhorrent	1	0	1	1	0	1	0	0	0	0	nistha
abide	0	0	0	0	0	0	0	0	0	0	tetep
ability	0	0	0	0	0	0	1	0	0	0	kabisan
abject	0	0	1	0	0	1	0	0	0	0	nistha
ablation	0	0	0	0	0	0	0	0	0	0	ablasi
ablaze	0	0	0	0	0	0	0	0	0	0	murub
abnormal	0	0	1	0	0	1	0	0	0	0	ora normal
aboard	0	0	0	0	0	0	0	0	0	0	numpak kapal
abode	0	0	0	0	0	0	0	0	0	0	panggonan
abolish	1	0	0	0	0	1	0	0	0	0	ngilangi
abolition	0	0	0	0	0	1	0	0	0	0	pambusakan
abominable	0	0	1	1	0	1	0	0	0	0	nistha
abomination	1	0	1	1	0	1	0	0	0	0	nistha
aboriginal	0	0	0	0	0	0	0	0	0	0	pribumi
abort	0	0	0	0	0	1	0	0	0	0	mbatalake
abortion	0	0	1	1	0	1	0	1	0	0	aborsi
abortive	0	0	0	0	0	1	0	1	0	0	abortif
abound	0	0	0	0	0	0	0	0	0	0	kathah
abovementioned	0	0	0	0	0	0	1	0	0	0	seng kasebut ning ndhuwur
abrasion	0	0	0	0	0	1	0	0	0	0	abrasi
abroad	0	0	0	0	0	0	0	0	0	0	luar negeri
abrogate	0	0	0	0	0	1	0	0	0	0	mbatalake
abrupt	0	0	0	0	0	0	0	0	1	0	ndadak
abruptly	0	0	0	0	0	0	0	0	0	0	dumadakan
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	absen
absent	0	0	0	0	0	1	0	1	0	0	absen
absentee	0	0	0	0	0	1	0	1	0	0	absen
absenteeism	0	0	0	0	0	1	0	0	0	0	absen
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	pangapunten
absorbed	0	0	0	0	0	0	1	0	0	0	diserap
absorbent	0	0	0	0	0	0	0	0	0	0	nyerep
absorbing	0	0	0	0	0	0	0	0	0	0	nyerep
absorption	0	0	0	0	0	0	0	0	0	0	panyerepan
abstain	0	0	0	0	0	0	0	0	0	0	ngempet
abstention	0	0	0	0	0	0	0	0	0	0	absen
abstinence	0	0	0	0	0	0	0	0	0	0	pantangan
abstract	0	0	0	0	0	0	0	0	0	0	abstrak
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksi
absurd	0	0	0	0	0	1	0	0	0	0	ora masuk akal
absurdity	0	0	0	0	0	1	0	0	0	0	absurd
abundance	0	1	1	0	1	1	1	0	0	1	turah mbrawah
abundant	0	0	0	0	1	0	1	0	0	0	akeh banget
abuse	1	0	1	1	0	1	0	1	0	0	penyalahgunaan
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	jurang
academic	0	0	0	0	0	0	1	0	0	1	akademisi
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	ngakoni
accelerate	0	1	0	0	0	0	0	0	0	0	nyepetake
acceleration	0	0	0	0	0	0	0	0	0	0	percepatan
accent	0	0	0	0	0	0	0	0	0	0	logat
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	nampa
acceptable	0	0	0	0	0	0	1	0	0	0	ditrima
acceptance	0	0	0	0	0	0	1	0	0	0	panrima
access	0	0	0	0	0	0	0	0	0	0	akses
accessible	0	0	0	0	0	0	1	0	0	0	diakses
accession	0	0	0	0	0	0	0	0	0	0	aksesi
accessory	0	0	0	0	0	0	0	0	0	0	aksesoris
accident	0	0	0	1	0	1	0	1	1	0	kacilakan
accidental	0	0	0	1	0	1	0	0	1	0	ora sengaja
accidentally	0	0	0	0	0	0	0	0	1	0	ora sengaja
accolade	0	1	0	0	1	0	1	0	1	1	pangalembana
accommodate	0	0	0	0	0	0	0	0	0	0	nampung
accommodation	0	0	0	0	0	0	1	0	0	0	panginepan
accompaniment	0	1	0	0	1	0	1	0	0	1	iringan
accompany	0	0	0	0	0	0	0	0	0	0	ngancani
accompanying	0	0	0	0	0	0	0	0	0	0	ngiringi
accomplice	0	0	0	0	0	0	0	0	0	0	anaké
accomplish	0	0	0	0	1	0	1	0	0	0	ngrampungake
accomplished	0	0	0	0	1	0	1	0	0	0	rampung
accomplishment	0	0	0	0	0	0	1	0	0	0	prestasi
accord	0	0	0	0	0	0	1	0	0	1	kasepakatan
accordance	0	0	0	0	0	0	0	0	0	0	selaras
accordion	0	0	0	0	0	0	0	0	0	0	akordion
account	0	0	0	0	0	0	0	0	0	1	akun
accountability	0	0	0	0	0	0	1	0	0	1	tanggung jawab
accountable	0	0	0	0	0	0	1	0	0	1	tanggung jawab
accountant	0	0	0	0	0	0	0	0	0	1	akuntan
accounting	0	0	0	0	0	0	0	0	0	0	akuntansi
accounts	0	0	0	0	0	0	0	0	0	1	akun
accredited	0	0	0	0	0	0	1	0	0	1	akreditasi
accretion	0	0	0	0	0	0	0	0	0	0	akresi
accrue	0	0	0	0	0	0	0	0	0	0	numpuk
accueil	0	0	0	0	0	0	1	0	0	0	ngaku
accumulate	0	0	0	0	0	0	0	0	0	0	nglumpukake
accumulation	0	0	0	0	0	0	0	0	0	0	akumulasi
accuracy	0	0	0	0	0	0	0	0	0	0	akurasi
accurate	0	0	0	0	0	0	1	0	0	1	akurat
accursed	1	0	0	1	0	1	0	1	0	0	dilaknat
accusation	1	0	1	0	0	1	0	0	0	0	tuduh
accusative	0	0	0	0	0	1	0	0	0	0	akusatif
accused	1	0	0	1	0	1	0	0	0	0	didakwa
accuser	1	0	0	1	0	1	0	0	0	0	panuduh
accusing	1	0	0	1	0	1	0	0	0	0	nuduh
accustomed	0	0	0	0	0	0	0	0	0	0	wis biasa
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	asetik
ache	0	0	0	0	0	1	0	1	0	0	lara
achieve	0	0	0	0	1	0	1	0	0	1	entuk
achievement	0	1	0	0	1	0	1	0	0	1	prestasi
aching	0	0	0	0	0	1	0	1	0	0	lara
acid	0	0	0	0	0	1	0	0	0	0	asam
acidity	0	0	0	0	0	0	0	0	0	0	kaasaman
acknowledge	0	0	0	0	0	0	0	0	0	0	ngakoni
acknowledged	0	0	0	0	0	0	0	0	0	0	ngakoni
acknowledgment	0	0	0	0	0	0	1	0	0	0	pengakon
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	kenalan
acquaintance	0	0	0	0	0	0	0	0	0	0	kenalan
acquainted	0	0	0	0	0	0	0	0	0	0	kenalan
acquiescence	0	0	0	0	0	0	0	0	0	0	akur
acquire	0	0	0	0	0	0	1	0	0	0	ndarbeni
acquiring	0	1	0	0	0	0	1	0	0	0	angsal
acquisition	0	0	0	0	0	0	0	0	0	0	angsal
acquisitions	0	0	0	0	0	0	0	0	0	0	angsal
acreage	0	0	0	0	0	0	0	0	0	0	hektar
acres	0	0	0	0	0	0	0	0	0	0	hektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	tumindak
acting	0	0	0	0	0	0	0	0	0	0	akting
action	0	0	0	0	0	0	1	0	0	0	tumindak
actionable	1	0	1	0	0	1	0	0	0	0	bisa ditindakake
active	0	0	0	0	0	0	0	0	0	0	aktif
activity	0	0	0	0	0	0	0	0	0	0	kegiatan
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	nyatane
actuality	0	0	0	0	0	0	0	0	0	0	aktualitas
actuary	0	0	0	0	0	0	0	0	0	0	aktuaris
acuity	0	0	0	0	0	0	1	0	0	0	ketajaman
acumen	0	0	0	0	0	0	1	0	0	0	kepinteran
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	kanthi akut
adage	0	0	0	0	0	0	0	0	0	0	paribasan
adamant	0	0	0	0	0	0	0	0	0	0	mantep
adapt	0	0	0	0	0	0	1	0	0	0	adaptasi
adaptable	0	0	0	0	0	0	1	0	0	0	bisa adaptasi
add	0	0	0	0	0	0	0	0	0	0	nambahi
added	0	0	0	0	0	0	0	0	0	0	ditambahake
addendum	0	0	0	0	0	0	0	0	0	0	tambahan
adder	1	0	1	1	0	1	0	1	0	0	panambah
addiction	0	0	0	0	0	1	0	0	0	0	ketagihan
addition	0	0	0	0	0	0	0	0	0	0	tambahan
additional	0	0	0	0	0	0	0	0	0	0	tambahan
additive	0	0	0	0	0	0	0	0	0	0	aditif
address	0	0	0	0	0	0	0	0	0	0	alamat
addressee	0	0	0	0	0	0	0	0	0	0	alamate
addresses	0	1	0	0	0	0	1	0	0	0	alamat
adept	0	0	0	0	0	0	1	0	0	0	mahir
adequacy	0	0	0	0	0	0	1	0	0	0	kecukupan
adequate	0	0	0	0	0	0	0	0	0	0	cekap
adhere	0	0	0	0	0	0	0	0	0	0	netepi
adherence	0	0	0	0	0	0	0	0	0	0	ketaatan
adherent	0	0	0	0	0	0	0	0	0	0	penganut
adhering	0	0	0	0	0	0	0	0	0	1	adhegan
adhesion	0	0	0	0	0	0	0	0	0	0	adhesi
adhesive	0	0	0	0	0	0	0	0	0	0	adhesive
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	adjacence
adjacent	0	0	0	0	0	0	0	0	0	0	jejer
adjective	0	0	0	0	0	0	0	0	0	0	adjective
adjoining	0	0	0	0	0	0	0	0	0	0	jejer
adjourn	0	0	0	0	0	0	0	0	0	0	nundha
adjournment	0	0	0	0	0	0	0	0	0	0	penundaan
adjudicate	0	0	0	1	0	1	0	0	0	0	ngadili
adjudication	0	0	0	0	0	0	0	0	0	0	adjudikasi
adjunct	0	0	0	0	0	0	1	0	0	0	tambahan
adjust	0	0	0	0	0	0	0	0	0	0	nyetel
adjustment	0	0	0	0	0	0	0	0	0	0	imbuhan
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	ngatur
administration	0	0	0	0	0	0	0	0	0	0	administrasi
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	nggumunake
admiral	0	0	0	0	0	0	1	0	0	1	laksamana
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitas
admiration	0	0	0	0	1	0	1	0	0	1	kagum
admire	0	0	0	0	0	0	1	0	0	1	ngujo
admirer	0	0	0	0	0	0	1	0	0	0	pengagum
admissibility	0	0	0	0	0	0	0	0	0	0	ditampa
admissible	0	0	0	0	0	0	1	0	0	1	bisa ditampa
admission	0	0	0	0	0	0	0	0	0	0	diakoni
admit	0	0	0	0	0	0	0	0	0	0	ngakoni
admittance	0	0	0	0	0	0	0	0	0	0	mlebu
admitted	0	0	0	0	0	0	0	0	0	0	ngakoni
admitting	0	0	0	0	0	0	0	0	0	0	ngakoni
admixture	0	0	0	0	0	0	0	0	0	0	campuran
admonition	0	0	0	1	0	1	0	0	0	0	piweling
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	remaja
adolescent	0	0	0	0	0	0	0	0	0	0	remaja
adopt	0	0	0	0	0	0	0	0	0	0	ngadopsi
adoption	0	0	0	0	0	0	0	0	0	0	adopsi
adorable	0	0	0	0	1	0	1	0	0	0	nengsemake
adoration	0	0	0	0	1	0	1	0	0	1	pemujaan
adore	0	1	0	0	1	0	1	0	0	1	sujud
adorn	0	0	0	0	0	0	0	0	0	0	dekorasi
adornment	0	0	0	0	0	0	0	0	0	0	paesan
adrift	0	1	0	1	0	1	0	1	0	0	mabur
adult	0	0	0	0	0	0	0	0	0	0	diwasa
adulterated	0	0	0	0	0	1	0	0	0	0	disalahake
adultery	0	0	1	0	0	1	0	1	0	0	laku jina
advance	0	1	0	1	1	0	1	0	1	0	maju
advanced	0	0	0	0	0	0	1	0	0	0	majeng
advancement	0	0	0	0	0	0	1	0	0	0	kemajuan
advancing	0	0	0	0	0	0	0	0	0	0	maju
advantage	0	0	0	0	0	0	1	0	0	0	kauntungan
advantageous	0	0	0	0	0	0	1	0	0	0	mupangati
advent	0	1	0	0	1	0	1	0	0	1	tekane
adventure	0	1	0	0	0	0	1	0	0	0	ngulandara
adventurer	0	0	0	0	0	0	0	0	0	0	petualang
adventurous	0	0	0	0	0	0	1	0	0	0	petualang
adversary	1	0	0	0	0	1	0	0	0	0	mungsuh
adverse	1	0	1	1	0	1	0	1	0	0	ala
adversity	1	0	0	1	0	1	0	1	0	0	kasangsaran
advertise	0	0	0	0	0	0	0	0	0	0	pariwara
advertisement	0	0	0	0	0	0	0	0	0	0	pariwara
advice	0	0	0	0	0	0	0	0	0	1	pitutur
advisable	0	0	0	0	0	0	1	0	0	1	prayoga
advise	0	0	0	0	0	0	1	0	0	1	maringi pitutur
advised	0	0	0	0	0	0	0	0	0	1	maringi pitutur
advisement	0	0	0	0	0	0	0	0	0	0	pitutur
adviser	0	0	0	0	0	0	1	0	0	1	penasehat
advocacy	1	1	0	0	1	0	1	0	0	1	advokasi
advocate	0	0	0	0	0	0	0	0	0	1	advokat
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aerasi
aerial	0	0	0	0	0	0	0	0	0	0	pangeboman
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	pesawat
aesthetic	0	0	0	0	0	0	1	0	0	0	estetis
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologi
afar	0	0	0	0	0	0	0	0	0	0	adoh
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	urusan
affecting	0	0	0	0	0	0	0	0	0	0	mengaruhi
affection	0	0	0	0	1	0	1	0	0	1	tresno
affections	0	0	0	0	0	0	0	0	0	0	tresno
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	afiliasi
affiliation	0	0	0	0	0	0	0	0	0	0	afiliasi
affinity	0	0	0	0	0	0	0	0	0	0	karemenan
affirm	0	0	0	0	0	0	1	0	0	1	negesake
affirmation	0	0	0	0	0	0	1	0	0	0	penegasan
affirmative	0	0	0	0	0	0	1	0	0	0	afirmatif
affirmatively	0	0	0	0	0	0	1	0	0	1	kanthi tegas
affix	0	0	0	0	0	0	0	0	0	0	afiks
afflict	0	0	0	1	0	1	0	1	0	0	nandhang sangsara
afflicted	0	0	0	0	0	1	0	0	0	0	nandhang sangsara
affliction	0	0	1	1	0	1	0	1	0	0	kasangsaran
affluence	0	0	0	0	1	0	1	0	0	0	kamakmuran
affluent	0	0	0	0	0	0	1	0	0	0	makmur
afford	0	0	0	0	0	0	1	0	0	0	saged
affront	1	0	1	1	0	1	0	1	1	0	nesu
afield	0	0	0	0	0	0	0	0	0	0	adoh
afore	0	0	0	0	0	0	0	0	0	0	sadurunge
aforementioned	0	0	0	0	0	0	0	0	0	0	kasebat
aforesaid	0	0	0	0	0	0	0	0	0	0	kasebat
afraid	0	0	0	1	0	1	0	0	0	0	wedi
afresh	0	0	0	0	0	0	0	0	0	0	maneh
aft	0	0	0	0	0	0	0	0	0	0	mburi
aftermath	1	0	1	1	0	1	0	1	0	0	sakwise
afternoon	0	0	0	0	0	0	0	0	0	0	sore
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	dipikir-pikir
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	akik
age	0	0	0	0	0	0	0	0	0	0	umur
aged	0	0	0	0	0	0	0	0	0	0	tuwa
agency	0	0	0	0	0	0	0	0	0	0	agensi
agent	0	0	0	0	0	0	0	0	0	0	agen
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerasi
aggravated	1	0	0	0	0	1	0	0	0	0	aggravated
aggravating	1	0	0	0	0	1	0	1	0	0	nglarani
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	agrégat
aggregation	0	0	0	0	0	0	0	0	0	0	nglumpukake
aggression	1	0	0	1	0	1	0	0	0	0	agresi
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	gumun
