English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kannada Word
aback	0	0	0	0	0	0	0	0	0	0	ಬೆಚ್ಚಿಬಿದ್ದ
abacus	0	0	0	0	0	0	0	0	0	1	ಅಬ್ಯಾಕಸ್
abandon	0	0	0	1	0	1	0	1	0	0	ತ್ಯಜಿಸು
abandoned	1	0	0	1	0	1	0	1	0	0	ಕೈಬಿಡಲಾಯಿತು
abandonment	1	0	0	1	0	1	0	1	1	0	ತ್ಯಜಿಸುವಿಕೆ
abate	0	0	0	0	0	0	0	0	0	0	ತಗ್ಗಿಸು
abatement	0	0	0	0	0	0	0	0	0	0	ತಗ್ಗಿಸುವಿಕೆ
abba	0	0	0	0	0	0	1	0	0	0	ಅಬ್ಬಾ
abbot	0	0	0	0	0	0	0	0	0	1	ಮಠಾಧೀಶರು
abbreviate	0	0	0	0	0	0	0	0	0	0	ಸಂಕ್ಷೇಪಿಸಿ
abbreviation	0	0	0	0	0	0	0	0	0	0	ಸಂಕ್ಷೇಪಣ
abdomen	0	0	0	0	0	0	0	0	0	0	ಹೊಟ್ಟೆ
abdominal	0	0	0	0	0	0	0	0	0	0	ಕಿಬ್ಬೊಟ್ಟೆಯ
abduction	0	0	0	1	0	1	0	1	1	0	ಅಪಹರಣ
aberrant	0	0	0	0	0	1	0	0	0	0	ಅಸಹಜ
aberration	0	0	1	0	0	1	0	0	0	0	ವಿಪಥನ
abeyance	0	0	0	0	0	0	0	0	0	0	ನಿಶ್ಚಲತೆ
abhor	1	0	1	1	0	1	0	0	0	0	ಅಸಹ್ಯಕರ
abhorrent	1	0	1	1	0	1	0	0	0	0	ಅಸಹ್ಯಕರ
abide	0	0	0	0	0	0	0	0	0	0	ಬದ್ಧವಾಗಿರಲು
ability	0	0	0	0	0	0	1	0	0	0	ಸಾಮರ್ಥ್ಯ
abject	0	0	1	0	0	1	0	0	0	0	ನಿಕೃಷ್ಟ
ablation	0	0	0	0	0	0	0	0	0	0	ಕ್ಷಯಿಸುವಿಕೆ
ablaze	0	0	0	0	0	0	0	0	0	0	ಉರಿಯುತ್ತವೆ
abnormal	0	0	1	0	0	1	0	0	0	0	ಅಸಹಜ
aboard	0	0	0	0	0	0	0	0	0	0	ವಿಮಾನದಲ್ಲಿ
abode	0	0	0	0	0	0	0	0	0	0	ನಿವಾಸ
abolish	1	0	0	0	0	1	0	0	0	0	ರದ್ದುಪಡಿಸಿ
abolition	0	0	0	0	0	1	0	0	0	0	ನಿರ್ಮೂಲನೆ
abominable	0	0	1	1	0	1	0	0	0	0	ಅಸಹ್ಯಕರ
abomination	1	0	1	1	0	1	0	0	0	0	ಅಸಹ್ಯ
aboriginal	0	0	0	0	0	0	0	0	0	0	ಮೂಲನಿವಾಸಿ
abort	0	0	0	0	0	1	0	0	0	0	ಸ್ಥಗಿತಗೊಳಿಸು
abortion	0	0	1	1	0	1	0	1	0	0	ಗರ್ಭಪಾತ
abortive	0	0	0	0	0	1	0	1	0	0	ಗರ್ಭಪಾತ
abound	0	0	0	0	0	0	0	0	0	0	ಹೇರಳವಾಗಿದೆ
abovementioned	0	0	0	0	0	0	1	0	0	0	ಮೇಲೆ ತಿಳಿಸಿದ
abrasion	0	0	0	0	0	1	0	0	0	0	ಸವೆತ
abroad	0	0	0	0	0	0	0	0	0	0	ವಿದೇಶದಲ್ಲಿ
abrogate	0	0	0	0	0	1	0	0	0	0	ರದ್ದುಗೊಳಿಸು
abrupt	0	0	0	0	0	0	0	0	1	0	ಥಟ್ಟನೆ
abruptly	0	0	0	0	0	0	0	0	0	0	ಥಟ್ಟನೆ
abscess	0	0	0	0	0	1	0	1	0	0	ಬಾವು
absence	0	0	0	1	0	1	0	1	0	0	ಅನುಪಸ್ಥಿತಿ
absent	0	0	0	0	0	1	0	1	0	0	ಗೈರು
absentee	0	0	0	0	0	1	0	1	0	0	ಗೈರುಹಾಜರಿ
absenteeism	0	0	0	0	0	1	0	0	0	0	ಗೈರುಹಾಜರಿ
absinthe	0	0	0	0	0	0	0	0	0	0	ಅಬ್ಸಿಂತೆ
absolute	0	0	0	0	0	0	1	0	0	0	ಸಂಪೂರ್ಣ
absolution	0	0	0	0	1	0	1	0	0	1	ವಿಮೋಚನೆ
absorbed	0	0	0	0	0	0	1	0	0	0	ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟಿತು
absorbent	0	0	0	0	0	0	0	0	0	0	ಹೀರಿಕೊಳ್ಳುವ
absorbing	0	0	0	0	0	0	0	0	0	0	ಹೀರಿಕೊಳ್ಳುವ
absorption	0	0	0	0	0	0	0	0	0	0	ಹೀರಿಕೊಳ್ಳುವಿಕೆ
abstain	0	0	0	0	0	0	0	0	0	0	ದೂರವಿರಿ
abstention	0	0	0	0	0	0	0	0	0	0	ಗೈರುಹಾಜರಿ
abstinence	0	0	0	0	0	0	0	0	0	0	ಇಂದ್ರಿಯನಿಗ್ರಹ
abstract	0	0	0	0	0	0	0	0	0	0	ಅಮೂರ್ತ
abstraction	0	0	0	0	0	0	0	0	0	0	ಅಮೂರ್ತತೆ
absurd	0	0	0	0	0	1	0	0	0	0	ಅಸಂಬದ್ಧ
absurdity	0	0	0	0	0	1	0	0	0	0	ಅಸಂಬದ್ಧತೆ
abundance	0	1	1	0	1	1	1	0	0	1	ಸಮೃದ್ಧಿ
abundant	0	0	0	0	1	0	1	0	0	0	ಹೇರಳವಾಗಿ
abuse	1	0	1	1	0	1	0	1	0	0	ನಿಂದನೆ
abutment	0	0	0	0	0	0	0	0	0	0	ತಳಹದಿ
aby	0	0	0	0	0	0	0	0	0	0	ಅಬಿ
abysmal	0	0	0	0	0	1	0	1	0	0	ಪ್ರಪಾತ
abyss	0	0	0	1	0	1	0	1	0	0	ಪ್ರಪಾತ
academic	0	0	0	0	0	0	1	0	0	1	ಶೈಕ್ಷಣಿಕ
academy	0	0	0	0	0	0	1	0	0	0	ಅಕಾಡೆಮಿ
accede	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಳ್ಳಿ
accelerate	0	1	0	0	0	0	0	0	0	0	ವೇಗವನ್ನು
acceleration	0	0	0	0	0	0	0	0	0	0	ವೇಗವರ್ಧನೆ
accent	0	0	0	0	0	0	0	0	0	0	ಉಚ್ಚಾರಣೆ
accentuate	0	0	0	0	0	0	0	0	0	0	ಎದ್ದುಕಾಣುತ್ತವೆ
accept	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಳ್ಳಿ
acceptable	0	0	0	0	0	0	1	0	0	0	ಸ್ವೀಕಾರಾರ್ಹ
acceptance	0	0	0	0	0	0	1	0	0	0	ಸ್ವೀಕಾರ
access	0	0	0	0	0	0	0	0	0	0	ಪ್ರವೇಶ
accessible	0	0	0	0	0	0	1	0	0	0	ಪ್ರವೇಶಿಸಬಹುದಾಗಿದೆ
accession	0	0	0	0	0	0	0	0	0	0	ಸೇರ್ಪಡೆ
accessory	0	0	0	0	0	0	0	0	0	0	ಪರಿಕರ
accident	0	0	0	1	0	1	0	1	1	0	ಅಪಘಾತ
accidental	0	0	0	1	0	1	0	0	1	0	ಆಕಸ್ಮಿಕ
accidentally	0	0	0	0	0	0	0	0	1	0	ಆಕಸ್ಮಿಕವಾಗಿ
accolade	0	1	0	0	1	0	1	0	1	1	ಪುರಸ್ಕಾರ
accommodate	0	0	0	0	0	0	0	0	0	0	ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಡುತ್ತವೆ
accommodation	0	0	0	0	0	0	1	0	0	0	ವಸತಿ
accompaniment	0	1	0	0	1	0	1	0	0	1	ಪಕ್ಕವಾದ್ಯ
accompany	0	0	0	0	0	0	0	0	0	0	ಜೊತೆಯಲ್ಲಿ
accompanying	0	0	0	0	0	0	0	0	0	0	ಜೊತೆಯಲ್ಲಿ
accomplice	0	0	0	0	0	0	0	0	0	0	ಜೊತೆಗಾರ
accomplish	0	0	0	0	1	0	1	0	0	0	ಸಾಧಿಸಲು
accomplished	0	0	0	0	1	0	1	0	0	0	ಸಾಧಿಸಲಾಗಿದೆ
accomplishment	0	0	0	0	0	0	1	0	0	0	ಸಾಧನೆ
accord	0	0	0	0	0	0	1	0	0	1	ಒಪ್ಪಂದ
accordance	0	0	0	0	0	0	0	0	0	0	ಅನುಗುಣವಾಗಿ
accordion	0	0	0	0	0	0	0	0	0	0	ಅಕಾರ್ಡಿಯನ್
account	0	0	0	0	0	0	0	0	0	1	ಖಾತೆ
accountability	0	0	0	0	0	0	1	0	0	1	ಹೊಣೆಗಾರಿಕೆ
accountable	0	0	0	0	0	0	1	0	0	1	ಜವಾಬ್ದಾರಿಯುತ
accountant	0	0	0	0	0	0	0	0	0	1	ಲೆಕ್ಕಿಗ
accounting	0	0	0	0	0	0	0	0	0	0	ಲೆಕ್ಕಪತ್ರ
accounts	0	0	0	0	0	0	0	0	0	1	ಖಾತೆಗಳು
accredited	0	0	0	0	0	0	1	0	0	1	ಮಾನ್ಯತೆ ಪಡೆದಿದೆ
accretion	0	0	0	0	0	0	0	0	0	0	ಸಂಚಯ
accrue	0	0	0	0	0	0	0	0	0	0	ಸೇರಿಕೊಳ್ಳುತ್ತವೆ
accueil	0	0	0	0	0	0	1	0	0	0	ಹೆಚ್ಚಿಸಿ
accumulate	0	0	0	0	0	0	0	0	0	0	ಸಂಗ್ರಹಿಸು
accumulation	0	0	0	0	0	0	0	0	0	0	ಶೇಖರಣೆ
accuracy	0	0	0	0	0	0	0	0	0	0	ನಿಖರತೆ
accurate	0	0	0	0	0	0	1	0	0	1	ನಿಖರವಾದ
accursed	1	0	0	1	0	1	0	1	0	0	ಶಾಪಗ್ರಸ್ತ
accusation	1	0	1	0	0	1	0	0	0	0	ಆರೋಪ
accusative	0	0	0	0	0	1	0	0	0	0	ಆರೋಪಿಸುವ
accused	1	0	0	1	0	1	0	0	0	0	ಆರೋಪಿ
accuser	1	0	0	1	0	1	0	0	0	0	ಆರೋಪಿ
accusing	1	0	0	1	0	1	0	0	0	0	ಆರೋಪಿಸುತ್ತಿದ್ದಾರೆ
accustomed	0	0	0	0	0	0	0	0	0	0	ಒಗ್ಗಿಕೊಂಡಿರುತ್ತಾರೆ
ace	0	0	0	0	0	0	1	0	0	0	ಎಕ್ಕ
acetic	0	0	0	0	0	0	0	0	0	0	ಅಸಿಟಿಕ್
ache	0	0	0	0	0	1	0	1	0	0	ನೋವು
achieve	0	0	0	0	1	0	1	0	0	1	ಸಾಧಿಸುತ್ತಾರೆ
achievement	0	1	0	0	1	0	1	0	0	1	ಸಾಧನೆ
aching	0	0	0	0	0	1	0	1	0	0	ನೋಯುತ್ತಿದೆ
acid	0	0	0	0	0	1	0	0	0	0	ಆಮ್ಲ
acidity	0	0	0	0	0	0	0	0	0	0	ಆಮ್ಲೀಯತೆ
acknowledge	0	0	0	0	0	0	0	0	0	0	ಅಂಗೀಕರಿಸು
acknowledged	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ
acknowledgment	0	0	0	0	0	0	1	0	0	0	ಸ್ವೀಕೃತಿ
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ಅಕೌಸ್ಟಿಕ್
acoustics	0	0	0	0	0	0	0	0	0	0	ಅಕೌಸ್ಟಿಕ್ಸ್
acquaint	0	0	0	0	0	0	0	0	0	0	ಪರಿಚಯ
acquaintance	0	0	0	0	0	0	0	0	0	0	ಪರಿಚಯ
acquainted	0	0	0	0	0	0	0	0	0	0	ಪರಿಚಯವಾಯಿತು
acquiescence	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಗೆ
acquire	0	0	0	0	0	0	1	0	0	0	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
acquiring	0	1	0	0	0	0	1	0	0	0	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುತ್ತಿದೆ
acquisition	0	0	0	0	0	0	0	0	0	0	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
acquisitions	0	0	0	0	0	0	0	0	0	0	ಸ್ವಾಧೀನಗಳು
acreage	0	0	0	0	0	0	0	0	0	0	ವಿಸ್ತೀರ್ಣ
acres	0	0	0	0	0	0	0	0	0	0	ಎಕರೆ
acrobat	0	0	0	1	1	0	1	0	0	1	ಅಕ್ರೋಬ್ಯಾಟ್
act	0	0	0	0	0	0	0	0	0	0	ಕಾರ್ಯ
acting	0	0	0	0	0	0	0	0	0	0	ನಟನೆ
action	0	0	0	0	0	0	1	0	0	0	ಕ್ರಮ
actionable	1	0	1	0	0	1	0	0	0	0	ಕಾರ್ಯಸಾಧ್ಯ
active	0	0	0	0	0	0	0	0	0	0	ಸಕ್ರಿಯ
activity	0	0	0	0	0	0	0	0	0	0	ಚಟುವಟಿಕೆ
actor	0	0	0	0	0	0	0	0	0	0	ನಟ
actual	0	0	0	0	0	0	1	0	0	0	ನಿಜವಾದ
actuality	0	0	0	0	0	0	0	0	0	0	ವಾಸ್ತವಿಕತೆ
actuary	0	0	0	0	0	0	0	0	0	0	ವಿಮಾಗಣಕ
acuity	0	0	0	0	0	0	1	0	0	0	ತೀಕ್ಷ್ಣತೆ
acumen	0	0	0	0	0	0	1	0	0	0	ಕುಶಾಗ್ರಮತಿ
acupuncture	0	0	0	0	0	0	0	0	0	0	ಅಕ್ಯುಪಂಕ್ಚರ್
