English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kazakh Word
aback	0	0	0	0	0	0	0	0	0	0	таң қалды
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	тастау
abandoned	1	0	0	1	0	1	0	1	0	0	тастап кеткен
abandonment	1	0	0	1	0	1	0	1	1	0	бас тарту
abate	0	0	0	0	0	0	0	0	0	0	азайту
abatement	0	0	0	0	0	0	0	0	0	0	азайту
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	аббат
abbreviate	0	0	0	0	0	0	0	0	0	0	қысқарту
abbreviation	0	0	0	0	0	0	0	0	0	0	аббревиатура
abdomen	0	0	0	0	0	0	0	0	0	0	іш
abdominal	0	0	0	0	0	0	0	0	0	0	іш
abduction	0	0	0	1	0	1	0	1	1	0	ұрлау
aberrant	0	0	0	0	0	1	0	0	0	0	ауытқу
aberration	0	0	1	0	0	1	0	0	0	0	ауытқу
abeyance	0	0	0	0	0	0	0	0	0	0	тоқтау
abhor	1	0	1	1	0	1	0	0	0	0	жек көру
abhorrent	1	0	1	1	0	1	0	0	0	0	жиренішті
abide	0	0	0	0	0	0	0	0	0	0	ұстану
ability	0	0	0	0	0	0	1	0	0	0	қабілеті
abject	0	0	1	0	0	1	0	0	0	0	сұмдық
ablation	0	0	0	0	0	0	0	0	0	0	абляция
ablaze	0	0	0	0	0	0	0	0	0	0	жанады
abnormal	0	0	1	0	0	1	0	0	0	0	қалыптан тыс
aboard	0	0	0	0	0	0	0	0	0	0	бортында
abode	0	0	0	0	0	0	0	0	0	0	тұрағы
abolish	1	0	0	0	0	1	0	0	0	0	жою
abolition	0	0	0	0	0	1	0	0	0	0	жою
abominable	0	0	1	1	0	1	0	0	0	0	жексұрын
abomination	1	0	1	1	0	1	0	0	0	0	жексұрындық
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	тоқтату
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	сәтсіз
abound	0	0	0	0	0	0	0	0	0	0	мол
abovementioned	0	0	0	0	0	0	1	0	0	0	жоғарыда аталған
abrasion	0	0	0	0	0	1	0	0	0	0	абразия
abroad	0	0	0	0	0	0	0	0	0	0	шетелде
abrogate	0	0	0	0	0	1	0	0	0	0	күшін жою
abrupt	0	0	0	0	0	0	0	0	1	0	күрт
abruptly	0	0	0	0	0	0	0	0	0	0	кенеттен
