English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Korean Word
aback	0	0	0	0	0	0	0	0	0	0	당황
abacus	0	0	0	0	0	0	0	0	0	1	주판
abandon	0	0	0	1	0	1	0	1	0	0	버리다
abandoned	1	0	0	1	0	1	0	1	0	0	버려진
abandonment	1	0	0	1	0	1	0	1	1	0	포기
abate	0	0	0	0	0	0	0	0	0	0	감소
abatement	0	0	0	0	0	0	0	0	0	0	감소
abba	0	0	0	0	0	0	1	0	0	0	아바
abbot	0	0	0	0	0	0	0	0	0	1	대 수도 원장
abbreviate	0	0	0	0	0	0	0	0	0	0	줄여 쓰다
abbreviation	0	0	0	0	0	0	0	0	0	0	약어
abdomen	0	0	0	0	0	0	0	0	0	0	복부
abdominal	0	0	0	0	0	0	0	0	0	0	복부
abduction	0	0	0	1	0	1	0	1	1	0	유 괴
aberrant	0	0	0	0	0	1	0	0	0	0	이상한
aberration	0	0	1	0	0	1	0	0	0	0	수차
abeyance	0	0	0	0	0	0	0	0	0	0	중지
abhor	1	0	1	1	0	1	0	0	0	0	혐오하다
abhorrent	1	0	1	1	0	1	0	0	0	0	혐오스러운
abide	0	0	0	0	0	0	0	0	0	0	머물다
ability	0	0	0	0	0	0	1	0	0	0	능력
abject	0	0	1	0	0	1	0	0	0	0	비열한
ablation	0	0	0	0	0	0	0	0	0	0	제거
ablaze	0	0	0	0	0	0	0	0	0	0	불타는
abnormal	0	0	1	0	0	1	0	0	0	0	이상
aboard	0	0	0	0	0	0	0	0	0	0	배로
abode	0	0	0	0	0	0	0	0	0	0	거처
abolish	1	0	0	0	0	1	0	0	0	0	폐하다
abolition	0	0	0	0	0	1	0	0	0	0	폐지
abominable	0	0	1	1	0	1	0	0	0	0	가증스러운
abomination	1	0	1	1	0	1	0	0	0	0	질색
aboriginal	0	0	0	0	0	0	0	0	0	0	원주민
abort	0	0	0	0	0	1	0	0	0	0	중단하다
abortion	0	0	1	1	0	1	0	1	0	0	낙태
abortive	0	0	0	0	0	1	0	1	0	0	낙태
abound	0	0	0	0	0	0	0	0	0	0	많이 있다
abovementioned	0	0	0	0	0	0	1	0	0	0	위에서 언급한
abrasion	0	0	0	0	0	1	0	0	0	0	연마
abroad	0	0	0	0	0	0	0	0	0	0	해외에서
abrogate	0	0	0	0	0	1	0	0	0	0	폐지하다
abrupt	0	0	0	0	0	0	0	0	1	0	험준한
abruptly	0	0	0	0	0	0	0	0	0	0	갑자기
abscess	0	0	0	0	0	1	0	1	0	0	농양
absence	0	0	0	1	0	1	0	1	0	0	결석
absent	0	0	0	0	0	1	0	1	0	0	결석
absentee	0	0	0	0	0	1	0	1	0	0	부재자
absenteeism	0	0	0	0	0	1	0	0	0	0	장기 결석
absinthe	0	0	0	0	0	0	0	0	0	0	압생트
absolute	0	0	0	0	0	0	1	0	0	0	순수한
absolution	0	0	0	0	1	0	1	0	0	1	사면
absorbed	0	0	0	0	0	0	1	0	0	0	흡수
absorbent	0	0	0	0	0	0	0	0	0	0	흡착제
absorbing	0	0	0	0	0	0	0	0	0	0	흡수
absorption	0	0	0	0	0	0	0	0	0	0	흡수
abstain	0	0	0	0	0	0	0	0	0	0	삼가다
abstention	0	0	0	0	0	0	0	0	0	0	기권
abstinence	0	0	0	0	0	0	0	0	0	0	절제
abstract	0	0	0	0	0	0	0	0	0	0	요약
abstraction	0	0	0	0	0	0	0	0	0	0	추출
absurd	0	0	0	0	0	1	0	0	0	0	터무니없는
absurdity	0	0	0	0	0	1	0	0	0	0	부조리
abundance	0	1	1	0	1	1	1	0	0	1	풍부
abundant	0	0	0	0	1	0	1	0	0	0	풍부한
abuse	1	0	1	1	0	1	0	1	0	0	남용
abutment	0	0	0	0	0	0	0	0	0	0	인접
aby	0	0	0	0	0	0	0	0	0	0	아비
abysmal	0	0	0	0	0	1	0	1	0	0	심연
abyss	0	0	0	1	0	1	0	1	0	0	심연
academic	0	0	0	0	0	0	1	0	0	1	학생
academy	0	0	0	0	0	0	1	0	0	0	학원
