English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kurdish-Kurmanji Word
aback	0	0	0	0	0	0	0	0	0	0	aback
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	terikandin
abandoned	1	0	0	1	0	1	0	1	0	0	terikandin
abandonment	1	0	0	1	0	1	0	1	1	0	terikandin
abate	0	0	0	0	0	0	0	0	0	0	kêm kirin
abatement	0	0	0	0	0	0	0	0	0	0	kêmkirin
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	kinkirin
abbreviation	0	0	0	0	0	0	0	0	0	0	kinkirî
abdomen	0	0	0	0	0	0	0	0	0	0	binzik
abdominal	0	0	0	0	0	0	0	0	0	0	zik
abduction	0	0	0	1	0	1	0	1	1	0	revandinî
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	sekinîn
abhor	1	0	1	1	0	1	0	0	0	0	nefret kirin
abhorrent	1	0	1	1	0	1	0	0	0	0	nefret
abide	0	0	0	0	0	0	0	0	0	0	debirandin
ability	0	0	0	0	0	0	1	0	0	0	kêrhatî
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	arpêketî
abnormal	0	0	1	0	0	1	0	0	0	0	nenormal
aboard	0	0	0	0	0	0	0	0	0	0	li ser
abode	0	0	0	0	0	0	0	0	0	0	rûniştiye
abolish	1	0	0	0	0	1	0	0	0	0	rakirin
abolition	0	0	0	0	0	1	0	0	0	0	betalkirin
abominable	0	0	1	1	0	1	0	0	0	0	nefret
abomination	1	0	1	1	0	1	0	0	0	0	nefret
aboriginal	0	0	0	0	0	0	0	0	0	0	aborjîn
abort	0	0	0	0	0	1	0	0	0	0	betal kirin
abortion	0	0	1	1	0	1	0	1	0	0	ji berxwegirtin
abortive	0	0	0	0	0	1	0	1	0	0	abortive
abound	0	0	0	0	0	0	0	0	0	0	pirbûn
abovementioned	0	0	0	0	0	0	1	0	0	0	li jor behs kirin
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	ji derve
abrogate	0	0	0	0	0	1	0	0	0	0	betal kirin
abrupt	0	0	0	0	0	0	0	0	1	0	seranser
abruptly	0	0	0	0	0	0	0	0	0	0	ji nişka ve
abscess	0	0	0	0	0	1	0	1	0	0	kûl
absence	0	0	0	1	0	1	0	1	0	0	neamadeyî
absent	0	0	0	0	0	1	0	1	0	0	neamade
absentee	0	0	0	0	0	1	0	1	0	0	nebûn
absenteeism	0	0	0	0	0	1	0	0	0	0	nebûn
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	absolute
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	hejandin
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	vegirtin
absorption	0	0	0	0	0	0	0	0	0	0	vegirtin
abstain	0	0	0	0	0	0	0	0	0	0	bêdengmayin
abstention	0	0	0	0	0	0	0	0	0	0	betalkirin
abstinence	0	0	0	0	0	0	0	0	0	0	bêparkirin
abstract	0	0	0	0	0	0	0	0	0	0	veqetî
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	dijrast
absurdity	0	0	0	0	0	1	0	0	0	0	absurdity
abundance	0	1	1	0	1	1	1	0	0	1	zêdayî
abundant	0	0	0	0	1	0	1	0	0	0	gellek
abuse	1	0	1	1	0	1	0	1	0	0	nebaşkaranî
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	danişgayî
academy	0	0	0	0	0	0	1	0	0	0	danişga
accede	0	0	0	0	0	0	0	0	0	0	bipejirînin
accelerate	0	1	0	0	0	0	0	0	0	0	lezdan
acceleration	0	0	0	0	0	0	0	0	0	0	lezdanî
accent	0	0	0	0	0	0	0	0	0	0	devok
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate kirin
accept	0	0	0	0	0	0	0	0	0	0	baweranîn
acceptable	0	0	0	0	0	0	1	0	0	0	bawerbar
acceptance	0	0	0	0	0	0	1	0	0	0	bawerî
access	0	0	0	0	0	0	0	0	0	0	navketin
accessible	0	0	0	0	0	0	1	0	0	0	navketî
accession	0	0	0	0	0	0	0	0	0	0	tevlêbûn
accessory	0	0	0	0	0	0	0	0	0	0	perçê pêva
accident	0	0	0	1	0	1	0	1	1	0	qeza
accidental	0	0	0	1	0	1	0	0	1	0	bêqesd
accidentally	0	0	0	0	0	0	0	0	1	0	tesadûfî
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	bicihkirin
accommodation	0	0	0	0	0	0	1	0	0	0	cih
accompaniment	0	1	0	0	1	0	1	0	0	1	hevalrêtî
accompany	0	0	0	0	0	0	0	0	0	0	hevalrêtîkirin
accompanying	0	0	0	0	0	0	0	0	0	0	bi hev re
accomplice	0	0	0	0	0	0	0	0	0	0	hevkar
accomplish	0	0	0	0	1	0	1	0	0	0	bicihanîn
accomplished	0	0	0	0	1	0	1	0	0	0	pêk anîn
accomplishment	0	0	0	0	0	0	1	0	0	0	bicihhatî
accord	0	0	0	0	0	0	1	0	0	1	lihevkirin
accordance	0	0	0	0	0	0	0	0	0	0	li gorî
