English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kyrgyz Word
aback	0	0	0	0	0	0	0	0	0	0	таң калуу
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	таштоо
abandoned	1	0	0	1	0	1	0	1	0	0	ташталган
abandonment	1	0	0	1	0	1	0	1	1	0	таштоо
abate	0	0	0	0	0	0	0	0	0	0	азайтуу
abatement	0	0	0	0	0	0	0	0	0	0	азайтуу
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	аббат
abbreviate	0	0	0	0	0	0	0	0	0	0	кыскартуу
abbreviation	0	0	0	0	0	0	0	0	0	0	аббревиатура
abdomen	0	0	0	0	0	0	0	0	0	0	курсак
abdominal	0	0	0	0	0	0	0	0	0	0	ич
abduction	0	0	0	1	0	1	0	1	1	0	уурдоо
aberrant	0	0	0	0	0	1	0	0	0	0	аберант
aberration	0	0	1	0	0	1	0	0	0	0	аберация
abeyance	0	0	0	0	0	0	0	0	0	0	токтоп калуу
abhor	1	0	1	1	0	1	0	0	0	0	жийиркенүү
abhorrent	1	0	1	1	0	1	0	0	0	0	жийиркеничтүү
abide	0	0	0	0	0	0	0	0	0	0	туруу
ability	0	0	0	0	0	0	1	0	0	0	жөндөмдүүлүк
abject	0	0	1	0	0	1	0	0	0	0	абийирсиз
ablation	0	0	0	0	0	0	0	0	0	0	абляция
ablaze	0	0	0	0	0	0	0	0	0	0	жалындайт
abnormal	0	0	1	0	0	1	0	0	0	0	анормалдуу
aboard	0	0	0	0	0	0	0	0	0	0	бортунда
abode	0	0	0	0	0	0	0	0	0	0	турак жай
abolish	1	0	0	0	0	1	0	0	0	0	жоюу
abolition	0	0	0	0	0	1	0	0	0	0	жоюу
abominable	0	0	1	1	0	1	0	0	0	0	жийиркеничтүү
abomination	1	0	1	1	0	1	0	0	0	0	жийиркеничтүү
