English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Lao Word
aback	0	0	0	0	0	0	0	0	0	0	ຕົກໃຈ
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ປະຖິ້ມ
abandoned	1	0	0	1	0	1	0	1	0	0	ຖືກປະຖິ້ມ
abandonment	1	0	0	1	0	1	0	1	1	0	ການປະຖິ້ມ
abate	0	0	0	0	0	0	0	0	0	0	ຫາຍດີ
abatement	0	0	0	0	0	0	0	0	0	0	ການ​ຫຼຸດ​ຜ່ອນ​ການ​
abba	0	0	0	0	0	0	1	0	0	0	ອັບບາ
abbot	0	0	0	0	0	0	0	0	0	1	ອະທິການບໍດີ
abbreviate	0	0	0	0	0	0	0	0	0	0	ຫຍໍ້
abbreviation	0	0	0	0	0	0	0	0	0	0	ຕົວຫຍໍ້
abdomen	0	0	0	0	0	0	0	0	0	0	ທ້ອງ
abdominal	0	0	0	0	0	0	0	0	0	0	ທ້ອງ
abduction	0	0	0	1	0	1	0	1	1	0	ການລັກພາຕົວ
aberrant	0	0	0	0	0	1	0	0	0	0	ຜິດ​ປົກ​ກະ​ຕິ
aberration	0	0	1	0	0	1	0	0	0	0	ຄວາມຜິດປົກກະຕິ
abeyance	0	0	0	0	0	0	0	0	0	0	ການ​ປະ​ຖິ້ມ
abhor	1	0	1	1	0	1	0	0	0	0	ກຽດຊັງ
abhorrent	1	0	1	1	0	1	0	0	0	0	ໜ້າກຽດຊັງ
abide	0	0	0	0	0	0	0	0	0	0	ຍຶດຖື
ability	0	0	0	0	0	0	1	0	0	0	ຄວາມສາມາດ
abject	0	0	1	0	0	1	0	0	0	0	ໃຈຮ້າຍ
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	ໄຟໄໝ້
abnormal	0	0	1	0	0	1	0	0	0	0	ຜິດປົກກະຕິ
aboard	0	0	0	0	0	0	0	0	0	0	ຢູ່ເທິງເຮືອ
abode	0	0	0	0	0	0	0	0	0	0	ທີ່​ອາ​ໄສ
abolish	1	0	0	0	0	1	0	0	0	0	ຍົກເລີກ
abolition	0	0	0	0	0	1	0	0	0	0	ການຍົກເລີກ
abominable	0	0	1	1	0	1	0	0	0	0	ໜ້າລັງກຽດ
abomination	1	0	1	1	0	1	0	0	0	0	ໜ້າກຽດຊັງ
