English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Latin Word
aback	0	0	0	0	0	0	0	0	0	0	perculsus
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	relinquere
abandoned	1	0	0	1	0	1	0	1	0	0	relicta
abandonment	1	0	0	1	0	1	0	1	1	0	desertio
abate	0	0	0	0	0	0	0	0	0	0	mitesceret
abatement	0	0	0	0	0	0	0	0	0	0	peremptio
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbas
abbreviate	0	0	0	0	0	0	0	0	0	0	abbreviate
abbreviation	0	0	0	0	0	0	0	0	0	0	abbreviationem
abdomen	0	0	0	0	0	0	0	0	0	0	abdominis
abdominal	0	0	0	0	0	0	0	0	0	0	abdominis
abduction	0	0	0	1	0	1	0	1	1	0	raptum
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberratio
abeyance	0	0	0	0	0	0	0	0	0	0	abstinentia
abhor	1	0	1	1	0	1	0	0	0	0	abominari
abhorrent	1	0	1	1	0	1	0	0	0	0	abominabilis
abide	0	0	0	0	0	0	0	0	0	0	manere
ability	0	0	0	0	0	0	1	0	0	0	facultatem
abject	0	0	1	0	0	1	0	0	0	0	abiectio
ablation	0	0	0	0	0	0	0	0	0	0	ablatio
ablaze	0	0	0	0	0	0	0	0	0	0	ardere
abnormal	0	0	1	0	0	1	0	0	0	0	alius
aboard	0	0	0	0	0	0	0	0	0	0	navigavimus
abode	0	0	0	0	0	0	0	0	0	0	habitatio
abolish	1	0	0	0	0	1	0	0	0	0	abolere
abolition	0	0	0	0	0	1	0	0	0	0	abolitio
abominable	0	0	1	1	0	1	0	0	0	0	abominabilis
abomination	1	0	1	1	0	1	0	0	0	0	abominatio
aboriginal	0	0	0	0	0	0	0	0	0	0	archetypus
abort	0	0	0	0	0	1	0	0	0	0	abort
abortion	0	0	1	1	0	1	0	1	0	0	abortum
abortive	0	0	0	0	0	1	0	1	0	0	abortivum
abound	0	0	0	0	0	0	0	0	0	0	abundare
abovementioned	0	0	0	0	0	0	1	0	0	0	de quibus supra
abrasion	0	0	0	0	0	1	0	0	0	0	abrasione
abroad	0	0	0	0	0	0	0	0	0	0	foris
abrogate	0	0	0	0	0	1	0	0	0	0	abrogare
abrupt	0	0	0	0	0	0	0	0	1	0	abruptum
abruptly	0	0	0	0	0	0	0	0	0	0	repente
abscess	0	0	0	0	0	1	0	1	0	0	apostema
absence	0	0	0	1	0	1	0	1	0	0	absentia
absent	0	0	0	0	0	1	0	1	0	0	absens
absentee	0	0	0	0	0	1	0	1	0	0	absentium
absenteeism	0	0	0	0	0	1	0	0	0	0	absenteeism
absinthe	0	0	0	0	0	0	0	0	0	0	absinthium
absolute	0	0	0	0	0	0	1	0	0	0	absolutum
absolution	0	0	0	0	1	0	1	0	0	1	absolutio
absorbed	0	0	0	0	0	0	1	0	0	0	absorptus
absorbent	0	0	0	0	0	0	0	0	0	0	BIBULUS
absorbing	0	0	0	0	0	0	0	0	0	0	absorbens
absorption	0	0	0	0	0	0	0	0	0	0	effusio
abstain	0	0	0	0	0	0	0	0	0	0	abstinere
abstention	0	0	0	0	0	0	0	0	0	0	abstinentia
abstinence	0	0	0	0	0	0	0	0	0	0	abstinentia
abstract	0	0	0	0	0	0	0	0	0	0	abstractum
abstraction	0	0	0	0	0	0	0	0	0	0	abstractio
absurd	0	0	0	0	0	1	0	0	0	0	absurdum
absurdity	0	0	0	0	0	1	0	0	0	0	absurditas
abundance	0	1	1	0	1	1	1	0	0	1	abundantia
abundant	0	0	0	0	1	0	1	0	0	0	abundat
abuse	1	0	1	1	0	1	0	1	0	0	abusu
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby-
abysmal	0	0	0	0	0	1	0	1	0	0	abyssus
abyss	0	0	0	1	0	1	0	1	0	0	abyssus
academic	0	0	0	0	0	0	1	0	0	1	academica
academy	0	0	0	0	0	0	1	0	0	0	academiae
accede	0	0	0	0	0	0	0	0	0	0	accede
accelerate	0	1	0	0	0	0	0	0	0	0	accelerate
acceleration	0	0	0	0	0	0	0	0	0	0	acceleratio
accent	0	0	0	0	0	0	0	0	0	0	accentu
accentuate	0	0	0	0	0	0	0	0	0	0	PREMO
accept	0	0	0	0	0	0	0	0	0	0	accipere
acceptable	0	0	0	0	0	0	1	0	0	0	gratum
acceptance	0	0	0	0	0	0	1	0	0	0	acceptatio
access	0	0	0	0	0	0	0	0	0	0	accessum
accessible	0	0	0	0	0	0	1	0	0	0	accessible
accession	0	0	0	0	0	0	0	0	0	0	accessio
accessory	0	0	0	0	0	0	0	0	0	0	accessorium
accident	0	0	0	1	0	1	0	1	1	0	casus
accidental	0	0	0	1	0	1	0	0	1	0	accidens
accidentally	0	0	0	0	0	0	0	0	1	0	accidens
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	accommodare
accommodation	0	0	0	0	0	0	1	0	0	0	accommodatio
accompaniment	0	1	0	0	1	0	1	0	0	1	comitante
accompany	0	0	0	0	0	0	0	0	0	0	comitantur
accompanying	0	0	0	0	0	0	0	0	0	0	comitante
accomplice	0	0	0	0	0	0	0	0	0	0	conscius
accomplish	0	0	0	0	1	0	1	0	0	0	efficere
accomplished	0	0	0	0	1	0	1	0	0	0	peracta
accomplishment	0	0	0	0	0	0	1	0	0	0	effectus
accord	0	0	0	0	0	0	1	0	0	1	secundum
accordance	0	0	0	0	0	0	0	0	0	0	secundum
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	propter
accountability	0	0	0	0	0	0	1	0	0	1	accountability
