English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Latvian Word
aback	0	0	0	0	0	0	0	0	0	0	satriekts
abacus	0	0	0	0	0	0	0	0	0	1	abakuss
abandon	0	0	0	1	0	1	0	1	0	0	pamest
abandoned	1	0	0	1	0	1	0	1	0	0	pamesti
abandonment	1	0	0	1	0	1	0	1	1	0	pamešana
abate	0	0	0	0	0	0	0	0	0	0	mazināties
abatement	0	0	0	0	0	0	0	0	0	0	samazināšana
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abats
abbreviate	0	0	0	0	0	0	0	0	0	0	saīsināt
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviatūra
abdomen	0	0	0	0	0	0	0	0	0	0	vēders
abdominal	0	0	0	0	0	0	0	0	0	0	vēdera
abduction	0	0	0	1	0	1	0	1	1	0	nolaupīšana
aberrant	0	0	0	0	0	1	0	0	0	0	novirzes
aberration	0	0	1	0	0	1	0	0	0	0	aberācija
abeyance	0	0	0	0	0	0	0	0	0	0	aizkavēšanās
abhor	1	0	1	1	0	1	0	0	0	0	riebjas
abhorrent	1	0	1	1	0	1	0	0	0	0	pretīgs
abide	0	0	0	0	0	0	0	0	0	0	ievērot
ability	0	0	0	0	0	0	1	0	0	0	spēja
abject	0	0	1	0	0	1	0	0	0	0	nožēlojams
ablation	0	0	0	0	0	0	0	0	0	0	ablācija
ablaze	0	0	0	0	0	0	0	0	0	0	liesmot
abnormal	0	0	1	0	0	1	0	0	0	0	nenormāli
aboard	0	0	0	0	0	0	0	0	0	0	uz klāja
abode	0	0	0	0	0	0	0	0	0	0	mājvieta
abolish	1	0	0	0	0	1	0	0	0	0	atcelt
abolition	0	0	0	0	0	1	0	0	0	0	atcelšana
abominable	0	0	1	1	0	1	0	0	0	0	riebīgs
abomination	1	0	1	1	0	1	0	0	0	0	negantība
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigēnu
abort	0	0	0	0	0	1	0	0	0	0	pārtraukt
abortion	0	0	1	1	0	1	0	1	0	0	aborts
abortive	0	0	0	0	0	1	0	1	0	0	abortīvs
abound	0	0	0	0	0	0	0	0	0	0	pārpilnībā
abovementioned	0	0	0	0	0	0	1	0	0	0	Augstāk minēts
