English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Lithuanian Word
aback	0	0	0	0	0	0	0	0	0	0	apstulbęs
abacus	0	0	0	0	0	0	0	0	0	1	abakas
abandon	0	0	0	1	0	1	0	1	0	0	palikti
abandoned	1	0	0	1	0	1	0	1	0	0	apleistas
abandonment	1	0	0	1	0	1	0	1	1	0	apleidimas
abate	0	0	0	0	0	0	0	0	0	0	susilpnėti
abatement	0	0	0	0	0	0	0	0	0	0	sumažinimas
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abatas
abbreviate	0	0	0	0	0	0	0	0	0	0	sutrumpinti
abbreviation	0	0	0	0	0	0	0	0	0	0	santrumpa
abdomen	0	0	0	0	0	0	0	0	0	0	pilvas
abdominal	0	0	0	0	0	0	0	0	0	0	pilvo
abduction	0	0	0	1	0	1	0	1	1	0	pagrobimas
aberrant	0	0	0	0	0	1	0	0	0	0	nenormalus
aberration	0	0	1	0	0	1	0	0	0	0	aberacija
abeyance	0	0	0	0	0	0	0	0	0	0	atidėjimas
abhor	1	0	1	1	0	1	0	0	0	0	bjaurėtis
abhorrent	1	0	1	1	0	1	0	0	0	0	pasibjaurėtina
abide	0	0	0	0	0	0	0	0	0	0	laikytis
ability	0	0	0	0	0	0	1	0	0	0	gebėjimas
abject	0	0	1	0	0	1	0	0	0	0	apgailėtinas
ablation	0	0	0	0	0	0	0	0	0	0	abliacija
ablaze	0	0	0	0	0	0	0	0	0	0	liepsnoti
abnormal	0	0	1	0	0	1	0	0	0	0	nenormalus
aboard	0	0	0	0	0	0	0	0	0	0	laive
abode	0	0	0	0	0	0	0	0	0	0	buveinė
abolish	1	0	0	0	0	1	0	0	0	0	panaikinti
abolition	0	0	0	0	0	1	0	0	0	0	panaikinimas
abominable	0	0	1	1	0	1	0	0	0	0	šlykštus
abomination	1	0	1	1	0	1	0	0	0	0	bjaurybė
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigenai
abort	0	0	0	0	0	1	0	0	0	0	nutraukti
abortion	0	0	1	1	0	1	0	1	0	0	abortas
abortive	0	0	0	0	0	1	0	1	0	0	abortinis
abound	0	0	0	0	0	0	0	0	0	0	gausu
abovementioned	0	0	0	0	0	0	1	0	0	0	anksčiau paminėtas
abrasion	0	0	0	0	0	1	0	0	0	0	dilimas
abroad	0	0	0	0	0	0	0	0	0	0	užsienyje
abrogate	0	0	0	0	0	1	0	0	0	0	panaikinti
abrupt	0	0	0	0	0	0	0	0	1	0	staigus
abruptly	0	0	0	0	0	0	0	0	0	0	staigiai
abscess	0	0	0	0	0	1	0	1	0	0	abscesas
absence	0	0	0	1	0	1	0	1	0	0	nebuvimas
absent	0	0	0	0	0	1	0	1	0	0	nėra
absentee	0	0	0	0	0	1	0	1	0	0	pravaikštas
absenteeism	0	0	0	0	0	1	0	0	0	0	pravaikštos
absinthe	0	0	0	0	0	0	0	0	0	0	absentas
absolute	0	0	0	0	0	0	1	0	0	0	absoliutus
absolution	0	0	0	0	1	0	1	0	0	1	atleidimas
absorbed	0	0	0	0	0	0	1	0	0	0	absorbuojamas
absorbent	0	0	0	0	0	0	0	0	0	0	sugeriantis
absorbing	0	0	0	0	0	0	0	0	0	0	sugeriantis
absorption	0	0	0	0	0	0	0	0	0	0	absorbcija
abstain	0	0	0	0	0	0	0	0	0	0	susilaikyti
abstention	0	0	0	0	0	0	0	0	0	0	susilaikymas
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencija
abstract	0	0	0	0	0	0	0	0	0	0	abstrakčiai
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakcija
absurd	0	0	0	0	0	1	0	0	0	0	absurdas
absurdity	0	0	0	0	0	1	0	0	0	0	absurdas
abundance	0	1	1	0	1	1	1	0	0	1	gausa
abundant	0	0	0	0	1	0	1	0	0	0	gausu
abuse	1	0	1	1	0	1	0	1	0	0	piktnaudžiavimas
abutment	0	0	0	0	0	0	0	0	0	0	atrama
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bedugnė
abyss	0	0	0	1	0	1	0	1	0	0	bedugnė
academic	0	0	0	0	0	0	1	0	0	1	akademinis
academy	0	0	0	0	0	0	1	0	0	0	akademija
accede	0	0	0	0	0	0	0	0	0	0	prisijungti
accelerate	0	1	0	0	0	0	0	0	0	0	paspartinti
acceleration	0	0	0	0	0	0	0	0	0	0	pagreitis
accent	0	0	0	0	0	0	0	0	0	0	akcentas
accentuate	0	0	0	0	0	0	0	0	0	0	akcentuoti
