English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Luxembourgish Word
aback	0	0	0	0	0	0	0	0	0	0	iwwerrascht
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	opginn
abandoned	1	0	0	1	0	1	0	1	0	0	opginn
abandonment	1	0	0	1	0	1	0	1	1	0	opginn
abate	0	0	0	0	0	0	0	0	0	0	erofzesetzen
abatement	0	0	0	0	0	0	0	0	0	0	Ofbau
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	Abt
abbreviate	0	0	0	0	0	0	0	0	0	0	ofkierzen
abbreviation	0	0	0	0	0	0	0	0	0	0	Ofkierzung
abdomen	0	0	0	0	0	0	0	0	0	0	Bauch
abdominal	0	0	0	0	0	0	0	0	0	0	Bauch
abduction	0	0	0	1	0	1	0	1	1	0	Entféierung
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	Abeijung
abhor	1	0	1	1	0	1	0	0	0	0	ofzeschafen
abhorrent	1	0	1	1	0	1	0	0	0	0	abschreckend
abide	0	0	0	0	0	0	0	0	0	0	bleiwen
ability	0	0	0	0	0	0	1	0	0	0	Fäegkeet
abject	0	0	1	0	0	1	0	0	0	0	abjekt
ablation	0	0	0	0	0	0	0	0	0	0	Ablatioun
ablaze	0	0	0	0	0	0	0	0	0	0	flammen
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	u Bord
abode	0	0	0	0	0	0	0	0	0	0	wunnen
abolish	1	0	0	0	0	1	0	0	0	0	ofschafen
abolition	0	0	0	0	0	1	0	0	0	0	Ofschafung
abominable	0	0	1	1	0	1	0	0	0	0	abominabel
abomination	1	0	1	1	0	1	0	0	0	0	abomination
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	ofbriechen
abortion	0	0	1	1	0	1	0	1	0	0	Ofdreiwung
abortive	0	0	0	0	0	1	0	1	0	0	abortiv
abound	0	0	0	0	0	0	0	0	0	0	vill
abovementioned	0	0	0	0	0	0	1	0	0	0	uewen ernimmt
abrasion	0	0	0	0	0	1	0	0	0	0	Ofdreiwung
abroad	0	0	0	0	0	0	0	0	0	0	am Ausland
abrogate	0	0	0	0	0	1	0	0	0	0	ofbriechen
abrupt	0	0	0	0	0	0	0	0	1	0	abrupt
abruptly	0	0	0	0	0	0	0	0	0	0	abrupt
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	Absence
absent	0	0	0	0	0	1	0	1	0	0	absent
absentee	0	0	0	0	0	1	0	1	0	0	absentee
absenteeism	0	0	0	0	0	1	0	0	0	0	Absenteeismus
absinthe	0	0	0	0	0	0	0	0	0	0	absinth
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	Absolutioun
absorbed	0	0	0	0	0	0	1	0	0	0	absorbéiert
absorbent	0	0	0	0	0	0	0	0	0	0	absorbéierend
absorbing	0	0	0	0	0	0	0	0	0	0	absorbéieren
absorption	0	0	0	0	0	0	0	0	0	0	Absorptioun
abstain	0	0	0	0	0	0	0	0	0	0	enthalen
abstention	0	0	0	0	0	0	0	0	0	0	Enthalung
abstinence	0	0	0	0	0	0	0	0	0	0	Abstinenz
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	Abstraktioun
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	Absurditéit
abundance	0	1	1	0	1	1	1	0	0	1	Iwwerfloss
abundant	0	0	0	0	1	0	1	0	0	0	reichend
abuse	1	0	1	1	0	1	0	1	0	0	Mëssbrauch
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	onheemlech
abyss	0	0	0	1	0	1	0	1	0	0	Ofgrond
academic	0	0	0	0	0	0	1	0	0	1	akademesch
academy	0	0	0	0	0	0	1	0	0	0	Akademie
accede	0	0	0	0	0	0	0	0	0	0	zouginn
accelerate	0	1	0	0	0	0	0	0	0	0	beschleunegen
acceleration	0	0	0	0	0	0	0	0	0	0	Beschleunegung
accent	0	0	0	0	0	0	0	0	0	0	Akzent
accentuate	0	0	0	0	0	0	0	0	0	0	accentuéieren
accept	0	0	0	0	0	0	0	0	0	0	akzeptéieren
acceptable	0	0	0	0	0	0	1	0	0	0	akzeptabel
acceptance	0	0	0	0	0	0	1	0	0	0	Akzeptanz
access	0	0	0	0	0	0	0	0	0	0	Zougang
accessible	0	0	0	0	0	0	1	0	0	0	zougänglech
accession	0	0	0	0	0	0	0	0	0	0	Bäitrëtt
accessory	0	0	0	0	0	0	0	0	0	0	Accessoire
accident	0	0	0	1	0	1	0	1	1	0	Accident
accidental	0	0	0	1	0	1	0	0	1	0	zoufälleg
accidentally	0	0	0	0	0	0	0	0	1	0	zoufälleg
accolade	0	1	0	0	1	0	1	0	1	1	unerkannt
accommodate	0	0	0	0	0	0	0	0	0	0	aménagéieren
accommodation	0	0	0	0	0	0	1	0	0	0	Ënnerkunft
accompaniment	0	1	0	0	1	0	1	0	0	1	Begleedung
accompany	0	0	0	0	0	0	0	0	0	0	begleeden
accompanying	0	0	0	0	0	0	0	0	0	0	begleeden
accomplice	0	0	0	0	0	0	0	0	0	0	Kompliz
accomplish	0	0	0	0	1	0	1	0	0	0	erreechen
accomplished	0	0	0	0	1	0	1	0	0	0	erfëllt
accomplishment	0	0	0	0	0	0	1	0	0	0	Leeschtung
accord	0	0	0	0	0	0	1	0	0	1	Accord
accordance	0	0	0	0	0	0	0	0	0	0	konform
accordion	0	0	0	0	0	0	0	0	0	0	Akkordeon
account	0	0	0	0	0	0	0	0	0	1	Kont
accountability	0	0	0	0	0	0	1	0	0	1	Rechenschaftspflicht
accountable	0	0	0	0	0	0	1	0	0	1	verantwortlech
accountant	0	0	0	0	0	0	0	0	0	1	Comptabel
accounting	0	0	0	0	0	0	0	0	0	0	Comptabilitéit
accounts	0	0	0	0	0	0	0	0	0	1	Konten
accredited	0	0	0	0	0	0	1	0	0	1	akkreditéiert
accretion	0	0	0	0	0	0	0	0	0	0	Accretioun
accrue	0	0	0	0	0	0	0	0	0	0	anhuelen
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	accumuléieren
accumulation	0	0	0	0	0	0	0	0	0	0	Akkumulation
accuracy	0	0	0	0	0	0	0	0	0	0	Genauegkeet
accurate	0	0	0	0	0	0	1	0	0	1	korrekt
accursed	1	0	0	1	0	1	0	1	0	0	verflucht
accusation	1	0	1	0	0	1	0	0	0	0	Uklo
accusative	0	0	0	0	0	1	0	0	0	0	akuzativ
accused	1	0	0	1	0	1	0	0	0	0	beschëllegt
accuser	1	0	0	1	0	1	0	0	0	0	Uklo
accusing	1	0	0	1	0	1	0	0	0	0	beschëllegt
accustomed	0	0	0	0	0	0	0	0	0	0	gewinnt
ace	0	0	0	0	0	0	1	0	0	0	ass
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	ach
achieve	0	0	0	0	1	0	1	0	0	1	erreechen
achievement	0	1	0	0	1	0	1	0	0	1	Leeschtung
aching	0	0	0	0	0	1	0	1	0	0	eech
acid	0	0	0	0	0	1	0	0	0	0	sauer
acidity	0	0	0	0	0	0	0	0	0	0	Aciditéit
acknowledge	0	0	0	0	0	0	0	0	0	0	unerkennen
acknowledged	0	0	0	0	0	0	0	0	0	0	unerkannt
acknowledgment	0	0	0	0	0	0	1	0	0	0	Unerkennung
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustesch
acoustics	0	0	0	0	0	0	0	0	0	0	Akustik
acquaint	0	0	0	0	0	0	0	0	0	0	kennt
acquaintance	0	0	0	0	0	0	0	0	0	0	Bekannten
acquainted	0	0	0	0	0	0	0	0	0	0	kennt
acquiescence	0	0	0	0	0	0	0	0	0	0	Acquiescence
acquire	0	0	0	0	0	0	1	0	0	0	kréien
acquiring	0	1	0	0	0	0	1	0	0	0	kréien
acquisition	0	0	0	0	0	0	0	0	0	0	Acquisitioun
acquisitions	0	0	0	0	0	0	0	0	0	0	Acquisitioune
acreage	0	0	0	0	0	0	0	0	0	0	Fläch
acres	0	0	0	0	0	0	0	0	0	0	Hektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	handelen
acting	0	0	0	0	0	0	0	0	0	0	handelen
action	0	0	0	0	0	0	1	0	0	0	Aktioun
actionable	1	0	1	0	0	1	0	0	0	0	handelbar
active	0	0	0	0	0	0	0	0	0	0	aktiv
activity	0	0	0	0	0	0	0	0	0	0	Aktivitéit
actor	0	0	0	0	0	0	0	0	0	0	Schauspiller
actual	0	0	0	0	0	0	1	0	0	0	tatsächlech
actuality	0	0	0	0	0	0	0	0	0	0	Realitéit
actuary	0	0	0	0	0	0	0	0	0	0	Aktuar
acuity	0	0	0	0	0	0	1	0	0	0	Akuitéit
acumen	0	0	0	0	0	0	1	0	0	0	Éierlechkeet
acupuncture	0	0	0	0	0	0	0	0	0	0	Akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akut
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	ustrengend
adapt	0	0	0	0	0	0	1	0	0	0	adaptéieren
adaptable	0	0	0	0	0	0	1	0	0	0	adaptéierbar
add	0	0	0	0	0	0	0	0	0	0	dobäizemaachen
added	0	0	0	0	0	0	0	0	0	0	dobäi
addendum	0	0	0	0	0	0	0	0	0	0	addendum
