English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Macedonian Word
aback	0	0	0	0	0	0	0	0	0	0	изненадени
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	напушти
abandoned	1	0	0	1	0	1	0	1	0	0	напуштен
abandonment	1	0	0	1	0	1	0	1	1	0	напуштање
abate	0	0	0	0	0	0	0	0	0	0	намали
abatement	0	0	0	0	0	0	0	0	0	0	намалување
abba	0	0	0	0	0	0	1	0	0	0	аба
abbot	0	0	0	0	0	0	0	0	0	1	игумен
abbreviate	0	0	0	0	0	0	0	0	0	0	скратуваат
abbreviation	0	0	0	0	0	0	0	0	0	0	кратенка
abdomen	0	0	0	0	0	0	0	0	0	0	стомак
abdominal	0	0	0	0	0	0	0	0	0	0	абдоминална
abduction	0	0	0	1	0	1	0	1	1	0	киднапирање
aberrant	0	0	0	0	0	1	0	0	0	0	аберрантен
aberration	0	0	1	0	0	1	0	0	0	0	аберација
abeyance	0	0	0	0	0	0	0	0	0	0	мирување
abhor	1	0	1	1	0	1	0	0	0	0	одвратност
abhorrent	1	0	1	1	0	1	0	0	0	0	одвратен
abide	0	0	0	0	0	0	0	0	0	0	придржуваат
ability	0	0	0	0	0	0	1	0	0	0	способност
abject	0	0	1	0	0	1	0	0	0	0	беден
ablation	0	0	0	0	0	0	0	0	0	0	аблација
ablaze	0	0	0	0	0	0	0	0	0	0	запален
abnormal	0	0	1	0	0	1	0	0	0	0	ненормални
aboard	0	0	0	0	0	0	0	0	0	0	на бродот
abode	0	0	0	0	0	0	0	0	0	0	престојувалиште
abolish	1	0	0	0	0	1	0	0	0	0	укине
abolition	0	0	0	0	0	1	0	0	0	0	укинување
abominable	0	0	1	1	0	1	0	0	0	0	одвратен
abomination	1	0	1	1	0	1	0	0	0	0	одвратност
aboriginal	0	0	0	0	0	0	0	0	0	0	абориџини
abort	0	0	0	0	0	1	0	0	0	0	прекине
abortion	0	0	1	1	0	1	0	1	0	0	абортус
abortive	0	0	0	0	0	1	0	1	0	0	абортус
abound	0	0	0	0	0	0	0	0	0	0	изобилува
abovementioned	0	0	0	0	0	0	1	0	0	0	гореспоменатото
abrasion	0	0	0	0	0	1	0	0	0	0	абразија
abroad	0	0	0	0	0	0	0	0	0	0	во странство
abrogate	0	0	0	0	0	1	0	0	0	0	укинуваат
abrupt	0	0	0	0	0	0	0	0	1	0	нагло
abruptly	0	0	0	0	0	0	0	0	0	0	нагло
abscess	0	0	0	0	0	1	0	1	0	0	апсцес
absence	0	0	0	1	0	1	0	1	0	0	отсуство
absent	0	0	0	0	0	1	0	1	0	0	отсутен
absentee	0	0	0	0	0	1	0	1	0	0	отсутен
absenteeism	0	0	0	0	0	1	0	0	0	0	отсуство од работа
