English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malagasy Word
aback	0	0	0	0	0	0	0	0	0	0	gaga
abacus	0	0	0	0	0	0	0	0	0	1	abakosy
abandon	0	0	0	1	0	1	0	1	0	0	hanary
abandoned	1	0	0	1	0	1	0	1	0	0	nandao
abandonment	1	0	0	1	0	1	0	1	1	0	fandaozana
abate	0	0	0	0	0	0	0	0	0	0	hampitony
abatement	0	0	0	0	0	0	0	0	0	0	fiafarana
abba	0	0	0	0	0	0	1	0	0	0	Aba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	fanafohezana
abbreviation	0	0	0	0	0	0	0	0	0	0	fanafohezana
abdomen	0	0	0	0	0	0	0	0	0	0	kibony
abdominal	0	0	0	0	0	0	0	0	0	0	kibo
abduction	0	0	0	1	0	1	0	1	1	0	fakàna an-keriny
aberrant	0	0	0	0	0	1	0	0	0	0	mivadika
aberration	0	0	1	0	0	1	0	0	0	0	fiovaovana
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	mankahalà
abhorrent	1	0	1	1	0	1	0	0	0	0	maharikoriko
abide	0	0	0	0	0	0	0	0	0	0	Mitoera
ability	0	0	0	0	0	0	1	0	0	0	fahaizana
abject	0	0	1	0	0	1	0	0	0	0	faraidiny
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	nirehetan'ny
abnormal	0	0	1	0	0	1	0	0	0	0	ara-dalàna
aboard	0	0	0	0	0	0	0	0	0	0	sambo
abode	0	0	0	0	0	0	0	0	0	0	nitoetra
abolish	1	0	0	0	0	1	0	0	0	0	hanafoana
abolition	0	0	0	0	0	1	0	0	0	0	fanafoanana
abominable	0	0	1	1	0	1	0	0	0	0	fahavetavetana
abomination	1	0	1	1	0	1	0	0	0	0	fahavetavetana
aboriginal	0	0	0	0	0	0	0	0	0	0	teratany
abort	0	0	0	0	0	1	0	0	0	0	manala zaza
abortion	0	0	1	1	0	1	0	1	0	0	fanalan-jaza
abortive	0	0	0	0	0	1	0	1	0	0	fanalana zaza
abound	0	0	0	0	0	0	0	0	0	0	nampitombo
abovementioned	0	0	0	0	0	0	1	0	0	0	voalaza etsy ambony
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	any ivelany
abrogate	0	0	0	0	0	1	0	0	0	0	manafoana
abrupt	0	0	0	0	0	0	0	0	1	0	tampoka
abruptly	0	0	0	0	0	0	0	0	0	0	tampoka
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	tsy fisian'ny
absent	0	0	0	0	0	1	0	1	0	0	tsy eo
absentee	0	0	0	0	0	1	0	1	0	0	tsy tonga
absenteeism	0	0	0	0	0	1	0	0	0	0	tsy tonga
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	tanteraka
absolution	0	0	0	0	1	0	1	0	0	1	famotsoran-keloka
absorbed	0	0	0	0	0	0	1	0	0	0	variana
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	mitroka
absorption	0	0	0	0	0	0	0	0	0	0	hisakana ny fiasan'ireny
abstain	0	0	0	0	0	0	0	0	0	0	Fadio
abstention	0	0	0	0	0	0	0	0	0	0	koa nilaza hoe mpankahala
abstinence	0	0	0	0	0	0	0	0	0	0	tsy nihinan-kanina
abstract	0	0	0	0	0	0	0	0	0	0	saro-takarina
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	tsy mitombina
absurdity	0	0	0	0	0	1	0	0	0	0	hadalàna
abundance	0	1	1	0	1	1	1	0	0	1	be dia be
abundant	0	0	0	0	1	0	1	0	0	0	be
abuse	1	0	1	1	0	1	0	1	0	0	fanararaotana
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	nahatsiravina ny
abyss	0	0	0	1	0	1	0	1	0	0	lavaka tsy hita noanoa
academic	0	0	0	0	0	0	1	0	0	1	akademika
academy	0	0	0	0	0	0	1	0	0	0	Akademia
accede	0	0	0	0	0	0	0	0	0	0	manaiky
accelerate	0	1	0	0	0	0	0	0	0	0	haingana
acceleration	0	0	0	0	0	0	0	0	0	0	haingana
accent	0	0	0	0	0	0	0	0	0	0	lantom-peony
accentuate	0	0	0	0	0	0	0	0	0	0	Asongadin'ireny
accept	0	0	0	0	0	0	0	0	0	0	MANAIKY
acceptable	0	0	0	0	0	0	1	0	0	0	azo ekena
acceptance	0	0	0	0	0	0	1	0	0	0	fanekena
access	0	0	0	0	0	0	0	0	0	0	fidirana
accessible	0	0	0	0	0	0	1	0	0	0	azo idirana
accession	0	0	0	0	0	0	0	0	0	0	fidirana
accessory	0	0	0	0	0	0	0	0	0	0	fanampin-javatra
accident	0	0	0	1	0	1	0	1	1	0	loza
accidental	0	0	0	1	0	1	0	0	1	0	nahy
accidentally	0	0	0	0	0	0	0	0	1	0	tsy nahy
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	handraisana
accommodation	0	0	0	0	0	0	1	0	0	0	zavatra ilaina
accompaniment	0	1	0	0	1	0	1	0	0	1	arahina
accompany	0	0	0	0	0	0	0	0	0	0	hiaraka
accompanying	0	0	0	0	0	0	0	0	0	0	laoka
accomplice	0	0	0	0	0	0	0	0	0	0	mpiray tsikombakomba
accomplish	0	0	0	0	1	0	1	0	0	0	hanatanteraka
accomplished	0	0	0	0	1	0	1	0	0	0	tanteraka
accomplishment	0	0	0	0	0	0	1	0	0	0	zava-bita
accord	0	0	0	0	0	0	1	0	0	1	mifanaraka
accordance	0	0	0	0	0	0	0	0	0	0	mifanaraka
accordion	0	0	0	0	0	0	0	0	0	0	angorodao
account	0	0	0	0	0	0	0	0	0	1	TANTARA
accountability	0	0	0	0	0	0	1	0	0	1	andraikitra
accountable	0	0	0	0	0	0	1	0	0	1	tompon 'andraikitra
accountant	0	0	0	0	0	0	0	0	0	1	kaonty
accounting	0	0	0	0	0	0	0	0	0	0	fitantanam-bola
accounts	0	0	0	0	0	0	0	0	0	1	kaonty
accredited	0	0	0	0	0	0	1	0	0	1	deraina
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	hampitombo
accueil	0	0	0	0	0	0	1	0	0	0	fandraisana
accumulate	0	0	0	0	0	0	0	0	0	0	hanangonany
accumulation	0	0	0	0	0	0	0	0	0	0	fanangonan-karena
accuracy	0	0	0	0	0	0	0	0	0	0	araka ny marina
accurate	0	0	0	0	0	0	1	0	0	1	marina
accursed	1	0	0	1	0	1	0	1	0	0	voaozona
accusation	1	0	1	0	0	1	0	0	0	0	fiampangana
accusative	0	0	0	0	0	1	0	0	0	0	Zavatra
accused	1	0	0	1	0	1	0	0	0	0	voampanga
accuser	1	0	0	1	0	1	0	0	0	0	mpiampanga
accusing	1	0	0	1	0	1	0	0	0	0	niampanga
accustomed	0	0	0	0	0	0	0	0	0	0	zatra
ace	0	0	0	0	0	0	1	0	0	0	abidy
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	fanaintainana
achieve	0	0	0	0	1	0	1	0	0	1	hanatrarana
achievement	0	1	0	0	1	0	1	0	0	1	zava-bitany
aching	0	0	0	0	0	1	0	1	0	0	Nanaintaina
acid	0	0	0	0	0	1	0	0	0	0	asidra
acidity	0	0	0	0	0	0	0	0	0	0	asidra
acknowledge	0	0	0	0	0	0	0	0	0	0	Fantaro
acknowledged	0	0	0	0	0	0	0	0	0	0	niaiky
acknowledgment	0	0	0	0	0	0	1	0	0	0	fiekena
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	Mifankazara amin'ny Tsitoha
acquaintance	0	0	0	0	0	0	0	0	0	0	olom-pantany
acquainted	0	0	0	0	0	0	0	0	0	0	hahafantatra
acquiescence	0	0	0	0	0	0	0	0	0	0	fanekena
acquire	0	0	0	0	0	0	1	0	0	0	Nahazo
acquiring	0	1	0	0	0	0	1	0	0	0	mahazo
acquisition	0	0	0	0	0	0	0	0	0	0	fahazoana
acquisitions	0	0	0	0	0	0	0	0	0	0	novidiny
acreage	0	0	0	0	0	0	0	0	0	0	hektara
acres	0	0	0	0	0	0	0	0	0	0	hektara
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	zavatra
acting	0	0	0	0	0	0	0	0	0	0	hanao zavatra
action	0	0	0	0	0	0	1	0	0	0	hetsika
actionable	1	0	1	0	0	1	0	0	0	0	azo atao
active	0	0	0	0	0	0	0	0	0	0	mavitrika
activity	0	0	0	0	0	0	0	0	0	0	asa
actor	0	0	0	0	0	0	0	0	0	0	mpilalao sarimihetsika
actual	0	0	0	0	0	0	1	0	0	0	RAHA TENA
actuality	0	0	0	0	0	0	0	0	0	0	raha ny marina
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	fahaizana manamboatra
acupuncture	0	0	0	0	0	0	0	0	0	0	tsindrona volamena
acutely	0	0	0	0	0	0	0	0	0	0	acutely
adage	0	0	0	0	0	0	0	0	0	0	fomba fiteny
adamant	0	0	0	0	0	0	0	0	0	0	nanaiky
adapt	0	0	0	0	0	0	1	0	0	0	Ampifanaraho
adaptable	0	0	0	0	0	0	1	0	0	0	hilefitra
add	0	0	0	0	0	0	0	0	0	0	hametraka
added	0	0	0	0	0	0	0	0	0	0	nanampy
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	menarana
addiction	0	0	0	0	0	1	0	0	0	0	fiankinan-doha
addition	0	0	0	0	0	0	0	0	0	0	koa
additional	0	0	0	0	0	0	0	0	0	0	fanampiny
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	adiresy
addressee	0	0	0	0	0	0	0	0	0	0	adiresy
addresses	0	1	0	0	0	0	1	0	0	0	adiresy
adept	0	0	0	0	0	0	1	0	0	0	zatra
adequacy	0	0	0	0	0	0	1	0	0	0	adequacy
adequate	0	0	0	0	0	0	0	0	0	0	sahaza
adhere	0	0	0	0	0	0	0	0	0	0	manaraka
adherence	0	0	0	0	0	0	0	0	0	0	firaiketana
adherent	0	0	0	0	0	0	0	0	0	0	mpanaraka
adhering	0	0	0	0	0	0	0	0	0	1	manaraka
adhesion	0	0	0	0	0	0	0	0	0	0	hidiran'i
adhesive	0	0	0	0	0	0	0	0	0	0	adhesive
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	mifanakaiky
adjacent	0	0	0	0	0	0	0	0	0	0	mifanila
adjective	0	0	0	0	0	0	0	0	0	0	mpamaritra
adjoining	0	0	0	0	0	0	0	0	0	0	nifanila
adjourn	0	0	0	0	0	0	0	0	0	0	-pivoriany
adjournment	0	0	0	0	0	0	0	0	0	0	fiafaran'ny
adjudicate	0	0	0	1	0	1	0	0	0	0	mitsara
adjudication	0	0	0	0	0	0	0	0	0	0	fitsarana
adjunct	0	0	0	0	0	0	1	0	0	0	fanampiny
adjust	0	0	0	0	0	0	0	0	0	0	hanitsy
adjustment	0	0	0	0	0	0	0	0	0	0	fanitsiana
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	hitantana
administration	0	0	0	0	0	0	0	0	0	0	fitantanan-draharaha
administrative	0	0	0	0	0	0	0	0	0	1	panjakana
admirable	0	0	0	0	1	0	1	0	0	1	mendri-piderana
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	fahatalanjonana sy fifaliana
admire	0	0	0	0	0	0	1	0	0	1	mahafinaritra
admirer	0	0	0	0	0	0	1	0	0	0	mpankafy
admissibility	0	0	0	0	0	0	0	0	0	0	admissibility
admissible	0	0	0	0	0	0	1	0	0	1	raisina
admission	0	0	0	0	0	0	0	0	0	0	fieken-keloka
admit	0	0	0	0	0	0	0	0	0	0	niaiky
admittance	0	0	0	0	0	0	0	0	0	0	entina
admitted	0	0	0	0	0	0	0	0	0	0	niaiky
admitting	0	0	0	0	0	0	0	0	0	0	niaiky
admixture	0	0	0	0	0	0	0	0	0	0	nampiasainy
admonition	0	0	0	1	0	1	0	0	0	0	torohevitra
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	zatovo
adolescent	0	0	0	0	0	0	0	0	0	0	tanora
adopt	0	0	0	0	0	0	0	0	0	0	mandany
adoption	0	0	0	0	0	0	0	0	0	0	fananganana
adorable	0	0	0	0	1	0	1	0	0	0	mahatehotia
adoration	0	0	0	0	1	0	1	0	0	1	fitsaohana
adore	0	1	0	0	1	0	1	0	0	1	mankafy
adorn	0	0	0	0	0	0	0	0	0	0	mandravaka
adornment	0	0	0	0	0	0	0	0	0	0	haingo
adrift	0	1	0	1	0	1	0	1	0	0	mirenireny
adult	0	0	0	0	0	0	0	0	0	0	olon-dehibe
adulterated	0	0	0	0	0	1	0	0	0	0	milaza azy
adultery	0	0	1	0	0	1	0	1	0	0	ny fanitsakitsaham-bady
advance	0	1	0	1	1	0	1	0	1	0	mialoha
advanced	0	0	0	0	0	0	1	0	0	0	mandroso
advancement	0	0	0	0	0	0	1	0	0	0	fandrosoanao
advancing	0	0	0	0	0	0	0	0	0	0	dia efa mandroso
advantage	0	0	0	0	0	0	1	0	0	0	tombony
advantageous	0	0	0	0	0	0	1	0	0	0	mahasoa
advent	0	1	0	0	1	0	1	0	0	1	fiavian'ny
adventure	0	1	0	0	0	0	1	0	0	0	traikefa nahafinaritra
adventurer	0	0	0	0	0	0	0	0	0	0	mpisantatra
adventurous	0	0	0	0	0	0	1	0	0	0	sahisahy
adversary	1	0	0	0	0	1	0	0	0	0	fahavalo
adverse	1	0	1	1	0	1	0	1	0	0	voka
adversity	1	0	0	1	0	1	0	1	0	0	tsarotra
advertise	0	0	0	0	0	0	0	0	0	0	hanambara
advertisement	0	0	0	0	0	0	0	0	0	0	dokam-barotra
advice	0	0	0	0	0	0	0	0	0	1	toro-hevitra
advisable	0	0	0	0	0	0	1	0	0	1	tokony hatao
advise	0	0	0	0	0	0	1	0	0	1	manoro hevitra
advised	0	0	0	0	0	0	0	0	0	1	nanoro hevitra
advisement	0	0	0	0	0	0	0	0	0	0	nifampisaina,
adviser	0	0	0	0	0	0	1	0	0	1	mpanolo-tsaina
advocacy	1	1	0	0	1	0	1	0	0	1	fisoloana vava
advocate	0	0	0	0	0	0	0	0	0	1	mpiaro
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	avy eny ambony
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	fiaramanidina
aesthetic	0	0	0	0	0	0	1	0	0	0	hatsarana
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	lavitra
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	Zava
affecting	0	0	0	0	0	0	0	0	0	0	miantraika
affection	0	0	0	0	1	0	1	0	0	1	fitiavana
affections	0	0	0	0	0	0	0	0	0	0	fitiavana
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	mpikambana
affiliation	0	0	0	0	0	0	0	0	0	0	firehana
affinity	0	0	0	0	0	0	0	0	0	0	vinanton'i
affirm	0	0	0	0	0	0	1	0	0	1	manamafy
affirmation	0	0	0	0	0	0	1	0	0	0	hoy
affirmative	0	0	0	0	0	0	1	0	0	0	affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	fankatoavana no
affix	0	0	0	0	0	0	0	0	0	0	tahirin-tsiry
afflict	0	0	0	1	0	1	0	1	0	0	mampahory
afflicted	0	0	0	0	0	1	0	0	0	0	ory
affliction	0	0	1	1	0	1	0	1	0	0	fahoriana
affluence	0	0	0	0	1	0	1	0	0	0	fananan-tany
affluent	0	0	0	0	0	0	1	0	0	0	manankarena
afford	0	0	0	0	0	0	1	0	0	0	manam-bola
affront	1	0	1	1	0	1	0	1	1	0	tafintohina
afield	0	0	0	0	0	0	0	0	0	0	Nivezivezy
afore	0	0	0	0	0	0	0	0	0	0	rahateo
aforementioned	0	0	0	0	0	0	0	0	0	0	voalaza teo aloha
aforesaid	0	0	0	0	0	0	0	0	0	0	voalaza teo aloha
afraid	0	0	0	1	0	1	0	0	0	0	raiki-tahotra
afresh	0	0	0	0	0	0	0	0	0	0	indray amin'ny
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	taorian'ny
afternoon	0	0	0	0	0	0	0	0	0	0	tOLAKANDRO
aftertaste	0	0	0	0	0	1	0	0	0	0	ny vokany
afterthought	0	0	0	0	0	0	0	0	0	0	eritreritra aoriana
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	TAONA
aged	0	0	0	0	0	0	0	0	0	0	antitra
agency	0	0	0	0	0	0	0	0	0	0	fahafahana misafidy
agent	0	0	0	0	0	0	0	0	0	0	mpandraharaha
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomération
aggravated	1	0	0	0	0	1	0	0	0	0	mainka manasaro
aggravating	1	0	0	0	0	1	0	1	0	0	mampitombo
aggravation	1	0	1	0	0	1	0	0	0	0	faharatsiana
aggregate	0	0	0	0	0	0	0	0	0	0	aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	fanangonana
aggression	1	0	0	1	0	1	0	0	0	0	herisetra
aggressive	1	0	0	1	0	1	0	0	0	0	masiaka
aggressor	1	0	0	1	0	1	0	0	0	0	mpanafika
aghast	0	0	1	1	0	1	0	0	1	0	mahatahotra
agile	0	0	0	0	0	0	1	0	0	0	mailaka
agility	0	0	0	0	0	0	1	0	0	0	fahaizany mamikitra
agitated	1	0	0	0	0	1	0	0	0	0	mikorontana
agitation	1	0	0	0	0	1	0	0	0	0	pahoriana
agnostic	0	0	0	0	0	0	0	0	0	0	agnôstika
ago	0	0	0	0	0	0	0	0	0	0	lasa izay
agonizing	0	0	0	1	0	1	0	0	0	0	sasa-
agony	1	0	0	1	0	1	0	1	0	0	fanaintainana
agree	0	0	0	0	0	0	1	0	0	0	manaiky
agreeable	0	0	0	0	0	0	1	0	0	1	manaiky hiara
agreed	0	0	0	0	0	0	1	0	0	1	nanaiky
agreeing	0	0	0	0	0	0	1	0	0	1	nanaiky
agreement	0	0	0	0	0	0	1	0	0	1	fifanarahana
agricultural	0	0	0	0	0	0	0	0	0	0	FAMBOLENA
agriculture	0	0	0	0	0	0	1	0	0	0	FAMBOLENA
aground	0	0	0	0	0	1	0	0	0	0	hidona
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	mialoha
aid	0	0	0	0	0	0	1	0	0	0	fanampiana
aiding	0	0	0	0	0	0	1	0	0	0	fanampiana
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	marary
ailment	0	0	0	0	0	0	0	0	0	0	aretina
aim	0	0	0	0	0	0	0	0	0	0	tanjona
aimless	0	0	0	0	0	1	0	0	0	0	tsy misy tanjona
air	0	0	0	0	0	0	0	0	0	0	rivotra
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	fiaramanidina
airline	0	0	0	0	0	0	0	0	0	0	fiaramanidina
airman	0	0	0	0	0	0	0	0	0	0	Miaramila mpanamory fiaramanidina
airplane	0	0	0	0	0	0	0	0	0	0	fiaramanidina
airport	0	1	0	0	0	0	0	0	0	0	Airport
airs	0	0	1	0	0	1	0	0	0	0	hiseho hahalala
airship	0	0	0	0	0	0	0	0	0	0	fiaramanidina
aisle	0	0	0	0	0	0	0	0	0	0	ila
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	tahaka
alabaster	0	0	0	0	0	0	1	0	0	0	vatosanga fasiana
