English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malay Word
aback	0	0	0	0	0	0	0	0	0	0	terperanjat
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	tinggalkan
abandoned	1	0	0	1	0	1	0	1	0	0	terbengkalai
abandonment	1	0	0	1	0	1	0	1	1	0	pengabaian
abate	0	0	0	0	0	0	0	0	0	0	mereda
abatement	0	0	0	0	0	0	0	0	0	0	pengurangan
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	ringkaskan
abbreviation	0	0	0	0	0	0	0	0	0	0	singkatan
abdomen	0	0	0	0	0	0	0	0	0	0	perut
abdominal	0	0	0	0	0	0	0	0	0	0	bahagian perut
abduction	0	0	0	1	0	1	0	1	1	0	penculikan
aberrant	0	0	0	0	0	1	0	0	0	0	menyimpang
aberration	0	0	1	0	0	1	0	0	0	0	penyelewengan
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	membenci
abhorrent	1	0	1	1	0	1	0	0	0	0	menjijikkan
abide	0	0	0	0	0	0	0	0	0	0	akur
ability	0	0	0	0	0	0	1	0	0	0	kebolehan
abject	0	0	1	0	0	1	0	0	0	0	hina
ablation	0	0	0	0	0	0	0	0	0	0	ablasi
ablaze	0	0	0	0	0	0	0	0	0	0	terbakar
abnormal	0	0	1	0	0	1	0	0	0	0	tidak normal
aboard	0	0	0	0	0	0	0	0	0	0	di atas kapal
abode	0	0	0	0	0	0	0	0	0	0	tempat tinggal
abolish	1	0	0	0	0	1	0	0	0	0	mansuhkan
abolition	0	0	0	0	0	1	0	0	0	0	pemansuhan
abominable	0	0	1	1	0	1	0	0	0	0	keji
abomination	1	0	1	1	0	1	0	0	0	0	kekejian
aboriginal	0	0	0	0	0	0	0	0	0	0	orang asli
abort	0	0	0	0	0	1	0	0	0	0	menggugurkan kandungan
abortion	0	0	1	1	0	1	0	1	0	0	pengguguran
abortive	0	0	0	0	0	1	0	1	0	0	menggugurkan kandungan
abound	0	0	0	0	0	0	0	0	0	0	melimpah ruah
abovementioned	0	0	0	0	0	0	1	0	0	0	Seperti yg diatas
abrasion	0	0	0	0	0	1	0	0	0	0	melecet
abroad	0	0	0	0	0	0	0	0	0	0	luar negara
abrogate	0	0	0	0	0	1	0	0	0	0	memansuhkan
abrupt	0	0	0	0	0	0	0	0	1	0	mendadak
abruptly	0	0	0	0	0	0	0	0	0	0	secara mengejut
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	ketiadaan
absent	0	0	0	0	0	1	0	1	0	0	tidak hadir
absentee	0	0	0	0	0	1	0	1	0	0	tidak hadir
absenteeism	0	0	0	0	0	1	0	0	0	0	ketidakhadiran
absinthe	0	0	0	0	0	0	0	0	0	0	absinth
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	pengampunan
absorbed	0	0	0	0	0	0	1	0	0	0	diserap
absorbent	0	0	0	0	0	0	0	0	0	0	penyerap
absorbing	0	0	0	0	0	0	0	0	0	0	menyerap
absorption	0	0	0	0	0	0	0	0	0	0	penyerapan
abstain	0	0	0	0	0	0	0	0	0	0	berpantang
abstention	0	0	0	0	0	0	0	0	0	0	berpantang
abstinence	0	0	0	0	0	0	0	0	0	0	berpantang
abstract	0	0	0	0	0	0	0	0	0	0	abstrak
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksi
absurd	0	0	0	0	0	1	0	0	0	0	tak masuk akal
absurdity	0	0	0	0	0	1	0	0	0	0	tidak masuk akal
abundance	0	1	1	0	1	1	1	0	0	1	banyak
abundant	0	0	0	0	1	0	1	0	0	0	melimpah ruah
abuse	1	0	1	1	0	1	0	1	0	0	penderaan
abutment	0	0	0	0	0	0	0	0	0	0	penyangga
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	teruk
abyss	0	0	0	1	0	1	0	1	0	0	jurang
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	Akademi
accede	0	0	0	0	0	0	0	0	0	0	akur
accelerate	0	1	0	0	0	0	0	0	0	0	memecut
acceleration	0	0	0	0	0	0	0	0	0	0	pecutan
accent	0	0	0	0	0	0	0	0	0	0	loghat
accentuate	0	0	0	0	0	0	0	0	0	0	menyerlahkan
accept	0	0	0	0	0	0	0	0	0	0	terima
acceptable	0	0	0	0	0	0	1	0	0	0	boleh diterima
acceptance	0	0	0	0	0	0	1	0	0	0	penerimaan
access	0	0	0	0	0	0	0	0	0	0	akses
accessible	0	0	0	0	0	0	1	0	0	0	boleh diakses
accession	0	0	0	0	0	0	0	0	0	0	penyertaan
accessory	0	0	0	0	0	0	0	0	0	0	aksesori
accident	0	0	0	1	0	1	0	1	1	0	kemalangan
accidental	0	0	0	1	0	1	0	0	1	0	tidak sengaja
accidentally	0	0	0	0	0	0	0	0	1	0	secara tidak sengaja
accolade	0	1	0	0	1	0	1	0	1	1	pujian
accommodate	0	0	0	0	0	0	0	0	0	0	menampung
accommodation	0	0	0	0	0	0	1	0	0	0	penginapan
accompaniment	0	1	0	0	1	0	1	0	0	1	iringan
accompany	0	0	0	0	0	0	0	0	0	0	menemani
accompanying	0	0	0	0	0	0	0	0	0	0	mengiringi
accomplice	0	0	0	0	0	0	0	0	0	0	rakan sejenayah
accomplish	0	0	0	0	1	0	1	0	0	0	capai
accomplished	0	0	0	0	1	0	1	0	0	0	dicapai
accomplishment	0	0	0	0	0	0	1	0	0	0	pencapaian
accord	0	0	0	0	0	0	1	0	0	1	sepakat
accordance	0	0	0	0	0	0	0	0	0	0	sesuai
accordion	0	0	0	0	0	0	0	0	0	0	akordion
account	0	0	0	0	0	0	0	0	0	1	akaun
accountability	0	0	0	0	0	0	1	0	0	1	akauntabiliti
accountable	0	0	0	0	0	0	1	0	0	1	bertanggungjawab
accountant	0	0	0	0	0	0	0	0	0	1	akauntan
accounting	0	0	0	0	0	0	0	0	0	0	perakaunan
accounts	0	0	0	0	0	0	0	0	0	1	akaun
accredited	0	0	0	0	0	0	1	0	0	1	bertauliah
accretion	0	0	0	0	0	0	0	0	0	0	pertambahan
accrue	0	0	0	0	0	0	0	0	0	0	terakru
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	terkumpul
accumulation	0	0	0	0	0	0	0	0	0	0	pengumpulan
accuracy	0	0	0	0	0	0	0	0	0	0	ketepatan
accurate	0	0	0	0	0	0	1	0	0	1	tepat
accursed	1	0	0	1	0	1	0	1	0	0	terkutuk
accusation	1	0	1	0	0	1	0	0	0	0	tuduhan
accusative	0	0	0	0	0	1	0	0	0	0	akusatif
accused	1	0	0	1	0	1	0	0	0	0	tertuduh
accuser	1	0	0	1	0	1	0	0	0	0	penuduh
accusing	1	0	0	1	0	1	0	0	0	0	menuduh
accustomed	0	0	0	0	0	0	0	0	0	0	terbiasa
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	asetik
