English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malayalam Word
aback	0	0	0	0	0	0	0	0	0	0	അമ്പരന്നു
abacus	0	0	0	0	0	0	0	0	0	1	അബാക്കസ്
abandon	0	0	0	1	0	1	0	1	0	0	ഉപേക്ഷിക്കുക
abandoned	1	0	0	1	0	1	0	1	0	0	ഉപേക്ഷിച്ചു
abandonment	1	0	0	1	0	1	0	1	1	0	ഉപേക്ഷിക്കൽ
abate	0	0	0	0	0	0	0	0	0	0	കുറയ്ക്കുക
abatement	0	0	0	0	0	0	0	0	0	0	കുറയ്ക്കൽ
abba	0	0	0	0	0	0	1	0	0	0	അബ്ബാ
abbot	0	0	0	0	0	0	0	0	0	1	മഠാധിപതി
abbreviate	0	0	0	0	0	0	0	0	0	0	ചുരുക്കി
abbreviation	0	0	0	0	0	0	0	0	0	0	ചുരുക്കെഴുത്ത്
abdomen	0	0	0	0	0	0	0	0	0	0	ഉദരം
abdominal	0	0	0	0	0	0	0	0	0	0	ഉദരഭാഗം
abduction	0	0	0	1	0	1	0	1	1	0	തട്ടിക്കൊണ്ടുപോകൽ
aberrant	0	0	0	0	0	1	0	0	0	0	വ്യതിചലനം
aberration	0	0	1	0	0	1	0	0	0	0	അപഭ്രംശം
abeyance	0	0	0	0	0	0	0	0	0	0	ഉപേക്ഷിക്കൽ
abhor	1	0	1	1	0	1	0	0	0	0	വെറുപ്പ്
abhorrent	1	0	1	1	0	1	0	0	0	0	വെറുപ്പുളവാക്കുന്ന
abide	0	0	0	0	0	0	0	0	0	0	പാലിക്കുക
ability	0	0	0	0	0	0	1	0	0	0	കഴിവ്
abject	0	0	1	0	0	1	0	0	0	0	നികൃഷ്ടമായ
ablation	0	0	0	0	0	0	0	0	0	0	അബ്ലേഷൻ
ablaze	0	0	0	0	0	0	0	0	0	0	ജ്വലിക്കുന്നു
abnormal	0	0	1	0	0	1	0	0	0	0	അസാധാരണമായ
aboard	0	0	0	0	0	0	0	0	0	0	കപ്പലിൽ
abode	0	0	0	0	0	0	0	0	0	0	വാസസ്ഥലം
abolish	1	0	0	0	0	1	0	0	0	0	ഇല്ലാതാക്കുക
abolition	0	0	0	0	0	1	0	0	0	0	ഉന്മൂലനം
abominable	0	0	1	1	0	1	0	0	0	0	മ്ലേച്ഛമായ
abomination	1	0	1	1	0	1	0	0	0	0	മ്ലേച്ഛത
aboriginal	0	0	0	0	0	0	0	0	0	0	ആദിവാസികൾ
abort	0	0	0	0	0	1	0	0	0	0	ഉപേക്ഷിക്കുക
abortion	0	0	1	1	0	1	0	1	0	0	ഗർഭച്ഛിദ്രം
abortive	0	0	0	0	0	1	0	1	0	0	ഗർഭച്ഛിദ്രം
abound	0	0	0	0	0	0	0	0	0	0	ധാരാളം
abovementioned	0	0	0	0	0	0	1	0	0	0	മുകളിൽ സൂചിപ്പിച്ചത്
abrasion	0	0	0	0	0	1	0	0	0	0	ഉരച്ചിലുകൾ
abroad	0	0	0	0	0	0	0	0	0	0	വിദേശത്ത്
abrogate	0	0	0	0	0	1	0	0	0	0	റദ്ദാക്കുക
abrupt	0	0	0	0	0	0	0	0	1	0	പെട്ടെന്നുള്ള
abruptly	0	0	0	0	0	0	0	0	0	0	പെട്ടെന്ന്
abscess	0	0	0	0	0	1	0	1	0	0	കുരു
absence	0	0	0	1	0	1	0	1	0	0	അഭാവം
absent	0	0	0	0	0	1	0	1	0	0	ഇല്ല
absentee	0	0	0	0	0	1	0	1	0	0	ഹാജരാകാത്തത്
absenteeism	0	0	0	0	0	1	0	0	0	0	ഹാജരാകാതിരിക്കൽ
absinthe	0	0	0	0	0	0	0	0	0	0	അബ്സിന്തെ
absolute	0	0	0	0	0	0	1	0	0	0	കേവല
absolution	0	0	0	0	1	0	1	0	0	1	ദണ്ഡവിമോചനം
absorbed	0	0	0	0	0	0	1	0	0	0	ആഗിരണം
absorbent	0	0	0	0	0	0	0	0	0	0	ആഗിരണം ചെയ്യാവുന്ന
absorbing	0	0	0	0	0	0	0	0	0	0	ആഗിരണം ചെയ്യുന്നു
absorption	0	0	0	0	0	0	0	0	0	0	ആഗിരണം
abstain	0	0	0	0	0	0	0	0	0	0	വിട്ടുനിൽക്കുക
abstention	0	0	0	0	0	0	0	0	0	0	വിട്ടുനിൽക്കൽ
abstinence	0	0	0	0	0	0	0	0	0	0	മദ്യവർജ്ജനം
abstract	0	0	0	0	0	0	0	0	0	0	അമൂർത്തമായ
abstraction	0	0	0	0	0	0	0	0	0	0	അമൂർത്തീകരണം
absurd	0	0	0	0	0	1	0	0	0	0	അസംബന്ധം
absurdity	0	0	0	0	0	1	0	0	0	0	അസംബന്ധം
abundance	0	1	1	0	1	1	1	0	0	1	സമൃദ്ധി
abundant	0	0	0	0	1	0	1	0	0	0	സമൃദ്ധമായ
abuse	1	0	1	1	0	1	0	1	0	0	ദുരുപയോഗം
abutment	0	0	0	0	0	0	0	0	0	0	അബട്ട്മെന്റ്
aby	0	0	0	0	0	0	0	0	0	0	എബി
abysmal	0	0	0	0	0	1	0	1	0	0	അഗാധമായ
abyss	0	0	0	1	0	1	0	1	0	0	അഗാധം
academic	0	0	0	0	0	0	1	0	0	1	അക്കാദമിക്
academy	0	0	0	0	0	0	1	0	0	0	അക്കാദമി
accede	0	0	0	0	0	0	0	0	0	0	അംഗീകരിക്കുക
accelerate	0	1	0	0	0	0	0	0	0	0	ത്വരിതപ്പെടുത്തുക
acceleration	0	0	0	0	0	0	0	0	0	0	ത്വരണം
accent	0	0	0	0	0	0	0	0	0	0	ഉച്ചാരണം
accentuate	0	0	0	0	0	0	0	0	0	0	ഊന്നിപ്പറയുക
accept	0	0	0	0	0	0	0	0	0	0	സ്വീകരിക്കുക
acceptable	0	0	0	0	0	0	1	0	0	0	സ്വീകാര്യമായ
acceptance	0	0	0	0	0	0	1	0	0	0	സ്വീകാര്യത
access	0	0	0	0	0	0	0	0	0	0	പ്രവേശനം
accessible	0	0	0	0	0	0	1	0	0	0	പ്രാപ്യമായ
accession	0	0	0	0	0	0	0	0	0	0	പ്രവേശനം
accessory	0	0	0	0	0	0	0	0	0	0	ഉപസാധനം
accident	0	0	0	1	0	1	0	1	1	0	അപകടം
accidental	0	0	0	1	0	1	0	0	1	0	ആകസ്മികമായ
accidentally	0	0	0	0	0	0	0	0	1	0	ആകസ്മികമായി
accolade	0	1	0	0	1	0	1	0	1	1	പ്രശംസ
accommodate	0	0	0	0	0	0	0	0	0	0	താമസിപ്പിക്കുക
accommodation	0	0	0	0	0	0	1	0	0	0	താമസം
accompaniment	0	1	0	0	1	0	1	0	0	1	അകമ്പടി
accompany	0	0	0	0	0	0	0	0	0	0	കൂടെപ്പോവുക
accompanying	0	0	0	0	0	0	0	0	0	0	അനുഗമിക്കൽ
accomplice	0	0	0	0	0	0	0	0	0	0	കൂട്ടാളി
accomplish	0	0	0	0	1	0	1	0	0	0	നിറവേറ്റുക
accomplished	0	0	0	0	1	0	1	0	0	0	സാധിച്ചു
accomplishment	0	0	0	0	0	0	1	0	0	0	നേട്ടം
accord	0	0	0	0	0	0	1	0	0	1	കരാർ
accordance	0	0	0	0	0	0	0	0	0	0	അനുസൃതമായി
accordion	0	0	0	0	0	0	0	0	0	0	അക്രോഡിയൻ
account	0	0	0	0	0	0	0	0	0	1	അക്കൗണ്ട്
accountability	0	0	0	0	0	0	1	0	0	1	ഉത്തരവാദിത്തം
accountable	0	0	0	0	0	0	1	0	0	1	ഉത്തരവാദിത്തമുള്ള
accountant	0	0	0	0	0	0	0	0	0	1	അക്കൗണ്ടന്റ്
accounting	0	0	0	0	0	0	0	0	0	0	അക്കൌണ്ടിംഗ്
accounts	0	0	0	0	0	0	0	0	0	1	അക്കൗണ്ടുകൾ
accredited	0	0	0	0	0	0	1	0	0	1	അംഗീകൃത
accretion	0	0	0	0	0	0	0	0	0	0	അക്രിഷൻ
accrue	0	0	0	0	0	0	0	0	0	0	ശേഖരിക്കുന്നു
accueil	0	0	0	0	0	0	1	0	0	0	ശേഖരിക്കുക
accumulate	0	0	0	0	0	0	0	0	0	0	കുന്നുകൂടുക
accumulation	0	0	0	0	0	0	0	0	0	0	ശേഖരണം
accuracy	0	0	0	0	0	0	0	0	0	0	കൃത്യത
accurate	0	0	0	0	0	0	1	0	0	1	കൃത്യമായ
accursed	1	0	0	1	0	1	0	1	0	0	ശപിക്കപ്പെട്ടവൻ
accusation	1	0	1	0	0	1	0	0	0	0	ആരോപണം
