English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Maltese Word
aback	0	0	0	0	0	0	0	0	0	0	mistħarrġa
abacus	0	0	0	0	0	0	0	0	0	1	abaku
abandon	0	0	0	1	0	1	0	1	0	0	jabbandunaw
abandoned	1	0	0	1	0	1	0	1	0	0	abbandunat
abandonment	1	0	0	1	0	1	0	1	1	0	abbandun
abate	0	0	0	0	0	0	0	0	0	0	jonqos
abatement	0	0	0	0	0	0	0	0	0	0	tnaqqis
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbati
abbreviate	0	0	0	0	0	0	0	0	0	0	abbrevja
abbreviation	0	0	0	0	0	0	0	0	0	0	abbrevjazzjoni
abdomen	0	0	0	0	0	0	0	0	0	0	żaqq
abdominal	0	0	0	0	0	0	0	0	0	0	addominali
abduction	0	0	0	1	0	1	0	1	1	0	ħtif
aberrant	0	0	0	0	0	1	0	0	0	0	aberranti
aberration	0	0	1	0	0	1	0	0	0	0	aberrazzjoni
abeyance	0	0	0	0	0	0	0	0	0	0	sospensjoni
abhor	1	0	1	1	0	1	0	0	0	0	jistmerr
abhorrent	1	0	1	1	0	1	0	0	0	0	mistkerr
abide	0	0	0	0	0	0	0	0	0	0	toqgħod
ability	0	0	0	0	0	0	1	0	0	0	kapaċità
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablazzjoni
ablaze	0	0	0	0	0	0	0	0	0	0	jaħraq
abnormal	0	0	1	0	0	1	0	0	0	0	anormali
aboard	0	0	0	0	0	0	0	0	0	0	abbord
abode	0	0	0	0	0	0	0	0	0	0	residenza
abolish	1	0	0	0	0	1	0	0	0	0	jabolixxi
abolition	0	0	0	0	0	1	0	0	0	0	abolizzjoni
abominable	0	0	1	1	0	1	0	0	0	0	abominabbli
abomination	1	0	1	1	0	1	0	0	0	0	abominazzjoni
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriġinali
abort	0	0	0	0	0	1	0	0	0	0	abort
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	abortiva
abound	0	0	0	0	0	0	0	0	0	0	naraw
abovementioned	0	0	0	0	0	0	1	0	0	0	hawn fuq imsemmija
abrasion	0	0	0	0	0	1	0	0	0	0	brix
abroad	0	0	0	0	0	0	0	0	0	0	barra
abrogate	0	0	0	0	0	1	0	0	0	0	iħassar
abrupt	0	0	0	0	0	0	0	0	1	0	f'daqqa
abruptly	0	0	0	0	0	0	0	0	0	0	f'daqqa
abscess	0	0	0	0	0	1	0	1	0	0	axxess
absence	0	0	0	1	0	1	0	1	0	0	nuqqas
absent	0	0	0	0	0	1	0	1	0	0	assenti
absentee	0	0	0	0	0	1	0	1	0	0	assenti
absenteeism	0	0	0	0	0	1	0	0	0	0	assenteiżmu
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	assoluta
absolution	0	0	0	0	1	0	1	0	0	1	l-assoluzzjoni
absorbed	0	0	0	0	0	0	1	0	0	0	assorbit
absorbent	0	0	0	0	0	0	0	0	0	0	assorbenti
absorbing	0	0	0	0	0	0	0	0	0	0	jassorbi
absorption	0	0	0	0	0	0	0	0	0	0	assorbiment
abstain	0	0	0	0	0	0	0	0	0	0	jastjeni
abstention	0	0	0	0	0	0	0	0	0	0	astensjoni
abstinence	0	0	0	0	0	0	0	0	0	0	astinenza
abstract	0	0	0	0	0	0	0	0	0	0	astratt
abstraction	0	0	0	0	0	0	0	0	0	0	estrazzjoni
absurd	0	0	0	0	0	1	0	0	0	0	assurda
absurdity	0	0	0	0	0	1	0	0	0	0	assurdità
abundance	0	1	1	0	1	1	1	0	0	1	abbundanza
abundant	0	0	0	0	1	0	1	0	0	0	abbundanti
abuse	1	0	1	1	0	1	0	1	0	0	abbuż
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	abbiss
academic	0	0	0	0	0	0	1	0	0	1	akkademiku
academy	0	0	0	0	0	0	1	0	0	0	akkademja
accede	0	0	0	0	0	0	0	0	0	0	jaċċettaw
accelerate	0	1	0	0	0	0	0	0	0	0	taċċellera
acceleration	0	0	0	0	0	0	0	0	0	0	aċċelerazzjoni
accent	0	0	0	0	0	0	0	0	0	0	aċċent
accentuate	0	0	0	0	0	0	0	0	0	0	jaċċentwa
accept	0	0	0	0	0	0	0	0	0	0	aċċetta
acceptable	0	0	0	0	0	0	1	0	0	0	aċċettabbli
acceptance	0	0	0	0	0	0	1	0	0	0	aċċettazzjoni
access	0	0	0	0	0	0	0	0	0	0	aċċess
accessible	0	0	0	0	0	0	1	0	0	0	aċċessibbli
accession	0	0	0	0	0	0	0	0	0	0	adeżjoni
accessory	0	0	0	0	0	0	0	0	0	0	aċċessorju
accident	0	0	0	1	0	1	0	1	1	0	aċċident
accidental	0	0	0	1	0	1	0	0	1	0	aċċidentali
accidentally	0	0	0	0	0	0	0	0	1	0	aċċidentalment
accolade	0	1	0	0	1	0	1	0	1	1	rikonoxxenza
accommodate	0	0	0	0	0	0	0	0	0	0	jakkomoda
accommodation	0	0	0	0	0	0	1	0	0	0	akkomodazzjoni
accompaniment	0	1	0	0	1	0	1	0	0	1	akkumpanjament
accompany	0	0	0	0	0	0	0	0	0	0	jakkumpanja
accompanying	0	0	0	0	0	0	0	0	0	0	li jakkumpanjaw
accomplice	0	0	0	0	0	0	0	0	0	0	kompliċi
accomplish	0	0	0	0	1	0	1	0	0	0	twettaq
accomplished	0	0	0	0	1	0	1	0	0	0	mwettqa
accomplishment	0	0	0	0	0	0	1	0	0	0	tlestija
accord	0	0	0	0	0	0	1	0	0	1	qbil
accordance	0	0	0	0	0	0	0	0	0	0	skond
accordion	0	0	0	0	0	0	0	0	0	0	akkordju
account	0	0	0	0	0	0	0	0	0	1	kont
accountability	0	0	0	0	0	0	1	0	0	1	responsabbiltà
accountable	0	0	0	0	0	0	1	0	0	1	responsabbli
accountant	0	0	0	0	0	0	0	0	0	1	accountant
accounting	0	0	0	0	0	0	0	0	0	0	kontabilità
accounts	0	0	0	0	0	0	0	0	0	1	kontijiet
accredited	0	0	0	0	0	0	1	0	0	1	akkreditat
accretion	0	0	0	0	0	0	0	0	0	0	akkrezzjoni
accrue	0	0	0	0	0	0	0	0	0	0	jakkumula
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	jakkumulaw
accumulation	0	0	0	0	0	0	0	0	0	0	akkumulazzjoni
accuracy	0	0	0	0	0	0	0	0	0	0	preċiżjoni
accurate	0	0	0	0	0	0	1	0	0	1	preċiża
accursed	1	0	0	1	0	1	0	1	0	0	misħuta
accusation	1	0	1	0	0	1	0	0	0	0	akkuża
accusative	0	0	0	0	0	1	0	0	0	0	akku]attiv
accused	1	0	0	1	0	1	0	0	0	0	akkużat
accuser	1	0	0	1	0	1	0	0	0	0	akkużatur
accusing	1	0	0	1	0	1	0	0	0	0	akkuża
accustomed	0	0	0	0	0	0	0	0	0	0	imdorri
ace	0	0	0	0	0	0	1	0	0	0	ass
acetic	0	0	0	0	0	0	0	0	0	0	aċetiku
ache	0	0	0	0	0	1	0	1	0	0	uġigħ
achieve	0	0	0	0	1	0	1	0	0	1	tikseb
achievement	0	1	0	0	1	0	1	0	0	1	kisba
aching	0	0	0	0	0	1	0	1	0	0	uġigħ
acid	0	0	0	0	0	1	0	0	0	0	aċidu
acidity	0	0	0	0	0	0	0	0	0	0	aċidità
acknowledge	0	0	0	0	0	0	0	0	0	0	jirrikonoxxi
acknowledged	0	0	0	0	0	0	0	0	0	0	rikonoxxuti
acknowledgment	0	0	0	0	0	0	1	0	0	0	rikonoxximent
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustiku
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	jiffamiljarizzaw
acquaintance	0	0	0	0	0	0	0	0	0	0	konoxxenza
acquainted	0	0	0	0	0	0	0	0	0	0	familjari
acquiescence	0	0	0	0	0	0	0	0	0	0	kunsens
acquire	0	0	0	0	0	0	1	0	0	0	jakkwistaw
acquiring	0	1	0	0	0	0	1	0	0	0	akkwist
acquisition	0	0	0	0	0	0	0	0	0	0	akkwist
acquisitions	0	0	0	0	0	0	0	0	0	0	akkwisti
acreage	0	0	0	0	0	0	0	0	0	0	qisien
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	att
acting	0	0	0	0	0	0	0	0	0	0	jaġixxi
action	0	0	0	0	0	0	1	0	0	0	azzjoni
actionable	1	0	1	0	0	1	0	0	0	0	azzjonabbli
active	0	0	0	0	0	0	0	0	0	0	attiv
activity	0	0	0	0	0	0	0	0	0	0	attività
actor	0	0	0	0	0	0	0	0	0	0	attur
actual	0	0	0	0	0	0	1	0	0	0	attwali
actuality	0	0	0	0	0	0	0	0	0	0	attwalità
actuary	0	0	0	0	0	0	0	0	0	0	attwarju
acuity	0	0	0	0	0	0	1	0	0	0	akutezza
acumen	0	0	0	0	0	0	1	0	0	0	dehen
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	b'mod akut
adage	0	0	0	0	0	0	0	0	0	0	qawl
adamant	0	0	0	0	0	0	0	0	0	0	sod
adapt	0	0	0	0	0	0	1	0	0	0	tadatta
adaptable	0	0	0	0	0	0	1	0	0	0	adattabbli
add	0	0	0	0	0	0	0	0	0	0	żid
added	0	0	0	0	0	0	0	0	0	0	miżjud
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	vizzju
addition	0	0	0	0	0	0	0	0	0	0	żieda
additional	0	0	0	0	0	0	0	0	0	0	addizzjonali
additive	0	0	0	0	0	0	0	0	0	0	addittiv
address	0	0	0	0	0	0	0	0	0	0	indirizz
addressee	0	0	0	0	0	0	0	0	0	0	destinatarju
addresses	0	1	0	0	0	0	1	0	0	0	indirizzi
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	adegwatezza
adequate	0	0	0	0	0	0	0	0	0	0	adegwata
adhere	0	0	0	0	0	0	0	0	0	0	jaderixxu
adherence	0	0	0	0	0	0	0	0	0	0	aderenza
adherent	0	0	0	0	0	0	0	0	0	0	aderenti
adhering	0	0	0	0	0	0	0	0	0	1	li jeħel
adhesion	0	0	0	0	0	0	0	0	0	0	adeżjoni
adhesive	0	0	0	0	0	0	0	0	0	0	kolla
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	xaħmi
adjacency	0	0	0	0	0	0	0	0	0	0	ħdejn xulxin
adjacent	0	0	0	0	0	0	0	0	0	0	biswit
adjective	0	0	0	0	0	0	0	0	0	0	aġġettiv
adjoining	0	0	0	0	0	0	0	0	0	0	kontigwi
adjourn	0	0	0	0	0	0	0	0	0	0	jaġġorna
adjournment	0	0	0	0	0	0	0	0	0	0	aġġornament
adjudicate	0	0	0	1	0	1	0	0	0	0	jaġġudika
adjudication	0	0	0	0	0	0	0	0	0	0	ġudizzju
adjunct	0	0	0	0	0	0	1	0	0	0	aġġunt
adjust	0	0	0	0	0	0	0	0	0	0	aġġusta
adjustment	0	0	0	0	0	0	0	0	0	0	aġġustament
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	jamministra
administration	0	0	0	0	0	0	0	0	0	0	amministrazzjoni
administrative	0	0	0	0	0	0	0	0	0	1	amministrattiva
admirable	0	0	0	0	1	0	1	0	0	1	ammirevoli
admiral	0	0	0	0	0	0	1	0	0	1	ammirall
admiralty	0	0	0	0	0	0	0	0	0	0	ammiraljat
admiration	0	0	0	0	1	0	1	0	0	1	ammirazzjoni
admire	0	0	0	0	0	0	1	0	0	1	jammiraw
admirer	0	0	0	0	0	0	1	0	0	0	ammiratur
admissibility	0	0	0	0	0	0	0	0	0	0	l-ammissibbiltà
admissible	0	0	0	0	0	0	1	0	0	1	ammissibbli
admission	0	0	0	0	0	0	0	0	0	0	ammissjoni
admit	0	0	0	0	0	0	0	0	0	0	jammetti
admittance	0	0	0	0	0	0	0	0	0	0	ammissjoni
admitted	0	0	0	0	0	0	0	0	0	0	ammessi
admitting	0	0	0	0	0	0	0	0	0	0	ammettiet
admixture	0	0	0	0	0	0	0	0	0	0	taħlita
admonition	0	0	0	1	0	1	0	0	0	0	twissija
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolexxenza
adolescent	0	0	0	0	0	0	0	0	0	0	adolexxenti
adopt	0	0	0	0	0	0	0	0	0	0	jadotta
adoption	0	0	0	0	0	0	0	0	0	0	adozzjoni
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adorazzjoni
adore	0	1	0	0	1	0	1	0	0	1	nadura
adorn	0	0	0	0	0	0	0	0	0	0	iżejnu
adornment	0	0	0	0	0	0	0	0	0	0	tiżjin
adrift	0	1	0	1	0	1	0	1	0	0	deriva
adult	0	0	0	0	0	0	0	0	0	0	adult
adulterated	0	0	0	0	0	1	0	0	0	0	adulterat
adultery	0	0	1	0	0	1	0	1	0	0	adulterju
advance	0	1	0	1	1	0	1	0	1	0	bil-quddiem
advanced	0	0	0	0	0	0	1	0	0	0	avvanzati
advancement	0	0	0	0	0	0	1	0	0	0	avvanz
advancing	0	0	0	0	0	0	0	0	0	0	javvanza
advantage	0	0	0	0	0	0	1	0	0	0	vantaġġ
advantageous	0	0	0	0	0	0	1	0	0	0	vantaġġuża
advent	0	1	0	0	1	0	1	0	0	1	miġja
adventure	0	1	0	0	0	0	1	0	0	0	avventura
adventurer	0	0	0	0	0	0	0	0	0	0	avventuru
adventurous	0	0	0	0	0	0	1	0	0	0	avventuruż
adversary	1	0	0	0	0	1	0	0	0	0	avversarju
