English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Maori Word
aback	0	0	0	0	0	0	0	0	0	0	ohooho
abacus	0	0	0	0	0	0	0	0	0	1	abaka
abandon	0	0	0	1	0	1	0	1	0	0	whakarerea
abandoned	1	0	0	1	0	1	0	1	0	0	whakarerea
abandonment	1	0	0	1	0	1	0	1	1	0	whakarere
abate	0	0	0	0	0	0	0	0	0	0	whakaheke
abatement	0	0	0	0	0	0	0	0	0	0	whakahekenga
abba	0	0	0	0	0	0	1	0	0	0	apapa
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	whakapoto
abbreviation	0	0	0	0	0	0	0	0	0	0	whakapoto
abdomen	0	0	0	0	0	0	0	0	0	0	puku
abdominal	0	0	0	0	0	0	0	0	0	0	puku
abduction	0	0	0	1	0	1	0	1	1	0	kāhaki
aberrant	0	0	0	0	0	1	0	0	0	0	kopikopiko
aberration	0	0	1	0	0	1	0	0	0	0	hē
abeyance	0	0	0	0	0	0	0	0	0	0	whakaroa
abhor	1	0	1	1	0	1	0	0	0	0	whakarihariha
abhorrent	1	0	1	1	0	1	0	0	0	0	whakarihariha
abide	0	0	0	0	0	0	0	0	0	0	noho
ability	0	0	0	0	0	0	1	0	0	0	kaha
abject	0	0	1	0	0	1	0	0	0	0	whakahāwea
ablation	0	0	0	0	0	0	0	0	0	0	whakakorenga
ablaze	0	0	0	0	0	0	0	0	0	0	mura ahi
abnormal	0	0	1	0	0	1	0	0	0	0	rerehua
aboard	0	0	0	0	0	0	0	0	0	0	i runga
abode	0	0	0	0	0	0	0	0	0	0	nohonga
abolish	1	0	0	0	0	1	0	0	0	0	whakakore
abolition	0	0	0	0	0	1	0	0	0	0	whakakorenga
abominable	0	0	1	1	0	1	0	0	0	0	mea whakarihariha
abomination	1	0	1	1	0	1	0	0	0	0	mea whakarihariha
aboriginal	0	0	0	0	0	0	0	0	0	0	tangata whenua
abort	0	0	0	0	0	1	0	0	0	0	whakatahe
abortion	0	0	1	1	0	1	0	1	0	0	materoto
abortive	0	0	0	0	0	1	0	1	0	0	materoto
abound	0	0	0	0	0	0	0	0	0	0	nui
abovementioned	0	0	0	0	0	0	1	0	0	0	kua whakahuatia ake nei
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	ki waho
abrogate	0	0	0	0	0	1	0	0	0	0	whakakore
abrupt	0	0	0	0	0	0	0	0	1	0	ohorere
abruptly	0	0	0	0	0	0	0	0	0	0	ohorere
abscess	0	0	0	0	0	1	0	1	0	0	puku
absence	0	0	0	1	0	1	0	1	0	0	ngaronga
absent	0	0	0	0	0	1	0	1	0	0	ngaro
absentee	0	0	0	0	0	1	0	1	0	0	ngaro
absenteeism	0	0	0	0	0	1	0	0	0	0	noho kore
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	tino
absolution	0	0	0	0	1	0	1	0	0	1	murunga
absorbed	0	0	0	0	0	0	1	0	0	0	horomia
absorbent	0	0	0	0	0	0	0	0	0	0	horomanga
absorbing	0	0	0	0	0	0	0	0	0	0	horomia
absorption	0	0	0	0	0	0	0	0	0	0	horonga
abstain	0	0	0	0	0	0	0	0	0	0	mawehe atu
abstention	0	0	0	0	0	0	0	0	0	0	mawehe atu
abstinence	0	0	0	0	0	0	0	0	0	0	te korenga
abstract	0	0	0	0	0	0	0	0	0	0	waitara
abstraction	0	0	0	0	0	0	0	0	0	0	tangohanga
absurd	0	0	0	0	0	1	0	0	0	0	heahea
absurdity	0	0	0	0	0	1	0	0	0	0	heahea
abundance	0	1	1	0	1	1	1	0	0	1	nui
abundant	0	0	0	0	1	0	1	0	0	0	nui
abuse	1	0	1	1	0	1	0	1	0	0	tūkino
abutment	0	0	0	0	0	0	0	0	0	0	whakaruruhau
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	kino
abyss	0	0	0	1	0	1	0	1	0	0	torere
academic	0	0	0	0	0	0	1	0	0	1	mātauranga
academy	0	0	0	0	0	0	1	0	0	0	whare wānanga
accede	0	0	0	0	0	0	0	0	0	0	uru
accelerate	0	1	0	0	0	0	0	0	0	0	whakatere
acceleration	0	0	0	0	0	0	0	0	0	0	whakaterenga
accent	0	0	0	0	0	0	0	0	0	0	nako
accentuate	0	0	0	0	0	0	0	0	0	0	whakanui
accept	0	0	0	0	0	0	0	0	0	0	whakaae
acceptable	0	0	0	0	0	0	1	0	0	0	e manakohia ana
acceptance	0	0	0	0	0	0	1	0	0	0	whakaaetanga
access	0	0	0	0	0	0	0	0	0	0	uru
accessible	0	0	0	0	0	0	1	0	0	0	wātea
accession	0	0	0	0	0	0	0	0	0	0	whakaurunga
accessory	0	0	0	0	0	0	0	0	0	0	apatoko
accident	0	0	0	1	0	1	0	1	1	0	aitua
accidental	0	0	0	1	0	1	0	0	1	0	ohorere
accidentally	0	0	0	0	0	0	0	0	1	0	ohorere
accolade	0	1	0	0	1	0	1	0	1	1	whakanui
accommodate	0	0	0	0	0	0	0	0	0	0	noho
accommodation	0	0	0	0	0	0	1	0	0	0	noho
accompaniment	0	1	0	0	1	0	1	0	0	1	te haere tahi
accompany	0	0	0	0	0	0	0	0	0	0	haere tahi
accompanying	0	0	0	0	0	0	0	0	0	0	haere tahi
accomplice	0	0	0	0	0	0	0	0	0	0	hoa mahi
accomplish	0	0	0	0	1	0	1	0	0	0	whakatutuki
accomplished	0	0	0	0	1	0	1	0	0	0	kua tutuki
accomplishment	0	0	0	0	0	0	1	0	0	0	whakatutukitanga
accord	0	0	0	0	0	0	1	0	0	1	whakaae
accordance	0	0	0	0	0	0	0	0	0	0	rite
accordion	0	0	0	0	0	0	0	0	0	0	akoriona
account	0	0	0	0	0	0	0	0	0	1	pūkete
accountability	0	0	0	0	0	0	1	0	0	1	kawenga takohanga
accountable	0	0	0	0	0	0	1	0	0	1	whai kawenga
