English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Marathi Word
aback	0	0	0	0	0	0	0	0	0	0	थक्क
abacus	0	0	0	0	0	0	0	0	0	1	अॅबॅकस
abandon	0	0	0	1	0	1	0	1	0	0	सोडून देणे
abandoned	1	0	0	1	0	1	0	1	0	0	सोडून दिले
abandonment	1	0	0	1	0	1	0	1	1	0	त्याग
abate	0	0	0	0	0	0	0	0	0	0	कमी करणे
abatement	0	0	0	0	0	0	0	0	0	0	कमी करणे
abba	0	0	0	0	0	0	1	0	0	0	अब्बा
abbot	0	0	0	0	0	0	0	0	0	1	मठाधिपती
abbreviate	0	0	0	0	0	0	0	0	0	0	संक्षिप्त
abbreviation	0	0	0	0	0	0	0	0	0	0	संक्षेप
abdomen	0	0	0	0	0	0	0	0	0	0	उदर
abdominal	0	0	0	0	0	0	0	0	0	0	उदर
abduction	0	0	0	1	0	1	0	1	1	0	अपहरण
aberrant	0	0	0	0	0	1	0	0	0	0	विसंगत
aberration	0	0	1	0	0	1	0	0	0	0	विकृती
abeyance	0	0	0	0	0	0	0	0	0	0	स्थगिती
abhor	1	0	1	1	0	1	0	0	0	0	तिरस्कार
abhorrent	1	0	1	1	0	1	0	0	0	0	घृणास्पद
abide	0	0	0	0	0	0	0	0	0	0	पालन
ability	0	0	0	0	0	0	1	0	0	0	क्षमता
abject	0	0	1	0	0	1	0	0	0	0	निंदनीय
ablation	0	0	0	0	0	0	0	0	0	0	पृथक्करण
ablaze	0	0	0	0	0	0	0	0	0	0	आग लावणे
abnormal	0	0	1	0	0	1	0	0	0	0	असामान्य
aboard	0	0	0	0	0	0	0	0	0	0	जहाजात
abode	0	0	0	0	0	0	0	0	0	0	निवासस्थान
abolish	1	0	0	0	0	1	0	0	0	0	रद्द
abolition	0	0	0	0	0	1	0	0	0	0	निर्मूलन
abominable	0	0	1	1	0	1	0	0	0	0	घृणास्पद
abomination	1	0	1	1	0	1	0	0	0	0	घृणास्पद
aboriginal	0	0	0	0	0	0	0	0	0	0	आदिवासी
abort	0	0	0	0	0	1	0	0	0	0	गर्भपात
abortion	0	0	1	1	0	1	0	1	0	0	गर्भपात
abortive	0	0	0	0	0	1	0	1	0	0	गर्भपात
abound	0	0	0	0	0	0	0	0	0	0	भरपूर
abovementioned	0	0	0	0	0	0	1	0	0	0	वर दिल्याप्रमाणे
abrasion	0	0	0	0	0	1	0	0	0	0	घर्षण
abroad	0	0	0	0	0	0	0	0	0	0	परदेशात
abrogate	0	0	0	0	0	1	0	0	0	0	रद्द करणे
abrupt	0	0	0	0	0	0	0	0	1	0	अचानक
abruptly	0	0	0	0	0	0	0	0	0	0	एकाएकी
abscess	0	0	0	0	0	1	0	1	0	0	गळू
absence	0	0	0	1	0	1	0	1	0	0	अनुपस्थिती
absent	0	0	0	0	0	1	0	1	0	0	अनुपस्थित
absentee	0	0	0	0	0	1	0	1	0	0	अनुपस्थित
absenteeism	0	0	0	0	0	1	0	0	0	0	अनुपस्थिती
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	निरपेक्ष
absolution	0	0	0	0	1	0	1	0	0	1	मुक्ती
absorbed	0	0	0	0	0	0	1	0	0	0	शोषून घेतले
absorbent	0	0	0	0	0	0	0	0	0	0	शोषक
absorbing	0	0	0	0	0	0	0	0	0	0	शोषक
absorption	0	0	0	0	0	0	0	0	0	0	शोषण
abstain	0	0	0	0	0	0	0	0	0	0	टाळा
abstention	0	0	0	0	0	0	0	0	0	0	वर्ज्य
abstinence	0	0	0	0	0	0	0	0	0	0	त्याग
