English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Nepali Word
aback	0	0	0	0	0	0	0	0	0	0	अचम्म
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	त्याग्नु
abandoned	1	0	0	1	0	1	0	1	0	0	त्यागिएको
abandonment	1	0	0	1	0	1	0	1	1	0	परित्याग
abate	0	0	0	0	0	0	0	0	0	0	कम गर्नुहोस्
abatement	0	0	0	0	0	0	0	0	0	0	कमी
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	मठाधीश
abbreviate	0	0	0	0	0	0	0	0	0	0	संक्षिप्त
abbreviation	0	0	0	0	0	0	0	0	0	0	संक्षिप्त नाम
abdomen	0	0	0	0	0	0	0	0	0	0	पेट
abdominal	0	0	0	0	0	0	0	0	0	0	पेट
abduction	0	0	0	1	0	1	0	1	1	0	अपहरण
aberrant	0	0	0	0	0	1	0	0	0	0	विपरित
aberration	0	0	1	0	0	1	0	0	0	0	विकृति
abeyance	0	0	0	0	0	0	0	0	0	0	स्थगन
abhor	1	0	1	1	0	1	0	0	0	0	घृणा
abhorrent	1	0	1	1	0	1	0	0	0	0	घृणित
abide	0	0	0	0	0	0	0	0	0	0	पालना
ability	0	0	0	0	0	0	1	0	0	0	क्षमता
abject	0	0	1	0	0	1	0	0	0	0	घृणित
ablation	0	0	0	0	0	0	0	0	0	0	उन्मूलन
ablaze	0	0	0	0	0	0	0	0	0	0	आगो
abnormal	0	0	1	0	0	1	0	0	0	0	असामान्य
aboard	0	0	0	0	0	0	0	0	0	0	जहाजमा
abode	0	0	0	0	0	0	0	0	0	0	निवास
abolish	1	0	0	0	0	1	0	0	0	0	समाप्त गर्न्
abolition	0	0	0	0	0	1	0	0	0	0	उन्मूलन
abominable	0	0	1	1	0	1	0	0	0	0	घृणित
abomination	1	0	1	1	0	1	0	0	0	0	घृणित कुरा
aboriginal	0	0	0	0	0	0	0	0	0	0	आदिवासी
abort	0	0	0	0	0	1	0	0	0	0	परित्याग
abortion	0	0	1	1	0	1	0	1	0	0	गर्भपतन
abortive	0	0	0	0	0	1	0	1	0	0	गर्भपतन गर्ने
abound	0	0	0	0	0	0	0	0	0	0	प्रशस्त
abovementioned	0	0	0	0	0	0	1	0	0	0	माथि उल्लेखित
abrasion	0	0	0	0	0	1	0	0	0	0	घर्षण
abroad	0	0	0	0	0	0	0	0	0	0	विदेशमा
abrogate	0	0	0	0	0	1	0	0	0	0	रद्द गर्नुहोस्
abrupt	0	0	0	0	0	0	0	0	1	0	अचानक
abruptly	0	0	0	0	0	0	0	0	0	0	अचानक
abscess	0	0	0	0	0	1	0	1	0	0	फोड़ा
