English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Norwegian Word
aback	0	0	0	0	0	0	0	0	0	0	overrasket
abacus	0	0	0	0	0	0	0	0	0	1	kuleramme
abandon	0	0	0	1	0	1	0	1	0	0	forlate
abandoned	1	0	0	1	0	1	0	1	0	0	forlatt
abandonment	1	0	0	1	0	1	0	1	1	0	forlatelse
abate	0	0	0	0	0	0	0	0	0	0	avta
abatement	0	0	0	0	0	0	0	0	0	0	reduksjon
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbed
abbreviate	0	0	0	0	0	0	0	0	0	0	forkorte
abbreviation	0	0	0	0	0	0	0	0	0	0	forkortelse
abdomen	0	0	0	0	0	0	0	0	0	0	mageregionen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	bortføring
aberrant	0	0	0	0	0	1	0	0	0	0	avvikende
aberration	0	0	1	0	0	1	0	0	0	0	aberrasjon
abeyance	0	0	0	0	0	0	0	0	0	0	avstand
abhor	1	0	1	1	0	1	0	0	0	0	avsky
abhorrent	1	0	1	1	0	1	0	0	0	0	avskyelig
abide	0	0	0	0	0	0	0	0	0	0	overholde
ability	0	0	0	0	0	0	1	0	0	0	evnen
abject	0	0	1	0	0	1	0	0	0	0	uhyggelig
ablation	0	0	0	0	0	0	0	0	0	0	ablasjon
ablaze	0	0	0	0	0	0	0	0	0	0	brenne
abnormal	0	0	1	0	0	1	0	0	0	0	unormal
aboard	0	0	0	0	0	0	0	0	0	0	ombord
abode	0	0	0	0	0	0	0	0	0	0	bolig
abolish	1	0	0	0	0	1	0	0	0	0	avskaffe
abolition	0	0	0	0	0	1	0	0	0	0	avskaffelse
abominable	0	0	1	1	0	1	0	0	0	0	avskyelig
abomination	1	0	1	1	0	1	0	0	0	0	vederstyggelighet
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	avbryte
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	mislykket
abound	0	0	0	0	0	0	0	0	0	0	florerer
abovementioned	0	0	0	0	0	0	1	0	0	0	ovenfor
abrasion	0	0	0	0	0	1	0	0	0	0	slitasje
abroad	0	0	0	0	0	0	0	0	0	0	i utlandet
abrogate	0	0	0	0	0	1	0	0	0	0	oppheve
abrupt	0	0	0	0	0	0	0	0	1	0	brå
abruptly	0	0	0	0	0	0	0	0	0	0	brått
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	fravær
absent	0	0	0	0	0	1	0	1	0	0	fraværende
absentee	0	0	0	0	0	1	0	1	0	0	fraværende
absenteeism	0	0	0	0	0	1	0	0	0	0	fravær
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolutt
absolution	0	0	0	0	1	0	1	0	0	1	absolusjon
absorbed	0	0	0	0	0	0	1	0	0	0	absorbert
absorbent	0	0	0	0	0	0	0	0	0	0	absorberende
absorbing	0	0	0	0	0	0	0	0	0	0	absorberende
absorption	0	0	0	0	0	0	0	0	0	0	absorpsjon
abstain	0	0	0	0	0	0	0	0	0	0	avstå
abstention	0	0	0	0	0	0	0	0	0	0	avholdenhet
abstinence	0	0	0	0	0	0	0	0	0	0	avholdenhet
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksjon
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditet
abundance	0	1	1	0	1	1	1	0	0	1	overflod
abundant	0	0	0	0	1	0	1	0	0	0	rikelig
abuse	1	0	1	1	0	1	0	1	0	0	misbruke
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bunnløs
abyss	0	0	0	1	0	1	0	1	0	0	avgrunn
academic	0	0	0	0	0	0	1	0	0	1	akademisk
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	gå med
accelerate	0	1	0	0	0	0	0	0	0	0	akselerere
acceleration	0	0	0	0	0	0	0	0	0	0	akselerasjon
accent	0	0	0	0	0	0	0	0	0	0	aksent
accentuate	0	0	0	0	0	0	0	0	0	0	fremheve
accept	0	0	0	0	0	0	0	0	0	0	aksepterer
acceptable	0	0	0	0	0	0	1	0	0	0	akseptabel
acceptance	0	0	0	0	0	0	1	0	0	0	godkjennelse
access	0	0	0	0	0	0	0	0	0	0	adgang
accessible	0	0	0	0	0	0	1	0	0	0	tilgjengelig
accession	0	0	0	0	0	0	0	0	0	0	tiltredelse
accessory	0	0	0	0	0	0	0	0	0	0	tilbehør
accident	0	0	0	1	0	1	0	1	1	0	ulykke
accidental	0	0	0	1	0	1	0	0	1	0	tilfeldig
accidentally	0	0	0	0	0	0	0	0	1	0	ved et uhell
accolade	0	1	0	0	1	0	1	0	1	1	utmerkelse
accommodate	0	0	0	0	0	0	0	0	0	0	imøtekomme
accommodation	0	0	0	0	0	0	1	0	0	0	overnatting
accompaniment	0	1	0	0	1	0	1	0	0	1	akkompagnement
accompany	0	0	0	0	0	0	0	0	0	0	ledsage
accompanying	0	0	0	0	0	0	0	0	0	0	medfølgende
accomplice	0	0	0	0	0	0	0	0	0	0	medskyldig
accomplish	0	0	0	0	1	0	1	0	0	0	utrette
accomplished	0	0	0	0	1	0	1	0	0	0	oppnådd
accomplishment	0	0	0	0	0	0	1	0	0	0	gjennomføring
accord	0	0	0	0	0	0	1	0	0	1	avtale
accordance	0	0	0	0	0	0	0	0	0	0	samsvar
accordion	0	0	0	0	0	0	0	0	0	0	trekkspill
account	0	0	0	0	0	0	0	0	0	1	regnskap
accountability	0	0	0	0	0	0	1	0	0	1	ansvarlighet
accountable	0	0	0	0	0	0	1	0	0	1	ansvarlig
accountant	0	0	0	0	0	0	0	0	0	1	regnskapsfører
accounting	0	0	0	0	0	0	0	0	0	0	regnskap
accounts	0	0	0	0	0	0	0	0	0	1	kontoer
accredited	0	0	0	0	0	0	1	0	0	1	akkreditert
accretion	0	0	0	0	0	0	0	0	0	0	akkresjon
accrue	0	0	0	0	0	0	0	0	0	0	påløpe
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akkumulere
accumulation	0	0	0	0	0	0	0	0	0	0	akkumulering
accuracy	0	0	0	0	0	0	0	0	0	0	nøyaktighet
accurate	0	0	0	0	0	0	1	0	0	1	korrekt
accursed	1	0	0	1	0	1	0	1	0	0	forbannet
accusation	1	0	1	0	0	1	0	0	0	0	anklage
accusative	0	0	0	0	0	1	0	0	0	0	akkusativ
accused	1	0	0	1	0	1	0	0	0	0	tiltalte
accuser	1	0	0	1	0	1	0	0	0	0	anklager
accusing	1	0	0	1	0	1	0	0	0	0	anklagende
accustomed	0	0	0	0	0	0	0	0	0	0	vant
ace	0	0	0	0	0	0	1	0	0	0	ess
acetic	0	0	0	0	0	0	0	0	0	0	eddiksyre
ache	0	0	0	0	0	1	0	1	0	0	smerte
achieve	0	0	0	0	1	0	1	0	0	1	oppnå
achievement	0	1	0	0	1	0	1	0	0	1	oppnåelse
aching	0	0	0	0	0	1	0	1	0	0	verkende
acid	0	0	0	0	0	1	0	0	0	0	syre
acidity	0	0	0	0	0	0	0	0	0	0	surhet
acknowledge	0	0	0	0	0	0	0	0	0	0	anerkjenne
acknowledged	0	0	0	0	0	0	0	0	0	0	anerkjente
acknowledgment	0	0	0	0	0	0	1	0	0	0	bekreftelse
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustisk
acoustics	0	0	0	0	0	0	0	0	0	0	akustikk
acquaint	0	0	0	0	0	0	0	0	0	0	bli kjent
acquaintance	0	0	0	0	0	0	0	0	0	0	bekjent
acquainted	0	0	0	0	0	0	0	0	0	0	kjent
acquiescence	0	0	0	0	0	0	0	0	0	0	samtykke
acquire	0	0	0	0	0	0	1	0	0	0	tilegne
acquiring	0	1	0	0	0	0	1	0	0	0	anskaffe
acquisition	0	0	0	0	0	0	0	0	0	0	oppkjøp
acquisitions	0	0	0	0	0	0	0	0	0	0	oppkjøp
acreage	0	0	0	0	0	0	0	0	0	0	areal
acres	0	0	0	0	0	0	0	0	0	0	dekar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	handling
acting	0	0	0	0	0	0	0	0	0	0	skuespill
action	0	0	0	0	0	0	1	0	0	0	handling
actionable	1	0	1	0	0	1	0	0	0	0	handlingsdyktig
active	0	0	0	0	0	0	0	0	0	0	aktiv
activity	0	0	0	0	0	0	0	0	0	0	aktivitet
actor	0	0	0	0	0	0	0	0	0	0	skuespiller
actual	0	0	0	0	0	0	1	0	0	0	faktiske
actuality	0	0	0	0	0	0	0	0	0	0	virkeligheten
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	skarphet
acumen	0	0	0	0	0	0	1	0	0	0	sans
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akutt
adage	0	0	0	0	0	0	0	0	0	0	ordtak
adamant	0	0	0	0	0	0	0	0	0	0	ubøyelig
adapt	0	0	0	0	0	0	1	0	0	0	tilpasse
adaptable	0	0	0	0	0	0	1	0	0	0	tilpasningsdyktig
add	0	0	0	0	0	0	0	0	0	0	legge til
added	0	0	0	0	0	0	0	0	0	0	la til
addendum	0	0	0	0	0	0	0	0	0	0	tillegg
adder	1	0	1	1	0	1	0	1	0	0	huggorm
addiction	0	0	0	0	0	1	0	0	0	0	avhengighet
addition	0	0	0	0	0	0	0	0	0	0	addisjon
additional	0	0	0	0	0	0	0	0	0	0	ytterligere
additive	0	0	0	0	0	0	0	0	0	0	tilsetningsstoff
address	0	0	0	0	0	0	0	0	0	0	adresse
addressee	0	0	0	0	0	0	0	0	0	0	adressat
addresses	0	1	0	0	0	0	1	0	0	0	adresser
adept	0	0	0	0	0	0	1	0	0	0	dyktig
adequacy	0	0	0	0	0	0	1	0	0	0	tilstrekkelighet
adequate	0	0	0	0	0	0	0	0	0	0	tilstrekkelig
adhere	0	0	0	0	0	0	0	0	0	0	følge
adherence	0	0	0	0	0	0	0	0	0	0	binding
adherent	0	0	0	0	0	0	0	0	0	0	tilhenger
adhering	0	0	0	0	0	0	0	0	0	1	fester seg
adhesion	0	0	0	0	0	0	0	0	0	0	vedheft
adhesive	0	0	0	0	0	0	0	0	0	0	lim
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	fett
adjacency	0	0	0	0	0	0	0	0	0	0	tilknytning
adjacent	0	0	0	0	0	0	0	0	0	0	ved siden av
adjective	0	0	0	0	0	0	0	0	0	0	adjektiv
adjoining	0	0	0	0	0	0	0	0	0	0	tilstøtende
adjourn	0	0	0	0	0	0	0	0	0	0	utsette
adjournment	0	0	0	0	0	0	0	0	0	0	utsettelse
adjudicate	0	0	0	1	0	1	0	0	0	0	dømme
adjudication	0	0	0	0	0	0	0	0	0	0	dom
adjunct	0	0	0	0	0	0	1	0	0	0	adjunkt
adjust	0	0	0	0	0	0	0	0	0	0	justere
adjustment	0	0	0	0	0	0	0	0	0	0	justering
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	administrere
administration	0	0	0	0	0	0	0	0	0	0	administrasjon
administrative	0	0	0	0	0	0	0	0	0	1	administrativt
admirable	0	0	0	0	1	0	1	0	0	1	beundringsverdig
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitet
admiration	0	0	0	0	1	0	1	0	0	1	beundring
admire	0	0	0	0	0	0	1	0	0	1	beundre
admirer	0	0	0	0	0	0	1	0	0	0	beundrer
admissibility	0	0	0	0	0	0	0	0	0	0	tillatelse
admissible	0	0	0	0	0	0	1	0	0	1	tillatelig
admission	0	0	0	0	0	0	0	0	0	0	adgang
admit	0	0	0	0	0	0	0	0	0	0	innrømme
admittance	0	0	0	0	0	0	0	0	0	0	adgang
admitted	0	0	0	0	0	0	0	0	0	0	innrømmet
admitting	0	0	0	0	0	0	0	0	0	0	innrømmer
admixture	0	0	0	0	0	0	0	0	0	0	innblanding
admonition	0	0	0	1	0	1	0	0	0	0	formaning
ado	0	0	0	0	0	0	0	0	0	0	En gjør
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ungdomsårene
adolescent	0	0	0	0	0	0	0	0	0	0	tenåring
adopt	0	0	0	0	0	0	0	0	0	0	adoptere
adoption	0	0	0	0	0	0	0	0	0	0	adopsjon
adorable	0	0	0	0	1	0	1	0	0	0	bedårende
adoration	0	0	0	0	1	0	1	0	0	1	tilbedelse
adore	0	1	0	0	1	0	1	0	0	1	forguder
adorn	0	0	0	0	0	0	0	0	0	0	pryde
adornment	0	0	0	0	0	0	0	0	0	0	utsmykning
adrift	0	1	0	1	0	1	0	1	0	0	på drift
