English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Odia Word
aback	0	0	0	0	0	0	0	0	0	0	ଆବାକ୍
abacus	0	0	0	0	0	0	0	0	0	1	ଆବାକସ୍ |
abandon	0	0	0	1	0	1	0	1	0	0	ପରିତ୍ୟାଗ କରିବା
abandoned	1	0	0	1	0	1	0	1	0	0	ପରିତ୍ୟକ୍ତ
abandonment	1	0	0	1	0	1	0	1	1	0	ତ୍ୟାଗ
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	ଅବରୋଧ
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	ସଂକ୍ଷିପ୍ତ
abbreviation	0	0	0	0	0	0	0	0	0	0	ସଂକ୍ଷିପ୍ତକରଣ
abdomen	0	0	0	0	0	0	0	0	0	0	ପେଟ
abdominal	0	0	0	0	0	0	0	0	0	0	ପେଟ
abduction	0	0	0	1	0	1	0	1	1	0	ଅପହରଣ
aberrant	0	0	0	0	0	1	0	0	0	0	ଅବିରାଣ୍ଟ |
aberration	0	0	1	0	0	1	0	0	0	0	ଘୃଣ୍ୟତା |
abeyance	0	0	0	0	0	0	0	0	0	0	ମାନିବା
abhor	1	0	1	1	0	1	0	0	0	0	ଘୃଣ୍ୟ
abhorrent	1	0	1	1	0	1	0	0	0	0	ଘୃଣ୍ୟ
abide	0	0	0	0	0	0	0	0	0	0	ରୁହ
ability	0	0	0	0	0	0	1	0	0	0	ଦକ୍ଷତା
abject	0	0	1	0	0	1	0	0	0	0	ଅବଜେକ୍ଟ
ablation	0	0	0	0	0	0	0	0	0	0	ଅବ୍ଲିସନ୍ |
ablaze	0	0	0	0	0	0	0	0	0	0	ନିଆଁ
abnormal	0	0	1	0	0	1	0	0	0	0	ଅସ୍ୱାଭାବିକ
aboard	0	0	0	0	0	0	0	0	0	0	ଜାହାଜରେ
abode	0	0	0	0	0	0	0	0	0	0	ବାସ କର
abolish	1	0	0	0	0	1	0	0	0	0	ରଦ୍ଦ
abolition	0	0	0	0	0	1	0	0	0	0	ରଦ୍ଦ
abominable	0	0	1	1	0	1	0	0	0	0	ଘୃଣ୍ୟ
abomination	1	0	1	1	0	1	0	0	0	0	ଘୃଣ୍ୟ
aboriginal	0	0	0	0	0	0	0	0	0	0	ଆଦିବାସୀ
abort	0	0	0	0	0	1	0	0	0	0	ପରିତ୍ୟାଗ
abortion	0	0	1	1	0	1	0	1	0	0	ଗର୍ଭପାତ
abortive	0	0	0	0	0	1	0	1	0	0	ଗର୍ଭପାତ
abound	0	0	0	0	0	0	0	0	0	0	ପ୍ରଚୁର
abovementioned	0	0	0	0	0	0	1	0	0	0	ଉପରୋକ୍ତ
abrasion	0	0	0	0	0	1	0	0	0	0	ଘୃଣା
abroad	0	0	0	0	0	0	0	0	0	0	ବିଦେଶ
abrogate	0	0	0	0	0	1	0	0	0	0	ରଦ୍ଦ କରନ୍ତୁ |
abrupt	0	0	0	0	0	0	0	0	1	0	ଆକସ୍ମିକ
abruptly	0	0	0	0	0	0	0	0	0	0	ହଠାତ୍
abscess	0	0	0	0	0	1	0	1	0	0	ଆବସେସ୍ |
absence	0	0	0	1	0	1	0	1	0	0	ଅନୁପସ୍ଥିତି
absent	0	0	0	0	0	1	0	1	0	0	ଅନୁପସ୍ଥିତ
absentee	0	0	0	0	0	1	0	1	0	0	ଅନୁପସ୍ଥିତ
absenteeism	0	0	0	0	0	1	0	0	0	0	ଅନୁପସ୍ଥିତି
absinthe	0	0	0	0	0	0	0	0	0	0	ଅନୁପସ୍ଥିତ |
absolute	0	0	0	0	0	0	1	0	0	0	ସଂପୂର୍ଣ୍ଣ
absolution	0	0	0	0	1	0	1	0	0	1	ସଂପୂର୍ଣ୍ଣ
absorbed	0	0	0	0	0	0	1	0	0	0	ଅବଶୋଷିତ |
absorbent	0	0	0	0	0	0	0	0	0	0	ଶୋଷକ
absorbing	0	0	0	0	0	0	0	0	0	0	ଶୋଷଣ
absorption	0	0	0	0	0	0	0	0	0	0	ଅବଶୋଷଣ
abstain	0	0	0	0	0	0	0	0	0	0	ନିବୃତ୍ତ ହୁଅ
abstention	0	0	0	0	0	0	0	0	0	0	ନିବୃତ୍ତ |
abstinence	0	0	0	0	0	0	0	0	0	0	ନିବୃତ୍ତ |
abstract	0	0	0	0	0	0	0	0	0	0	ବିସ୍ତୃତ
abstraction	0	0	0	0	0	0	0	0	0	0	ଅବକ୍ଷୟ
absurd	0	0	0	0	0	1	0	0	0	0	ଅବ urd ଧ |
absurdity	0	0	0	0	0	1	0	0	0	0	ଅବ urd ଧତା |
abundance	0	1	1	0	1	1	1	0	0	1	ପ୍ରଚୁରତା
abundant	0	0	0	0	1	0	1	0	0	0	ପ୍ରଚୁର
abuse	1	0	1	1	0	1	0	1	0	0	ଅପବ୍ୟବହାର |
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	ଅକ୍ଷୟ
abysmal	0	0	0	0	0	1	0	1	0	0	ଅବକ୍ଷୟ |
abyss	0	0	0	1	0	1	0	1	0	0	ଅକ୍ଷୟ
academic	0	0	0	0	0	0	1	0	0	1	ଏକାଡେମିକ୍ |
academy	0	0	0	0	0	0	1	0	0	0	ଏକାଡେମୀ
accede	0	0	0	0	0	0	0	0	0	0	ଯୋଗଦାନ
accelerate	0	1	0	0	0	0	0	0	0	0	ତ୍ୱରାନ୍ୱିତ କର |
acceleration	0	0	0	0	0	0	0	0	0	0	ତ୍ୱରଣ
accent	0	0	0	0	0	0	0	0	0	0	ଉଚ୍ଚାରଣ
accentuate	0	0	0	0	0	0	0	0	0	0	ଉଚ୍ଚାରଣ କରନ୍ତୁ |
accept	0	0	0	0	0	0	0	0	0	0	ଗ୍ରହଣ କର
acceptable	0	0	0	0	0	0	1	0	0	0	ଗ୍ରହଣୀୟ
acceptance	0	0	0	0	0	0	1	0	0	0	ଗ୍ରହଣ
access	0	0	0	0	0	0	0	0	0	0	ପ୍ରବେଶ
accessible	0	0	0	0	0	0	1	0	0	0	ଉପଲବ୍ଧ
accession	0	0	0	0	0	0	0	0	0	0	ଯୋଗଦାନ
accessory	0	0	0	0	0	0	0	0	0	0	ଆନୁଷଙ୍ଗିକ
accident	0	0	0	1	0	1	0	1	1	0	ଦୁର୍ଘଟଣା
accidental	0	0	0	1	0	1	0	0	1	0	ଆକସ୍ମିକ
accidentally	0	0	0	0	0	0	0	0	1	0	ହଠାତ୍
accolade	0	1	0	0	1	0	1	0	1	1	ପ୍ରଶଂସା
accommodate	0	0	0	0	0	0	0	0	0	0	ରହିବା
accommodation	0	0	0	0	0	0	1	0	0	0	ଆବାସ
accompaniment	0	1	0	0	1	0	1	0	0	1	ସଙ୍ଗୀତ
accompany	0	0	0	0	0	0	0	0	0	0	ସାଥିରେ
accompanying	0	0	0	0	0	0	0	0	0	0	ସାଙ୍ଗରେ ଯିବା
accomplice	0	0	0	0	0	0	0	0	0	0	ସହଯୋଗୀ
accomplish	0	0	0	0	1	0	1	0	0	0	ସମ୍ପନ୍ନ କର |
accomplished	0	0	0	0	1	0	1	0	0	0	ସମ୍ପନ୍ନ
accomplishment	0	0	0	0	0	0	1	0	0	0	ଉପଲବ୍ଧି
accord	0	0	0	0	0	0	1	0	0	1	ଚୁକ୍ତି
accordance	0	0	0	0	0	0	0	0	0	0	ଅନୁଯାୟୀ |
accordion	0	0	0	0	0	0	0	0	0	0	ଆକ୍ରେଡୋନ୍ |
account	0	0	0	0	0	0	0	0	0	1	ଖାତା
accountability	0	0	0	0	0	0	1	0	0	1	ଉତ୍ତରଦାୟିତ୍ୱ
accountable	0	0	0	0	0	0	1	0	0	1	ଉତ୍ତରଦାୟୀ |
accountant	0	0	0	0	0	0	0	0	0	1	ଆକାଉଣ୍ଟାଣ୍ଟ
accounting	0	0	0	0	0	0	0	0	0	0	ହିସାବ
accounts	0	0	0	0	0	0	0	0	0	1	ଖାତା
accredited	0	0	0	0	0	0	1	0	0	1	ମାନ୍ୟତା
accretion	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକୃତି
accrue	0	0	0	0	0	0	0	0	0	0	ଆକ୍ରୁ
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ଜମା କର |
accumulation	0	0	0	0	0	0	0	0	0	0	ଜମା
accuracy	0	0	0	0	0	0	0	0	0	0	ସଠିକତା
accurate	0	0	0	0	0	0	1	0	0	1	ସଠିକ୍
accursed	1	0	0	1	0	1	0	1	0	0	ଅଭିଶାପିତ
accusation	1	0	1	0	0	1	0	0	0	0	ଅଭିଯୋଗ
accusative	0	0	0	0	0	1	0	0	0	0	ଅଭିଯୋଗକାରୀ
