English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Pashto Word
aback	0	0	0	0	0	0	0	0	0	0	حیران
abacus	0	0	0	0	0	0	0	0	0	1	اباکوس
abandon	0	0	0	1	0	1	0	1	0	0	پریښودل
abandoned	1	0	0	1	0	1	0	1	0	0	پریښودل
abandonment	1	0	0	1	0	1	0	1	1	0	پریښودل
abate	0	0	0	0	0	0	0	0	0	0	کمول
abatement	0	0	0	0	0	0	0	0	0	0	تخفیف
abba	0	0	0	0	0	0	1	0	0	0	ابا
abbot	0	0	0	0	0	0	0	0	0	1	ایبټ
abbreviate	0	0	0	0	0	0	0	0	0	0	لنډیز
abbreviation	0	0	0	0	0	0	0	0	0	0	لنډیز
abdomen	0	0	0	0	0	0	0	0	0	0	معده
abdominal	0	0	0	0	0	0	0	0	0	0	معده
abduction	0	0	0	1	0	1	0	1	1	0	تښتونه
aberrant	0	0	0	0	0	1	0	0	0	0	ناپاک
aberration	0	0	1	0	0	1	0	0	0	0	تخریب
abeyance	0	0	0	0	0	0	0	0	0	0	ځنډ
abhor	1	0	1	1	0	1	0	0	0	0	کرکه
abhorrent	1	0	1	1	0	1	0	0	0	0	کرکه
abide	0	0	0	0	0	0	0	0	0	0	پاتې کیدل
ability	0	0	0	0	0	0	1	0	0	0	وړتیا
abject	0	0	1	0	0	1	0	0	0	0	سپکاوی
ablation	0	0	0	0	0	0	0	0	0	0	خلاصون
ablaze	0	0	0	0	0	0	0	0	0	0	سوځول
abnormal	0	0	1	0	0	1	0	0	0	0	غیر معمولي
aboard	0	0	0	0	0	0	0	0	0	0	بېړۍ
abode	0	0	0	0	0	0	0	0	0	0	استوګنه
abolish	1	0	0	0	0	1	0	0	0	0	لغوه کول
abolition	0	0	0	0	0	1	0	0	0	0	له منځه وړل
abominable	0	0	1	1	0	1	0	0	0	0	ناوړه
abomination	1	0	1	1	0	1	0	0	0	0	کرکه
aboriginal	0	0	0	0	0	0	0	0	0	0	اصلي
abort	0	0	0	0	0	1	0	0	0	0	بندول
abortion	0	0	1	1	0	1	0	1	0	0	سقط
abortive	0	0	0	0	0	1	0	1	0	0	سقط
abound	0	0	0	0	0	0	0	0	0	0	ډیر
abovementioned	0	0	0	0	0	0	1	0	0	0	پورته یاد شوي دي
abrasion	0	0	0	0	0	1	0	0	0	0	خارښ
abroad	0	0	0	0	0	0	0	0	0	0	بهر
