English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Persian Word
aback	0	0	0	0	0	0	0	0	0	0	متعجب
abacus	0	0	0	0	0	0	0	0	0	1	چرتکه
abandon	0	0	0	1	0	1	0	1	0	0	رها کردن
abandoned	1	0	0	1	0	1	0	1	0	0	رها شده است
abandonment	1	0	0	1	0	1	0	1	1	0	رها شدن
abate	0	0	0	0	0	0	0	0	0	0	کاهش دادن
abatement	0	0	0	0	0	0	0	0	0	0	کاهش
abba	0	0	0	0	0	0	1	0	0	0	بابا
abbot	0	0	0	0	0	0	0	0	0	1	ابات
abbreviate	0	0	0	0	0	0	0	0	0	0	مخفف کردن
abbreviation	0	0	0	0	0	0	0	0	0	0	مخفف
abdomen	0	0	0	0	0	0	0	0	0	0	شکم
abdominal	0	0	0	0	0	0	0	0	0	0	شکمی
abduction	0	0	0	1	0	1	0	1	1	0	آدم ربایی
aberrant	0	0	0	0	0	1	0	0	0	0	ناهنجار
aberration	0	0	1	0	0	1	0	0	0	0	انحراف
abeyance	0	0	0	0	0	0	0	0	0	0	معطل ماندن
abhor	1	0	1	1	0	1	0	0	0	0	بیزاری
abhorrent	1	0	1	1	0	1	0	0	0	0	نفرت انگیز
abide	0	0	0	0	0	0	0	0	0	0	پایبند بودن
ability	0	0	0	0	0	0	1	0	0	0	توانایی
abject	0	0	1	0	0	1	0	0	0	0	افتضاح
ablation	0	0	0	0	0	0	0	0	0	0	فرسایش
ablaze	0	0	0	0	0	0	0	0	0	0	مشتعل
abnormal	0	0	1	0	0	1	0	0	0	0	غیرطبیعی
aboard	0	0	0	0	0	0	0	0	0	0	در کشتی
abode	0	0	0	0	0	0	0	0	0	0	اقامت
abolish	1	0	0	0	0	1	0	0	0	0	لغو کند
abolition	0	0	0	0	0	1	0	0	0	0	لغو
abominable	0	0	1	1	0	1	0	0	0	0	نفرت انگیز
abomination	1	0	1	1	0	1	0	0	0	0	عمل شنیع
aboriginal	0	0	0	0	0	0	0	0	0	0	بومی
abort	0	0	0	0	0	1	0	0	0	0	سقط
abortion	0	0	1	1	0	1	0	1	0	0	سقط جنین
abortive	0	0	0	0	0	1	0	1	0	0	ناقص
abound	0	0	0	0	0	0	0	0	0	0	فراوان است
abovementioned	0	0	0	0	0	0	1	0	0	0	فوق الذکر
abrasion	0	0	0	0	0	1	0	0	0	0	سایش
abroad	0	0	0	0	0	0	0	0	0	0	خارج از کشور
abrogate	0	0	0	0	0	1	0	0	0	0	لغو کردن
abrupt	0	0	0	0	0	0	0	0	1	0	ناگهانی
abruptly	0	0	0	0	0	0	0	0	0	0	ناگهان
abscess	0	0	0	0	0	1	0	1	0	0	آبسه
absence	0	0	0	1	0	1	0	1	0	0	غیبت
absent	0	0	0	0	0	1	0	1	0	0	غایب
absentee	0	0	0	0	0	1	0	1	0	0	غایب
absenteeism	0	0	0	0	0	1	0	0	0	0	غیبت
absinthe	0	0	0	0	0	0	0	0	0	0	ابسنت
absolute	0	0	0	0	0	0	1	0	0	0	مطلق
absolution	0	0	0	0	1	0	1	0	0	1	عفو
absorbed	0	0	0	0	0	0	1	0	0	0	جذب شده است
absorbent	0	0	0	0	0	0	0	0	0	0	جاذب
absorbing	0	0	0	0	0	0	0	0	0	0	جذب کننده
absorption	0	0	0	0	0	0	0	0	0	0	جذب
abstain	0	0	0	0	0	0	0	0	0	0	خودداری کنند
abstention	0	0	0	0	0	0	0	0	0	0	ممتنع
abstinence	0	0	0	0	0	0	0	0	0	0	پرهیز
abstract	0	0	0	0	0	0	0	0	0	0	چکیده
abstraction	0	0	0	0	0	0	0	0	0	0	انتزاع - مفهوم - برداشت
absurd	0	0	0	0	0	1	0	0	0	0	چرند
absurdity	0	0	0	0	0	1	0	0	0	0	پوچی
abundance	0	1	1	0	1	1	1	0	0	1	فراوانی
abundant	0	0	0	0	1	0	1	0	0	0	فراوان
abuse	1	0	1	1	0	1	0	1	0	0	سو استفاده کردن
abutment	0	0	0	0	0	0	0	0	0	0	تکیه گاه
aby	0	0	0	0	0	0	0	0	0	0	ابی
abysmal	0	0	0	0	0	1	0	1	0	0	افتضاح
abyss	0	0	0	1	0	1	0	1	0	0	پرتگاه
academic	0	0	0	0	0	0	1	0	0	1	علمی
academy	0	0	0	0	0	0	1	0	0	0	آکادمی
accede	0	0	0	0	0	0	0	0	0	0	ملحق شدن
accelerate	0	1	0	0	0	0	0	0	0	0	سرعت بخشیدن
acceleration	0	0	0	0	0	0	0	0	0	0	شتاب
accent	0	0	0	0	0	0	0	0	0	0	لهجه
accentuate	0	0	0	0	0	0	0	0	0	0	برجسته کردن
accept	0	0	0	0	0	0	0	0	0	0	تایید کنید
acceptable	0	0	0	0	0	0	1	0	0	0	قابل قبول
acceptance	0	0	0	0	0	0	1	0	0	0	پذیرش - پذیرفته شدن
access	0	0	0	0	0	0	0	0	0	0	دسترسی داشته باشید
accessible	0	0	0	0	0	0	1	0	0	0	در دسترس
accession	0	0	0	0	0	0	0	0	0	0	الحاق
accessory	0	0	0	0	0	0	0	0	0	0	لوازم جانبی
accident	0	0	0	1	0	1	0	1	1	0	تصادف
accidental	0	0	0	1	0	1	0	0	1	0	تصادفی
accidentally	0	0	0	0	0	0	0	0	1	0	به طور تصادفی
accolade	0	1	0	0	1	0	1	0	1	1	تحسین
accommodate	0	0	0	0	0	0	0	0	0	0	تطبیق
accommodation	0	0	0	0	0	0	1	0	0	0	محل اقامت
accompaniment	0	1	0	0	1	0	1	0	0	1	همراهی
accompany	0	0	0	0	0	0	0	0	0	0	همراهی کردن
accompanying	0	0	0	0	0	0	0	0	0	0	مشایعت
accomplice	0	0	0	0	0	0	0	0	0	0	همدستان
accomplish	0	0	0	0	1	0	1	0	0	0	انجام دهد
accomplished	0	0	0	0	1	0	1	0	0	0	انجام شد
accomplishment	0	0	0	0	0	0	1	0	0	0	دستاورد
accord	0	0	0	0	0	0	1	0	0	1	توافق
accordance	0	0	0	0	0	0	0	0	0	0	مطابقت
accordion	0	0	0	0	0	0	0	0	0	0	آکاردئون
account	0	0	0	0	0	0	0	0	0	1	حساب
accountability	0	0	0	0	0	0	1	0	0	1	مسئوليت
accountable	0	0	0	0	0	0	1	0	0	1	پاسخگو
accountant	0	0	0	0	0	0	0	0	0	1	حسابدار
accounting	0	0	0	0	0	0	0	0	0	0	حسابداری
accounts	0	0	0	0	0	0	0	0	0	1	حساب ها
accredited	0	0	0	0	0	0	1	0	0	1	معتبر
accretion	0	0	0	0	0	0	0	0	0	0	برافزایش
accrue	0	0	0	0	0	0	0	0	0	0	تعلق می گیرد
accueil	0	0	0	0	0	0	1	0	0	0	تصدیق کردن
accumulate	0	0	0	0	0	0	0	0	0	0	انباشتن
accumulation	0	0	0	0	0	0	0	0	0	0	انباشت
accuracy	0	0	0	0	0	0	0	0	0	0	دقت
accurate	0	0	0	0	0	0	1	0	0	1	دقیق
accursed	1	0	0	1	0	1	0	1	0	0	نفرین شده
accusation	1	0	1	0	0	1	0	0	0	0	اتهام
accusative	0	0	0	0	0	1	0	0	0	0	اتهامی
accused	1	0	0	1	0	1	0	0	0	0	متهم
accuser	1	0	0	1	0	1	0	0	0	0	متهم کننده
accusing	1	0	0	1	0	1	0	0	0	0	متهم کردن
accustomed	0	0	0	0	0	0	0	0	0	0	عادت کرده
ace	0	0	0	0	0	0	1	0	0	0	آس
acetic	0	0	0	0	0	0	0	0	0	0	استیک
ache	0	0	0	0	0	1	0	1	0	0	درد
achieve	0	0	0	0	1	0	1	0	0	1	رسیدن
achievement	0	1	0	0	1	0	1	0	0	1	دستاورد
aching	0	0	0	0	0	1	0	1	0	0	دردناک
acid	0	0	0	0	0	1	0	0	0	0	اسید
acidity	0	0	0	0	0	0	0	0	0	0	اسیدیته
acknowledge	0	0	0	0	0	0	0	0	0	0	اذعان
acknowledged	0	0	0	0	0	0	0	0	0	0	تصدیق کرد
acknowledgment	0	0	0	0	0	0	1	0	0	0	تصدیق
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	آکوستیک
acoustics	0	0	0	0	0	0	0	0	0	0	آکوستیک
acquaint	0	0	0	0	0	0	0	0	0	0	آشنا کردن
acquaintance	0	0	0	0	0	0	0	0	0	0	آشنایی
acquainted	0	0	0	0	0	0	0	0	0	0	آشنا شد
acquiescence	0	0	0	0	0	0	0	0	0	0	رضایت
acquire	0	0	0	0	0	0	1	0	0	0	بدست آوردن
acquiring	0	1	0	0	0	0	1	0	0	0	بدست آوردن
acquisition	0	0	0	0	0	0	0	0	0	0	تحصیل
acquisitions	0	0	0	0	0	0	0	0	0	0	اکتساب ها
acreage	0	0	0	0	0	0	0	0	0	0	سطح زیر کشت
acres	0	0	0	0	0	0	0	0	0	0	هکتار
acrobat	0	0	0	1	1	0	1	0	0	1	آکروبات
act	0	0	0	0	0	0	0	0	0	0	عمل کنید
acting	0	0	0	0	0	0	0	0	0	0	بازیگری
action	0	0	0	0	0	0	1	0	0	0	عمل
actionable	1	0	1	0	0	1	0	0	0	0	قابل اجرا
active	0	0	0	0	0	0	0	0	0	0	فعال
activity	0	0	0	0	0	0	0	0	0	0	فعالیت
actor	0	0	0	0	0	0	0	0	0	0	بازیگر
actual	0	0	0	0	0	0	1	0	0	0	واقعی
actuality	0	0	0	0	0	0	0	0	0	0	واقعی بودن
actuary	0	0	0	0	0	0	0	0	0	0	آکچوئری
acuity	0	0	0	0	0	0	1	0	0	0	دقت
acumen	0	0	0	0	0	0	1	0	0	0	تیزفهمی
acupuncture	0	0	0	0	0	0	0	0	0	0	طب سوزنی
acutely	0	0	0	0	0	0	0	0	0	0	به صورت حاد
adage	0	0	0	0	0	0	0	0	0	0	ضرب المثل
adamant	0	0	0	0	0	0	0	0	0	0	تزلزل ناپذیر
adapt	0	0	0	0	0	0	1	0	0	0	سازگار شدن
adaptable	0	0	0	0	0	0	1	0	0	0	سازگار
add	0	0	0	0	0	0	0	0	0	0	اضافه کردن
added	0	0	0	0	0	0	0	0	0	0	اضافه
addendum	0	0	0	0	0	0	0	0	0	0	الحاقیه
adder	1	0	1	1	0	1	0	1	0	0	جمع کننده
addiction	0	0	0	0	0	1	0	0	0	0	اعتیاد
addition	0	0	0	0	0	0	0	0	0	0	علاوه بر این
additional	0	0	0	0	0	0	0	0	0	0	اضافی
additive	0	0	0	0	0	0	0	0	0	0	افزودنی
address	0	0	0	0	0	0	0	0	0	0	نشانی
addressee	0	0	0	0	0	0	0	0	0	0	مخاطب
addresses	0	1	0	0	0	0	1	0	0	0	آدرس ها
adept	0	0	0	0	0	0	1	0	0	0	ماهر
adequacy	0	0	0	0	0	0	1	0	0	0	کفایت
adequate	0	0	0	0	0	0	0	0	0	0	کافی است
adhere	0	0	0	0	0	0	0	0	0	0	پایبند
adherence	0	0	0	0	0	0	0	0	0	0	تبعیت
adherent	0	0	0	0	0	0	0	0	0	0	وابسته
adhering	0	0	0	0	0	0	0	0	0	1	پایبندی
adhesion	0	0	0	0	0	0	0	0	0	0	چسبندگی
adhesive	0	0	0	0	0	0	0	0	0	0	چسب
adieu	0	0	0	0	0	0	0	0	0	0	خداحافظ
adipose	0	0	0	0	0	1	0	0	0	0	چربی
adjacency	0	0	0	0	0	0	0	0	0	0	مجاورت
adjacent	0	0	0	0	0	0	0	0	0	0	مجاور
adjective	0	0	0	0	0	0	0	0	0	0	صفت
adjoining	0	0	0	0	0	0	0	0	0	0	مجاور
adjourn	0	0	0	0	0	0	0	0	0	0	به تعویق انداختن
adjournment	0	0	0	0	0	0	0	0	0	0	تعویق
adjudicate	0	0	0	1	0	1	0	0	0	0	قضاوت کند
adjudication	0	0	0	0	0	0	0	0	0	0	قضاوت
adjunct	0	0	0	0	0	0	1	0	0	0	کمکی
adjust	0	0	0	0	0	0	0	0	0	0	تنظیم کنید
adjustment	0	0	0	0	0	0	0	0	0	0	تنظیم
adjuvant	0	0	0	0	0	0	0	0	0	0	کمکی
administer	0	0	0	0	0	0	0	0	0	0	اداره کند
administration	0	0	0	0	0	0	0	0	0	0	مدیریت
administrative	0	0	0	0	0	0	0	0	0	1	اداری
admirable	0	0	0	0	1	0	1	0	0	1	قابل تحسین
admiral	0	0	0	0	0	0	1	0	0	1	دریاسالار
admiralty	0	0	0	0	0	0	0	0	0	0	دریاسالاری
admiration	0	0	0	0	1	0	1	0	0	1	تحسین
admire	0	0	0	0	0	0	1	0	0	1	تحسین
admirer	0	0	0	0	0	0	1	0	0	0	ستایشگر
admissibility	0	0	0	0	0	0	0	0	0	0	قابل پذیرش بودن
admissible	0	0	0	0	0	0	1	0	0	1	قابل قبول
admission	0	0	0	0	0	0	0	0	0	0	پذیرش
admit	0	0	0	0	0	0	0	0	0	0	اقرار کردن
admittance	0	0	0	0	0	0	0	0	0	0	پذیرش
admitted	0	0	0	0	0	0	0	0	0	0	پذیرفته
admitting	0	0	0	0	0	0	0	0	0	0	اعتراف کردن
admixture	0	0	0	0	0	0	0	0	0	0	مخلوط
admonition	0	0	0	1	0	1	0	0	0	0	پند
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	خشتی
adolescence	0	0	0	0	0	0	0	0	0	0	بلوغ
adolescent	0	0	0	0	0	0	0	0	0	0	نوجوان
adopt	0	0	0	0	0	0	0	0	0	0	اتخاذ کردن
adoption	0	0	0	0	0	0	0	0	0	0	فرزندخواندگی
adorable	0	0	0	0	1	0	1	0	0	0	شایان ستایش
adoration	0	0	0	0	1	0	1	0	0	1	پرستش
adore	0	1	0	0	1	0	1	0	0	1	عشق ورزیدن
adorn	0	0	0	0	0	0	0	0	0	0	آراستن
adornment	0	0	0	0	0	0	0	0	0	0	زینت
adrift	0	1	0	1	0	1	0	1	0	0	سرگردان
adult	0	0	0	0	0	0	0	0	0	0	بالغ
adulterated	0	0	0	0	0	1	0	0	0	0	تقلبی
adultery	0	0	1	0	0	1	0	1	0	0	زنا
advance	0	1	0	1	1	0	1	0	1	0	پیشرفت
advanced	0	0	0	0	0	0	1	0	0	0	پیشرفته
