English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Portuguese Word
aback	0	0	0	0	0	0	0	0	0	0	surpresa
abacus	0	0	0	0	0	0	0	0	0	1	ábaco
abandon	0	0	0	1	0	1	0	1	0	0	abandono
abandoned	1	0	0	1	0	1	0	1	0	0	abandonado
abandonment	1	0	0	1	0	1	0	1	1	0	abandono
abate	0	0	0	0	0	0	0	0	0	0	diminuir
abatement	0	0	0	0	0	0	0	0	0	0	redução
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	abade
abbreviate	0	0	0	0	0	0	0	0	0	0	abreviar
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviação
abdomen	0	0	0	0	0	0	0	0	0	0	abdômen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	rapto
aberrant	0	0	0	0	0	1	0	0	0	0	aberrante
aberration	0	0	1	0	0	1	0	0	0	0	aberração
abeyance	0	0	0	0	0	0	0	0	0	0	suspensão
abhor	1	0	1	1	0	1	0	0	0	0	abominar
abhorrent	1	0	1	1	0	1	0	0	0	0	abominável
abide	0	0	0	0	0	0	0	0	0	0	residir
ability	0	0	0	0	0	0	1	0	0	0	habilidade
abject	0	0	1	0	0	1	0	0	0	0	abjeto
ablation	0	0	0	0	0	0	0	0	0	0	ablação
ablaze	0	0	0	0	0	0	0	0	0	0	em chamas
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	a bordo
abode	0	0	0	0	0	0	0	0	0	0	morada
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolição
abominable	0	0	1	1	0	1	0	0	0	0	abominável
abomination	1	0	1	1	0	1	0	0	0	0	abominação
aboriginal	0	0	0	0	0	0	0	0	0	0	aborígene
abort	0	0	0	0	0	1	0	0	0	0	abortar
abortion	0	0	1	1	0	1	0	1	0	0	aborto
abortive	0	0	0	0	0	1	0	1	0	0	abortivo
abound	0	0	0	0	0	0	0	0	0	0	abundam
abovementioned	0	0	0	0	0	0	1	0	0	0	mencionado acima
abrasion	0	0	0	0	0	1	0	0	0	0	abrasão
abroad	0	0	0	0	0	0	0	0	0	0	fora do país
abrogate	0	0	0	0	0	1	0	0	0	0	revogar
abrupt	0	0	0	0	0	0	0	0	1	0	abrupto
abruptly	0	0	0	0	0	0	0	0	0	0	abruptamente
abscess	0	0	0	0	0	1	0	1	0	0	abscesso
absence	0	0	0	1	0	1	0	1	0	0	ausência
absent	0	0	0	0	0	1	0	1	0	0	ausente
absentee	0	0	0	0	0	1	0	1	0	0	ausente
absenteeism	0	0	0	0	0	1	0	0	0	0	absentismo
absinthe	0	0	0	0	0	0	0	0	0	0	absinto
absolute	0	0	0	0	0	0	1	0	0	0	absoluto
absolution	0	0	0	0	1	0	1	0	0	1	absolvição
absorbed	0	0	0	0	0	0	1	0	0	0	absorvido
absorbent	0	0	0	0	0	0	0	0	0	0	absorvente
absorbing	0	0	0	0	0	0	0	0	0	0	absorvente
absorption	0	0	0	0	0	0	0	0	0	0	absorção
abstain	0	0	0	0	0	0	0	0	0	0	abster-se
abstention	0	0	0	0	0	0	0	0	0	0	abstenção
abstinence	0	0	0	0	0	0	0	0	0	0	abstinência
abstract	0	0	0	0	0	0	0	0	0	0	abstrato
abstraction	0	0	0	0	0	0	0	0	0	0	abstração
absurd	0	0	0	0	0	1	0	0	0	0	absurdo
absurdity	0	0	0	0	0	1	0	0	0	0	absurdo
abundance	0	1	1	0	1	1	1	0	0	1	abundância
abundant	0	0	0	0	1	0	1	0	0	0	abundante
abuse	1	0	1	1	0	1	0	1	0	0	Abuso
abutment	0	0	0	0	0	0	0	0	0	0	pilar
aby	0	0	0	0	0	0	0	0	0	0	longe
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
abyss	0	0	0	1	0	1	0	1	0	0	abismo
academic	0	0	0	0	0	0	1	0	0	1	acadêmico
academy	0	0	0	0	0	0	1	0	0	0	Academia
accede	0	0	0	0	0	0	0	0	0	0	aderir
accelerate	0	1	0	0	0	0	0	0	0	0	acelerar
acceleration	0	0	0	0	0	0	0	0	0	0	aceleração
accent	0	0	0	0	0	0	0	0	0	0	sotaque
accentuate	0	0	0	0	0	0	0	0	0	0	acentuar
accept	0	0	0	0	0	0	0	0	0	0	aceitar
acceptable	0	0	0	0	0	0	1	0	0	0	aceitável
acceptance	0	0	0	0	0	0	1	0	0	0	aceitação
access	0	0	0	0	0	0	0	0	0	0	Acesso
accessible	0	0	0	0	0	0	1	0	0	0	acessível
accession	0	0	0	0	0	0	0	0	0	0	adesão
accessory	0	0	0	0	0	0	0	0	0	0	acessório
accident	0	0	0	1	0	1	0	1	1	0	acidente
accidental	0	0	0	1	0	1	0	0	1	0	acidental
accidentally	0	0	0	0	0	0	0	0	1	0	acidentalmente
accolade	0	1	0	0	1	0	1	0	1	1	elogio
accommodate	0	0	0	0	0	0	0	0	0	0	acomodar
accommodation	0	0	0	0	0	0	1	0	0	0	alojamento
accompaniment	0	1	0	0	1	0	1	0	0	1	acompanhamento
accompany	0	0	0	0	0	0	0	0	0	0	acompanhar
accompanying	0	0	0	0	0	0	0	0	0	0	acompanhante
accomplice	0	0	0	0	0	0	0	0	0	0	cúmplice
accomplish	0	0	0	0	1	0	1	0	0	0	concluir
accomplished	0	0	0	0	1	0	1	0	0	0	realizado
accomplishment	0	0	0	0	0	0	1	0	0	0	realização
accord	0	0	0	0	0	0	1	0	0	1	acordo
accordance	0	0	0	0	0	0	0	0	0	0	conformidade
accordion	0	0	0	0	0	0	0	0	0	0	acordeão
account	0	0	0	0	0	0	0	0	0	1	conta
accountability	0	0	0	0	0	0	1	0	0	1	responsabilidade
accountable	0	0	0	0	0	0	1	0	0	1	responsável
accountant	0	0	0	0	0	0	0	0	0	1	contador
accounting	0	0	0	0	0	0	0	0	0	0	contabilidade
accounts	0	0	0	0	0	0	0	0	0	1	contas
accredited	0	0	0	0	0	0	1	0	0	1	credenciado
