English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Punjabi Word
aback	0	0	0	0	0	0	0	0	0	0	ਹੈਰਾਨ
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ਛੱਡ ਦੇਣਾ
abandoned	1	0	0	1	0	1	0	1	0	0	ਛੱਡ ਦਿੱਤਾ
abandonment	1	0	0	1	0	1	0	1	1	0	ਤਿਆਗ
abate	0	0	0	0	0	0	0	0	0	0	ਘਟਾਓ
abatement	0	0	0	0	0	0	0	0	0	0	ਕਮੀ
abba	0	0	0	0	0	0	1	0	0	0	ਅੱਬਾ
abbot	0	0	0	0	0	0	0	0	0	1	ਐਬੋਟ
abbreviate	0	0	0	0	0	0	0	0	0	0	ਸੰਖੇਪ
abbreviation	0	0	0	0	0	0	0	0	0	0	ਸੰਖੇਪ ਰੂਪ
abdomen	0	0	0	0	0	0	0	0	0	0	ਪੇਟ
abdominal	0	0	0	0	0	0	0	0	0	0	ਪੇਟ
abduction	0	0	0	1	0	1	0	1	1	0	ਅਗਵਾ
aberrant	0	0	0	0	0	1	0	0	0	0	ਅਸਪਸ਼ਟ
aberration	0	0	1	0	0	1	0	0	0	0	ਵਿਗਾੜ
abeyance	0	0	0	0	0	0	0	0	0	0	ਮੁਅੱਤਲ
abhor	1	0	1	1	0	1	0	0	0	0	ਨਫ਼ਰਤ
abhorrent	1	0	1	1	0	1	0	0	0	0	ਘਿਣਾਉਣੀ
abide	0	0	0	0	0	0	0	0	0	0	ਪਾਲਣਾ
ability	0	0	0	0	0	0	1	0	0	0	ਯੋਗਤਾ
abject	0	0	1	0	0	1	0	0	0	0	ਅਪਮਾਨਜਨਕ
ablation	0	0	0	0	0	0	0	0	0	0	ਖਾਤਮਾ
ablaze	0	0	0	0	0	0	0	0	0	0	ਅੱਗ
abnormal	0	0	1	0	0	1	0	0	0	0	ਅਸਧਾਰਨ
aboard	0	0	0	0	0	0	0	0	0	0	ਸਵਾਰ
abode	0	0	0	0	0	0	0	0	0	0	ਨਿਵਾਸ
abolish	1	0	0	0	0	1	0	0	0	0	ਖਤਮ
abolition	0	0	0	0	0	1	0	0	0	0	ਖ਼ਤਮ ਕਰਨਾ
abominable	0	0	1	1	0	1	0	0	0	0	ਘਿਣਾਉਣੀ
abomination	1	0	1	1	0	1	0	0	0	0	ਘਿਣਾਉਣੀ
aboriginal	0	0	0	0	0	0	0	0	0	0	ਆਦਿਵਾਸੀ
abort	0	0	0	0	0	1	0	0	0	0	ਅਧੂਰਾ ਛੱਡੋ
abortion	0	0	1	1	0	1	0	1	0	0	ਗਰਭਪਾਤ
abortive	0	0	0	0	0	1	0	1	0	0	ਅਧੂਰਾ
abound	0	0	0	0	0	0	0	0	0	0	ਭਰਪੂਰ
abovementioned	0	0	0	0	0	0	1	0	0	0	ਉੱਪਰ ਜ਼ਿਕਰ ਕੀਤਾ
abrasion	0	0	0	0	0	1	0	0	0	0	ਘਬਰਾਹਟ
abroad	0	0	0	0	0	0	0	0	0	0	ਵਿਦੇਸ਼
abrogate	0	0	0	0	0	1	0	0	0	0	ਰੱਦ ਕਰੋ
abrupt	0	0	0	0	0	0	0	0	1	0	ਅਚਾਨਕ
abruptly	0	0	0	0	0	0	0	0	0	0	ਅਚਾਨਕ
abscess	0	0	0	0	0	1	0	1	0	0	ਫੋੜਾ
absence	0	0	0	1	0	1	0	1	0	0	ਗੈਰਹਾਜ਼ਰੀ
absent	0	0	0	0	0	1	0	1	0	0	ਗੈਰਹਾਜ਼ਰ
absentee	0	0	0	0	0	1	0	1	0	0	ਗੈਰਹਾਜ਼ਰ
absenteeism	0	0	0	0	0	1	0	0	0	0	ਗੈਰਹਾਜ਼ਰੀ
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ਅਸੀਮ
absolution	0	0	0	0	1	0	1	0	0	1	ਮੁਕਤੀ
absorbed	0	0	0	0	0	0	1	0	0	0	ਲੀਨ
absorbent	0	0	0	0	0	0	0	0	0	0	ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
absorbing	0	0	0	0	0	0	0	0	0	0	ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
absorption	0	0	0	0	0	0	0	0	0	0	ਸਮਾਈ
abstain	0	0	0	0	0	0	0	0	0	0	ਪਰਹੇਜ਼
abstention	0	0	0	0	0	0	0	0	0	0	ਪਰਹੇਜ਼
abstinence	0	0	0	0	0	0	0	0	0	0	ਪਰਹੇਜ਼
abstract	0	0	0	0	0	0	0	0	0	0	ਸਾਰ
abstraction	0	0	0	0	0	0	0	0	0	0	ਐਬਸਟਰੈਕਸ਼ਨ
absurd	0	0	0	0	0	1	0	0	0	0	ਬੇਹੂਦਾ
absurdity	0	0	0	0	0	1	0	0	0	0	ਬੇਹੂਦਾ
abundance	0	1	1	0	1	1	1	0	0	1	ਭਰਪੂਰਤਾ
abundant	0	0	0	0	1	0	1	0	0	0	ਭਰਪੂਰ
abuse	1	0	1	1	0	1	0	1	0	0	ਦੁਰਵਿਵਹਾਰ
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	ਅਬੀ
abysmal	0	0	0	0	0	1	0	1	0	0	ਅਥਾਹ
abyss	0	0	0	1	0	1	0	1	0	0	ਅਥਾਹ ਕੁੰਡ
academic	0	0	0	0	0	0	1	0	0	1	ਅਕਾਦਮਿਕ
academy	0	0	0	0	0	0	1	0	0	0	ਅਕੈਡਮੀ
accede	0	0	0	0	0	0	0	0	0	0	ਸਵੀਕਾਰ ਕਰੋ
accelerate	0	1	0	0	0	0	0	0	0	0	ਤੇਜ਼ ਕਰੋ
acceleration	0	0	0	0	0	0	0	0	0	0	ਪ੍ਰਵੇਗ
accent	0	0	0	0	0	0	0	0	0	0	ਲਹਿਜ਼ਾ
accentuate	0	0	0	0	0	0	0	0	0	0	ਜ਼ੋਰ ਦੇਣਾ
accept	0	0	0	0	0	0	0	0	0	0	ਸਵੀਕਾਰ ਕਰੋ
acceptable	0	0	0	0	0	0	1	0	0	0	ਸਵੀਕਾਰਯੋਗ
acceptance	0	0	0	0	0	0	1	0	0	0	ਮਨਜ਼ੂਰ
access	0	0	0	0	0	0	0	0	0	0	ਪਹੁੰਚ
accessible	0	0	0	0	0	0	1	0	0	0	ਪਹੁੰਚਯੋਗ
accession	0	0	0	0	0	0	0	0	0	0	ਪਹੁੰਚ
