English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Romanian Word
aback	0	0	0	0	0	0	0	0	0	0	surprins
abacus	0	0	0	0	0	0	0	0	0	1	abac
abandon	0	0	0	1	0	1	0	1	0	0	abandon
abandoned	1	0	0	1	0	1	0	1	0	0	abandonat
abandonment	1	0	0	1	0	1	0	1	1	0	abandon
abate	0	0	0	0	0	0	0	0	0	0	reduce
abatement	0	0	0	0	0	0	0	0	0	0	reducere
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	stareţ
abbreviate	0	0	0	0	0	0	0	0	0	0	prescurta
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviere
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominale
abduction	0	0	0	1	0	1	0	1	1	0	răpire
aberrant	0	0	0	0	0	1	0	0	0	0	aberant
aberration	0	0	1	0	0	1	0	0	0	0	aberaţie
abeyance	0	0	0	0	0	0	0	0	0	0	suspendare
abhor	1	0	1	1	0	1	0	0	0	0	detesta
abhorrent	1	0	1	1	0	1	0	0	0	0	dezgustător
abide	0	0	0	0	0	0	0	0	0	0	conforma
ability	0	0	0	0	0	0	1	0	0	0	abilitate
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablatie
ablaze	0	0	0	0	0	0	0	0	0	0	în flăcări
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	la bordul
abode	0	0	0	0	0	0	0	0	0	0	locuinţă
abolish	1	0	0	0	0	1	0	0	0	0	aboli
abolition	0	0	0	0	0	1	0	0	0	0	abolire
abominable	0	0	1	1	0	1	0	0	0	0	abominabil
abomination	1	0	1	1	0	1	0	0	0	0	urâciune
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigeni
abort	0	0	0	0	0	1	0	0	0	0	avorta
abortion	0	0	1	1	0	1	0	1	0	0	intrerupere de sarcina
abortive	0	0	0	0	0	1	0	1	0	0	avortiv
abound	0	0	0	0	0	0	0	0	0	0	abunda
abovementioned	0	0	0	0	0	0	1	0	0	0	menționat mai sus
abrasion	0	0	0	0	0	1	0	0	0	0	abraziune
abroad	0	0	0	0	0	0	0	0	0	0	in strainatate
abrogate	0	0	0	0	0	1	0	0	0	0	abroga
abrupt	0	0	0	0	0	0	0	0	1	0	bruscă
abruptly	0	0	0	0	0	0	0	0	0	0	brusc
abscess	0	0	0	0	0	1	0	1	0	0	abces
absence	0	0	0	1	0	1	0	1	0	0	absenta
absent	0	0	0	0	0	1	0	1	0	0	absent
absentee	0	0	0	0	0	1	0	1	0	0	absent
absenteeism	0	0	0	0	0	1	0	0	0	0	absenteism
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	absolvire
absorbed	0	0	0	0	0	0	1	0	0	0	absorbit
absorbent	0	0	0	0	0	0	0	0	0	0	absorbant
absorbing	0	0	0	0	0	0	0	0	0	0	absorbant
absorption	0	0	0	0	0	0	0	0	0	0	absorbţie
abstain	0	0	0	0	0	0	0	0	0	0	se abține
abstention	0	0	0	0	0	0	0	0	0	0	abţinere
abstinence	0	0	0	0	0	0	0	0	0	0	abstinenta
abstract	0	0	0	0	0	0	0	0	0	0	abstract
