English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Russian Word
aback	0	0	0	0	0	0	0	0	0	0	ошеломленный
abacus	0	0	0	0	0	0	0	0	0	1	счеты
abandon	0	0	0	1	0	1	0	1	0	0	покидать
abandoned	1	0	0	1	0	1	0	1	0	0	заброшенный
abandonment	1	0	0	1	0	1	0	1	1	0	оставление
abate	0	0	0	0	0	0	0	0	0	0	уменьшаться
abatement	0	0	0	0	0	0	0	0	0	0	сокращение
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	аббат
abbreviate	0	0	0	0	0	0	0	0	0	0	сокращать
abbreviation	0	0	0	0	0	0	0	0	0	0	Сокращенное название
abdomen	0	0	0	0	0	0	0	0	0	0	живот
abdominal	0	0	0	0	0	0	0	0	0	0	брюшной
abduction	0	0	0	1	0	1	0	1	1	0	похищение
aberrant	0	0	0	0	0	1	0	0	0	0	аномальный
aberration	0	0	1	0	0	1	0	0	0	0	аберрация
abeyance	0	0	0	0	0	0	0	0	0	0	отсрочка
abhor	1	0	1	1	0	1	0	0	0	0	ненавидеть
abhorrent	1	0	1	1	0	1	0	0	0	0	отвратительный
abide	0	0	0	0	0	0	0	0	0	0	соблюдать
ability	0	0	0	0	0	0	1	0	0	0	способность
abject	0	0	1	0	0	1	0	0	0	0	презренный
ablation	0	0	0	0	0	0	0	0	0	0	абляция
ablaze	0	0	0	0	0	0	0	0	0	0	пылающий
abnormal	0	0	1	0	0	1	0	0	0	0	аномальный
aboard	0	0	0	0	0	0	0	0	0	0	на борту
abode	0	0	0	0	0	0	0	0	0	0	обитель
abolish	1	0	0	0	0	1	0	0	0	0	отменять
abolition	0	0	0	0	0	1	0	0	0	0	отмена
abominable	0	0	1	1	0	1	0	0	0	0	отвратительный
abomination	1	0	1	1	0	1	0	0	0	0	мерзость
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	прервать
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	неудачный
abound	0	0	0	0	0	0	0	0	0	0	изобиловать
abovementioned	0	0	0	0	0	0	1	0	0	0	вышеупомянутый
abrasion	0	0	0	0	0	1	0	0	0	0	истирание
abroad	0	0	0	0	0	0	0	0	0	0	за рубежом
abrogate	0	0	0	0	0	1	0	0	0	0	отменить
abrupt	0	0	0	0	0	0	0	0	1	0	резкий
abruptly	0	0	0	0	0	0	0	0	0	0	резко
abscess	0	0	0	0	0	1	0	1	0	0	абсцесс
absence	0	0	0	1	0	1	0	1	0	0	отсутствие
absent	0	0	0	0	0	1	0	1	0	0	отсутствующий
absentee	0	0	0	0	0	1	0	1	0	0	отсутствующий
absenteeism	0	0	0	0	0	1	0	0	0	0	невыход на работу
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	абсолютный
absolution	0	0	0	0	1	0	1	0	0	1	отпущение грехов
absorbed	0	0	0	0	0	0	1	0	0	0	поглощен
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	поглощающий
absorption	0	0	0	0	0	0	0	0	0	0	поглощение
abstain	0	0	0	0	0	0	0	0	0	0	воздерживаться
abstention	0	0	0	0	0	0	0	0	0	0	воздержание
abstinence	0	0	0	0	0	0	0	0	0	0	воздержание
abstract	0	0	0	0	0	0	0	0	0	0	Аннотация
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	абсурдный
absurdity	0	0	0	0	0	1	0	0	0	0	абсурд
abundance	0	1	1	0	1	1	1	0	0	1	избыток
abundant	0	0	0	0	1	0	1	0	0	0	обильный
abuse	1	0	1	1	0	1	0	1	0	0	злоупотреблять
abutment	0	0	0	0	0	0	0	0	0	0	абатмент
aby	0	0	0	0	0	0	0	0	0	0	абы
abysmal	0	0	0	0	0	1	0	1	0	0	бездонный
abyss	0	0	0	1	0	1	0	1	0	0	бездна
academic	0	0	0	0	0	0	1	0	0	1	академический
academy	0	0	0	0	0	0	1	0	0	0	академия
accede	0	0	0	0	0	0	0	0	0	0	присоединиться
accelerate	0	1	0	0	0	0	0	0	0	0	ускорить
acceleration	0	0	0	0	0	0	0	0	0	0	ускорение
accent	0	0	0	0	0	0	0	0	0	0	акцент
