English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Samoan Word
aback	0	0	0	0	0	0	0	0	0	0	maofa
abacus	0	0	0	0	0	0	0	0	0	1	abaka
abandon	0	0	0	1	0	1	0	1	0	0	lafoai
abandoned	1	0	0	1	0	1	0	1	0	0	tuulafoaiina
abandonment	1	0	0	1	0	1	0	1	1	0	tuulafoaiina
abate	0	0	0	0	0	0	0	0	0	0	pa'u
abatement	0	0	0	0	0	0	0	0	0	0	fa'aitiitia
abba	0	0	0	0	0	0	1	0	0	0	apapa
abbot	0	0	0	0	0	0	0	0	0	1	apoti
abbreviate	0	0	0	0	0	0	0	0	0	0	fa'apu'upu'u
abbreviation	0	0	0	0	0	0	0	0	0	0	faapuupuuga
abdomen	0	0	0	0	0	0	0	0	0	0	manava
abdominal	0	0	0	0	0	0	0	0	0	0	manava
abduction	0	0	0	1	0	1	0	1	1	0	ave faamalosi
aberrant	0	0	0	0	0	1	0	0	0	0	fa'asese
aberration	0	0	1	0	0	1	0	0	0	0	fa'aletonu
abeyance	0	0	0	0	0	0	0	0	0	0	usitai
abhor	1	0	1	1	0	1	0	0	0	0	'ino'ino
abhorrent	1	0	1	1	0	1	0	0	0	0	inosia
abide	0	0	0	0	0	0	0	0	0	0	tumau
ability	0	0	0	0	0	0	1	0	0	0	tomai
abject	0	0	1	0	0	1	0	0	0	0	inosia
ablation	0	0	0	0	0	0	0	0	0	0	to'esea
ablaze	0	0	0	0	0	0	0	0	0	0	mu
abnormal	0	0	1	0	0	1	0	0	0	0	fa'aletonu
aboard	0	0	0	0	0	0	0	0	0	0	i luga o le vaa
abode	0	0	0	0	0	0	0	0	0	0	nofo ai
abolish	1	0	0	0	0	1	0	0	0	0	soloia
abolition	0	0	0	0	0	1	0	0	0	0	soloia
abominable	0	0	1	1	0	1	0	0	0	0	inosia
abomination	1	0	1	1	0	1	0	0	0	0	mea inosia
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	faapa'u
abortion	0	0	1	1	0	1	0	1	0	0	faapau pepe
abortive	0	0	0	0	0	1	0	1	0	0	fa'apa'u
abound	0	0	0	0	0	0	0	0	0	0	tele
abovementioned	0	0	0	0	0	0	1	0	0	0	ua taua i luga
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	i fafo
abrogate	0	0	0	0	0	1	0	0	0	0	soloia
abrupt	0	0	0	0	0	0	0	0	1	0	fa'afuase'i
abruptly	0	0	0	0	0	0	0	0	0	0	fa'afuase'i
abscess	0	0	0	0	0	1	0	1	0	0	gase
absence	0	0	0	1	0	1	0	1	0	0	toesea
absent	0	0	0	0	0	1	0	1	0	0	toesea
absentee	0	0	0	0	0	1	0	1	0	0	lē auai
absenteeism	0	0	0	0	0	1	0	0	0	0	toesea
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	fa'amaoni
absolution	0	0	0	0	1	0	1	0	0	1	faamagaloga
absorbed	0	0	0	0	0	0	1	0	0	0	mitiia
absorbent	0	0	0	0	0	0	0	0	0	0	mitiia
absorbing	0	0	0	0	0	0	0	0	0	0	mitiia
absorption	0	0	0	0	0	0	0	0	0	0	mitiia
abstain	0	0	0	0	0	0	0	0	0	0	taofi
abstention	0	0	0	0	0	0	0	0	0	0	taofi
abstinence	0	0	0	0	0	0	0	0	0	0	fa'amama
abstract	0	0	0	0	0	0	0	0	0	0	fa'amatalaga
abstraction	0	0	0	0	0	0	0	0	0	0	fa'atosina
absurd	0	0	0	0	0	1	0	0	0	0	faavalevalea
absurdity	0	0	0	0	0	1	0	0	0	0	faavalevalea
abundance	0	1	1	0	1	1	1	0	0	1	tele
abundant	0	0	0	0	1	0	1	0	0	0	tele
abuse	1	0	1	1	0	1	0	1	0	0	faatautala
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	leaga
abyss	0	0	0	1	0	1	0	1	0	0	tō
academic	0	0	0	0	0	0	1	0	0	1	a'oa'oga
academy	0	0	0	0	0	0	1	0	0	0	a'oga
accede	0	0	0	0	0	0	0	0	0	0	talia
accelerate	0	1	0	0	0	0	0	0	0	0	faatelevave
acceleration	0	0	0	0	0	0	0	0	0	0	fa'avavevave
accent	0	0	0	0	0	0	0	0	0	0	faaleoga
accentuate	0	0	0	0	0	0	0	0	0	0	fa'amamafa
accept	0	0	0	0	0	0	0	0	0	0	talia
acceptable	0	0	0	0	0	0	1	0	0	0	talia
acceptance	0	0	0	0	0	0	1	0	0	0	taliaina
access	0	0	0	0	0	0	0	0	0	0	avanoa
accessible	0	0	0	0	0	0	1	0	0	0	avanoa
accession	0	0	0	0	0	0	0	0	0	0	fa'atasiga
accessory	0	0	0	0	0	0	0	0	0	0	mea faaopoopo
accident	0	0	0	1	0	1	0	1	1	0	fa'alavelave
accidental	0	0	0	1	0	1	0	0	1	0	fa'afuase'i
accidentally	0	0	0	0	0	0	0	0	1	0	fa'afuase'i
accolade	0	1	0	0	1	0	1	0	1	1	viia
accommodate	0	0	0	0	0	0	0	0	0	0	fa'afeiloa'i
accommodation	0	0	0	0	0	0	1	0	0	0	mea e nonofo ai
accompaniment	0	1	0	0	1	0	1	0	0	1	fa'atasi
accompany	0	0	0	0	0	0	0	0	0	0	fa'atasi
accompanying	0	0	0	0	0	0	0	0	0	0	fa'atasi
accomplice	0	0	0	0	0	0	0	0	0	0	aumea
accomplish	0	0	0	0	1	0	1	0	0	0	ausia
accomplished	0	0	0	0	1	0	1	0	0	0	ausia
