English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Scots-Gaelic Word
aback	0	0	0	0	0	0	0	0	0	0	dubhach
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	trèigsinn
abandoned	1	0	0	1	0	1	0	1	0	0	thrèigsinn
abandonment	1	0	0	1	0	1	0	1	1	0	trèigsinn
abate	0	0	0	0	0	0	0	0	0	0	lasadh
abatement	0	0	0	0	0	0	0	0	0	0	lasachadh
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	aba
abbreviate	0	0	0	0	0	0	0	0	0	0	giorrachadh
abbreviation	0	0	0	0	0	0	0	0	0	0	giorrachadh
abdomen	0	0	0	0	0	0	0	0	0	0	bolg
abdominal	0	0	0	0	0	0	0	0	0	0	bhoilg
abduction	0	0	0	1	0	1	0	1	1	0	fuadach
aberrant	0	0	0	0	0	1	0	0	0	0	neo-sheasmhach
aberration	0	0	1	0	0	1	0	0	0	0	casgradh
abeyance	0	0	0	0	0	0	0	0	0	0	seachnaidh
abhor	1	0	1	1	0	1	0	0	0	0	gràin
abhorrent	1	0	1	1	0	1	0	0	0	0	gràineil
abide	0	0	0	0	0	0	0	0	0	0	fanaibh
ability	0	0	0	0	0	0	1	0	0	0	comas
abject	0	0	1	0	0	1	0	0	0	0	abaich
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	lasadh
abnormal	0	0	1	0	0	1	0	0	0	0	neo-àbhaisteach
aboard	0	0	0	0	0	0	0	0	0	0	air bòrd
abode	0	0	0	0	0	0	0	0	0	0	còmhnuidh
abolish	1	0	0	0	0	1	0	0	0	0	cur às
abolition	0	0	0	0	0	1	0	0	0	0	cur às
abominable	0	0	1	1	0	1	0	0	0	0	gràineil
abomination	1	0	1	1	0	1	0	0	0	0	gràineileachd
aboriginal	0	0	0	0	0	0	0	0	0	0	tùsanach
abort	0	0	0	0	0	1	0	0	0	0	casg-breith
abortion	0	0	1	1	0	1	0	1	0	0	casg-breith
abortive	0	0	0	0	0	1	0	1	0	0	eas-chruthach
abound	0	0	0	0	0	0	0	0	0	0	pailt
abovementioned	0	0	0	0	0	0	1	0	0	0	gu h-àrd
abrasion	0	0	0	0	0	1	0	0	0	0	sgrìobadh
abroad	0	0	0	0	0	0	0	0	0	0	thall thairis
abrogate	0	0	0	0	0	1	0	0	0	0	ais-ghairm
abrupt	0	0	0	0	0	0	0	0	1	0	gu h-obann
abruptly	0	0	0	0	0	0	0	0	0	0	gu h-obann
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	neo-làthaireachd
absent	0	0	0	0	0	1	0	1	0	0	neo-làthaireach
absentee	0	0	0	0	0	1	0	1	0	0	neo-làthaireach
absenteeism	0	0	0	0	0	1	0	0	0	0	neo-làthaireachd
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	iomlan
absolution	0	0	0	0	1	0	1	0	0	1	fuasglaidh
absorbed	0	0	0	0	0	0	1	0	0	0	air a ghabhail a-steach
absorbent	0	0	0	0	0	0	0	0	0	0	sùghaidh
absorbing	0	0	0	0	0	0	0	0	0	0	a' gabhail a-steach
absorption	0	0	0	0	0	0	0	0	0	0	uchd-mhacachd
abstain	0	0	0	0	0	0	0	0	0	0	seachnadh
abstention	0	0	0	0	0	0	0	0	0	0	seachnadh
abstinence	0	0	0	0	0	0	0	0	0	0	staonadh
abstract	0	0	0	0	0	0	0	0	0	0	eas-chruthach
abstraction	0	0	0	0	0	0	0	0	0	0	tarraing às
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	neo-làthaireachd
abundance	0	1	1	0	1	1	1	0	0	1	pailteas
abundant	0	0	0	0	1	0	1	0	0	0	pailt
abuse	1	0	1	1	0	1	0	1	0	0	mì-ghnàthachadh
abutment	0	0	0	0	0	0	0	0	0	0	uchd-mhacachd
aby	0	0	0	0	0	0	0	0	0	0	air falbh
abysmal	0	0	0	0	0	1	0	1	0	0	dubhach
abyss	0	0	0	1	0	1	0	1	0	0	àluinn
academic	0	0	0	0	0	0	1	0	0	1	acadaimigeach
academy	0	0	0	0	0	0	1	0	0	0	acadamaidh
accede	0	0	0	0	0	0	0	0	0	0	aontaich
accelerate	0	1	0	0	0	0	0	0	0	0	luathaich
acceleration	0	0	0	0	0	0	0	0	0	0	luathachadh
accent	0	0	0	0	0	0	0	0	0	0	stràc
accentuate	0	0	0	0	0	0	0	0	0	0	stràc
accept	0	0	0	0	0	0	0	0	0	0	gabhail ris
acceptable	0	0	0	0	0	0	1	0	0	0	gabhail ris
acceptance	0	0	0	0	0	0	1	0	0	0	gabhail ris
access	0	0	0	0	0	0	0	0	0	0	ruigsinneachd
accessible	0	0	0	0	0	0	1	0	0	0	ruigsinneach
accession	0	0	0	0	0	0	0	0	0	0	aontachas
accessory	0	0	0	0	0	0	0	0	0	0	accessory
accident	0	0	0	1	0	1	0	1	1	0	tubaist
accidental	0	0	0	1	0	1	0	0	1	0	tubaist
accidentally	0	0	0	0	0	0	0	0	1	0	gun fhiosta
accolade	0	1	0	0	1	0	1	0	1	1	cliù
accommodate	0	0	0	0	0	0	0	0	0	0	àiteachadh
accommodation	0	0	0	0	0	0	1	0	0	0	àite-fuirich
accompaniment	0	1	0	0	1	0	1	0	0	1	coisrigeadh
