English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Serbian Word
aback	0	0	0	0	0	0	0	0	0	0	запањен
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	напустити
abandoned	1	0	0	1	0	1	0	1	0	0	напуштен
abandonment	1	0	0	1	0	1	0	1	1	0	напуштање
abate	0	0	0	0	0	0	0	0	0	0	попустити
abatement	0	0	0	0	0	0	0	0	0	0	смањење
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	игуман
abbreviate	0	0	0	0	0	0	0	0	0	0	скраћено
abbreviation	0	0	0	0	0	0	0	0	0	0	скраћеница
abdomen	0	0	0	0	0	0	0	0	0	0	стомак
abdominal	0	0	0	0	0	0	0	0	0	0	трбушни
abduction	0	0	0	1	0	1	0	1	1	0	отмица
aberrant	0	0	0	0	0	1	0	0	0	0	аберантно
aberration	0	0	1	0	0	1	0	0	0	0	аберација
abeyance	0	0	0	0	0	0	0	0	0	0	абеианце
abhor	1	0	1	1	0	1	0	0	0	0	гнушати се
abhorrent	1	0	1	1	0	1	0	0	0	0	одвратан
abide	0	0	0	0	0	0	0	0	0	0	остати
ability	0	0	0	0	0	0	1	0	0	0	способност
abject	0	0	1	0	0	1	0	0	0	0	одвратан
ablation	0	0	0	0	0	0	0	0	0	0	аблација
ablaze	0	0	0	0	0	0	0	0	0	0	у пламену
abnormal	0	0	1	0	0	1	0	0	0	0	абнормално
aboard	0	0	0	0	0	0	0	0	0	0	на броду
abode	0	0	0	0	0	0	0	0	0	0	пребивалиште
abolish	1	0	0	0	0	1	0	0	0	0	укинути
abolition	0	0	0	0	0	1	0	0	0	0	укидања
abominable	0	0	1	1	0	1	0	0	0	0	одвратан
abomination	1	0	1	1	0	1	0	0	0	0	одвратност
aboriginal	0	0	0	0	0	0	0	0	0	0	абориџина
abort	0	0	0	0	0	1	0	0	0	0	прекид
abortion	0	0	1	1	0	1	0	1	0	0	абортус
abortive	0	0	0	0	0	1	0	1	0	0	абортивни
abound	0	0	0	0	0	0	0	0	0	0	обилују
abovementioned	0	0	0	0	0	0	1	0	0	0	Горе поменути
abrasion	0	0	0	0	0	1	0	0	0	0	абразија
abroad	0	0	0	0	0	0	0	0	0	0	иностранство
abrogate	0	0	0	0	0	1	0	0	0	0	укинути
abrupt	0	0	0	0	0	0	0	0	1	0	нагло
abruptly	0	0	0	0	0	0	0	0	0	0	нагло
abscess	0	0	0	0	0	1	0	1	0	0	апсцес
absence	0	0	0	1	0	1	0	1	0	0	одсуство
absent	0	0	0	0	0	1	0	1	0	0	одсутан
absentee	0	0	0	0	0	1	0	1	0	0	одсутан
absenteeism	0	0	0	0	0	1	0	0	0	0	изостајање са посла
absinthe	0	0	0	0	0	0	0	0	0	0	абсинт
absolute	0	0	0	0	0	0	1	0	0	0	апсолутна
absolution	0	0	0	0	1	0	1	0	0	1	опроштење
absorbed	0	0	0	0	0	0	1	0	0	0	апсорбован
absorbent	0	0	0	0	0	0	0	0	0	0	упијајуће
absorbing	0	0	0	0	0	0	0	0	0	0	упијајући
absorption	0	0	0	0	0	0	0	0	0	0	апсорпција
abstain	0	0	0	0	0	0	0	0	0	0	уздржати се
abstention	0	0	0	0	0	0	0	0	0	0	уздржаност
abstinence	0	0	0	0	0	0	0	0	0	0	уздржавање
abstract	0	0	0	0	0	0	0	0	0	0	апстрактан
abstraction	0	0	0	0	0	0	0	0	0	0	одвајање
absurd	0	0	0	0	0	1	0	0	0	0	апсурдно
absurdity	0	0	0	0	0	1	0	0	0	0	апсурда
abundance	0	1	1	0	1	1	1	0	0	1	заступљеност
abundant	0	0	0	0	1	0	1	0	0	0	обилно
abuse	1	0	1	1	0	1	0	1	0	0	злоупотреба
abutment	0	0	0	0	0	0	0	0	0	0	упориште
aby	0	0	0	0	0	0	0	0	0	0	аби
abysmal	0	0	0	0	0	1	0	1	0	0	бездан
abyss	0	0	0	1	0	1	0	1	0	0	бездан
academic	0	0	0	0	0	0	1	0	0	1	академски
academy	0	0	0	0	0	0	1	0	0	0	академија
accede	0	0	0	0	0	0	0	0	0	0	аццеде
accelerate	0	1	0	0	0	0	0	0	0	0	убрзати
acceleration	0	0	0	0	0	0	0	0	0	0	убрзање
accent	0	0	0	0	0	0	0	0	0	0	акценат
accentuate	0	0	0	0	0	0	0	0	0	0	нагласити
accept	0	0	0	0	0	0	0	0	0	0	прихватити
acceptable	0	0	0	0	0	0	1	0	0	0	прихватљиво
acceptance	0	0	0	0	0	0	1	0	0	0	прихватање
access	0	0	0	0	0	0	0	0	0	0	приступ
accessible	0	0	0	0	0	0	1	0	0	0	приступачан
accession	0	0	0	0	0	0	0	0	0	0	приступање
accessory	0	0	0	0	0	0	0	0	0	0	прибор
accident	0	0	0	1	0	1	0	1	1	0	незгода
accidental	0	0	0	1	0	1	0	0	1	0	случајно
accidentally	0	0	0	0	0	0	0	0	1	0	случајно
accolade	0	1	0	0	1	0	1	0	1	1	аццоладе
accommodate	0	0	0	0	0	0	0	0	0	0	прилагодити се
accommodation	0	0	0	0	0	0	1	0	0	0	смештај
accompaniment	0	1	0	0	1	0	1	0	0	1	пратња
accompany	0	0	0	0	0	0	0	0	0	0	пратити
accompanying	0	0	0	0	0	0	0	0	0	0	пратећи
accomplice	0	0	0	0	0	0	0	0	0	0	саучесник
accomplish	0	0	0	0	1	0	1	0	0	0	остварити
accomplished	0	0	0	0	1	0	1	0	0	0	остварено
accomplishment	0	0	0	0	0	0	1	0	0	0	остварење
accord	0	0	0	0	0	0	1	0	0	1	споразум
accordance	0	0	0	0	0	0	0	0	0	0	сагласности
accordion	0	0	0	0	0	0	0	0	0	0	хармоника
account	0	0	0	0	0	0	0	0	0	1	рачун
accountability	0	0	0	0	0	0	1	0	0	1	одговорност
accountable	0	0	0	0	0	0	1	0	0	1	одговоран
accountant	0	0	0	0	0	0	0	0	0	1	рачуновођа
accounting	0	0	0	0	0	0	0	0	0	0	рачуноводство
accounts	0	0	0	0	0	0	0	0	0	1	рачуни
accredited	0	0	0	0	0	0	1	0	0	1	акредитован
accretion	0	0	0	0	0	0	0	0	0	0	акреција
accrue	0	0	0	0	0	0	0	0	0	0	нагомилати
accueil	0	0	0	0	0	0	1	0	0	0	аццуеил
accumulate	0	0	0	0	0	0	0	0	0	0	акумулирати
accumulation	0	0	0	0	0	0	0	0	0	0	акумулација
accuracy	0	0	0	0	0	0	0	0	0	0	тачност
accurate	0	0	0	0	0	0	1	0	0	1	тачан
accursed	1	0	0	1	0	1	0	1	0	0	проклети
accusation	1	0	1	0	0	1	0	0	0	0	оптужба
accusative	0	0	0	0	0	1	0	0	0	0	акузатив
accused	1	0	0	1	0	1	0	0	0	0	оптужени
accuser	1	0	0	1	0	1	0	0	0	0	тужитељ
accusing	1	0	0	1	0	1	0	0	0	0	оптужујући
accustomed	0	0	0	0	0	0	0	0	0	0	навикао
ace	0	0	0	0	0	0	1	0	0	0	ас
acetic	0	0	0	0	0	0	0	0	0	0	сирћетна
ache	0	0	0	0	0	1	0	1	0	0	бол
achieve	0	0	0	0	1	0	1	0	0	1	постићи
achievement	0	1	0	0	1	0	1	0	0	1	достигнуће
aching	0	0	0	0	0	1	0	1	0	0	болан
acid	0	0	0	0	0	1	0	0	0	0	киселина
acidity	0	0	0	0	0	0	0	0	0	0	киселост
acknowledge	0	0	0	0	0	0	0	0	0	0	признати
acknowledged	0	0	0	0	0	0	0	0	0	0	признао
acknowledgment	0	0	0	0	0	0	1	0	0	0	признање
acme	0	0	0	0	0	0	0	0	0	0	ацме
acoustic	0	0	0	0	0	0	0	0	0	0	акустични
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	упознати
acquaintance	0	0	0	0	0	0	0	0	0	0	познанство
acquainted	0	0	0	0	0	0	0	0	0	0	упознат
acquiescence	0	0	0	0	0	0	0	0	0	0	пристајање
acquire	0	0	0	0	0	0	1	0	0	0	стећи
acquiring	0	1	0	0	0	0	1	0	0	0	стицање
acquisition	0	0	0	0	0	0	0	0	0	0	аквизиција
acquisitions	0	0	0	0	0	0	0	0	0	0	аквизиције
acreage	0	0	0	0	0	0	0	0	0	0	површине
acres	0	0	0	0	0	0	0	0	0	0	хектара
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	акт
acting	0	0	0	0	0	0	0	0	0	0	глума
action	0	0	0	0	0	0	1	0	0	0	поступак
actionable	1	0	1	0	0	1	0	0	0	0	делотворан
active	0	0	0	0	0	0	0	0	0	0	активан
activity	0	0	0	0	0	0	0	0	0	0	активност
actor	0	0	0	0	0	0	0	0	0	0	глумац
actual	0	0	0	0	0	0	1	0	0	0	стварни
actuality	0	0	0	0	0	0	0	0	0	0	актуелност
actuary	0	0	0	0	0	0	0	0	0	0	актуар
acuity	0	0	0	0	0	0	1	0	0	0	оштрина
acumen	0	0	0	0	0	0	1	0	0	0	оштроумност
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	акутно
adage	0	0	0	0	0	0	0	0	0	0	пословица
adamant	0	0	0	0	0	0	0	0	0	0	непоколебљив
adapt	0	0	0	0	0	0	1	0	0	0	прилагодити
adaptable	0	0	0	0	0	0	1	0	0	0	прилагодљив
add	0	0	0	0	0	0	0	0	0	0	додати
added	0	0	0	0	0	0	0	0	0	0	додао је
addendum	0	0	0	0	0	0	0	0	0	0	додатак
adder	1	0	1	1	0	1	0	1	0	0	гуја
addiction	0	0	0	0	0	1	0	0	0	0	зависност
addition	0	0	0	0	0	0	0	0	0	0	додатак
additional	0	0	0	0	0	0	0	0	0	0	додатни
additive	0	0	0	0	0	0	0	0	0	0	адитива
address	0	0	0	0	0	0	0	0	0	0	адреса
addressee	0	0	0	0	0	0	0	0	0	0	адресата
addresses	0	1	0	0	0	0	1	0	0	0	адресе
adept	0	0	0	0	0	0	1	0	0	0	адепт
adequacy	0	0	0	0	0	0	1	0	0	0	адекватност
adequate	0	0	0	0	0	0	0	0	0	0	адекватан
adhere	0	0	0	0	0	0	0	0	0	0	придржавају
adherence	0	0	0	0	0	0	0	0	0	0	приврженост
adherent	0	0	0	0	0	0	0	0	0	0	присталица
adhering	0	0	0	0	0	0	0	0	0	1	придржавајући се
adhesion	0	0	0	0	0	0	0	0	0	0	адхезија
adhesive	0	0	0	0	0	0	0	0	0	0	лепак
adieu	0	0	0	0	0	0	0	0	0	0	адиеу
adipose	0	0	0	0	0	1	0	0	0	0	масноћа
adjacency	0	0	0	0	0	0	0	0	0	0	суседност
adjacent	0	0	0	0	0	0	0	0	0	0	суседни
adjective	0	0	0	0	0	0	0	0	0	0	придев
adjoining	0	0	0	0	0	0	0	0	0	0	суседни
adjourn	0	0	0	0	0	0	0	0	0	0	одложити
adjournment	0	0	0	0	0	0	0	0	0	0	одлагање
adjudicate	0	0	0	1	0	1	0	0	0	0	пресуђивати
adjudication	0	0	0	0	0	0	0	0	0	0	пресуђивање
adjunct	0	0	0	0	0	0	1	0	0	0	допунски
adjust	0	0	0	0	0	0	0	0	0	0	прилагодити
adjustment	0	0	0	0	0	0	0	0	0	0	прилагођавање
adjuvant	0	0	0	0	0	0	0	0	0	0	помоћно средство
administer	0	0	0	0	0	0	0	0	0	0	управљати
administration	0	0	0	0	0	0	0	0	0	0	администрација
administrative	0	0	0	0	0	0	0	0	0	1	административни
admirable	0	0	0	0	1	0	1	0	0	1	достојан дивљења
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралитет
admiration	0	0	0	0	1	0	1	0	0	1	дивљење
admire	0	0	0	0	0	0	1	0	0	1	дивити се
admirer	0	0	0	0	0	0	1	0	0	0	обожавалац
admissibility	0	0	0	0	0	0	0	0	0	0	прихватљивости
admissible	0	0	0	0	0	0	1	0	0	1	допустив
admission	0	0	0	0	0	0	0	0	0	0	пријем
admit	0	0	0	0	0	0	0	0	0	0	пустити
admittance	0	0	0	0	0	0	0	0	0	0	пријем
admitted	0	0	0	0	0	0	0	0	0	0	признао
admitting	0	0	0	0	0	0	0	0	0	0	признајући
admixture	0	0	0	0	0	0	0	0	0	0	примеса
admonition	0	0	0	1	0	1	0	0	0	0	опомена
ado	0	0	0	0	0	0	0	0	0	0	адо
adobe	0	0	0	0	0	0	0	0	0	0	адобе
adolescence	0	0	0	0	0	0	0	0	0	0	Младост
adolescent	0	0	0	0	0	0	0	0	0	0	адолесцент
adopt	0	0	0	0	0	0	0	0	0	0	усвојити
adoption	0	0	0	0	0	0	0	0	0	0	усвајање
adorable	0	0	0	0	1	0	1	0	0	0	адорабле
adoration	0	0	0	0	1	0	1	0	0	1	обожавање
adore	0	1	0	0	1	0	1	0	0	1	обожавам
adorn	0	0	0	0	0	0	0	0	0	0	украсити
adornment	0	0	0	0	0	0	0	0	0	0	украс
adrift	0	1	0	1	0	1	0	1	0	0	лебдећи
adult	0	0	0	0	0	0	0	0	0	0	одрасла особа
adulterated	0	0	0	0	0	1	0	0	0	0	фалсификовани
adultery	0	0	1	0	0	1	0	1	0	0	прељуба
advance	0	1	0	1	1	0	1	0	1	0	унапред
advanced	0	0	0	0	0	0	1	0	0	0	напредно
advancement	0	0	0	0	0	0	1	0	0	0	напредовање
advancing	0	0	0	0	0	0	0	0	0	0	напредујући
advantage	0	0	0	0	0	0	1	0	0	0	предност
advantageous	0	0	0	0	0	0	1	0	0	0	повољан
advent	0	1	0	0	1	0	1	0	0	1	адвент
adventure	0	1	0	0	0	0	1	0	0	0	авантура
adventurer	0	0	0	0	0	0	0	0	0	0	авантуриста
adventurous	0	0	0	0	0	0	1	0	0	0	авантуристички
adversary	1	0	0	0	0	1	0	0	0	0	противник
adverse	1	0	1	1	0	1	0	1	0	0	штетан
adversity	1	0	0	1	0	1	0	1	0	0	недаће
advertise	0	0	0	0	0	0	0	0	0	0	рекламирати
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	савет
advisable	0	0	0	0	0	0	1	0	0	1	препоручљиво
advise	0	0	0	0	0	0	1	0	0	1	саветовати
advised	0	0	0	0	0	0	0	0	0	1	саветован
advisement	0	0	0	0	0	0	0	0	0	0	саветовање
adviser	0	0	0	0	0	0	1	0	0	1	саветник
advocacy	1	1	0	0	1	0	1	0	0	1	адвокатура
advocate	0	0	0	0	0	0	0	0	0	1	заговорник
