English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sesotho Word
aback	0	0	0	0	0	0	0	0	0	0	aback
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	lahla
abandoned	1	0	0	1	0	1	0	1	0	0	tlohetsoe
abandonment	1	0	0	1	0	1	0	1	1	0	lahla
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	abatement
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	kgutsufatsa
abbreviation	0	0	0	0	0	0	0	0	0	0	kgutsufatso
abdomen	0	0	0	0	0	0	0	0	0	0	mpa
abdominal	0	0	0	0	0	0	0	0	0	0	mpeng
abduction	0	0	0	1	0	1	0	1	1	0	ho koeteloa
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	ho tlohela
abhor	1	0	1	1	0	1	0	0	0	0	nyonya
abhorrent	1	0	1	1	0	1	0	0	0	0	e nyonyehang
abide	0	0	0	0	0	0	0	0	0	0	sala
ability	0	0	0	0	0	0	1	0	0	0	bokgoni
abject	0	0	1	0	0	1	0	0	0	0	nyatsehang
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	tuka
abnormal	0	0	1	0	0	1	0	0	0	0	e sa tloaelehang
aboard	0	0	0	0	0	0	0	0	0	0	ka sekepeng
abode	0	0	0	0	0	0	0	0	0	0	bolulo
abolish	1	0	0	0	0	1	0	0	0	0	felisa
abolition	0	0	0	0	0	1	0	0	0	0	ho fedisa
abominable	0	0	1	1	0	1	0	0	0	0	e nyonyehang
abomination	1	0	1	1	0	1	0	0	0	0	manyala
aboriginal	0	0	0	0	0	0	0	0	0	0	matsoalloa
abort	0	0	0	0	0	1	0	0	0	0	ntshetsa mpa
abortion	0	0	1	1	0	1	0	1	0	0	ho ntša mpa
abortive	0	0	0	0	0	1	0	1	0	0	abortive
abound	0	0	0	0	0	0	0	0	0	0	ngatafala
abovementioned	0	0	0	0	0	0	1	0	0	0	e boletsoeng ka holimo
abrasion	0	0	0	0	0	1	0	0	0	0	ho khopa
abroad	0	0	0	0	0	0	0	0	0	0	kantle ho naha
abrogate	0	0	0	0	0	1	0	0	0	0	hlakola
abrupt	0	0	0	0	0	0	0	0	1	0	tshohanyetso
abruptly	0	0	0	0	0	0	0	0	0	0	ka tšohanyetso
abscess	0	0	0	0	0	1	0	1	0	0	seso
absence	0	0	0	1	0	1	0	1	0	0	bosieo
absent	0	0	0	0	0	1	0	1	0	0	absent
absentee	0	0	0	0	0	1	0	1	0	0	sieo
absenteeism	0	0	0	0	0	1	0	0	0	0	ho ba sieo mosebetsing
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	feletseng
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	monyela
absorbent	0	0	0	0	0	0	0	0	0	0	monyetla
absorbing	0	0	0	0	0	0	0	0	0	0	monya
absorption	0	0	0	0	0	0	0	0	0	0	ho monya
abstain	0	0	0	0	0	0	0	0	0	0	ila
abstention	0	0	0	0	0	0	0	0	0	0	ho ila
abstinence	0	0	0	0	0	0	0	0	0	0	ho ila
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	bohlanya
absurdity	0	0	0	0	0	1	0	0	0	0	bohlanya
abundance	0	1	1	0	1	1	1	0	0	1	bongata
abundant	0	0	0	0	1	0	1	0	0	0	a mangata
abuse	1	0	1	1	0	1	0	1	0	0	tlhekefetso
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	nyatsehang
abyss	0	0	0	1	0	1	0	1	0	0	mohohlo
academic	0	0	0	0	0	0	1	0	0	1	thuto
academy	0	0	0	0	0	0	1	0	0	0	akatemi
accede	0	0	0	0	0	0	0	0	0	0	kena
accelerate	0	1	0	0	0	0	0	0	0	0	potlakisa
acceleration	0	0	0	0	0	0	0	0	0	0	potlakiso
accent	0	0	0	0	0	0	0	0	0	0	puo ya puo
accentuate	0	0	0	0	0	0	0	0	0	0	toboketsa
accept	0	0	0	0	0	0	0	0	0	0	amohela
acceptable	0	0	0	0	0	0	1	0	0	0	amohelehile
acceptance	0	0	0	0	0	0	1	0	0	0	kamohelo
access	0	0	0	0	0	0	0	0	0	0	phihlello
accessible	0	0	0	0	0	0	1	0	0	0	fihlella
accession	0	0	0	0	0	0	0	0	0	0	ho kena
accessory	0	0	0	0	0	0	0	0	0	0	tlatsetso
accident	0	0	0	1	0	1	0	1	1	0	kotsi
accidental	0	0	0	1	0	1	0	0	1	0	ka phoso
accidentally	0	0	0	0	0	0	0	0	1	0	ka phoso
accolade	0	1	0	0	1	0	1	0	1	1	thoholetsa
accommodate	0	0	0	0	0	0	0	0	0	0	amohela
accommodation	0	0	0	0	0	0	1	0	0	0	bodulo
accompaniment	0	1	0	0	1	0	1	0	0	1	felehetsa
accompany	0	0	0	0	0	0	0	0	0	0	felehetsa
accompanying	0	0	0	0	0	0	0	0	0	0	e tsamaeang le
accomplice	0	0	0	0	0	0	0	0	0	0	tlatselletsa
accomplish	0	0	0	0	1	0	1	0	0	0	finyella
accomplished	0	0	0	0	1	0	1	0	0	0	phethile
accomplishment	0	0	0	0	0	0	1	0	0	0	phihlello
accord	0	0	0	0	0	0	1	0	0	1	tumellano
accordance	0	0	0	0	0	0	0	0	0	0	tumellanong
