English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Shona Word
aback	0	0	0	0	0	0	0	0	0	0	aback
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	abandon
abandoned	1	0	0	1	0	1	0	1	0	0	kusiiwa
abandonment	1	0	0	1	0	1	0	1	1	0	kusiiwa
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	abatement
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	pfupisa
abbreviation	0	0	0	0	0	0	0	0	0	0	chidimbu
abdomen	0	0	0	0	0	0	0	0	0	0	dumbu
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	kupambwa
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	sema
abhorrent	1	0	1	1	0	1	0	0	0	0	zvinosemesa
abide	0	0	0	0	0	0	0	0	0	0	abide
ability	0	0	0	0	0	0	1	0	0	0	kugona
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	ablaze
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
aboard	0	0	0	0	0	0	0	0	0	0	aboard
abode	0	0	0	0	0	0	0	0	0	0	akagara
abolish	1	0	0	0	0	1	0	0	0	0	bvisa
abolition	0	0	0	0	0	1	0	0	0	0	abolition
abominable	0	0	1	1	0	1	0	0	0	0	zvinonyangadza
abomination	1	0	1	1	0	1	0	0	0	0	chinonyangadza
aboriginal	0	0	0	0	0	0	0	0	0	0	veAboriginal
abort	0	0	0	0	0	1	0	0	0	0	kubvisa pamuviri
abortion	0	0	1	1	0	1	0	1	0	0	kubvisa pamuviri
abortive	0	0	0	0	0	1	0	1	0	0	kubvisa pamuviri
abound	0	0	0	0	0	0	0	0	0	0	zvakawanda
abovementioned	0	0	0	0	0	0	1	0	0	0	zvataurwa pamusoro
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	kunze kwenyika
abrogate	0	0	0	0	0	1	0	0	0	0	abrogate
abrupt	0	0	0	0	0	0	0	0	1	0	pakarepo
abruptly	0	0	0	0	0	0	0	0	0	0	pakarepo
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	kusavapo
absent	0	0	0	0	0	1	0	1	0	0	asipo
absentee	0	0	0	0	0	1	0	1	0	0	asipo
absenteeism	0	0	0	0	0	1	0	0	0	0	kusaenda kubasa
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	Mhedziso
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	absorbed
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	kuyamwisa
absorption	0	0	0	0	0	0	0	0	0	0	kutorwa
abstain	0	0	0	0	0	0	0	0	0	0	abstain
abstention	0	0	0	0	0	0	0	0	0	0	abstention
abstinence	0	0	0	0	0	0	0	0	0	0	kuzvidzora
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	zvisina musoro
absurdity	0	0	0	0	0	1	0	0	0	0	kusanzwisisa
abundance	0	1	1	0	1	1	1	0	0	1	kuwanda
abundant	0	0	0	0	1	0	1	0	0	0	abundant
abuse	1	0	1	1	0	1	0	1	0	0	kushungurudzwa
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	zvedzidzo
academy	0	0	0	0	0	0	1	0	0	0	academy
accede	0	0	0	0	0	0	0	0	0	0	Accede
accelerate	0	1	0	0	0	0	0	0	0	0	accelerate
acceleration	0	0	0	0	0	0	0	0	0	0	acceleration
accent	0	0	0	0	0	0	0	0	0	0	matauriro
accentuate	0	0	0	0	0	0	0	0	0	0	simbisa
accept	0	0	0	0	0	0	0	0	0	0	bvuma
acceptable	0	0	0	0	0	0	1	0	0	0	zvinogamuchirika
acceptance	0	0	0	0	0	0	1	0	0	0	kugamuchirwa
access	0	0	0	0	0	0	0	0	0	0	access
accessible	0	0	0	0	0	0	1	0	0	0	svikika
accession	0	0	0	0	0	0	0	0	0	0	accession
accessory	0	0	0	0	0	0	0	0	0	0	accessory
accident	0	0	0	1	0	1	0	1	1	0	tsaona
accidental	0	0	0	1	0	1	0	0	1	0	ngozi
accidentally	0	0	0	0	0	0	0	0	1	0	netsaona
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	accommodate
accommodation	0	0	0	0	0	0	1	0	0	0	pekugara
accompaniment	0	1	0	0	1	0	1	0	0	1	kuperekedza
accompany	0	0	0	0	0	0	0	0	0	0	perekedza
accompanying	0	0	0	0	0	0	0	0	0	0	kuperekedza
accomplice	0	0	0	0	0	0	0	0	0	0	kufambidzana
accomplish	0	0	0	0	1	0	1	0	0	0	zadzisa
accomplished	0	0	0	0	1	0	1	0	0	0	accomplished
accomplishment	0	0	0	0	0	0	1	0	0	0	kubudirira
accord	0	0	0	0	0	0	1	0	0	1	chibvumirano
accordance	0	0	0	0	0	0	0	0	0	0	zvinoenderana
