English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sindhi Word
aback	0	0	0	0	0	0	0	0	0	0	حيران
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ڇڏي ڏيڻ
abandoned	1	0	0	1	0	1	0	1	0	0	ڇڏيل
abandonment	1	0	0	1	0	1	0	1	1	0	ڇڏڻ
abate	0	0	0	0	0	0	0	0	0	0	گھٽائڻ
abatement	0	0	0	0	0	0	0	0	0	0	گهٽتائي
abba	0	0	0	0	0	0	1	0	0	0	ابا
abbot	0	0	0	0	0	0	0	0	0	1	ايبٽ
abbreviate	0	0	0	0	0	0	0	0	0	0	اختصار
abbreviation	0	0	0	0	0	0	0	0	0	0	مخفف
abdomen	0	0	0	0	0	0	0	0	0	0	پيٽ
abdominal	0	0	0	0	0	0	0	0	0	0	پيٽ
abduction	0	0	0	1	0	1	0	1	1	0	اغوا
aberrant	0	0	0	0	0	1	0	0	0	0	بي ترتيب
aberration	0	0	1	0	0	1	0	0	0	0	خرابي
abeyance	0	0	0	0	0	0	0	0	0	0	بيهڻ
abhor	1	0	1	1	0	1	0	0	0	0	نفرت ڪرڻ
abhorrent	1	0	1	1	0	1	0	0	0	0	نفرت ڪندڙ
abide	0	0	0	0	0	0	0	0	0	0	رهڻ
ability	0	0	0	0	0	0	1	0	0	0	قابليت
abject	0	0	1	0	0	1	0	0	0	0	بي عزتي
ablation	0	0	0	0	0	0	0	0	0	0	خاتمي
ablaze	0	0	0	0	0	0	0	0	0	0	ٻرڻ
abnormal	0	0	1	0	0	1	0	0	0	0	غير معمولي
aboard	0	0	0	0	0	0	0	0	0	0	جهاز ۾
abode	0	0	0	0	0	0	0	0	0	0	رهائش
abolish	1	0	0	0	0	1	0	0	0	0	ختم ڪرڻ
abolition	0	0	0	0	0	1	0	0	0	0	خاتمو
abominable	0	0	1	1	0	1	0	0	0	0	قابل نفرت
abomination	1	0	1	1	0	1	0	0	0	0	نفرت
aboriginal	0	0	0	0	0	0	0	0	0	0	اصلي
abort	0	0	0	0	0	1	0	0	0	0	ختم ڪرڻ
abortion	0	0	1	1	0	1	0	1	0	0	اسقاط حمل
abortive	0	0	0	0	0	1	0	1	0	0	ختم ڪرڻ وارو
abound	0	0	0	0	0	0	0	0	0	0	گهڻائي
abovementioned	0	0	0	0	0	0	1	0	0	0	مٿي ڄاڻايل
abrasion	0	0	0	0	0	1	0	0	0	0	ڇڪڻ
abroad	0	0	0	0	0	0	0	0	0	0	ٻاهرين
abrogate	0	0	0	0	0	1	0	0	0	0	منسوخ ڪرڻ
abrupt	0	0	0	0	0	0	0	0	1	0	اوچتو
abruptly	0	0	0	0	0	0	0	0	0	0	اوچتو
abscess	0	0	0	0	0	1	0	1	0	0	ڦڙو
absence	0	0	0	1	0	1	0	1	0	0	غير موجودگي
absent	0	0	0	0	0	1	0	1	0	0	غير حاضر
absentee	0	0	0	0	0	1	0	1	0	0	غير حاضر
absenteeism	0	0	0	0	0	1	0	0	0	0	غير حاضري
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
