English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Slovak Word
aback	0	0	0	0	0	0	0	0	0	0	zaskočený
abacus	0	0	0	0	0	0	0	0	0	1	počítadlo
abandon	0	0	0	1	0	1	0	1	0	0	opustiť
abandoned	1	0	0	1	0	1	0	1	0	0	opustené
abandonment	1	0	0	1	0	1	0	1	1	0	opustenie
abate	0	0	0	0	0	0	0	0	0	0	zmierniť
abatement	0	0	0	0	0	0	0	0	0	0	znižovanie
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	skrátiť
abbreviation	0	0	0	0	0	0	0	0	0	0	skratka
abdomen	0	0	0	0	0	0	0	0	0	0	brucha
abdominal	0	0	0	0	0	0	0	0	0	0	brušnej
abduction	0	0	0	1	0	1	0	1	1	0	únosu
aberrant	0	0	0	0	0	1	0	0	0	0	aberantný
aberration	0	0	1	0	0	1	0	0	0	0	aberácie
abeyance	0	0	0	0	0	0	0	0	0	0	prestávka
abhor	1	0	1	1	0	1	0	0	0	0	nenávidieť
abhorrent	1	0	1	1	0	1	0	0	0	0	odporný
abide	0	0	0	0	0	0	0	0	0	0	dodržať
ability	0	0	0	0	0	0	1	0	0	0	schopnosť
abject	0	0	1	0	0	1	0	0	0	0	biedny
ablation	0	0	0	0	0	0	0	0	0	0	ablácia
ablaze	0	0	0	0	0	0	0	0	0	0	horieť
abnormal	0	0	1	0	0	1	0	0	0	0	abnormálne
aboard	0	0	0	0	0	0	0	0	0	0	na palube
abode	0	0	0	0	0	0	0	0	0	0	príbytok
abolish	1	0	0	0	0	1	0	0	0	0	zrušiť
abolition	0	0	0	0	0	1	0	0	0	0	zrušenie
abominable	0	0	1	1	0	1	0	0	0	0	ohavný
abomination	1	0	1	1	0	1	0	0	0	0	ohavnosť
aboriginal	0	0	0	0	0	0	0	0	0	0	domorodý
abort	0	0	0	0	0	1	0	0	0	0	prerušiť
abortion	0	0	1	1	0	1	0	1	0	0	potrat
abortive	0	0	0	0	0	1	0	1	0	0	neúspešný
abound	0	0	0	0	0	0	0	0	0	0	oplývať
abovementioned	0	0	0	0	0	0	1	0	0	0	vyššie uvedené
abrasion	0	0	0	0	0	1	0	0	0	0	obrusovanie
abroad	0	0	0	0	0	0	0	0	0	0	v zahraničí
abrogate	0	0	0	0	0	1	0	0	0	0	zrušiť
abrupt	0	0	0	0	0	0	0	0	1	0	náhle
abruptly	0	0	0	0	0	0	0	0	0	0	náhle
abscess	0	0	0	0	0	1	0	1	0	0	absces
absence	0	0	0	1	0	1	0	1	0	0	neprítomnosť
absent	0	0	0	0	0	1	0	1	0	0	neprítomný
absentee	0	0	0	0	0	1	0	1	0	0	neprítomný
absenteeism	0	0	0	0	0	1	0	0	0	0	absencia
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolútne
absolution	0	0	0	0	1	0	1	0	0	1	rozhrešenie
absorbed	0	0	0	0	0	0	1	0	0	0	absorbované
absorbent	0	0	0	0	0	0	0	0	0	0	absorpčný
absorbing	0	0	0	0	0	0	0	0	0	0	absorbujúce
absorption	0	0	0	0	0	0	0	0	0	0	absorpcie
abstain	0	0	0	0	0	0	0	0	0	0	zdržať sa hlasovania
