English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Slovenian Word
aback	0	0	0	0	0	0	0	0	0	0	nazaj
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	opustiti
abandoned	1	0	0	1	0	1	0	1	0	0	zapuščen
abandonment	1	0	0	1	0	1	0	1	1	0	opustitev
abate	0	0	0	0	0	0	0	0	0	0	zmanjšati
abatement	0	0	0	0	0	0	0	0	0	0	zmanjšanje emisij
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	skrajšati
abbreviation	0	0	0	0	0	0	0	0	0	0	okrajšava
abdomen	0	0	0	0	0	0	0	0	0	0	trebuh
abdominal	0	0	0	0	0	0	0	0	0	0	trebušne
abduction	0	0	0	1	0	1	0	1	1	0	ugrabitev
aberrant	0	0	0	0	0	1	0	0	0	0	aberantno
aberration	0	0	1	0	0	1	0	0	0	0	aberacija
abeyance	0	0	0	0	0	0	0	0	0	0	mirovanje
abhor	1	0	1	1	0	1	0	0	0	0	gnusiti se
abhorrent	1	0	1	1	0	1	0	0	0	0	gnusno
abide	0	0	0	0	0	0	0	0	0	0	spoštovati
ability	0	0	0	0	0	0	1	0	0	0	sposobnost
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablacija
ablaze	0	0	0	0	0	0	0	0	0	0	goreče
abnormal	0	0	1	0	0	1	0	0	0	0	nenormalno
aboard	0	0	0	0	0	0	0	0	0	0	na krovu
abode	0	0	0	0	0	0	0	0	0	0	bivališče
abolish	1	0	0	0	0	1	0	0	0	0	ukiniti
abolition	0	0	0	0	0	1	0	0	0	0	ukinitev
abominable	0	0	1	1	0	1	0	0	0	0	gnusno
abomination	1	0	1	1	0	1	0	0	0	0	gnusoba
aboriginal	0	0	0	0	0	0	0	0	0	0	staroselec
abort	0	0	0	0	0	1	0	0	0	0	prekiniti
abortion	0	0	1	1	0	1	0	1	0	0	splav
abortive	0	0	0	0	0	1	0	1	0	0	neuspešno
abound	0	0	0	0	0	0	0	0	0	0	obilo
abovementioned	0	0	0	0	0	0	1	0	0	0	zgoraj omenjeno
abrasion	0	0	0	0	0	1	0	0	0	0	odrgnina
abroad	0	0	0	0	0	0	0	0	0	0	v tujini
abrogate	0	0	0	0	0	1	0	0	0	0	razveljaviti
abrupt	0	0	0	0	0	0	0	0	1	0	nenaden
abruptly	0	0	0	0	0	0	0	0	0	0	nenadoma
abscess	0	0	0	0	0	1	0	1	0	0	absces
absence	0	0	0	1	0	1	0	1	0	0	odsotnost
absent	0	0	0	0	0	1	0	1	0	0	odsoten
absentee	0	0	0	0	0	1	0	1	0	0	odsoten
absenteeism	0	0	0	0	0	1	0	0	0	0	absentizem
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolutno
absolution	0	0	0	0	1	0	1	0	0	1	odpuščanje
absorbed	0	0	0	0	0	0	1	0	0	0	absorbira
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	absorbira
absorption	0	0	0	0	0	0	0	0	0	0	absorpcija
abstain	0	0	0	0	0	0	0	0	0	0	vzdržati se
abstention	0	0	0	0	0	0	0	0	0	0	vzdržan
abstinence	0	0	0	0	0	0	0	0	0	0	abstinenca
abstract	0	0	0	0	0	0	0	0	0	0	povzetek
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakcija
absurd	0	0	0	0	0	1	0	0	0	0	absurdno
absurdity	0	0	0	0	0	1	0	0	0	0	absurdnost
abundance	0	1	1	0	1	1	1	0	0	1	obilje
abundant	0	0	0	0	1	0	1	0	0	0	obilno
abuse	1	0	1	1	0	1	0	1	0	0	zloraba
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	brezno
abyss	0	0	0	1	0	1	0	1	0	0	brezno
academic	0	0	0	0	0	0	1	0	0	1	akademski
academy	0	0	0	0	0	0	1	0	0	0	akademija
accede	0	0	0	0	0	0	0	0	0	0	pristopiti
accelerate	0	1	0	0	0	0	0	0	0	0	pospešiti
acceleration	0	0	0	0	0	0	0	0	0	0	pospešek
accent	0	0	0	0	0	0	0	0	0	0	naglas
accentuate	0	0	0	0	0	0	0	0	0	0	poudariti
accept	0	0	0	0	0	0	0	0	0	0	sprejeti
acceptable	0	0	0	0	0	0	1	0	0	0	sprejemljivo
acceptance	0	0	0	0	0	0	1	0	0	0	sprejemanje
access	0	0	0	0	0	0	0	0	0	0	dostop
accessible	0	0	0	0	0	0	1	0	0	0	dostopen
