English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Somali Word
aback	0	0	0	0	0	0	0	0	0	0	yaab
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	iska daa
abandoned	1	0	0	1	0	1	0	1	0	0	laga tagay
abandonment	1	0	0	1	0	1	0	1	1	0	ka tegid
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	dhimis
abba	0	0	0	0	0	0	1	0	0	0	abbaa
abbot	0	0	0	0	0	0	0	0	0	1	abti
abbreviate	0	0	0	0	0	0	0	0	0	0	soo gaabin
abbreviation	0	0	0	0	0	0	0	0	0	0	soo gaabinta
abdomen	0	0	0	0	0	0	0	0	0	0	caloosha
abdominal	0	0	0	0	0	0	0	0	0	0	caloosha
abduction	0	0	0	1	0	1	0	1	1	0	afduubid
aberrant	0	0	0	0	0	1	0	0	0	0	qallafsanaan
aberration	0	0	1	0	0	1	0	0	0	0	wax laga xishoodo
abeyance	0	0	0	0	0	0	0	0	0	0	ka tagnaansho
abhor	1	0	1	1	0	1	0	0	0	0	karaahiyo
abhorrent	1	0	1	1	0	1	0	0	0	0	karaahiyo
abide	0	0	0	0	0	0	0	0	0	0	u hoggaansamo
ability	0	0	0	0	0	0	1	0	0	0	karti
abject	0	0	1	0	0	1	0	0	0	0	ceeb
ablation	0	0	0	0	0	0	0	0	0	0	aflagaado
ablaze	0	0	0	0	0	0	0	0	0	0	gubasho
abnormal	0	0	1	0	0	1	0	0	0	0	aan caadi ahayn
aboard	0	0	0	0	0	0	0	0	0	0	fuula
abode	0	0	0	0	0	0	0	0	0	0	hoy
abolish	1	0	0	0	0	1	0	0	0	0	baabi'in
abolition	0	0	0	0	0	1	0	0	0	0	baabi'inta
abominable	0	0	1	1	0	1	0	0	0	0	karaahiyo
abomination	1	0	1	1	0	1	0	0	0	0	karaahiyo
aboriginal	0	0	0	0	0	0	0	0	0	0	asal ahaan
abort	0	0	0	0	0	1	0	0	0	0	iska soo rididda
abortion	0	0	1	1	0	1	0	1	0	0	ilmo iska soo ridid
abortive	0	0	0	0	0	1	0	1	0	0	ilmo iska soo ridid
abound	0	0	0	0	0	0	0	0	0	0	badan
abovementioned	0	0	0	0	0	0	1	0	0	0	kor ku xusan
abrasion	0	0	0	0	0	1	0	0	0	0	naaxid
abroad	0	0	0	0	0	0	0	0	0	0	dibadda
abrogate	0	0	0	0	0	1	0	0	0	0	tirtirid
abrupt	0	0	0	0	0	0	0	0	1	0	si lama filaan ah
abruptly	0	0	0	0	0	0	0	0	0	0	si lama filaan ah
abscess	0	0	0	0	0	1	0	1	0	0	maroojis
absence	0	0	0	1	0	1	0	1	0	0	maqnaansho
absent	0	0	0	0	0	1	0	1	0	0	maqan
absentee	0	0	0	0	0	1	0	1	0	0	maqane
absenteeism	0	0	0	0	0	1	0	0	0	0	maqnaansho
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	dhammaystiran
absolution	0	0	0	0	1	0	1	0	0	1	xalid
absorbed	0	0	0	0	0	0	1	0	0	0	nuugo
absorbent	0	0	0	0	0	0	0	0	0	0	nuugid
absorbing	0	0	0	0	0	0	0	0	0	0	nuugista
absorption	0	0	0	0	0	0	0	0	0	0	nuugista
abstain	0	0	0	0	0	0	0	0	0	0	diidaan
abstention	0	0	0	0	0	0	0	0	0	0	diidmo
abstinence	0	0	0	0	0	0	0	0	0	0	diidid
abstract	0	0	0	0	0	0	0	0	0	0	aan la taaban karin
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	caqli-gal
absurdity	0	0	0	0	0	1	0	0	0	0	caqli-xumo
abundance	0	1	1	0	1	1	1	0	0	1	faro badan
abundant	0	0	0	0	1	0	1	0	0	0	badan
abuse	1	0	1	1	0	1	0	1	0	0	xadgudub
abutment	0	0	0	0	0	0	0	0	0	0	wax u dhimid
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	aad u xun
abyss	0	0	0	1	0	1	0	1	0	0	aamas
academic	0	0	0	0	0	0	1	0	0	1	tacliinta
academy	0	0	0	0	0	0	1	0	0	0	akadeemiyadda
accede	0	0	0	0	0	0	0	0	0	0	aqbalid
accelerate	0	1	0	0	0	0	0	0	0	0	dedejiso
acceleration	0	0	0	0	0	0	0	0	0	0	dardargelinta
accent	0	0	0	0	0	0	0	0	0	0	lahjad
accentuate	0	0	0	0	0	0	0	0	0	0	xoojin
accept	0	0	0	0	0	0	0	0	0	0	aqbal
acceptable	0	0	0	0	0	0	1	0	0	0	la aqbali karo
acceptance	0	0	0	0	0	0	1	0	0	0	aqbalid
access	0	0	0	0	0	0	0	0	0	0	gelid
accessible	0	0	0	0	0	0	1	0	0	0	la heli karo
accession	0	0	0	0	0	0	0	0	0	0	ku biiritaanka
accessory	0	0	0	0	0	0	0	0	0	0	qalabayn
accident	0	0	0	1	0	1	0	1	1	0	shil
accidental	0	0	0	1	0	1	0	0	1	0	shil
accidentally	0	0	0	0	0	0	0	0	1	0	shil
accolade	0	1	0	0	1	0	1	0	1	1	bogaadin
accommodate	0	0	0	0	0	0	0	0	0	0	habayn
accommodation	0	0	0	0	0	0	1	0	0	0	hoy
accompaniment	0	1	0	0	1	0	1	0	0	1	raacid
accompany	0	0	0	0	0	0	0	0	0	0	raacid
accompanying	0	0	0	0	0	0	0	0	0	0	weheliya
accomplice	0	0	0	0	0	0	0	0	0	0	ku wehelin
accomplish	0	0	0	0	1	0	1	0	0	0	dhammayn
