English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Spanish Word
aback	0	0	0	0	0	0	0	0	0	0	detrás
abacus	0	0	0	0	0	0	0	0	0	1	ábaco
abandon	0	0	0	1	0	1	0	1	0	0	abandonar
abandoned	1	0	0	1	0	1	0	1	0	0	abandonado
abandonment	1	0	0	1	0	1	0	1	1	0	abandono
abate	0	0	0	0	0	0	0	0	0	0	disminuir
abatement	0	0	0	0	0	0	0	0	0	0	disminución
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abad
abbreviate	0	0	0	0	0	0	0	0	0	0	abreviar
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviatura
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	secuestro
aberrant	0	0	0	0	0	1	0	0	0	0	aberrante
aberration	0	0	1	0	0	1	0	0	0	0	aberración
abeyance	0	0	0	0	0	0	0	0	0	0	suspensión
abhor	1	0	1	1	0	1	0	0	0	0	aborrecer
abhorrent	1	0	1	1	0	1	0	0	0	0	aborrecible
abide	0	0	0	0	0	0	0	0	0	0	cumplir
ability	0	0	0	0	0	0	1	0	0	0	capacidad
abject	0	0	1	0	0	1	0	0	0	0	abyecto
ablation	0	0	0	0	0	0	0	0	0	0	ablación
ablaze	0	0	0	0	0	0	0	0	0	0	ardiendo
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	a bordo
abode	0	0	0	0	0	0	0	0	0	0	morada
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolición
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abominación
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
abort	0	0	0	0	0	1	0	0	0	0	abortar
abortion	0	0	1	1	0	1	0	1	0	0	aborto
abortive	0	0	0	0	0	1	0	1	0	0	abortivo
abound	0	0	0	0	0	0	0	0	0	0	abundar
abovementioned	0	0	0	0	0	0	1	0	0	0	anteriormente mencionado
abrasion	0	0	0	0	0	1	0	0	0	0	abrasión
abroad	0	0	0	0	0	0	0	0	0	0	extranjero
abrogate	0	0	0	0	0	1	0	0	0	0	abrogar
abrupt	0	0	0	0	0	0	0	0	1	0	abrupto
abruptly	0	0	0	0	0	0	0	0	0	0	abruptamente
abscess	0	0	0	0	0	1	0	1	0	0	absceso
absence	0	0	0	1	0	1	0	1	0	0	ausencia
absent	0	0	0	0	0	1	0	1	0	0	ausente
absentee	0	0	0	0	0	1	0	1	0	0	ausente
absenteeism	0	0	0	0	0	1	0	0	0	0	absentismo
absinthe	0	0	0	0	0	0	0	0	0	0	Ajenjo
absolute	0	0	0	0	0	0	1	0	0	0	absoluto
absolution	0	0	0	0	1	0	1	0	0	1	absolución
absorbed	0	0	0	0	0	0	1	0	0	0	absorbido
absorbent	0	0	0	0	0	0	0	0	0	0	absorbente
absorbing	0	0	0	0	0	0	0	0	0	0	absorbente
absorption	0	0	0	0	0	0	0	0	0	0	absorción
abstain	0	0	0	0	0	0	0	0	0	0	abstenerse
abstention	0	0	0	0	0	0	0	0	0	0	abstención
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencia
abstract	0	0	0	0	0	0	0	0	0	0	resumen
abstraction	0	0	0	0	0	0	0	0	0	0	abstracción
absurd	0	0	0	0	0	1	0	0	0	0	absurdo
absurdity	0	0	0	0	0	1	0	0	0	0	absurdo
abundance	0	1	1	0	1	1	1	0	0	1	abundancia
abundant	0	0	0	0	1	0	1	0	0	0	abundante
abuse	1	0	1	1	0	1	0	1	0	0	abuso
abutment	0	0	0	0	0	0	0	0	0	0	contrafuerte
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
abyss	0	0	0	1	0	1	0	1	0	0	abismo
academic	0	0	0	0	0	0	1	0	0	1	académico
academy	0	0	0	0	0	0	1	0	0	0	academia
accede	0	0	0	0	0	0	0	0	0	0	acceder a
accelerate	0	1	0	0	0	0	0	0	0	0	acelerar
acceleration	0	0	0	0	0	0	0	0	0	0	aceleración
accent	0	0	0	0	0	0	0	0	0	0	acento
accentuate	0	0	0	0	0	0	0	0	0	0	acentuar
accept	0	0	0	0	0	0	0	0	0	0	aceptar
acceptable	0	0	0	0	0	0	1	0	0	0	aceptable
acceptance	0	0	0	0	0	0	1	0	0	0	aceptación
access	0	0	0	0	0	0	0	0	0	0	acceso
accessible	0	0	0	0	0	0	1	0	0	0	accesible
accession	0	0	0	0	0	0	0	0	0	0	adhesión
accessory	0	0	0	0	0	0	0	0	0	0	accesorio
accident	0	0	0	1	0	1	0	1	1	0	accidente
accidental	0	0	0	1	0	1	0	0	1	0	accidental
accidentally	0	0	0	0	0	0	0	0	1	0	accidentalmente
accolade	0	1	0	0	1	0	1	0	1	1	espaldarazo
accommodate	0	0	0	0	0	0	0	0	0	0	acomodar
accommodation	0	0	0	0	0	0	1	0	0	0	alojamiento
accompaniment	0	1	0	0	1	0	1	0	0	1	acompañamiento
accompany	0	0	0	0	0	0	0	0	0	0	acompañar
accompanying	0	0	0	0	0	0	0	0	0	0	acompañamiento
accomplice	0	0	0	0	0	0	0	0	0	0	cómplice
accomplish	0	0	0	0	1	0	1	0	0	0	realizar
accomplished	0	0	0	0	1	0	1	0	0	0	logrado
accomplishment	0	0	0	0	0	0	1	0	0	0	logro
accord	0	0	0	0	0	0	1	0	0	1	acuerdo
accordance	0	0	0	0	0	0	0	0	0	0	conformidad
accordion	0	0	0	0	0	0	0	0	0	0	acordeón
account	0	0	0	0	0	0	0	0	0	1	cuenta
accountability	0	0	0	0	0	0	1	0	0	1	responsabilidad
accountable	0	0	0	0	0	0	1	0	0	1	responsable
accountant	0	0	0	0	0	0	0	0	0	1	contador
accounting	0	0	0	0	0	0	0	0	0	0	contabilidad
accounts	0	0	0	0	0	0	0	0	0	1	cuentas
accredited	0	0	0	0	0	0	1	0	0	1	autorizado
accretion	0	0	0	0	0	0	0	0	0	0	acreción
accrue	0	0	0	0	0	0	0	0	0	0	acumularse
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	acumular
accumulation	0	0	0	0	0	0	0	0	0	0	acumulación
accuracy	0	0	0	0	0	0	0	0	0	0	precisión
accurate	0	0	0	0	0	0	1	0	0	1	preciso
accursed	1	0	0	1	0	1	0	1	0	0	maldito
accusation	1	0	1	0	0	1	0	0	0	0	acusación
accusative	0	0	0	0	0	1	0	0	0	0	acusativo
accused	1	0	0	1	0	1	0	0	0	0	acusado
accuser	1	0	0	1	0	1	0	0	0	0	acusador
accusing	1	0	0	1	0	1	0	0	0	0	acusando
accustomed	0	0	0	0	0	0	0	0	0	0	acostumbrado
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acético
ache	0	0	0	0	0	1	0	1	0	0	dolor
achieve	0	0	0	0	1	0	1	0	0	1	lograr
achievement	0	1	0	0	1	0	1	0	0	1	logro
aching	0	0	0	0	0	1	0	1	0	0	dolor
acid	0	0	0	0	0	1	0	0	0	0	ácido
acidity	0	0	0	0	0	0	0	0	0	0	acidez
acknowledge	0	0	0	0	0	0	0	0	0	0	reconocer
acknowledged	0	0	0	0	0	0	0	0	0	0	admitido
acknowledgment	0	0	0	0	0	0	1	0	0	0	Reconocimiento
acme	0	0	0	0	0	0	0	0	0	0	cumbre
acoustic	0	0	0	0	0	0	0	0	0	0	acústico
acoustics	0	0	0	0	0	0	0	0	0	0	acústica
acquaint	0	0	0	0	0	0	0	0	0	0	familiarizar
acquaintance	0	0	0	0	0	0	0	0	0	0	conocido
acquainted	0	0	0	0	0	0	0	0	0	0	familiarizado
acquiescence	0	0	0	0	0	0	0	0	0	0	aquiescencia
acquire	0	0	0	0	0	0	1	0	0	0	adquirir
acquiring	0	1	0	0	0	0	1	0	0	0	adquisidor
acquisition	0	0	0	0	0	0	0	0	0	0	adquisición
acquisitions	0	0	0	0	0	0	0	0	0	0	adquisiciones
