English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sundanese Word
aback	0	0	0	0	0	0	0	0	0	0	ngaheureuyan
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	ninggalkeun
abandoned	1	0	0	1	0	1	0	1	0	0	ditinggalkeun
abandonment	1	0	0	1	0	1	0	1	1	0	ditinggalkeun
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	pangurangan
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	singgetan
abbreviation	0	0	0	0	0	0	0	0	0	0	singgetan
abdomen	0	0	0	0	0	0	0	0	0	0	beuteung
abdominal	0	0	0	0	0	0	0	0	0	0	beuteung
abduction	0	0	0	1	0	1	0	1	1	0	nyulik
aberrant	0	0	0	0	0	1	0	0	0	0	nyimpang
aberration	0	0	1	0	0	1	0	0	0	0	panyimpangan
abeyance	0	0	0	0	0	0	0	0	0	0	kasabaran
abhor	1	0	1	1	0	1	0	0	0	0	ngahinakeun
abhorrent	1	0	1	1	0	1	0	0	0	0	hina
abide	0	0	0	0	0	0	0	0	0	0	tetep
ability	0	0	0	0	0	0	1	0	0	0	pangabisa
abject	0	0	1	0	0	1	0	0	0	0	hina
ablation	0	0	0	0	0	0	0	0	0	0	ablasi
ablaze	0	0	0	0	0	0	0	0	0	0	kahuruan
abnormal	0	0	1	0	0	1	0	0	0	0	teu normal
aboard	0	0	0	0	0	0	0	0	0	0	naek kapal
abode	0	0	0	0	0	0	0	0	0	0	tempat cicing
abolish	1	0	0	0	0	1	0	0	0	0	ngaleungitkeun
abolition	0	0	0	0	0	1	0	0	0	0	abolition
abominable	0	0	1	1	0	1	0	0	0	0	hina
abomination	1	0	1	1	0	1	0	0	0	0	kekejian
aboriginal	0	0	0	0	0	0	0	0	0	0	pribumi
abort	0	0	0	0	0	1	0	0	0	0	ngagugurkeun kandungan
