English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Swahili Word
aback	0	0	0	0	0	0	0	0	0	0	mshangao
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	kuacha
abandoned	1	0	0	1	0	1	0	1	0	0	kutelekezwa
abandonment	1	0	0	1	0	1	0	1	1	0	kuachwa
abate	0	0	0	0	0	0	0	0	0	0	poa
abatement	0	0	0	0	0	0	0	0	0	0	kupungua
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	abati
abbreviate	0	0	0	0	0	0	0	0	0	0	fupisha
abbreviation	0	0	0	0	0	0	0	0	0	0	ufupisho
abdomen	0	0	0	0	0	0	0	0	0	0	tumbo
abdominal	0	0	0	0	0	0	0	0	0	0	tumbo
abduction	0	0	0	1	0	1	0	1	1	0	utekaji nyara
aberrant	0	0	0	0	0	1	0	0	0	0	kupotoka
aberration	0	0	1	0	0	1	0	0	0	0	kupotoka
abeyance	0	0	0	0	0	0	0	0	0	0	kuacha
abhor	1	0	1	1	0	1	0	0	0	0	chukia
abhorrent	1	0	1	1	0	1	0	0	0	0	ya kuchukiza
abide	0	0	0	0	0	0	0	0	0	0	Fuata
ability	0	0	0	0	0	0	1	0	0	0	uwezo
abject	0	0	1	0	0	1	0	0	0	0	dhalili
ablation	0	0	0	0	0	0	0	0	0	0	kuondolewa
ablaze	0	0	0	0	0	0	0	0	0	0	kuwaka moto
abnormal	0	0	1	0	0	1	0	0	0	0	isiyo ya kawaida
aboard	0	0	0	0	0	0	0	0	0	0	ndani
abode	0	0	0	0	0	0	0	0	0	0	makao
abolish	1	0	0	0	0	1	0	0	0	0	kukomesha
abolition	0	0	0	0	0	1	0	0	0	0	kukomesha
abominable	0	0	1	1	0	1	0	0	0	0	ya kuchukiza
abomination	1	0	1	1	0	1	0	0	0	0	chukizo
aboriginal	0	0	0	0	0	0	0	0	0	0	asili
abort	0	0	0	0	0	1	0	0	0	0	kutoa mimba
abortion	0	0	1	1	0	1	0	1	0	0	utoaji mimba
abortive	0	0	0	0	0	1	0	1	0	0	kutoa mimba
abound	0	0	0	0	0	0	0	0	0	0	tele
abovementioned	0	0	0	0	0	0	1	0	0	0	zilizotajwa hapo juu
abrasion	0	0	0	0	0	1	0	0	0	0	mchubuko
abroad	0	0	0	0	0	0	0	0	0	0	nje ya nchi
abrogate	0	0	0	0	0	1	0	0	0	0	kufuta
abrupt	0	0	0	0	0	0	0	0	1	0	ghafla
abruptly	0	0	0	0	0	0	0	0	0	0	ghafla
abscess	0	0	0	0	0	1	0	1	0	0	jipu
absence	0	0	0	1	0	1	0	1	0	0	kutokuwepo
absent	0	0	0	0	0	1	0	1	0	0	kutokuwepo
absentee	0	0	0	0	0	1	0	1	0	0	hayupo
absenteeism	0	0	0	0	0	1	0	0	0	0	utoro
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	kabisa
absolution	0	0	0	0	1	0	1	0	0	1	msamaha
absorbed	0	0	0	0	0	0	1	0	0	0	kufyonzwa
absorbent	0	0	0	0	0	0	0	0	0	0	kinyozi
absorbing	0	0	0	0	0	0	0	0	0	0	kunyonya
absorption	0	0	0	0	0	0	0	0	0	0	kunyonya
abstain	0	0	0	0	0	0	0	0	0	0	jizuie
abstention	0	0	0	0	0	0	0	0	0	0	kujizuia
abstinence	0	0	0	0	0	0	0	0	0	0	kujizuia
abstract	0	0	0	0	0	0	0	0	0	0	dhahania
abstraction	0	0	0	0	0	0	0	0	0	0	uondoaji
absurd	0	0	0	0	0	1	0	0	0	0	upuuzi
absurdity	0	0	0	0	0	1	0	0	0	0	upuuzi
abundance	0	1	1	0	1	1	1	0	0	1	wingi
abundant	0	0	0	0	1	0	1	0	0	0	tele
abuse	1	0	1	1	0	1	0	1	0	0	unyanyasaji
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	kuzimu
abyss	0	0	0	1	0	1	0	1	0	0	shimo
academic	0	0	0	0	0	0	1	0	0	1	kitaaluma
academy	0	0	0	0	0	0	1	0	0	0	chuo kikuu
accede	0	0	0	0	0	0	0	0	0	0	kubali
accelerate	0	1	0	0	0	0	0	0	0	0	kuongeza kasi
acceleration	0	0	0	0	0	0	0	0	0	0	kuongeza kasi
accent	0	0	0	0	0	0	0	0	0	0	lafudhi
accentuate	0	0	0	0	0	0	0	0	0	0	sisitiza
accept	0	0	0	0	0	0	0	0	0	0	kukubali
acceptable	0	0	0	0	0	0	1	0	0	0	kukubalika
acceptance	0	0	0	0	0	0	1	0	0	0	kukubalika
access	0	0	0	0	0	0	0	0	0	0	ufikiaji
accessible	0	0	0	0	0	0	1	0	0	0	kupatikana
accession	0	0	0	0	0	0	0	0	0	0	kujiunga
accessory	0	0	0	0	0	0	0	0	0	0	nyongeza
accident	0	0	0	1	0	1	0	1	1	0	ajali
accidental	0	0	0	1	0	1	0	0	1	0	bahati mbaya
accidentally	0	0	0	0	0	0	0	0	1	0	bahati mbaya
accolade	0	1	0	0	1	0	1	0	1	1	sifa
accommodate	0	0	0	0	0	0	0	0	0	0	malazi
accommodation	0	0	0	0	0	0	1	0	0	0	malazi
accompaniment	0	1	0	0	1	0	1	0	0	1	kusindikiza
accompany	0	0	0	0	0	0	0	0	0	0	ongozana
accompanying	0	0	0	0	0	0	0	0	0	0	kuandamana
accomplice	0	0	0	0	0	0	0	0	0	0	mshiriki
accomplish	0	0	0	0	1	0	1	0	0	0	kamilisha
accomplished	0	0	0	0	1	0	1	0	0	0	imekamilika
accomplishment	0	0	0	0	0	0	1	0	0	0	mafanikio
accord	0	0	0	0	0	0	1	0	0	1	makubaliano
accordance	0	0	0	0	0	0	0	0	0	0	kwa mujibu
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	akaunti
accountability	0	0	0	0	0	0	1	0	0	1	uwajibikaji
accountable	0	0	0	0	0	0	1	0	0	1	kuwajibika
accountant	0	0	0	0	0	0	0	0	0	1	mhasibu
accounting	0	0	0	0	0	0	0	0	0	0	uhasibu
accounts	0	0	0	0	0	0	0	0	0	1	akaunti
accredited	0	0	0	0	0	0	1	0	0	1	iliyoidhinishwa
accretion	0	0	0	0	0	0	0	0	0	0	kuongezeka
accrue	0	0	0	0	0	0	0	0	0	0	kuongezeka
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	kujilimbikiza
accumulation	0	0	0	0	0	0	0	0	0	0	mkusanyiko
accuracy	0	0	0	0	0	0	0	0	0	0	usahihi
accurate	0	0	0	0	0	0	1	0	0	1	sahihi
accursed	1	0	0	1	0	1	0	1	0	0	kulaaniwa
accusation	1	0	1	0	0	1	0	0	0	0	mashtaka
accusative	0	0	0	0	0	1	0	0	0	0	mwenye mashtaka
accused	1	0	0	1	0	1	0	0	0	0	mtuhumiwa
accuser	1	0	0	1	0	1	0	0	0	0	mshitaki
accusing	1	0	0	1	0	1	0	0	0	0	kushutumu
accustomed	0	0	0	0	0	0	0	0	0	0	mazoea
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	asetiki
ache	0	0	0	0	0	1	0	1	0	0	maumivu
achieve	0	0	0	0	1	0	1	0	0	1	kufikia
achievement	0	1	0	0	1	0	1	0	0	1	mafanikio
aching	0	0	0	0	0	1	0	1	0	0	kuuma
acid	0	0	0	0	0	1	0	0	0	0	asidi
acidity	0	0	0	0	0	0	0	0	0	0	asidi
acknowledge	0	0	0	0	0	0	0	0	0	0	Tambua
acknowledged	0	0	0	0	0	0	0	0	0	0	alikubali
acknowledgment	0	0	0	0	0	0	1	0	0	0	kukiri
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustika
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	kufahamu
acquaintance	0	0	0	0	0	0	0	0	0	0	kujuana
acquainted	0	0	0	0	0	0	0	0	0	0	kufahamiana
acquiescence	0	0	0	0	0	0	0	0	0	0	kuafiki
acquire	0	0	0	0	0	0	1	0	0	0	kupata
acquiring	0	1	0	0	0	0	1	0	0	0	kupata
acquisition	0	0	0	0	0	0	0	0	0	0	upatikanaji
acquisitions	0	0	0	0	0	0	0	0	0	0	upatikanaji
acreage	0	0	0	0	0	0	0	0	0	0	ekari
acres	0	0	0	0	0	0	0	0	0	0	ekari
acrobat	0	0	0	1	1	0	1	0	0	1	sarakasi
act	0	0	0	0	0	0	0	0	0	0	kitendo
acting	0	0	0	0	0	0	0	0	0	0	kuigiza
action	0	0	0	0	0	0	1	0	0	0	kitendo
actionable	1	0	1	0	0	1	0	0	0	0	inayoweza kutekelezwa
active	0	0	0	0	0	0	0	0	0	0	hai
activity	0	0	0	0	0	0	0	0	0	0	shughuli
actor	0	0	0	0	0	0	0	0	0	0	mwigizaji
actual	0	0	0	0	0	0	1	0	0	0	halisi
actuality	0	0	0	0	0	0	0	0	0	0	ukweli
actuary	0	0	0	0	0	0	0	0	0	0	mtaalamu
acuity	0	0	0	0	0	0	1	0	0	0	ukali
acumen	0	0	0	0	0	0	1	0	0	0	acumeni
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	kwa ukali
adage	0	0	0	0	0	0	0	0	0	0	msemo
adamant	0	0	0	0	0	0	0	0	0	0	mgumu
adapt	0	0	0	0	0	0	1	0	0	0	kukabiliana
adaptable	0	0	0	0	0	0	1	0	0	0	inayoweza kubadilika
add	0	0	0	0	0	0	0	0	0	0	ongeza
added	0	0	0	0	0	0	0	0	0	0	aliongeza
addendum	0	0	0	0	0	0	0	0	0	0	nyongeza
adder	1	0	1	1	0	1	0	1	0	0	fira
addiction	0	0	0	0	0	1	0	0	0	0	uraibu
