English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Swedish Word
aback	0	0	0	0	0	0	0	0	0	0	en rygg
abacus	0	0	0	0	0	0	0	0	0	1	kulram
abandon	0	0	0	1	0	1	0	1	0	0	överge
abandoned	1	0	0	1	0	1	0	1	0	0	övergiven
abandonment	1	0	0	1	0	1	0	1	1	0	övergivenhet
abate	0	0	0	0	0	0	0	0	0	0	avta
abatement	0	0	0	0	0	0	0	0	0	0	minskning
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	förkorta
abbreviation	0	0	0	0	0	0	0	0	0	0	förkortning
abdomen	0	0	0	0	0	0	0	0	0	0	buk
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	bortförande
aberrant	0	0	0	0	0	1	0	0	0	0	abnorm
aberration	0	0	1	0	0	1	0	0	0	0	avvikelse
abeyance	0	0	0	0	0	0	0	0	0	0	uppehåll
abhor	1	0	1	1	0	1	0	0	0	0	avsky
abhorrent	1	0	1	1	0	1	0	0	0	0	motbjudande
abide	0	0	0	0	0	0	0	0	0	0	vistas
ability	0	0	0	0	0	0	1	0	0	0	förmåga
abject	0	0	1	0	0	1	0	0	0	0	absurt
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	i lågor
abnormal	0	0	1	0	0	1	0	0	0	0	onormal
aboard	0	0	0	0	0	0	0	0	0	0	ombord
abode	0	0	0	0	0	0	0	0	0	0	boning
abolish	1	0	0	0	0	1	0	0	0	0	avskaffa
abolition	0	0	0	0	0	1	0	0	0	0	avskaffande
abominable	0	0	1	1	0	1	0	0	0	0	avskyvärd
abomination	1	0	1	1	0	1	0	0	0	0	avsky
aboriginal	0	0	0	0	0	0	0	0	0	0	ursprunglig
abort	0	0	0	0	0	1	0	0	0	0	avbryta
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	misslyckad
abound	0	0	0	0	0	0	0	0	0	0	finnas i överflöd
abovementioned	0	0	0	0	0	0	1	0	0	0	ovan nämnda
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	utomlands
abrogate	0	0	0	0	0	1	0	0	0	0	avskaffa
abrupt	0	0	0	0	0	0	0	0	1	0	abrupt
abruptly	0	0	0	0	0	0	0	0	0	0	tvärt
abscess	0	0	0	0	0	1	0	1	0	0	böld
absence	0	0	0	1	0	1	0	1	0	0	frånvaro
absent	0	0	0	0	0	1	0	1	0	0	frånvarande
absentee	0	0	0	0	0	1	0	1	0	0	frånvarande
absenteeism	0	0	0	0	0	1	0	0	0	0	skolk
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	absorberas
absorbent	0	0	0	0	0	0	0	0	0	0	absorberande
absorbing	0	0	0	0	0	0	0	0	0	0	absorberande
absorption	0	0	0	0	0	0	0	0	0	0	absorption
abstain	0	0	0	0	0	0	0	0	0	0	avstå
abstention	0	0	0	0	0	0	0	0	0	0	röstnedläggelse
abstinence	0	0	0	0	0	0	0	0	0	0	nykterhet
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	abstraktion
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditet
abundance	0	1	1	0	1	1	1	0	0	1	överflöd
abundant	0	0	0	0	1	0	1	0	0	0	riklig
abuse	1	0	1	1	0	1	0	1	0	0	missbruk
abutment	0	0	0	0	0	0	0	0	0	0	distans
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bottenlös
abyss	0	0	0	1	0	1	0	1	0	0	avgrund
academic	0	0	0	0	0	0	1	0	0	1	akademisk
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	gå med
accelerate	0	1	0	0	0	0	0	0	0	0	accelerera
acceleration	0	0	0	0	0	0	0	0	0	0	acceleration
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentuera
accept	0	0	0	0	0	0	0	0	0	0	acceptera
acceptable	0	0	0	0	0	0	1	0	0	0	godtagbar
acceptance	0	0	0	0	0	0	1	0	0	0	godkännande
access	0	0	0	0	0	0	0	0	0	0	tillgång
accessible	0	0	0	0	0	0	1	0	0	0	tillgänglig
accession	0	0	0	0	0	0	0	0	0	0	anslutning
accessory	0	0	0	0	0	0	0	0	0	0	tillbehör
accident	0	0	0	1	0	1	0	1	1	0	olycka
accidental	0	0	0	1	0	1	0	0	1	0	olycklig
accidentally	0	0	0	0	0	0	0	0	1	0	av misstag
accolade	0	1	0	0	1	0	1	0	1	1	utmärkelse
accommodate	0	0	0	0	0	0	0	0	0	0	rymma
accommodation	0	0	0	0	0	0	1	0	0	0	boende
accompaniment	0	1	0	0	1	0	1	0	0	1	ackompanjemang
accompany	0	0	0	0	0	0	0	0	0	0	följa
accompanying	0	0	0	0	0	0	0	0	0	0	medföljande
accomplice	0	0	0	0	0	0	0	0	0	0	medbrottsling
accomplish	0	0	0	0	1	0	1	0	0	0	utföra
accomplished	0	0	0	0	1	0	1	0	0	0	skicklig
accomplishment	0	0	0	0	0	0	1	0	0	0	prestation
accord	0	0	0	0	0	0	1	0	0	1	bevilja
accordance	0	0	0	0	0	0	0	0	0	0	överensstämmelse
accordion	0	0	0	0	0	0	0	0	0	0	dragspel
account	0	0	0	0	0	0	0	0	0	1	konto
accountability	0	0	0	0	0	0	1	0	0	1	ansvarighet
accountable	0	0	0	0	0	0	1	0	0	1	ansvarig
accountant	0	0	0	0	0	0	0	0	0	1	revisor
accounting	0	0	0	0	0	0	0	0	0	0	bokföring
accounts	0	0	0	0	0	0	0	0	0	1	konton
accredited	0	0	0	0	0	0	1	0	0	1	ackrediterad
accretion	0	0	0	0	0	0	0	0	0	0	anhopning
accrue	0	0	0	0	0	0	0	0	0	0	tillfalla
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ackumulera
accumulation	0	0	0	0	0	0	0	0	0	0	ackumulation
accuracy	0	0	0	0	0	0	0	0	0	0	noggrannhet
accurate	0	0	0	0	0	0	1	0	0	1	exakt
accursed	1	0	0	1	0	1	0	1	0	0	förbannad
accusation	1	0	1	0	0	1	0	0	0	0	anklagelse
accusative	0	0	0	0	0	1	0	0	0	0	ackusativ
accused	1	0	0	1	0	1	0	0	0	0	den anklagade
accuser	1	0	0	1	0	1	0	0	0	0	åklagare
accusing	1	0	0	1	0	1	0	0	0	0	anklagande
accustomed	0	0	0	0	0	0	0	0	0	0	van vid
ace	0	0	0	0	0	0	1	0	0	0	ess
acetic	0	0	0	0	0	0	0	0	0	0	ättiksyra
ache	0	0	0	0	0	1	0	1	0	0	värk
achieve	0	0	0	0	1	0	1	0	0	1	uppnå
achievement	0	1	0	0	1	0	1	0	0	1	prestation
aching	0	0	0	0	0	1	0	1	0	0	värkande
acid	0	0	0	0	0	1	0	0	0	0	syra
acidity	0	0	0	0	0	0	0	0	0	0	aciditet
acknowledge	0	0	0	0	0	0	0	0	0	0	erkänna
acknowledged	0	0	0	0	0	0	0	0	0	0	erkänd
acknowledgment	0	0	0	0	0	0	1	0	0	0	bekräftelse
acme	0	0	0	0	0	0	0	0	0	0	höjdpunkt
acoustic	0	0	0	0	0	0	0	0	0	0	akustisk
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	bekanta
acquaintance	0	0	0	0	0	0	0	0	0	0	bekantskap
acquainted	0	0	0	0	0	0	0	0	0	0	bekant
acquiescence	0	0	0	0	0	0	0	0	0	0	samtycke
acquire	0	0	0	0	0	0	1	0	0	0	tillägna sig
acquiring	0	1	0	0	0	0	1	0	0	0	förvärva
acquisition	0	0	0	0	0	0	0	0	0	0	förvärv
acquisitions	0	0	0	0	0	0	0	0	0	0	förvärv
acreage	0	0	0	0	0	0	0	0	0	0	areal
acres	0	0	0	0	0	0	0	0	0	0	tunnland
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	spela teater
acting	0	0	0	0	0	0	0	0	0	0	verkande
action	0	0	0	0	0	0	1	0	0	0	handling
actionable	1	0	1	0	0	1	0	0	0	0	handlingsbar
active	0	0	0	0	0	0	0	0	0	0	aktiva
activity	0	0	0	0	0	0	0	0	0	0	aktivitet
actor	0	0	0	0	0	0	0	0	0	0	skådespelare
actual	0	0	0	0	0	0	1	0	0	0	faktisk
actuality	0	0	0	0	0	0	0	0	0	0	verklighet
actuary	0	0	0	0	0	0	0	0	0	0	aktuarie
acuity	0	0	0	0	0	0	1	0	0	0	skärpa
acumen	0	0	0	0	0	0	1	0	0	0	skarpsinne
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akut
adage	0	0	0	0	0	0	0	0	0	0	ordspråk
adamant	0	0	0	0	0	0	0	0	0	0	orubblig
adapt	0	0	0	0	0	0	1	0	0	0	anpassa
adaptable	0	0	0	0	0	0	1	0	0	0	anpassbar
add	0	0	0	0	0	0	0	0	0	0	Lägg till
added	0	0	0	0	0	0	0	0	0	0	Lagt till
addendum	0	0	0	0	0	0	0	0	0	0	tillägg
