English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tajik Word
aback	0	0	0	0	0	0	0	0	0	0	ҳайрон
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	тарк кардан
abandoned	1	0	0	1	0	1	0	1	0	0	партофташуда
abandonment	1	0	0	1	0	1	0	1	1	0	партофтан
abate	0	0	0	0	0	0	0	0	0	0	кам кардан
abatement	0	0	0	0	0	0	0	0	0	0	кам кардан
abba	0	0	0	0	0	0	1	0	0	0	аббо
abbot	0	0	0	0	0	0	0	0	0	1	аббот
abbreviate	0	0	0	0	0	0	0	0	0	0	ихтисор кардан
abbreviation	0	0	0	0	0	0	0	0	0	0	мухтасар
abdomen	0	0	0	0	0	0	0	0	0	0	шикам
abdominal	0	0	0	0	0	0	0	0	0	0	шикам
abduction	0	0	0	1	0	1	0	1	1	0	одамрабоӣ
aberrant	0	0	0	0	0	1	0	0	0	0	ғайриоддӣ
aberration	0	0	1	0	0	1	0	0	0	0	аберация
abeyance	0	0	0	0	0	0	0	0	0	0	беистӣ
abhor	1	0	1	1	0	1	0	0	0	0	нафрат
abhorrent	1	0	1	1	0	1	0	0	0	0	нафратовар
abide	0	0	0	0	0	0	0	0	0	0	бимонад
ability	0	0	0	0	0	0	1	0	0	0	қобилият
abject	0	0	1	0	0	1	0	0	0	0	бадбахт
ablation	0	0	0	0	0	0	0	0	0	0	абляция
ablaze	0	0	0	0	0	0	0	0	0	0	аланга задан
abnormal	0	0	1	0	0	1	0	0	0	0	ғайримуқаррарӣ
aboard	0	0	0	0	0	0	0	0	0	0	дар киштй
abode	0	0	0	0	0	0	0	0	0	0	манзил
abolish	1	0	0	0	0	1	0	0	0	0	бархам додан
abolition	0	0	0	0	0	1	0	0	0	0	бекор кардан
abominable	0	0	1	1	0	1	0	0	0	0	нафратовар
abomination	1	0	1	1	0	1	0	0	0	0	нафратовар
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	қатъ кардан
abortion	0	0	1	1	0	1	0	1	0	0	исқоти ҳамл
abortive	0	0	0	0	0	1	0	1	0	0	бебохт
abound	0	0	0	0	0	0	0	0	0	0	фаровон
abovementioned	0	0	0	0	0	0	1	0	0	0	зикршуда
