English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tamil Word
aback	0	0	0	0	0	0	0	0	0	0	திகைப்பு
abacus	0	0	0	0	0	0	0	0	0	1	அபாகஸ்
abandon	0	0	0	1	0	1	0	1	0	0	கைவிடு
abandoned	1	0	0	1	0	1	0	1	0	0	கைவிடப்பட்டது
abandonment	1	0	0	1	0	1	0	1	1	0	கைவிடுதல்
abate	0	0	0	0	0	0	0	0	0	0	குறைதணி
abatement	0	0	0	0	0	0	0	0	0	0	குறைப்பு
abba	0	0	0	0	0	0	1	0	0	0	அப்பா
abbot	0	0	0	0	0	0	0	0	0	1	மடாதிபதி
abbreviate	0	0	0	0	0	0	0	0	0	0	சுருக்கமாக
abbreviation	0	0	0	0	0	0	0	0	0	0	சுருக்கம்
abdomen	0	0	0	0	0	0	0	0	0	0	வயிறு
abdominal	0	0	0	0	0	0	0	0	0	0	வயிறு
abduction	0	0	0	1	0	1	0	1	1	0	கடத்தல்
aberrant	0	0	0	0	0	1	0	0	0	0	மாறுபட்ட
aberration	0	0	1	0	0	1	0	0	0	0	பிறழ்வு
abeyance	0	0	0	0	0	0	0	0	0	0	புறக்கணிப்பு
abhor	1	0	1	1	0	1	0	0	0	0	வெறுப்பு
abhorrent	1	0	1	1	0	1	0	0	0	0	அருவருப்பான
abide	0	0	0	0	0	0	0	0	0	0	பிின்பற்று
ability	0	0	0	0	0	0	1	0	0	0	திறன்
abject	0	0	1	0	0	1	0	0	0	0	கீழ்த்தரமான
ablation	0	0	0	0	0	0	0	0	0	0	நீக்குதல்
ablaze	0	0	0	0	0	0	0	0	0	0	எரிகிறது
abnormal	0	0	1	0	0	1	0	0	0	0	அசாதாரணமான
aboard	0	0	0	0	0	0	0	0	0	0	கப்பலில்
abode	0	0	0	0	0	0	0	0	0	0	தங்குமிடம்
abolish	1	0	0	0	0	1	0	0	0	0	ஒழிக்க
abolition	0	0	0	0	0	1	0	0	0	0	ஒழித்தல்
abominable	0	0	1	1	0	1	0	0	0	0	அருவருப்பானது
abomination	1	0	1	1	0	1	0	0	0	0	அருவருப்பு
aboriginal	0	0	0	0	0	0	0	0	0	0	பழங்குடியினர்
abort	0	0	0	0	0	1	0	0	0	0	கருக்கலைப்பு
