English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tatar Word
aback	0	0	0	0	0	0	0	0	0	0	гаҗәп
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	ташлау
abandoned	1	0	0	1	0	1	0	1	0	0	ташланган
abandonment	1	0	0	1	0	1	0	1	1	0	ташлау
abate	0	0	0	0	0	0	0	0	0	0	.әр сүзнең
abatement	0	0	0	0	0	0	0	0	0	0	азайту
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	аббот
abbreviate	0	0	0	0	0	0	0	0	0	0	кыскарту
abbreviation	0	0	0	0	0	0	0	0	0	0	кыскарту
abdomen	0	0	0	0	0	0	0	0	0	0	карын
abdominal	0	0	0	0	0	0	0	0	0	0	карын
abduction	0	0	0	1	0	1	0	1	1	0	урлау
aberrant	0	0	0	0	0	1	0	0	0	0	аберант
aberration	0	0	1	0	0	1	0	0	0	0	аберрация
abeyance	0	0	0	0	0	0	0	0	0	0	буйсыну
abhor	1	0	1	1	0	1	0	0	0	0	җирәнгеч
abhorrent	1	0	1	1	0	1	0	0	0	0	җирәнгеч
abide	0	0	0	0	0	0	0	0	0	0	тор
ability	0	0	0	0	0	0	1	0	0	0	сәләте
abject	0	0	1	0	0	1	0	0	0	0	.әр сүзнең
ablation	0	0	0	0	0	0	0	0	0	0	абляция
ablaze	0	0	0	0	0	0	0	0	0	0	ут
abnormal	0	0	1	0	0	1	0	0	0	0	аномаль
aboard	0	0	0	0	0	0	0	0	0	0	бортта
abode	0	0	0	0	0	0	0	0	0	0	тору
abolish	1	0	0	0	0	1	0	0	0	0	бетерү
abolition	0	0	0	0	0	1	0	0	0	0	бетерү
abominable	0	0	1	1	0	1	0	0	0	0	җирәнгеч
abomination	1	0	1	1	0	1	0	0	0	0	җирәнгеч
aboriginal	0	0	0	0	0	0	0	0	0	0	аборигеналь
abort	0	0	0	0	0	1	0	0	0	0	аборт
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	абортив
abound	0	0	0	0	0	0	0	0	0	0	күп
abovementioned	0	0	0	0	0	0	1	0	0	0	югарыда күрсәтелгән
abrasion	0	0	0	0	0	1	0	0	0	0	абразия
abroad	0	0	0	0	0	0	0	0	0	0	чит илләрдә
abrogate	0	0	0	0	0	1	0	0	0	0	бетерү
abrupt	0	0	0	0	0	0	0	0	1	0	кинәт
abruptly	0	0	0	0	0	0	0	0	0	0	кинәт
abscess	0	0	0	0	0	1	0	1	0	0	абсессия
absence	0	0	0	1	0	1	0	1	0	0	юклык
absent	0	0	0	0	0	1	0	1	0	0	юк
absentee	0	0	0	0	0	1	0	1	0	0	юк
