English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Telugu Word
aback	0	0	0	0	0	0	0	0	0	0	విస్మయం
abacus	0	0	0	0	0	0	0	0	0	1	అబాకస్
abandon	0	0	0	1	0	1	0	1	0	0	విడిచిపెట్టు
abandoned	1	0	0	1	0	1	0	1	0	0	విడిచిపెట్టారు
abandonment	1	0	0	1	0	1	0	1	1	0	విడిచిపెట్టడం
abate	0	0	0	0	0	0	0	0	0	0	తగ్గించు
abatement	0	0	0	0	0	0	0	0	0	0	తగ్గింపు
abba	0	0	0	0	0	0	1	0	0	0	అబ్బా
abbot	0	0	0	0	0	0	0	0	0	1	మఠాధిపతి
abbreviate	0	0	0	0	0	0	0	0	0	0	సంక్షిప్తంగా
abbreviation	0	0	0	0	0	0	0	0	0	0	సంక్షిప్తీకరణ
abdomen	0	0	0	0	0	0	0	0	0	0	పొత్తికడుపు
abdominal	0	0	0	0	0	0	0	0	0	0	పొత్తికడుపు
abduction	0	0	0	1	0	1	0	1	1	0	అపహరణ
aberrant	0	0	0	0	0	1	0	0	0	0	అసహజమైన
aberration	0	0	1	0	0	1	0	0	0	0	ఉల్లంఘన
abeyance	0	0	0	0	0	0	0	0	0	0	నిలుపుదల
abhor	1	0	1	1	0	1	0	0	0	0	అసహ్యించు
abhorrent	1	0	1	1	0	1	0	0	0	0	అసహ్యకరమైన
abide	0	0	0	0	0	0	0	0	0	0	కట్టుబడి
ability	0	0	0	0	0	0	1	0	0	0	సామర్థ్యం
abject	0	0	1	0	0	1	0	0	0	0	నీచమైన
ablation	0	0	0	0	0	0	0	0	0	0	అబ్లేషన్
ablaze	0	0	0	0	0	0	0	0	0	0	మండుతున్నాయి
abnormal	0	0	1	0	0	1	0	0	0	0	అసాధారణమైన
aboard	0	0	0	0	0	0	0	0	0	0	మీదికి
abode	0	0	0	0	0	0	0	0	0	0	నివాసం
abolish	1	0	0	0	0	1	0	0	0	0	రద్దు
abolition	0	0	0	0	0	1	0	0	0	0	రద్దు
abominable	0	0	1	1	0	1	0	0	0	0	అసహ్యకరమైన
abomination	1	0	1	1	0	1	0	0	0	0	అసహ్యము
aboriginal	0	0	0	0	0	0	0	0	0	0	ఆదివాసి
abort	0	0	0	0	0	1	0	0	0	0	గర్భస్రావం
abortion	0	0	1	1	0	1	0	1	0	0	గర్భస్రావం
abortive	0	0	0	0	0	1	0	1	0	0	అకాల విజయవంతం కాని
abound	0	0	0	0	0	0	0	0	0	0	పుష్కలంగా ఉన్నాయి
abovementioned	0	0	0	0	0	0	1	0	0	0	పైన పేర్కొన్న
abrasion	0	0	0	0	0	1	0	0	0	0	రాపిడి
abroad	0	0	0	0	0	0	0	0	0	0	విదేశాలలో
abrogate	0	0	0	0	0	1	0	0	0	0	రద్దు
