English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Thai Word
aback	0	0	0	0	0	0	0	0	0	0	ผงะ
abacus	0	0	0	0	0	0	0	0	0	1	ลูกคิด
abandon	0	0	0	1	0	1	0	1	0	0	ละทิ้ง
abandoned	1	0	0	1	0	1	0	1	0	0	ถูกทอดทิ้ง
abandonment	1	0	0	1	0	1	0	1	1	0	การละทิ้ง
abate	0	0	0	0	0	0	0	0	0	0	ลดน้อยลง
abatement	0	0	0	0	0	0	0	0	0	0	ลดหย่อน
abba	0	0	0	0	0	0	1	0	0	0	อับบา
abbot	0	0	0	0	0	0	0	0	0	1	เจ้าอาวาส
abbreviate	0	0	0	0	0	0	0	0	0	0	ย่อ
abbreviation	0	0	0	0	0	0	0	0	0	0	ตัวย่อ
abdomen	0	0	0	0	0	0	0	0	0	0	หน้าท้อง
abdominal	0	0	0	0	0	0	0	0	0	0	หน้าท้อง
abduction	0	0	0	1	0	1	0	1	1	0	การลักพาตัว
aberrant	0	0	0	0	0	1	0	0	0	0	ผิดปกติ
aberration	0	0	1	0	0	1	0	0	0	0	ความคลาดเคลื่อน
abeyance	0	0	0	0	0	0	0	0	0	0	การละหมาด
abhor	1	0	1	1	0	1	0	0	0	0	เกลียดชัง
abhorrent	1	0	1	1	0	1	0	0	0	0	น่ารังเกียจ
abide	0	0	0	0	0	0	0	0	0	0	อยู่
ability	0	0	0	0	0	0	1	0	0	0	ความสามารถ
abject	0	0	1	0	0	1	0	0	0	0	อนาถ
ablation	0	0	0	0	0	0	0	0	0	0	ระเหย
ablaze	0	0	0	0	0	0	0	0	0	0	ลุกโชน
abnormal	0	0	1	0	0	1	0	0	0	0	ผิดปกติ
aboard	0	0	0	0	0	0	0	0	0	0	บนเรือ
abode	0	0	0	0	0	0	0	0	0	0	ที่พักอาศัย
abolish	1	0	0	0	0	1	0	0	0	0	ยกเลิก
abolition	0	0	0	0	0	1	0	0	0	0	การยกเลิก
abominable	0	0	1	1	0	1	0	0	0	0	น่ารังเกียจ
abomination	1	0	1	1	0	1	0	0	0	0	สิ่งที่น่ารังเกียจ
aboriginal	0	0	0	0	0	0	0	0	0	0	อะบอริจิน
abort	0	0	0	0	0	1	0	0	0	0	ยกเลิก
abortion	0	0	1	1	0	1	0	1	0	0	การทำแท้ง
abortive	0	0	0	0	0	1	0	1	0	0	แท้ง
abound	0	0	0	0	0	0	0	0	0	0	อุดมสมบูรณ์
abovementioned	0	0	0	0	0	0	1	0	0	0	ดังกล่าวข้างต้น
abrasion	0	0	0	0	0	1	0	0	0	0	รอยขีดข่วน
abroad	0	0	0	0	0	0	0	0	0	0	ต่างประเทศ
abrogate	0	0	0	0	0	1	0	0	0	0	ยกเลิก
abrupt	0	0	0	0	0	0	0	0	1	0	กะทันหัน
abruptly	0	0	0	0	0	0	0	0	0	0	กะทันหัน
abscess	0	0	0	0	0	1	0	1	0	0	ฝี
absence	0	0	0	1	0	1	0	1	0	0	ขาด
absent	0	0	0	0	0	1	0	1	0	0	ขาด
absentee	0	0	0	0	0	1	0	1	0	0	ขาดเรียน
absenteeism	0	0	0	0	0	1	0	0	0	0	ขาดเรียน
absinthe	0	0	0	0	0	0	0	0	0	0	Absinthe
absolute	0	0	0	0	0	0	1	0	0	0	แน่นอน
absolution	0	0	0	0	1	0	1	0	0	1	อภัยโทษ
absorbed	0	0	0	0	0	0	1	0	0	0	ดูดซึม
absorbent	0	0	0	0	0	0	0	0	0	0	ตัวดูดซับ
absorbing	0	0	0	0	0	0	0	0	0	0	ดูดซับ
absorption	0	0	0	0	0	0	0	0	0	0	การดูดซึม
abstain	0	0	0	0	0	0	0	0	0	0	งดออกเสียง
abstention	0	0	0	0	0	0	0	0	0	0	งดออกเสียง
abstinence	0	0	0	0	0	0	0	0	0	0	การเลิกบุหรี่
abstract	0	0	0	0	0	0	0	0	0	0	บทคัดย่อ
abstraction	0	0	0	0	0	0	0	0	0	0	สิ่งที่เป็นนามธรรม
absurd	0	0	0	0	0	1	0	0	0	0	ไร้สาระ
absurdity	0	0	0	0	0	1	0	0	0	0	ไร้สาระ
abundance	0	1	1	0	1	1	1	0	0	1	ความอุดมสมบูรณ์
abundant	0	0	0	0	1	0	1	0	0	0	อุดมสมบูรณ์
abuse	1	0	1	1	0	1	0	1	0	0	ใช้ในทางที่ผิด
abutment	0	0	0	0	0	0	0	0	0	0	ค้ำยัน
aby	0	0	0	0	0	0	0	0	0	0	อะบาย
abysmal	0	0	0	0	0	1	0	1	0	0	สุดซึ้ง
abyss	0	0	0	1	0	1	0	1	0	0	เหว
academic	0	0	0	0	0	0	1	0	0	1	เชิงวิชาการ
academy	0	0	0	0	0	0	1	0	0	0	สถาบันการศึกษา
accede	0	0	0	0	0	0	0	0	0	0	accede
accelerate	0	1	0	0	0	0	0	0	0	0	เร่งความเร็ว
acceleration	0	0	0	0	0	0	0	0	0	0	อัตราเร่ง
accent	0	0	0	0	0	0	0	0	0	0	สำเนียง
accentuate	0	0	0	0	0	0	0	0	0	0	เน้น
accept	0	0	0	0	0	0	0	0	0	0	ยอมรับ
acceptable	0	0	0	0	0	0	1	0	0	0	ยอมรับได้
acceptance	0	0	0	0	0	0	1	0	0	0	การยอมรับ
access	0	0	0	0	0	0	0	0	0	0	เข้าถึง
accessible	0	0	0	0	0	0	1	0	0	0	เข้าถึงได้
accession	0	0	0	0	0	0	0	0	0	0	ภาคยานุวัติ
accessory	0	0	0	0	0	0	0	0	0	0	อุปกรณ์เสริม
accident	0	0	0	1	0	1	0	1	1	0	อุบัติเหตุ
accidental	0	0	0	1	0	1	0	0	1	0	บังเอิญ
accidentally	0	0	0	0	0	0	0	0	1	0	บังเอิญ
accolade	0	1	0	0	1	0	1	0	1	1	รางวัล
accommodate	0	0	0	0	0	0	0	0	0	0	รองรับ
accommodation	0	0	0	0	0	0	1	0	0	0	ที่พัก
accompaniment	0	1	0	0	1	0	1	0	0	1	ประกอบ
accompany	0	0	0	0	0	0	0	0	0	0	มาด้วยกัน
accompanying	0	0	0	0	0	0	0	0	0	0	มาพร้อมกับ
accomplice	0	0	0	0	0	0	0	0	0	0	ผู้สมรู้ร่วมคิด
accomplish	0	0	0	0	1	0	1	0	0	0	ทำให้สำเร็จ
accomplished	0	0	0	0	1	0	1	0	0	0	สำเร็จ
accomplishment	0	0	0	0	0	0	1	0	0	0	ความสำเร็จ
accord	0	0	0	0	0	0	1	0	0	1	สอดคล้อง
accordance	0	0	0	0	0	0	0	0	0	0	สอดคล้อง
accordion	0	0	0	0	0	0	0	0	0	0	หีบเพลง
account	0	0	0	0	0	0	0	0	0	1	บัญชีผู้ใช้
accountability	0	0	0	0	0	0	1	0	0	1	ความรับผิดชอบ
accountable	0	0	0	0	0	0	1	0	0	1	รับผิดชอบ
accountant	0	0	0	0	0	0	0	0	0	1	นักบัญชี
accounting	0	0	0	0	0	0	0	0	0	0	การบัญชี
accounts	0	0	0	0	0	0	0	0	0	1	บัญชี
accredited	0	0	0	0	0	0	1	0	0	1	ได้รับการรับรอง
accretion	0	0	0	0	0	0	0	0	0	0	การเสริมกำลัง
accrue	0	0	0	0	0	0	0	0	0	0	สะสม
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	สะสม
accumulation	0	0	0	0	0	0	0	0	0	0	สะสม
accuracy	0	0	0	0	0	0	0	0	0	0	ความแม่นยำ
