English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Turkish Word
aback	0	0	0	0	0	0	0	0	0	0	şaşırmak
abacus	0	0	0	0	0	0	0	0	0	1	abaküs
abandon	0	0	0	1	0	1	0	1	0	0	terk etmek
abandoned	1	0	0	1	0	1	0	1	0	0	terk edilmiş
abandonment	1	0	0	1	0	1	0	1	1	0	terk etme
abate	0	0	0	0	0	0	0	0	0	0	hafifletmek
abatement	0	0	0	0	0	0	0	0	0	0	azaltma
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	başrahip
abbreviate	0	0	0	0	0	0	0	0	0	0	kısaltmak
abbreviation	0	0	0	0	0	0	0	0	0	0	kısaltma
abdomen	0	0	0	0	0	0	0	0	0	0	karın
abdominal	0	0	0	0	0	0	0	0	0	0	karın
abduction	0	0	0	1	0	1	0	1	1	0	kaçırma
aberrant	0	0	0	0	0	1	0	0	0	0	anormal
aberration	0	0	1	0	0	1	0	0	0	0	sapma
abeyance	0	0	0	0	0	0	0	0	0	0	bekleme
abhor	1	0	1	1	0	1	0	0	0	0	iğrenmek
abhorrent	1	0	1	1	0	1	0	0	0	0	iğrenç
abide	0	0	0	0	0	0	0	0	0	0	uymak
ability	0	0	0	0	0	0	1	0	0	0	kabiliyet
abject	0	0	1	0	0	1	0	0	0	0	sefil
ablation	0	0	0	0	0	0	0	0	0	0	ablasyon
ablaze	0	0	0	0	0	0	0	0	0	0	alev alev yanmak
abnormal	0	0	1	0	0	1	0	0	0	0	Anormal
aboard	0	0	0	0	0	0	0	0	0	0	gemide
abode	0	0	0	0	0	0	0	0	0	0	mesken
abolish	1	0	0	0	0	1	0	0	0	0	ortadan kaldırmak
abolition	0	0	0	0	0	1	0	0	0	0	kaldırılması
abominable	0	0	1	1	0	1	0	0	0	0	iğrenç
abomination	1	0	1	1	0	1	0	0	0	0	iğrenç
aboriginal	0	0	0	0	0	0	0	0	0	0	yerli
abort	0	0	0	0	0	1	0	0	0	0	iptal etmek
abortion	0	0	1	1	0	1	0	1	0	0	kürtaj
abortive	0	0	0	0	0	1	0	1	0	0	kürtaj
abound	0	0	0	0	0	0	0	0	0	0	bol
abovementioned	0	0	0	0	0	0	1	0	0	0	yukarıda belirtilen
abrasion	0	0	0	0	0	1	0	0	0	0	aşınma
abroad	0	0	0	0	0	0	0	0	0	0	yurt dışı
abrogate	0	0	0	0	0	1	0	0	0	0	yürürlükten kaldırmak
abrupt	0	0	0	0	0	0	0	0	1	0	ani
abruptly	0	0	0	0	0	0	0	0	0	0	aniden
abscess	0	0	0	0	0	1	0	1	0	0	apse
absence	0	0	0	1	0	1	0	1	0	0	yokluk
absent	0	0	0	0	0	1	0	1	0	0	mevcut olmayan
absentee	0	0	0	0	0	1	0	1	0	0	devamsızlık
absenteeism	0	0	0	0	0	1	0	0	0	0	devamsızlık
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	bağışlanma
absorbed	0	0	0	0	0	0	1	0	0	0	emilen
absorbent	0	0	0	0	0	0	0	0	0	0	emici
absorbing	0	0	0	0	0	0	0	0	0	0	Sürükleyici
absorption	0	0	0	0	0	0	0	0	0	0	emilim
abstain	0	0	0	0	0	0	0	0	0	0	çekimser kalmak
