English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Ukrainian Word
aback	0	0	0	0	0	0	0	0	0	0	назад
abacus	0	0	0	0	0	0	0	0	0	1	рахівниця
abandon	0	0	0	1	0	1	0	1	0	0	відмовитися
abandoned	1	0	0	1	0	1	0	1	0	0	покинутий
abandonment	1	0	0	1	0	1	0	1	1	0	занедбаність
abate	0	0	0	0	0	0	0	0	0	0	зменшуватися
abatement	0	0	0	0	0	0	0	0	0	0	зменшення
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	настоятель
abbreviate	0	0	0	0	0	0	0	0	0	0	скорочувати
abbreviation	0	0	0	0	0	0	0	0	0	0	абревіатура
abdomen	0	0	0	0	0	0	0	0	0	0	живіт
abdominal	0	0	0	0	0	0	0	0	0	0	черевний
abduction	0	0	0	1	0	1	0	1	1	0	викрадення
aberrant	0	0	0	0	0	1	0	0	0	0	ненормальний
aberration	0	0	1	0	0	1	0	0	0	0	аберація
abeyance	0	0	0	0	0	0	0	0	0	0	бездіяльність
abhor	1	0	1	1	0	1	0	0	0	0	ненавидіти
abhorrent	1	0	1	1	0	1	0	0	0	0	огидний
abide	0	0	0	0	0	0	0	0	0	0	дотримуватися
ability	0	0	0	0	0	0	1	0	0	0	здатність
abject	0	0	1	0	0	1	0	0	0	0	жалюгідний
ablation	0	0	0	0	0	0	0	0	0	0	абляція
ablaze	0	0	0	0	0	0	0	0	0	0	палаючий
abnormal	0	0	1	0	0	1	0	0	0	0	аномальний
aboard	0	0	0	0	0	0	0	0	0	0	на борту
abode	0	0	0	0	0	0	0	0	0	0	місце проживання
abolish	1	0	0	0	0	1	0	0	0	0	скасувати
abolition	0	0	0	0	0	1	0	0	0	0	скасування
abominable	0	0	1	1	0	1	0	0	0	0	огидний
abomination	1	0	1	1	0	1	0	0	0	0	гидота
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	перервати
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	абортивний
abound	0	0	0	0	0	0	0	0	0	0	рясніють
abovementioned	0	0	0	0	0	0	1	0	0	0	вищезазначений
abrasion	0	0	0	0	0	1	0	0	0	0	стирання
abroad	0	0	0	0	0	0	0	0	0	0	за кордоном
abrogate	0	0	0	0	0	1	0	0	0	0	скасувати
abrupt	0	0	0	0	0	0	0	0	1	0	різкий
abruptly	0	0	0	0	0	0	0	0	0	0	різко
abscess	0	0	0	0	0	1	0	1	0	0	абсцес
absence	0	0	0	1	0	1	0	1	0	0	відсутність
absent	0	0	0	0	0	1	0	1	0	0	відсутній
absentee	0	0	0	0	0	1	0	1	0	0	заочний
absenteeism	0	0	0	0	0	1	0	0	0	0	прогули
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	абсолютний
absolution	0	0	0	0	1	0	1	0	0	1	відпущення гріхів
absorbed	0	0	0	0	0	0	1	0	0	0	поглинається
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	поглинаючий
absorption	0	0	0	0	0	0	0	0	0	0	поглинання
abstain	0	0	0	0	0	0	0	0	0	0	утриматись
abstention	0	0	0	0	0	0	0	0	0	0	утримання
abstinence	0	0	0	0	0	0	0	0	0	0	утримання
abstract	0	0	0	0	0	0	0	0	0	0	анотація
abstraction	0	0	0	0	0	0	0	0	0	0	абстракція
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурдність
abundance	0	1	1	0	1	1	1	0	0	1	достаток
abundant	0	0	0	0	1	0	1	0	0	0	рясні
abuse	1	0	1	1	0	1	0	1	0	0	зловживання
abutment	0	0	0	0	0	0	0	0	0	0	абатмент
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	безодні
abyss	0	0	0	1	0	1	0	1	0	0	безодня
academic	0	0	0	0	0	0	1	0	0	1	академічний
academy	0	0	0	0	0	0	1	0	0	0	академії
accede	0	0	0	0	0	0	0	0	0	0	приєднатися
accelerate	0	1	0	0	0	0	0	0	0	0	прискорити
acceleration	0	0	0	0	0	0	0	0	0	0	прискорення
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	акцентувати
accept	0	0	0	0	0	0	0	0	0	0	прийняти
acceptable	0	0	0	0	0	0	1	0	0	0	прийнятний
acceptance	0	0	0	0	0	0	1	0	0	0	прийняття
access	0	0	0	0	0	0	0	0	0	0	доступу
accessible	0	0	0	0	0	0	1	0	0	0	доступний
accession	0	0	0	0	0	0	0	0	0	0	приєднання
accessory	0	0	0	0	0	0	0	0	0	0	аксесуар
accident	0	0	0	1	0	1	0	1	1	0	нещасний випадок
accidental	0	0	0	1	0	1	0	0	1	0	випадковий
accidentally	0	0	0	0	0	0	0	0	1	0	випадково
accolade	0	1	0	0	1	0	1	0	1	1	нагорода
accommodate	0	0	0	0	0	0	0	0	0	0	розмістити
accommodation	0	0	0	0	0	0	1	0	0	0	проживання
accompaniment	0	1	0	0	1	0	1	0	0	1	супровід
accompany	0	0	0	0	0	0	0	0	0	0	супроводжувати
accompanying	0	0	0	0	0	0	0	0	0	0	супроводжуючий
accomplice	0	0	0	0	0	0	0	0	0	0	співучасник
accomplish	0	0	0	0	1	0	1	0	0	0	виконати
accomplished	0	0	0	0	1	0	1	0	0	0	виконано
accomplishment	0	0	0	0	0	0	1	0	0	0	досягнення
accord	0	0	0	0	0	0	1	0	0	1	згода
accordance	0	0	0	0	0	0	0	0	0	0	відповідність
accordion	0	0	0	0	0	0	0	0	0	0	акордеон
account	0	0	0	0	0	0	0	0	0	1	рахунок
accountability	0	0	0	0	0	0	1	0	0	1	звітність
accountable	0	0	0	0	0	0	1	0	0	1	підзвітний
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтер
accounting	0	0	0	0	0	0	0	0	0	0	облік
accounts	0	0	0	0	0	0	0	0	0	1	облікові записи
accredited	0	0	0	0	0	0	1	0	0	1	акредитований
accretion	0	0	0	0	0	0	0	0	0	0	нарощення
