English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Uzbek Word
aback	0	0	0	0	0	0	0	0	0	0	hayratda
abacus	0	0	0	0	0	0	0	0	0	1	abak
abandon	0	0	0	1	0	1	0	1	0	0	tashlab ketish
abandoned	1	0	0	1	0	1	0	1	0	0	tashlab ketilgan
abandonment	1	0	0	1	0	1	0	1	1	0	tark etish
abate	0	0	0	0	0	0	0	0	0	0	pasaymoq
abatement	0	0	0	0	0	0	0	0	0	0	kamaytirish
abba	0	0	0	0	0	0	1	0	0	0	obo
abbot	0	0	0	0	0	0	0	0	0	1	abbat
abbreviate	0	0	0	0	0	0	0	0	0	0	qisqartirish
abbreviation	0	0	0	0	0	0	0	0	0	0	qisqartma
abdomen	0	0	0	0	0	0	0	0	0	0	qorin
abdominal	0	0	0	0	0	0	0	0	0	0	qorin bo'shlig'i
abduction	0	0	0	1	0	1	0	1	1	0	o'g'irlab ketish
aberrant	0	0	0	0	0	1	0	0	0	0	anormal
aberration	0	0	1	0	0	1	0	0	0	0	aberatsiya
abeyance	0	0	0	0	0	0	0	0	0	0	bekorchilik
abhor	1	0	1	1	0	1	0	0	0	0	nafrat
abhorrent	1	0	1	1	0	1	0	0	0	0	jirkanch
abide	0	0	0	0	0	0	0	0	0	0	turish
ability	0	0	0	0	0	0	1	0	0	0	qobiliyat
abject	0	0	1	0	0	1	0	0	0	0	xor
ablation	0	0	0	0	0	0	0	0	0	0	ablasyon
ablaze	0	0	0	0	0	0	0	0	0	0	yonadi
abnormal	0	0	1	0	0	1	0	0	0	0	g'ayritabiiy
aboard	0	0	0	0	0	0	0	0	0	0	bortida
abode	0	0	0	0	0	0	0	0	0	0	turar joy
abolish	1	0	0	0	0	1	0	0	0	0	bekor qilish
abolition	0	0	0	0	0	1	0	0	0	0	bekor qilish
abominable	0	0	1	1	0	1	0	0	0	0	jirkanch
abomination	1	0	1	1	0	1	0	0	0	0	jirkanchlik
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
abort	0	0	0	0	0	1	0	0	0	0	bekor qilish
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	muvaffaqiyatsiz
abound	0	0	0	0	0	0	0	0	0	0	ko'p
abovementioned	0	0	0	0	0	0	1	0	0	0	yuqorida qayd etilgan
abrasion	0	0	0	0	0	1	0	0	0	0	ishqalanish
abroad	0	0	0	0	0	0	0	0	0	0	chet elda
abrogate	0	0	0	0	0	1	0	0	0	0	bekor qilish
abrupt	0	0	0	0	0	0	0	0	1	0	keskin
abruptly	0	0	0	0	0	0	0	0	0	0	to'satdan
abscess	0	0	0	0	0	1	0	1	0	0	xo'ppoz
absence	0	0	0	1	0	1	0	1	0	0	yo'qligi
absent	0	0	0	0	0	1	0	1	0	0	yo'q
absentee	0	0	0	0	0	1	0	1	0	0	qatnashmagan
absenteeism	0	0	0	0	0	1	0	0	0	0	absenteizm
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	mutlaq
absolution	0	0	0	0	1	0	1	0	0	1	kechirish
absorbed	0	0	0	0	0	0	1	0	0	0	so'riladi
absorbent	0	0	0	0	0	0	0	0	0	0	changni yutish
absorbing	0	0	0	0	0	0	0	0	0	0	singdiruvchi
absorption	0	0	0	0	0	0	0	0	0	0	singdirish
abstain	0	0	0	0	0	0	0	0	0	0	tiyilish
abstention	0	0	0	0	0	0	0	0	0	0	betaraf
abstinence	0	0	0	0	0	0	0	0	0	0	tiyilish
abstract	0	0	0	0	0	0	0	0	0	0	mavhum
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksiya
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurdlik
