English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Vietnamese Word
aback	0	0	0	0	0	0	0	0	0	0	ngạc nhiên
abacus	0	0	0	0	0	0	0	0	0	1	bàn tính
abandon	0	0	0	1	0	1	0	1	0	0	bỏ rơi
abandoned	1	0	0	1	0	1	0	1	0	0	bị bỏ rơi
abandonment	1	0	0	1	0	1	0	1	1	0	sự bỏ rơi
abate	0	0	0	0	0	0	0	0	0	0	giảm bớt
abatement	0	0	0	0	0	0	0	0	0	0	giảm bớt
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	trụ trì
abbreviate	0	0	0	0	0	0	0	0	0	0	viết tắt
abbreviation	0	0	0	0	0	0	0	0	0	0	viết tắt
abdomen	0	0	0	0	0	0	0	0	0	0	bụng
abdominal	0	0	0	0	0	0	0	0	0	0	bụng
abduction	0	0	0	1	0	1	0	1	1	0	bắt cóc
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	quang sai
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	ghê tởm
abhorrent	1	0	1	1	0	1	0	0	0	0	ghê tởm
abide	0	0	0	0	0	0	0	0	0	0	chịu đựng
ability	0	0	0	0	0	0	1	0	0	0	có khả năng
abject	0	0	1	0	0	1	0	0	0	0	Khổ sở
ablation	0	0	0	0	0	0	0	0	0	0	cắt bỏ
ablaze	0	0	0	0	0	0	0	0	0	0	bốc cháy
abnormal	0	0	1	0	0	1	0	0	0	0	khác thường
aboard	0	0	0	0	0	0	0	0	0	0	cái bảng
abode	0	0	0	0	0	0	0	0	0	0	chỗ ở
abolish	1	0	0	0	0	1	0	0	0	0	bỏ
abolition	0	0	0	0	0	1	0	0	0	0	bãi bỏ
abominable	0	0	1	1	0	1	0	0	0	0	gớm ghiếc
abomination	1	0	1	1	0	1	0	0	0	0	sự ghê tởm
aboriginal	0	0	0	0	0	0	0	0	0	0	thổ dân
abort	0	0	0	0	0	1	0	0	0	0	Huỷ bỏ
abortion	0	0	1	1	0	1	0	1	0	0	sự phá thai
abortive	0	0	0	0	0	1	0	1	0	0	phá thai
abound	0	0	0	0	0	0	0	0	0	0	nhiều
abovementioned	0	0	0	0	0	0	1	0	0	0	đã đề cập ở trên
abrasion	0	0	0	0	0	1	0	0	0	0	mài mòn
abroad	0	0	0	0	0	0	0	0	0	0	nước ngoài
abrogate	0	0	0	0	0	1	0	0	0	0	bãi bỏ
abrupt	0	0	0	0	0	0	0	0	1	0	đột ngột
abruptly	0	0	0	0	0	0	0	0	0	0	đột ngột
abscess	0	0	0	0	0	1	0	1	0	0	áp xe
absence	0	0	0	1	0	1	0	1	0	0	vắng mặt
absent	0	0	0	0	0	1	0	1	0	0	vắng mặt
absentee	0	0	0	0	0	1	0	1	0	0	vắng mặt
absenteeism	0	0	0	0	0	1	0	0	0	0	nghỉ học
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	tuyệt đối
absolution	0	0	0	0	1	0	1	0	0	1	sự giải tội
absorbed	0	0	0	0	0	0	1	0	0	0	hấp thụ
absorbent	0	0	0	0	0	0	0	0	0	0	thấm
