English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Welsh Word
aback	0	0	0	0	0	0	0	0	0	0	syfrdan
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	cefnu
abandoned	1	0	0	1	0	1	0	1	0	0	wedi'i adael
abandonment	1	0	0	1	0	1	0	1	1	0	gadawiad
abate	0	0	0	0	0	0	0	0	0	0	lleihau
abatement	0	0	0	0	0	0	0	0	0	0	lleihâd
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abad
abbreviate	0	0	0	0	0	0	0	0	0	0	talfyrru
abbreviation	0	0	0	0	0	0	0	0	0	0	talfyriad
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdomenol
abduction	0	0	0	1	0	1	0	1	1	0	herwgipio
aberrant	0	0	0	0	0	1	0	0	0	0	afreolus
aberration	0	0	1	0	0	1	0	0	0	0	aberiad
abeyance	0	0	0	0	0	0	0	0	0	0	seguryd
abhor	1	0	1	1	0	1	0	0	0	0	ffieiddio
abhorrent	1	0	1	1	0	1	0	0	0	0	ffiaidd
abide	0	0	0	0	0	0	0	0	0	0	cadw
ability	0	0	0	0	0	0	1	0	0	0	gallu
abject	0	0	1	0	0	1	0	0	0	0	yn wrthun
ablation	0	0	0	0	0	0	0	0	0	0	abladiad
ablaze	0	0	0	0	0	0	0	0	0	0	fflam
abnormal	0	0	1	0	0	1	0	0	0	0	annormal
aboard	0	0	0	0	0	0	0	0	0	0	tramor
abode	0	0	0	0	0	0	0	0	0	0	preswylio
abolish	1	0	0	0	0	1	0	0	0	0	diddymu
abolition	0	0	0	0	0	1	0	0	0	0	diddymiad
abominable	0	0	1	1	0	1	0	0	0	0	ffiaidd
abomination	1	0	1	1	0	1	0	0	0	0	ffieidd-dra
aboriginal	0	0	0	0	0	0	0	0	0	0	cynfrodorol
abort	0	0	0	0	0	1	0	0	0	0	erthylu
abortion	0	0	1	1	0	1	0	1	0	0	erthyliad
abortive	0	0	0	0	0	1	0	1	0	0	ofer
abound	0	0	0	0	0	0	0	0	0	0	digonedd
abovementioned	0	0	0	0	0	0	1	0	0	0	uchod
abrasion	0	0	0	0	0	1	0	0	0	0	sgraffinio
abroad	0	0	0	0	0	0	0	0	0	0	dramor
abrogate	0	0	0	0	0	1	0	0	0	0	diddymu
abrupt	0	0	0	0	0	0	0	0	1	0	sydyn
abruptly	0	0	0	0	0	0	0	0	0	0	yn sydyn
abscess	0	0	0	0	0	1	0	1	0	0	crawniad
absence	0	0	0	1	0	1	0	1	0	0	absenoldeb
absent	0	0	0	0	0	1	0	1	0	0	absennol
absentee	0	0	0	0	0	1	0	1	0	0	absennol
absenteeism	0	0	0	0	0	1	0	0	0	0	absennoldeb
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	absoliwt
absolution	0	0	0	0	1	0	1	0	0	1	gollyngdod
absorbed	0	0	0	0	0	0	1	0	0	0	amsugno
